number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.009560906515580737	2020-05-10 17:28:20.221156	2020-05-10 19:04:50.288325	4.672361616526906	128	0.38901355645811064	0.22039804463501717	62	0.1298883918904435	49	0.0010097353788880124	128	0.6071449052436606	0.0028328611898017	0.009560906515580737	0.005842776203966006	0.006728045325779037	12305.066749291786	0.005613170777804368	0.0028328611898017	0.009560906515580737	0.005842776203966006	0.006728045325779037	12305.06497875354	0.005613170857085897	3379469635	150	0.0028328611898017	0.009560906515580737	0.005842776203966006	0.006728045325779037	12305.068519830029	0.0056131706985684685	0	COMPLETE
1	0.000708215297450425	2020-05-10 19:04:50.340657	2020-05-10 20:19:44.336997	2.6221155139289722	128	0.012549745091219755	0.34725910561977924	37	0.2775606430474868	54	0.001438539546878506	256	0.6643896621058588	0.0	0.000708215297450425	0.00017705382436260624	0.0003541076487252125	13465.69281161473	0.0013199183390604835	0.0	0.000708215297450425	0.00017705382436260624	0.0003541076487252125	13465.69192634561	0.0013199183670518596	3641202241	150	0.0	0.000708215297450425	0.00017705382436260624	0.0003541076487252125	13465.693696883853	0.0013199183110762654	1	COMPLETE
2	0.0010623229461756375	2020-05-10 20:19:44.371584	2020-05-10 20:56:42.075980	1.6805086313534567	128	0.162558145537271	0.07528411691955772	54	0.2604051695675493	21	0.006962720814896974	512	0.6495294221733053	0.00017705382436260624	0.0010623229461756375	0.00017705382436260624	0.0003541076487252125	13166.080648016998	0.0011349951792709826	0.00017705382436260624	0.0010623229461756375	0.00017705382436260624	0.0003541076487252125	13166.080028328612	0.0011349953001154906	849147534	150	0.00017705382436260624	0.0010623229461756375	0.00017705382436260624	0.0003541076487252125	13166.081267705382	0.0011349950585619703	2	COMPLETE
3	0.013101983002832862	2020-05-10 20:56:42.181445	2020-05-10 21:30:54.163288	9.563734624702315	64	0.17732060459247	0.46419000001011645	33	0.12735093228523875	24	0.023968280050880236	512	0.8000893516300178	0.0008852691218130312	0.013101983002832862	0.004603399433427762	0.009383852691218131	16218.721405807366	0.005303149239635647	0.0008852691218130312	0.013101983002832862	0.004603399433427762	0.009383852691218131	16218.72043201133	0.005303149254350308	612439354	200	0.0008852691218130312	0.013101983002832862	0.004603399433427762	0.009383852691218131	16218.7223796034	0.005303149224925699	3	COMPLETE
4	0.0005311614730878187	2020-05-10 21:30:54.214611	2020-05-10 21:48:05.923482	9.047104920387484	64	0.0878762581844083	0.4903477160930119	47	0.11497079497154594	5	0.006149375849275567	256	0.7277140598096351	0.0	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	14750.902708923513	0.0005194875349426459	0.0	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	14750.901912181303	0.0005194875426860197	3357495391	150	0.0	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	14750.903505665723	0.000519487527200375	4	COMPLETE
5	0.003718130311614731	2020-05-10 21:48:05.967437	2020-05-10 23:22:32.625283	5.248448860872717	128	0.24465927426764827	0.02967813419614096	23	0.4227597570723068	95	0.015861658329967228	512	1.141992162503814	0.000708215297450425	0.003718130311614731	0.0026558073654390935	0.0028328611898017	23153.484242209634	0.0019585416185391785	0.000708215297450425	0.003718130311614731	0.0026558073654390935	0.0028328611898017	23153.483179886687	0.0019585416214308	3999125253	150	0.000708215297450425	0.003718130311614731	0.0026558073654390935	0.0028328611898017	23153.485304532576	0.00195854161564774	5	COMPLETE
6	0.007259206798866855	2020-05-10 23:22:32.669930	2020-05-11 02:05:01.955779	9.528531083961285	256	0.47244331908346554	0.3290889145278057	29	0.4595035187929994	71	0.0010724310813393122	512	0.5484450027466908	0.00017705382436260624	0.007259206798866855	0.0010623229461756375	0.0026558073654390935	11115.902797450424	0.002728313086618768	0.00017705382436260624	0.007259206798866855	0.0010623229461756375	0.0026558073654390935	11115.900672804533	0.002728313184625528	2907974095	150	0.00017705382436260624	0.007259206798866855	0.0010623229461756375	0.0026558073654390935	11115.904922096317	0.002728312988651834	6	COMPLETE
7	0.003895184135977337	2020-05-11 02:05:01.992037	2020-05-11 06:22:07.568769	1.4973545653580973	256	0.33306668338096296	0.21488618559043177	46	0.06415000177633506	86	0.004203588875236176	512	0.7137775668880864	0.00017705382436260624	0.003895184135977337	0.0010623229461756375	0.002301699716713881	14467.315155807366	0.0018405633576118775	0.00017705382436260624	0.003895184135977337	0.0010623229461756375	0.002301699716713881	14467.313031161473	0.0018405635631925908	3086971840	150	0.00017705382436260624	0.003895184135977337	0.0010623229461756375	0.002301699716713881	14467.317280453257	0.0018405631523244798	7	COMPLETE
8	0.016288951841359773	2020-05-11 06:22:07.619165	2020-05-11 07:05:17.972542	1.7893275721424886	64	0.4982899661107287	0.3851867487304846	20	0.20041342864864203	18	0.03391390082118434	256	0.6971924462754091	0.002478753541076487	0.016288951841359773	0.007082152974504249	0.010446175637393768	14130.194316572239	0.007828691617562758	0.002478753541076487	0.016288951841359773	0.007082152974504249	0.010446175637393768	14130.18714589235	0.00782869192437332	2992539555	250	0.002478753541076487	0.016288951841359773	0.007082152974504249	0.010446175637393768	14130.201487252125	0.007828691311157217	8	COMPLETE
9	0.01451841359773371	2020-05-11 07:05:18.065495	2020-05-11 07:28:40.332817	0.885629124841109	64	0.2550256869699939	0.07872786821700622	39	0.41437154803034576	17	0.03500405737187496	256	0.7065029519271356	0.002301699716713881	0.01451841359773371	0.0047804532577903685	0.006905099150141643	14319.003718130312	0.006719047710339819	0.002301699716713881	0.01451841359773371	0.0047804532577903685	0.006905099150141643	14318.99840651558	0.00671904773505545	2499015712	150	0.002301699716713881	0.01451841359773371	0.0047804532577903685	0.006905099150141643	14319.009029745042	0.006719047685627278	9	COMPLETE
