number	value	datetime_start	datetime_complete	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.8103932584269663	2020-04-07 14:10:16.456979	2020-04-07 14:11:40.194203	4.478430714799534	0.025631968191417755	64	512	0.0035920309039115627	0.15295355632545404	0.21254681647940074	0.8103932584269663	0.4602059925093633	0.6100187265917603	7.285112359550562	0.39013544209949175	0.21254681647940074	0.8103932584269663	0.4602059925093633	0.6100187265917603	7.285112359550562	0.39013544209949175	1745730077	600.0	0.21254681647940074	0.8103932584269663	0.4602059925093633	0.6100187265917603	7.285112359550562	0.39013544209949175	0	COMPLETE
1	0.7602996254681648	2020-04-07 14:11:40.244225	2020-04-07 14:13:20.718258	4.293570005248451	0.04105147170086741	128	512	0.022048982694783	0.18331030269906845	0.19147940074906367	0.7602996254681648	0.4297752808988764	0.5627340823970037	8.737359550561798	0.3635467492180186	0.19147940074906367	0.7602996254681648	0.4297752808988764	0.5627340823970037	8.737359550561798	0.3635467492180186	880842157	700.0	0.19147940074906367	0.7602996254681648	0.4297752808988764	0.5627340823970037	8.737359550561798	0.3635467492180186	1	COMPLETE
2	0.8136704119850188	2020-04-07 14:13:20.744040	2020-04-07 14:15:33.933095	3.3600948129947614	0.07645991287860805	128	512	0.38722800599683443	0.15313043451104102	0.20037453183520598	0.8136704119850188	0.4756554307116105	0.6198501872659176	7.284644194756554	0.38746703815560085	0.20037453183520598	0.8136704119850188	0.4756554307116105	0.6198501872659176	7.284644194756554	0.38746703815560085	2878149512	900.0	0.20037453183520598	0.8136704119850188	0.4756554307116105	0.6198501872659176	7.284644194756554	0.38746703815560085	2	COMPLETE
3	0.7598314606741573	2020-04-07 14:15:33.969203	2020-04-07 14:17:08.234525	4.017466227565328	0.021828868232661006	128	512	0.05644077555466511	0.18389181661932322	0.1605805243445693	0.7598314606741573	0.39232209737827717	0.5337078651685393	8.781367041198502	0.33669905721167454	0.1605805243445693	0.7598314606741573	0.39232209737827717	0.5337078651685393	8.781367041198502	0.33669905721167454	1848337937	650.0	0.1605805243445693	0.7598314606741573	0.39232209737827717	0.5337078651685393	8.781367041198502	0.33669905721167454	3	COMPLETE
4	0.7406367041198502	2020-04-07 14:17:08.293288	2020-04-07 14:19:36.732893	4.161315525547256	0.023352647562975296	256	512	0.0067200748395226375	0.19773737332445293	0.18305243445692884	0.7406367041198502	0.4035580524344569	0.5332397003745318	9.42930711610487	0.34700893099240876	0.18305243445692884	0.7406367041198502	0.4035580524344569	0.5332397003745318	9.42930711610487	0.34700893099240876	2532121626	900.0	0.18305243445692884	0.7406367041198502	0.4035580524344569	0.5332397003745318	9.42930711610487	0.34700893099240876	4	COMPLETE
5	0.8169475655430711	2020-04-07 14:19:36.759389	2020-04-07 14:21:30.196715	7.453369662004263	0.05701463333124021	64	512	0.005752586465349975	0.15498225997404408	0.1999063670411985	0.8169475655430711	0.4648876404494382	0.6240636704119851	7.369850187265918	0.38570220167515823	0.1999063670411985	0.8169475655430711	0.4648876404494382	0.6240636704119851	7.369850187265918	0.38570220167515823	2704317177	800.0	0.1999063670411985	0.8169475655430711	0.4648876404494382	0.6240636704119851	7.369850187265918	0.38570220167515823	5	COMPLETE
6	0.8085205992509363	2020-04-07 14:21:30.225461	2020-04-07 14:23:24.355777	6.733444549944724	0.014439010141271868	128	128	0.059184386061356405	0.15514723997395696	0.2205056179775281	0.8085205992509363	0.4812734082397004	0.6100187265917603	7.400280898876405	0.3984135016877371	0.2205056179775281	0.8085205992509363	0.4812734082397004	0.6100187265917603	7.400280898876405	0.3984135016877371	1561491736	500.0	0.2205056179775281	0.8085205992509363	0.4812734082397004	0.6100187265917603	7.400280898876405	0.3984135016877371	6	COMPLETE
7	0.8384831460674157	2020-04-07 14:23:24.380199	2020-04-07 14:24:59.212516	6.363514684558899	0.04158729323680422	64	256	0.001509547704665005	0.14169797875171994	0.21769662921348315	0.8384831460674157	0.47425093632958804	0.6451310861423221	6.760767790262173	0.40301872908634256	0.21769662921348315	0.8384831460674157	0.47425093632958804	0.6451310861423221	6.760767790262173	0.40301872908634256	14743135	550.0	0.21769662921348315	0.8384831460674157	0.47425093632958804	0.6451310861423221	6.760767790262173	0.40301872908634256	7	COMPLETE
8	0.7968164794007491	2020-04-07 14:24:59.244345	2020-04-07 14:28:12.939896	2.3452018938976944	0.03274621266544715	256	128	0.12118577773557908	0.15821718140016922	0.2209737827715356	0.7968164794007491	0.48735955056179775	0.62312734082397	7.531601123595506	0.3998444084596121	0.2209737827715356	0.7968164794007491	0.48735955056179775	0.62312734082397	7.531367041198502	0.3998445336039035	1640314655	800.0	0.2209737827715356	0.7968164794007491	0.48735955056179775	0.62312734082397	7.531835205992509	0.3998442861595092	8	COMPLETE
9	0.8010299625468165	2020-04-07 14:28:12.967154	2020-04-07 14:30:41.803932	1.2217545804870764	0.015109716598836177	256	256	0.033467339699786464	0.1526916741728364	0.23174157303370788	0.8010299625468165	0.4859550561797753	0.6217228464419475	7.271535580524344	0.4068752485778827	0.23174157303370788	0.8010299625468165	0.4859550561797753	0.6217228464419475	7.271535580524344	0.4068752485778827	1891377031	800.0	0.23174157303370788	0.8010299625468165	0.4859550561797753	0.6217228464419475	7.271535580524344	0.4068752485778827	9	COMPLETE
10	0.773876404494382	2020-04-07 14:30:41.850671	2020-04-07 14:32:50.163963	8.196959702036619	0.06901908389912734	256	128	0.3024888081099405	0.16871029491299128	0.19382022471910113	0.773876404494382	0.43164794007490637	0.577247191011236	8.029026217228465	0.36818516303293697	0.19382022471910113	0.773876404494382	0.43164794007490637	0.577247191011236	8.029026217228465	0.36818516303293697	1732802890	550.0	0.19382022471910113	0.773876404494382	0.43164794007490637	0.577247191011236	8.029026217228465	0.36818516303293697	10	COMPLETE
