number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	601	651
0	TrialState.COMPLETE	0.14321883852691217	2020-01-06 15:29:20.082018	2020-01-06 16:30:04.602597	450.0	150.0	41.0	0.005178758499751545	900.0	0.31261963515752933	0.01938739376770538	0.14321883852691217	0.06779390934844193	0.09665368271954675	6337.923654390935	0.06044756865212271	0.01938739376770538	0.14321883852691217	0.06779390934844193	0.09665368271954675	6337.920591359773	0.06044756909119029	0.01938739376770538	0.14321883852691217	0.06779390934844193	0.09665368271954675	6337.926717422097	0.060447568214236386	0							0.14188650849858356	0.14262669184765503		
1	TrialState.COMPLETE	0.034732058545797924	2020-01-06 16:30:04.603363	2020-01-06 17:06:14.699341	450.0	350.0	61.0	0.013832399596427087	1000.0	0.7756376051988597	0.018708687440982058	0.034732058545797924	0.027384324834749764	0.03006964117091596	15725.102189565629	0.025243089649361103	0.018708687440982058	0.034732058545797924	0.027384324834749764	0.03006964117091596	15725.095874645893	0.02524309004260527	0.018708687440982058	0.034732058545797924	0.027384324834749764	0.03006964117091596	15725.108504485364	0.0252430892568662	1			0.03580913597733711	0.0351628895184136						
2	TrialState.COMPLETE	0.30532127221220706	2020-01-06 17:06:14.700296	2020-01-06 18:28:59.714619	450.0	250.0	61.0	0.002810752718831225	500.0	0.22211885769910086	0.06634689672933299	0.30532127221220706	0.18151236157610096	0.23224633015709503	4502.723441926346	0.14769690586693915	0.06634689672933299	0.30532127221220706	0.18151236157610096	0.23224633015709503	4502.720802214782	0.14769690624060278	0.06634689672933299	0.30532127221220706	0.18151236157610096	0.23224633015709503	4502.7260816379085	0.14769690549475203	2										
3	TrialState.COMPLETE	0.004382082152974504	2020-01-06 18:28:59.715405	2020-01-06 18:40:25.152281	250.0	450.0	1.0	0.04603959306788153	900.0	0.9505912217589882	0.00017705382436260624	0.004382082152974504	0.0034525495750708213	0.003806657223796034	19271.49139075779	0.002197997929895307	0.00017705382436260624	0.004382082152974504	0.0034525495750708213	0.003806657223796034	19249.835516997166	0.002198044636440668	0.00017705382436260624	0.004382082152974504	0.0034525495750708213	0.003806657223796034	19293.147264518415	0.002197951506866578	3	0.00823300283286119	0.0056657223796034								
4	TrialState.COMPLETE	0.31282191604429566	2020-01-06 18:40:25.153069	2020-01-06 19:40:46.375145	250.0	250.0	51.0	0.0016046301627394293	500.0	0.26573653961442284	0.06019830028328612	0.31282191604429566	0.170856940509915	0.23169907288179242	5386.810793844965	0.14181636298538408	0.06019830028328612	0.31282191604429566	0.170856940509915	0.23169907288179242	5386.806431882565	0.1418163633177077	0.06019830028328612	0.31282191604429566	0.170856940509915	0.23169907288179242	5386.815155807365	0.1418163626540444	4										
5	TrialState.COMPLETE	0.0009295325779036828	2020-01-06 19:40:46.375902	2020-01-06 19:56:07.576448	450.0	50.0	51.0	0.06088170152861017	800.0	1.0031700047935903	0.0003098441926345609	0.0009295325779036828	0.000398371104815864	0.0006196883852691218	20337.967134383853	0.0007404779728724158	0.0003098441926345609	0.0009295325779036828	0.000398371104815864	0.0006196883852691218	20334.685552407933	0.0007405036950672145	0.0003098441926345609	0.0009295325779036828	0.000398371104815864	0.0006196883852691218	20341.248716359773	0.0007404523030755065	5	0.0015049575070821529	0.0011213408876298394								
6	TrialState.COMPLETE	0.061791784702549576	2020-01-06 19:56:07.577443	2020-01-06 20:50:06.187923	350.0	150.0	11.0	0.012874155803874257	600.0	0.46578043847253103	0.005860481586402266	0.061791784702549576	0.029302407932011332	0.041873229461756374	9442.433542847026	0.025828499818394857	0.005860481586402266	0.061791784702549576	0.029302407932011332	0.041873229461756374	9442.42986898017	0.025828502237454264	0.005860481586402266	0.061791784702549576	0.029302407932011332	0.041873229461756374	9442.43721671388	0.025828497419332852	6							0.06289837110481586	0.06228360088133459		
7	TrialState.COMPLETE	0.3494334277620397	2020-01-06 20:50:06.189521	2020-01-06 22:53:21.829986	350.0	450.0	71.0	0.0016819305042814496	700.0	0.2364149443622138	0.07042020774315391	0.3494334277620397	0.21166194523135032	0.27318224740321057	4792.285133380547	0.16483878780425212	0.07042020774315391	0.3494334277620397	0.21166194523135032	0.27318224740321057	4792.2818106704435	0.1648387893180354	0.07042020774315391	0.3494334277620397	0.21166194523135032	0.27318224740321057	4792.288456090651	0.16483878630132057	7										
8	TrialState.COMPLETE	0.006550991501416431	2020-01-06 22:53:21.830926	2020-01-06 23:05:26.730199	250.0	150.0	31.0	0.03963868887262661	1000.0	0.9505637145443142	0.0038509206798866854	0.006550991501416431	0.005178824362606233	0.00597556657223796	19270.747499114732	0.00501413623608391	0.0038509206798866854	0.006550991501416431	0.005178824362606233	0.00597556657223796	19270.742032577902	0.005014136470381993	0.0038509206798866854	0.006550991501416431	0.005178824362606233	0.00597556657223796	19270.752965651558	0.005014136002006627	8	0.007436260623229462	0.006846081208687441								
