number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	201	251	301	351	751	801	1301	1351
0	TrialState.COMPLETE	0.3814034466477809	2020-01-05 21:21:10.893474	2020-01-06 10:00:19.162720	250.0	2	41.0	0.0021698036901346145	1100.0	0.19416927453319927	0.14381688700031475	0.3814034466477809	0.25450503619767073	0.31073929807994966	3935.7823418319167	0.2215474871356675	0.14381688700031475	0.3814034466477809	0.25450503619767073	0.31073929807994966	3935.781643452943	0.22154748734518434	0.14381688700031475	0.3814034466477809	0.25450503619767073	0.31073929807994966	3935.7830402108907	0.22154748692718726	0							0.3799464412181303	0.3807177970338277		
1	TrialState.COMPLETE	0.023725212464589234	2020-01-06 10:00:19.163546	2020-01-06 11:19:24.079199	350.0	1	1.0	0.0025155564834439237	1200.0	0.7068131263258685	0.006677458518818292	0.023725212464589234	0.012798462161068393	0.01689599352488871	14328.44143312424	0.012597784861727699	0.006677458518818292	0.023725212464589234	0.012798462161068393	0.01689599352488871	14328.43583063537	0.012597785454180175	0.006677458518818292	0.023725212464589234	0.012798462161068393	0.01689599352488871	14328.447035613111	0.012597784271598944	1			0.022592067988668554	0.023253068932955617						
2	TrialState.COMPLETE	0.025830185709789108	2020-01-06 11:19:24.080208	2020-01-06 11:54:08.079183	50.0	1	41.0	0.011802797081321235	600.0	0.2781462799289664	0.004642744727730563	0.025830185709789108	0.010839628580421782	0.015324992130941139	5638.445359222537	0.013246815916925444	0.004642744727730563	0.025830185709789108	0.010839628580421782	0.015324992130941139	5638.444228045326	0.013246816254392134	0.004642744727730563	0.025830185709789108	0.010839628580421782	0.015324992130941139	5638.446490399748	0.013246815580330418	2					0.024812828814245246	0.025385092067988668				
3	TrialState.COMPLETE	0.0002213172804532578	2020-01-06 11:54:08.080665	2020-01-06 12:02:49.669111	50.0	1	21.0	0.05748751667631333	1000.0	1.0134465426627892	0.0	0.0002213172804532578	4.426345609065156e-05	8.852691218130312e-05	20546.065598441928	0.000270321278641596	0.0	0.0002213172804532578	4.426345609065156e-05	8.852691218130312e-05	20546.060154036826	0.00027032131513900416	0.0	0.0002213172804532578	4.426345609065156e-05	8.852691218130312e-05	20546.071042847027	0.0002703212421525456	3	0.0002655807365439094	0.00023607176581680832								
4	TrialState.COMPLETE	0.0001327903682719547	2020-01-06 12:02:49.670102	2020-01-06 13:45:25.685770	250.0	1	41.0	0.08181775328801703	500.0	1.0529940893450576	0.0	0.0001327903682719547	0.0	0.0001327903682719547	21347.781847556656	0.00024190861096281174	0.0	0.0001327903682719547	0.0	0.0001327903682719547	21347.775008852692	0.00024190864118315566	0.0	0.0001327903682719547	0.0	0.0001327903682719547	21347.788686260625	0.00024190858074596398	4	8.852691218130312e-05	0.00011803588290840416								
5	TrialState.COMPLETE	0.020361189801699715	2020-01-06 13:45:25.686578	2020-01-06 14:57:28.435254	150.0	1	31.0	0.005531284855475098	1800.0	0.5381331537637142	0.003743423715095103	0.020361189801699715	0.009232092270335897	0.013380210441116957	10908.605359672198	0.010209000749954364	0.003743423715095103	0.020361189801699715	0.009232092270335897	0.013380210441116957	10908.602235936867	0.01020900113265454	0.003743423715095103	0.020361189801699715	0.009232092270335897	0.013380210441116957	10908.608483407528	0.010209000368047389	5			0.020007082152974504	0.02021364494806421						
6	TrialState.COMPLETE	0.005311614730878187	2020-01-06 14:57:28.436285	2020-01-06 15:39:46.892377	150.0	2	51.0	0.02583912781520328	1000.0	0.7167603931007793	0.0010180594900849858	0.005311614730878187	0.0029656515580736543	0.0037623937677053825	14530.079010269123	0.002801823786002486	0.0010180594900849858	0.005311614730878187	0.0029656515580736543	0.0037623937677053825	14530.07507082153	0.0028018267047969854	0.0010180594900849858	0.005311614730878187	0.0029656515580736543	0.0037623937677053825	14530.082949716714	0.002801820899161478	6	0.004072237960339943	0.004898489140698773								
7	TrialState.COMPLETE	0.3951536094558953	2020-01-06 15:39:46.893309	2020-01-07 01:52:39.111383	150.0	2	61.0	0.0012981679153410029	1700.0	0.27375962300952533	0.18566230340920192	0.3951536094558953	0.2899042688287584	0.33866122887564715	5548.697900385855	0.25470044659263974	0.18566230340920192	0.3951536094558953	0.2899042688287584	0.33866122887564715	5548.696951011038	0.254700461712818	0.18566230340920192	0.3951536094558953	0.2899042688287584	0.33866122887564715	5548.698849760672	0.254700432475125	7									0.39359065155807366	0.39440004046944555
