number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201
0	TrialState.COMPLETE	0.0006639518413597734	2019-12-31 15:18:36.339472	2019-12-31 15:49:55.686449	100.0	21.0	0.014965923214343901	1500.0	0.9779992247492293	0.0	0.0006639518413597734	0.0001327903682719547	0.00017705382436260624	19827.073521600567	0.00042143908689266636	0.0	0.0006639518413597734	0.0001327903682719547	0.00017705382436260624	19827.06568696884	0.0004214392090977645	0.0	0.0006639518413597734	0.0001327903682719547	0.00017705382436260624	19827.081356232295	0.0004214389647299604	0	0.0004426345609065156	0.0005901794145420207		
1	TrialState.COMPLETE	8.852691218130312e-05	2019-12-31 15:49:55.687378	2019-12-31 16:18:05.415939	50.0	81.0	0.0017424547465732213	600.0	1.0083160974842487	0.0	8.852691218130312e-05	0.0	0.0	20441.9663819051	0.0001950424255930431	0.0	8.852691218130312e-05	0.0	0.0	20441.962464589236	0.0001950424611707471	0.0	8.852691218130312e-05	0.0	0.0	20441.970299220964	0.00019504239002775698	1	0.00017705382436260624	0.00011803588290840416		
2	TrialState.COMPLETE	0.0007524787535410764	2019-12-31 16:18:05.416715	2019-12-31 17:02:03.329602	200.0	21.0	0.005734968979656445	1400.0	0.9633776970091745	0.0	0.0007524787535410764	0.0001327903682719547	0.0003098441926345609	19530.857803647308	0.00042561643473548684	0.0	0.0007524787535410764	0.0001327903682719547	0.0003098441926345609	19530.85260269122	0.0004256169646843686	0.0	0.0007524787535410764	0.0001327903682719547	0.0003098441926345609	19530.863004603398	0.00042561590596965136	2	0.0004426345609065156	0.0006491973559962229		
3	TrialState.COMPLETE	0.004745042492917847	2019-12-31 17:02:03.330460	2019-12-31 17:50:22.867581	150.0	11.0	0.07661467902774505	1600.0	0.8985173718492551	0.0009560906515580737	0.004745042492917847	0.0020538243626062325	0.0028328611898017	18214.962163597735	0.002407418277034738	0.0009560906515580737	0.004745042492917847	0.0020538243626062325	0.0028328611898017	18214.95828611898	0.002407418320827487	0.0009560906515580737	0.004745042492917847	0.0020538243626062325	0.0028328611898017	18214.96604107649	0.0024074182332547074	3		0.005429650613786591	0.005001770538243626	
4	TrialState.COMPLETE	0.0002655807365439094	2019-12-31 17:50:22.868479	2019-12-31 18:18:13.867280	100.0	11.0	0.003736940135704588	1500.0	0.9969829230537604	0.0001327903682719547	0.0002655807365439094	0.00017705382436260624	0.00017705382436260624	20211.969236898018	0.0003793211116712478	0.0001327903682719547	0.0002655807365439094	0.00017705382436260624	0.00017705382436260624	20211.96476628895	0.0003793211878398386	0.0001327903682719547	0.0002655807365439094	0.00017705382436260624	0.00017705382436260624	20211.97370750708	0.00037932103553492234	4	0.00017705382436260624	0.00023607176581680832		
5	TrialState.COMPLETE	8.852691218130312e-05	2019-12-31 18:18:13.868197	2019-12-31 18:50:00.256168	100.0	91.0	0.0028283423272852507	1400.0	0.9996991475079894	0.0	8.852691218130312e-05	0.0	0.0	20267.361034879603	0.0002246816167474547	0.0	8.852691218130312e-05	0.0	0.0	20267.35596671388	0.00022468164726622747	0.0	8.852691218130312e-05	0.0	0.0	20267.366103045326	0.00022468158623350598	5	0.00017705382436260624	0.00011803588290840416		
6	TrialState.COMPLETE	0.006403446647780925	2019-12-31 18:50:00.256941	2019-12-31 20:04:47.041611	200.0	11.0	0.02476198454886162	1900.0	0.9074036888407028	0.0017410292728989613	0.006403446647780925	0.0032754957507082154	0.004219782813975449	18395.44316572238	0.003539624712090694	0.0017410292728989613	0.006403446647780925	0.0032754957507082154	0.004219782813975449	18395.437027856467	0.0035396247670136903	0.0017410292728989613	0.006403446647780925	0.0032754957507082154	0.004219782813975449	18395.44930358829	0.0035396246571790164	6			0.005709985835694051	0.006126062322946176
7	TrialState.COMPLETE	0.0003098441926345609	2019-12-31 20:04:47.042409	2019-12-31 20:46:25.989972	200.0	11.0	0.002519074346188444	500.0	0.9611681027395014	0.0	0.0003098441926345609	0.0001327903682719547	0.0001327903682719547	19485.728443696884	0.0003321420295923096	0.0	0.0003098441926345609	0.0001327903682719547	0.0001327903682719547	19485.72392882436	0.0003321420788270947	0.0	0.0003098441926345609	0.0001327903682719547	0.0001327903682719547	19485.732958569406	0.0003321419803699695	7	8.852691218130312e-05	0.00023607176581680832		
8	TrialState.COMPLETE	0.0001327903682719547	2019-12-31 20:46:25.990972	2019-12-31 21:11:43.705547	50.0	11.0	0.0026870126602880815	1000.0	0.9961265328455811	0.0	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20194.908994334277	0.00022410889054044837	0.0	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20194.90536473088	0.00022410916802142526	0.0	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20194.91262393768	0.0002241086134897063	8	0.0002655807365439094	0.00017705382436260624		
9	TrialState.COMPLETE	0.001106586402266289	2019-12-31 21:11:43.706360	2019-12-31 21:58:14.006798	200.0	91.0	0.03870638779497934	600.0	0.9690056450298845	0.0003541076487252125	0.001106586402266289	0.0006639518413597734	0.0009295325779036828	19645.131728045326	0.0008988022770799489	0.0003541076487252125	0.001106586402266289	0.0006639518413597734	0.0009295325779036828	19645.120440864022	0.000898802444639653	0.0003541076487252125	0.001106586402266289	0.0006639518413597734	0.0009295325779036828	19645.14301522663	0.0008988021095929086	9	0.0002655807365439094	0.0008262511803588291		
10	TrialState.COMPLETE	0.0004868980169971671	2019-12-31 21:58:14.007564	2019-12-31 22:44:34.630672	200.0	81.0	0.01680306562432213	700.0	0.9687758514636374	8.852691218130312e-05	0.0004868980169971671	8.852691218130312e-05	0.00017705382436260624	19640.208945644477	0.0004156993823513441	8.852691218130312e-05	0.0004868980169971671	8.852691218130312e-05	0.00017705382436260624	19640.199583923513	0.00041569963606895045	8.852691218130312e-05	0.0004868980169971671	8.852691218130312e-05	0.00017705382436260624	19640.218307365438	0.0004156991289200813	10	0.0006196883852691218	0.0005311614730878187		
11	TrialState.COMPLETE	0.0001327903682719547	2019-12-31 22:44:34.631412	2019-12-31 23:16:12.901435	100.0	61.0	0.006363194166870625	1700.0	0.9869373584235469	0.0	0.0001327903682719547	0.0	4.426345609065156e-05	20008.281626239375	0.00022254867408931004	0.0	0.0001327903682719547	0.0	4.426345609065156e-05	20008.276026912183	0.00022254873092820957	0.0	0.0001327903682719547	0.0	4.426345609065156e-05	20008.28722556657	0.0002225486172748556	11	8.852691218130312e-05	0.00011803588290840416		
12	TrialState.COMPLETE	0.0001327903682719547	2019-12-31 23:16:12.902213	2019-12-31 23:44:47.146387	100.0	11.0	0.0011143892061293973	1300.0	0.9801612222948539	0.0	0.0001327903682719547	0.0	0.0	19871.078722556656	0.0002302784078959418	0.0	0.0001327903682719547	0.0	0.0	19871.07573477337	0.00023027852078904833	0.0	0.0001327903682719547	0.0	0.0	19871.081710339942	0.0002302782951346256	12	8.852691218130312e-05	0.00011803588290840416		
13	TrialState.COMPLETE	0.0004426345609065156	2019-12-31 23:44:47.147216	2020-01-01 00:22:33.982979	150.0	41.0	0.02007691613635093	1800.0	0.9615855333203178	8.852691218130312e-05	0.0004426345609065156	0.0002655807365439094	0.0003541076487252125	19494.17481851983	0.0004920424789765777	8.852691218130312e-05	0.0004426345609065156	0.0002655807365439094	0.0003541076487252125	19494.166165014165	0.0004920425828122676	8.852691218130312e-05	0.0004426345609065156	0.0002655807365439094	0.0003541076487252125	19494.183472025496	0.000492042375173263	13	0.00017705382436260624	0.0003541076487252125		
14	TrialState.COMPLETE	0.0013721671388101982	2020-01-01 00:22:33.983981	2020-01-01 01:09:07.799032	200.0	91.0	0.052546624528674375	1800.0	0.9609672810528828	0.00017705382436260624	0.0013721671388101982	0.0006639518413597734	0.0008410056657223796	19481.719015580737	0.0007650512973144981	0.00017705382436260624	0.0013721671388101982	0.0006639518413597734	0.0008410056657223796	19481.707374291786	0.0007650521269140441	0.00017705382436260624	0.0013721671388101982	0.0006639518413597734	0.0008410056657223796	19481.730656869688	0.0007650504703992914	14	0.0002655807365439094	0.0010033050047214354		
15	TrialState.COMPLETE	0.0004868980169971671	2020-01-01 01:09:07.799717	2020-01-01 01:46:58.040061	150.0	61.0	0.025619637973504583	800.0	0.962234472627186	8.852691218130312e-05	0.0004868980169971671	0.00017705382436260624	0.00017705382436260624	19507.257502655808	0.0004740537859485908	8.852691218130312e-05	0.0004868980169971671	0.00017705382436260624	0.00017705382436260624	19507.2481851983	0.0004740541209642707	8.852691218130312e-05	0.0004868980169971671	0.00017705382436260624	0.00017705382436260624	19507.266820113313	0.0004740534513956012	15	8.852691218130312e-05	0.0003541076487252125		
16	TrialState.COMPLETE	0.0004426345609065156	2020-01-01 01:46:58.040846	2020-01-01 02:28:47.531667	200.0	11.0	0.0036777571234254502	1800.0	0.9682914421109297	0.0001327903682719547	0.0004426345609065156	0.0002213172804532578	0.000398371104815864	19630.005621458924	0.0005160324576651312	0.0001327903682719547	0.0004426345609065156	0.0002213172804532578	0.000398371104815864	19630.000354107648	0.0005160326271550135	0.0001327903682719547	0.0004426345609065156	0.0002213172804532578	0.000398371104815864	19630.010888810197	0.0005160322883238022	16	0.0003541076487252125	0.00041312559017941453		
17	TrialState.COMPLETE	0.0010623229461756375	2020-01-01 02:28:47.532417	2020-01-01 03:07:05.812136	150.0	81.0	0.05775322347468184	1800.0	0.9567863438312543	0.0004426345609065156	0.0010623229461756375	0.0006196883852691218	0.0008410056657223796	19397.02199893768	0.0009166041050741404	0.0004426345609065156	0.0010623229461756375	0.0006196883852691218	0.0008410056657223796	19397.00849858357	0.0009166049528134038	0.0004426345609065156	0.0010623229461756375	0.0006196883852691218	0.0008410056657223796	19397.035499291786	0.0009166032593251743	17	0.0005311614730878187	0.0008852691218130312		
18	TrialState.COMPLETE	0.004567988668555241	2020-01-01 03:07:05.812926	2020-01-01 03:56:27.434993	150.0	11.0	0.07199535332139576	1400.0	0.8818193815429111	0.0012393767705382436	0.004567988668555241	0.002301699716713881	0.0029036827195467424	17876.68996104816	0.002610683511660882	0.0012393767705382436	0.004567988668555241	0.002301699716713881	0.0029036827195467424	17876.685941926346	0.0026106835572546542	0.0012393767705382436	0.004567988668555241	0.002301699716713881	0.0029036827195467424	17876.69398016997	0.0026106834660808054	18		0.004898489140698773	0.004691926345609066	
19	TrialState.COMPLETE	0.0002655807365439094	2020-01-01 03:56:27.435708	2020-01-01 04:33:55.033690	150.0	31.0	0.009877936371039016	1700.0	0.9727660684302399	0.0	0.0002655807365439094	0.0	8.852691218130312e-05	19720.897928470255	0.0002588957447874387	0.0	0.0002655807365439094	0.0	8.852691218130312e-05	19720.892174220964	0.00025889577441507035	0.0	0.0002655807365439094	0.0	8.852691218130312e-05	19720.903682719545	0.00025889571516325493	19	0.0003541076487252125	0.0002950897072710104		
20	TrialState.COMPLETE	0.0004868980169971671	2020-01-01 04:33:55.034476	2020-01-01 05:02:29.165664	50.0	51.0	0.027738712409502257	1500.0	0.9967247476269816	0.0	0.0004868980169971671	8.852691218130312e-05	0.00017705382436260624	20206.586911296035	0.00032340615311277196	0.0	0.0004868980169971671	8.852691218130312e-05	0.00017705382436260624	20206.57732825779	0.00032340626586778106	0.0	0.0004868980169971671	8.852691218130312e-05	0.00017705382436260624	20206.596494334277	0.0003234060404109364	20	0.0002655807365439094	0.00041312559017941453		
21	TrialState.COMPLETE	0.004072237960339943	2020-01-01 05:02:29.166384	2020-01-01 06:01:14.382699	200.0	11.0	0.05471456473575048	600.0	0.8824879690797788	0.0012039660056657223	0.004072237960339943	0.002337110481586402	0.0030807365439093483	17889.914978753543	0.0025857340999686576	0.0012039660056657223	0.004072237960339943	0.002337110481586402	0.0030807365439093483	17889.910871104817	0.0025857341336149213	0.0012039660056657223	0.004072237960339943	0.002337110481586402	0.0030807365439093483	17889.919086402268	0.0025857340663296142	21		0.004662417374881964	0.0042935552407932015	
22	TrialState.COMPLETE	0.0004426345609065156	2020-01-01 06:01:14.383647	2020-01-01 06:39:12.094446	150.0	41.0	0.001743911767658399	2000.0	1.0098952908592995	0.0	0.0004426345609065156	0.0	4.426345609065156e-05	20473.8377523017	0.00027880033006835215	0.0	0.0004426345609065156	0.0	4.426345609065156e-05	20473.83410056657	0.0002788003497108491	0.0	0.0004426345609065156	0.0	4.426345609065156e-05	20473.841404036826	0.0002788003104295022	22	0.0003541076487252125	0.00041312559017941453		
23	TrialState.COMPLETE	0.0006639518413597734	2020-01-01 06:39:12.095372	2020-01-01 07:04:27.135602	50.0	11.0	0.011148464558687326	2000.0	0.9850212682272325	0.0	0.0006639518413597734	0.00017705382436260624	0.000398371104815864	19969.679289128897	0.0004157237407529411	0.0	0.0006639518413597734	0.00017705382436260624	0.000398371104815864	19969.669086402268	0.00041572399311143294	0.0	0.0006639518413597734	0.00017705382436260624	0.000398371104815864	19969.689491855523	0.0004157234886694239	23	0.0004426345609065156	0.0005901794145420207		
24	TrialState.COMPLETE	0.0	2020-01-01 07:04:27.136323	2020-01-01 07:42:33.714846	150.0	71.0	0.0115675787131064	1500.0	0.9757523268742259	0.0	0.0	0.0	0.0	19781.56044174929	0.0002234180495231428	0.0	0.0	0.0	0.0	19781.55267351275	0.00022341818943161638	0.0	0.0	0.0	0.0	19781.568209985835	0.0002234179097159087	24	0.0	0.0		
25	TrialState.COMPLETE	0.0006639518413597734	2020-01-01 07:42:33.715896	2020-01-01 08:20:13.576079	150.0	21.0	0.0040740529850222	1600.0	0.9701647637295248	0.00017705382436260624	0.0006639518413597734	0.00017705382436260624	0.0002655807365439094	19668.12714677762	0.000468593307269533	0.00017705382436260624	0.0006639518413597734	0.00017705382436260624	0.0002655807365439094	19668.12349504249	0.0004685934807710639	0.00017705382436260624	0.0006639518413597734	0.00017705382436260624	0.0002655807365439094	19668.13079851275	0.00046859313395934666	25	0.0004426345609065156	0.0005901794145420207		
