number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.39571529745042494	2020-05-08 21:19:50.205830	2020-05-08 23:19:27.785389	16	0.3098720421603543	512	13	0.0012205082982589324	256	0.3877925950857869	0.12960339943342777	0.39571529745042494	0.3401203966005666	0.37535410764872523	7859.810640934844	0.2380575176418817	0.12960339943342777	0.39571529745042494	0.3401203966005666	0.37535410764872523	7859.810198300283	0.238057517643406		2287592934.0	400.0	0.12960339943342777	0.39571529745042494	0.3401203966005666	0.37535410764872523	7859.811083569405	0.23805751764035757	0		COMPLETE
1	0.41041076487252126	2020-05-08 23:19:27.834101	2020-05-09 00:47:34.632031	32	0.11434891894813984	128	45	0.008408331409398971	128	0.20019680525383374	0.12942634560906516	0.41041076487252126	0.38473796033994334	0.3967776203966006	4057.1466890934844	0.2601076161168427	0.12942634560906516	0.41041076487252126	0.38473796033994334	0.3967776203966006	4057.146423512748	0.26010761611906497		806937218.0	200.0	0.12942634560906516	0.41041076487252126	0.38473796033994334	0.3967776203966006	4057.146954674221	0.2601076161146207	1		COMPLETE
2	0.3944759206798867	2020-05-09 00:47:34.686613	2020-05-09 01:53:26.432380	128	0.28391230697457953	32	33	0.005960160633935983	256	0.3895850587395514	0.3696883852691218	0.3944759206798867	0.38402974504249293	0.38757082152974504	7895.815155807365	0.3799751592943159	0.3696883852691218	0.3944759206798867	0.38402974504249293	0.38757082152974504	7895.81409348442	0.3799751593523464		164980294.0	200.0	0.3696883852691218	0.3944759206798867	0.38402974504249293	0.38757082152974504	7895.816218130311	0.379975159236322	2		COMPLETE
3	0.41377478753541075	2020-05-09 01:53:26.472476	2020-05-09 03:14:15.865650	64	0.14334527861356397	128	8	0.0038605801395422165	128	0.29577814575376676	0.2776203966005666	0.41377478753541075	0.3689801699716714	0.3872167138810198	5994.42289305949	0.3308049443312105	0.2776203966005666	0.41377478753541075	0.3689801699716714	0.3872167138810198	5994.42245042493	0.3308049443360457		160307695.0	250.0	0.2776203966005666	0.41377478753541075	0.3689801699716714	0.3872167138810198	5994.423335694051	0.3308049443263761	3		COMPLETE
4	0.41041076487252126	2020-05-09 03:14:15.912524	2020-05-09 03:52:31.327403	32	0.48256193184372526	128	12	0.007453750774524019	256	0.21898400800229398	0.07507082152974505	0.41041076487252126	0.37889518413597734	0.3951841359773371	4437.73052407932	0.22975926512567155	0.07507082152974505	0.41041076487252126	0.37889518413597734	0.3951841359773371	4437.730169971672	0.22975926512769287		2855579441.0	200.0	0.07507082152974505	0.41041076487252126	0.37889518413597734	0.3951841359773371	4437.730878186969	0.22975926512365047	4		COMPLETE
5	0.38048866855524077	2020-05-09 03:52:31.366969	2020-05-09 07:32:22.762748	64	0.2617061882749933	128	50	0.09909658609634141	256	0.4452681269733822	0.0010623229461756375	0.38048866855524077	0.21193342776203966	0.34861898016997167	9025.744865439094	0.12868969183135195	0.38190509915014165	0.38544617563739375	0.38332152974504247	0.38420679886685555	9024.721671388103	0.3837866152686451		921494551.0	300.0	0.0010623229461756375	0.35871104815864024	0.061791784702549576	0.2131728045325779	9026.768059490085	0.08056182477210089	5		COMPLETE
6	0.4185552407932011	2020-05-09 07:32:22.796901	2020-05-09 09:18:23.249633	16	0.18246182837988234	512	11	0.052486430979472136	512	0.16998561284795513	0.25194759206798867	0.4185552407932011	0.36880311614730876	0.39429886685552407	3445.0646246458923	0.31865282730806005	0.255842776203966	0.4185552407932011	0.369157223796034	0.39429886685552407	3445.060552407932	0.32026162832373145		3531846952.0	450.0	0.25194759206798867	0.4185552407932011	0.36809490084985835	0.3939447592067989	3445.0686968838527	0.31798058481572206	6		COMPLETE
7	0.39270538243626063	2020-05-09 09:18:23.305410	2020-05-09 10:05:16.568572	16	0.38607532717420817	64	18	0.04918506629200737	256	0.24358598047886595	0.000708215297450425	0.39270538243626063	0.3351628895184136	0.3728753541076487	4937.097645184136	0.19362885723810294	0.33888101983002833	0.3932365439093484	0.3604815864022663	0.375885269121813	4936.7117563739375	0.3563833549787497		1747805285.0	300.0	0.000708215297450425	0.3918201133144476	0.25690509915014165	0.35056657223796034	4937.483533994335	0.14051751414276395	7		COMPLETE
8	0.4259915014164306	2020-05-09 10:05:16.615921	2020-05-09 11:16:16.130531	32	0.4590285337817651	16	17	0.002062609556688845	128	0.15295202598458776	0.0008852691218130312	0.4259915014164306	0.3886331444759207	0.40208923512747874	3099.618271954674	0.22450348611711568	0.14341359773371104	0.4259915014164306	0.3886331444759207	0.40208923512747874	3099.542492917847	0.27339394884464263		2000013725.0	300.0	0.0008852691218130312	0.4259915014164306	0.38774787535410765	0.40208923512747874	3099.6940509915016	0.20076942093445713	8		COMPLETE
9	0.40793201133144474	2020-05-09 11:16:16.183558	2020-05-09 12:20:21.885591	128	0.2837374876996211	16	24	0.027979620412183638	128	0.2916442090423012	0.311614730878187	0.40793201133144474	0.3827903682719547	0.39359065155807366	5911.117563739377	0.35699642112643215	0.33321529745042494	0.40793201133144474	0.3827903682719547	0.39359065155807366	5911.104638810199	0.36452120879064226		347694324.0	200.0	0.311614730878187	0.40793201133144474	0.3827903682719547	0.39359065155807366	5911.130488668555	0.35327829068616007	9		COMPLETE
