number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.003013258336681398	2020-05-23 12:08:12.170214	2020-05-23 15:46:35.908973	8.817393278874041	256	256	15	0.030402140806644686	1024	0.5667169461293898	0.0001004419445560466	0.003013258336681398	0.0013057452792286058	0.0019083969465648854	33929.32573322619	0.0017002617495953942	0.0044194455604660505	0.01094817195660908	0.006930494174367216	0.008738449176376055	32590.7592406589	0.007176587544452974	1221947757	70	0.0001004419445560466	0.0022097227802330252	0.001004419445560466	0.001506629168340699	35267.89222579349	0.0012892489963557405	0	COMPLETE
1	0.10094415427882684	2020-05-23 15:46:36.011766	2020-05-23 16:31:00.085392	2.0111015933871474	128	128	7	0.006309238843392257	4096	0.03790493990930088	0.02430695058256328	0.10094415427882684	0.04670550421856167	0.0652872639614303	2082.723031337887	0.05215413918984092	0.02430695058256328	0.10094415427882684	0.04670550421856167	0.0652872639614303	2082.722378465247	0.05215413983860774	3954613064	60	0.02430695058256328	0.10094415427882684	0.04670550421856167	0.0652872639614303	2082.7236842105262	0.05215413854297325	1	COMPLETE
2	0.003113700281237445	2020-05-23 16:31:00.185268	2020-05-23 18:54:14.920489	8.50421229738888	256	128	19	0.004356437099553912	2048	0.2672920590221078	0.0	0.003113700281237445	0.0002008838891120932	0.0008035355564483728	15768.105966251507	0.0020545636181895453	0.0	0.003113700281237445	0.0002008838891120932	0.0008035355564483728	15768.053736440337	0.002054564036289857	1231315993	80	0.0	0.003113700281237445	0.0002008838891120932	0.0008035355564483728	15768.158196062675	0.002054563200216232	2	COMPLETE
3	0.0012053033346725592	2020-05-23 18:54:14.990931	2020-05-23 20:21:44.227305	9.635221378278958	256	64	11	0.026327534567999775	2048	0.5901506864596507	0.0002008838891120932	0.0012053033346725592	0.0002008838891120932	0.0003013258336681398	35684.406588991566	0.0010254182959061407	0.0002008838891120932	0.002008838891120932	0.0002008838891120932	0.0004017677782241864	35184.566894335076	0.0011283356664209376	1037345008	60	0.0002008838891120932	0.0012053033346725592	0.0002008838891120932	0.0003013258336681398	36184.24628364805	0.0009778205011737623	3	COMPLETE
4	0.0008035355564483728	2020-05-23 20:21:44.296792	2020-05-23 22:30:06.084280	7.793857422378816	128	256	34	0.052209148070469086	4096	0.5305337331227049	0.0001004419445560466	0.0008035355564483728	0.0004017677782241864	0.0004017677782241864	32225.18963439132	0.0009737049488559083	0.0001004419445560466	0.0008035355564483728	0.0004017677782241864	0.0004017677782241864	32168.812073121735	0.0009748762889785378	1316466527	80	0.0001004419445560466	0.0008035355564483728	0.0004017677782241864	0.0004017677782241864	32281.567195660908	0.000972576909711215	4	COMPLETE
5	0.020891924467657693	2020-05-23 22:30:06.156764	2020-05-23 23:33:10.628332	6.457061758188102	64	64	42	0.04506620026552796	8192	0.277472151435022	0.018983527521092808	0.020891924467657693	0.019686621132985135	0.019987946966653274	16505.388308557653	0.020404555895352786	0.018983527521092808	0.020891924467657693	0.019686621132985135	0.019987946966653274	16505.378063479307	0.020404556099539808	2310738984	80	0.018983527521092808	0.020891924467657693	0.019686621132985135	0.019987946966653274	16505.398553635998	0.020404555691258944	5	COMPLETE
6	0.02782241864202491	2020-05-23 23:33:10.717074	2020-05-24 00:34:12.002738	4.076935551155991	128	256	4	0.0011035347084023825	4096	0.22183844154857527	0.02249899558055444	0.02782241864202491	0.02400562474889514	0.025010044194455603	13476.330152671755	0.024982257342240362	0.02249899558055444	0.02782241864202491	0.02400562474889514	0.025010044194455603	13476.187625552431	0.024982261510756748	2630042373	70	0.02249899558055444	0.02782241864202491	0.02400562474889514	0.025010044194455603	13476.47267979108	0.02498225318899136	6	COMPLETE
7	0.013559662515066292	2020-05-24 00:34:12.075166	2020-05-24 02:08:23.395037	8.78713022789106	64	256	32	0.013515840011815458	4096	0.2590539684749178	0.008035355564483728	0.013559662515066292	0.009943752511048613	0.010546404178384894	15513.86771795902	0.010983743640086271	0.008035355564483728	0.013559662515066292	0.009943752511048613	0.010546404178384894	15513.798212133386	0.010983744893614703	895169364	70	0.008035355564483728	0.013559662515066292	0.009943752511048613	0.010546404178384894	15513.937223784653	0.01098374238859027	7	COMPLETE
8	0.003013258336681398	2020-05-24 02:08:23.460287	2020-05-24 03:40:26.518198	5.979778634428614	64	128	36	0.014911275919434534	4096	0.27314802620943013	0.0001004419445560466	0.003013258336681398	0.0004017677782241864	0.0007030936118923262	16585.414423463237	0.0020173282977910827	0.0001004419445560466	0.003013258336681398	0.0004017677782241864	0.0007030936118923262	16585.39172358377	0.002017331383189951	1752492773	90	0.0001004419445560466	0.003013258336681398	0.0004017677782241864	0.0007030936118923262	16585.43712334271	0.0020173252298914257	8	COMPLETE
9	0.03344716753716352	2020-05-24 03:40:26.589372	2020-05-24 05:00:09.400389	3.9636432008535936	256	128	38	0.0010349841756267476	8192	0.11509485819778625	0.013760546404178385	0.03344716753716352	0.019586179188429087	0.024206508638007232	6679.047358376858	0.02252217323060858	0.013760546404178385	0.03344716753716352	0.019586179188429087	0.024206508638007232	6679.021193250302	0.02252217695362506	2840116181	60	0.013760546404178385	0.03344716753716352	0.019586179188429087	0.024206508638007232	6679.073523503415	0.02252216952496158	9	COMPLETE
