number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.020007082152974504	2019-12-21 12:09:22.435745	2019-12-21 12:55:25.482372	0.5580892288491066	24.54260228540801	250.0	2	60.0	0.002248609900734976	600.0	1.0791720354871586	0.003186968838526912	0.020007082152974504	0.005842776203966006	0.009737960339943343	21877.88137393768	0.008624334589754385	0.003186968838526912	0.020007082152974504	0.005842776203966006	0.009737960339943343	21877.79550283286	0.008631728361868408	0.003186968838526912	0.020007082152974504	0.005842776203966006	0.009737960339943343	21877.96724504249	0.008618255928110306	0
1	TrialState.COMPLETE	0.051699716713881017	2019-12-21 12:55:25.483224	2019-12-21 13:47:27.449245	0.7444395528892581	16.30032262182616	350.0	1	70.0	0.04435799931190176	700.0	1.0971965187247081	0.000708215297450425	0.051699716713881017	0.04284702549575071	0.0483356940509915	22244.54089943343	0.02318040408461535	0.000708215297450425	0.051699716713881017	0.04284702549575071	0.0483356940509915	22244.529390934844	0.023180420723292683	0.000708215297450425	0.051699716713881017	0.04284702549575071	0.0483356940509915	22244.552407932013	0.02318038766896523	1
2	TrialState.COMPLETE	0.018767705382436262	2019-12-21 13:47:27.450335	2019-12-21 14:36:53.902171	0.45551464338435654	27.903219592310183	350.0	2	50.0	0.001776586905593913	700.0	1.1103531025318913	0.0033640226628895184	0.018767705382436262	0.0060198300283286115	0.01080028328611898	22510.10959631728	0.008673939087870135	0.0033640226628895184	0.018767705382436262	0.0060198300283286115	0.01080028328611898	22510.038066572237	0.008675793291120133	0.0033640226628895184	0.018767705382436262	0.0060198300283286115	0.01080028328611898	22510.18112606232	0.00867229959119116	2
3	TrialState.COMPLETE	0.11296033994334277	2019-12-21 14:36:53.903238	2019-12-21 15:23:19.132208	0.1937690053263021	2.7465391045843344	50.0	2	20.0	0.0019683205356745125	900.0	0.358473968908069	0.01221671388101983	0.11296033994334277	0.039660056657223795	0.06497875354107649	7264.829585694051	0.043794385459737024	0.01221671388101983	0.11296033994334277	0.039660056657223795	0.06497875354107649	7264.8263101983	0.0437943922283759	0.01221671388101983	0.11296033994334277	0.039660056657223795	0.06497875354107649	7264.832861189801	0.04379437873843954	3
4	TrialState.COMPLETE	0.007082152974504249	2019-12-21 15:23:19.133270	2019-12-21 16:10:50.633622	0.30077638274298557	27.577548914581055	150.0	2	70.0	0.08382828571819136	900.0	0.8924208430902144	0.0012393767705382436	0.007082152974504249	0.0019475920679886685	0.0035410764872521247	18091.812854107648	0.0034356511390948204	0.0012393767705382436	0.007082152974504249	0.0019475920679886685	0.0035410764872521247	18091.73052407932	0.003436220257012208	0.0012393767705382436	0.007082152974504249	0.0019475920679886685	0.0035410764872521247	18091.895184135978	0.003435115858890325	4
5	TrialState.COMPLETE	0.025672804532577902	2019-12-21 16:10:50.634725	2019-12-21 17:06:41.169793	0.20113345890187756	6.593500586113071	350.0	2	70.0	0.025983110344907932	700.0	0.8743652419262287	0.0033640226628895184	0.025672804532577902	0.009383852691218131	0.016288951841359773	17725.416165014165	0.010759051619278358	0.0033640226628895184	0.025672804532577902	0.009383852691218131	0.016288951841359773	17725.39004957507	0.010759063471398645	0.0033640226628895184	0.025672804532577902	0.009383852691218131	0.016288951841359773	17725.44228045326	0.010759039891392895	5
6	TrialState.COMPLETE	0.01646600566572238	2019-12-21 17:06:41.170896	2019-12-21 17:46:23.585582	0.3180383743332663	18.782520327054566	250.0	2	10.0	0.002197220857117375	500.0	1.0084418505151589	0.0035410764872521247	0.01646600566572238	0.0047804532577903685	0.006905099150141643	20443.715297450424	0.008070882812746673	0.0035410764872521247	0.01646600566572238	0.0047804532577903685	0.006905099150141643	20443.614907932013	0.008071083531753816	0.0035410764872521247	0.01646600566572238	0.0047804532577903685	0.006905099150141643	20443.81568696884	0.008070686889859652	6
7	TrialState.COMPLETE	0.022308781869688384	2019-12-21 17:46:23.586641	2019-12-21 19:10:44.837537	0.47040430996645544	14.487893149228801	250.0	2	40.0	0.0017219803222562147	1000.0	0.8891997795319717	0.004603399433427762	0.022308781869688384	0.007082152974504249	0.01221671388101983	18025.574539660058	0.009944032163006215	0.004603399433427762	0.022308781869688384	0.007082152974504249	0.01221671388101983	18025.511862606232	0.009944062253283599	0.004603399433427762	0.022308781869688384	0.007082152974504249	0.01221671388101983	18025.63721671388	0.009944002489824008	7
8	TrialState.COMPLETE	0.00796742209631728	2019-12-21 19:10:44.838642	2019-12-21 20:19:13.599563	0.35934742945382414	29.044641513738256	450.0	1	80.0	0.0609563378336205	800.0	1.0020660325775315	0.000708215297450425	0.00796742209631728	0.002478753541076487	0.004957507082152974	20314.816749291786	0.003241023361627417	0.000708215297450425	0.00796742209631728	0.002478753541076487	0.004957507082152974	20314.8052407932	0.003241023465017515	0.000708215297450425	0.00796742209631728	0.002478753541076487	0.004957507082152974	20314.828257790366	0.003241023258261542	8
