number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351
0	TrialState.COMPLETE	0.00541784702549575	2019-12-31 15:08:55.250837	2019-12-31 15:32:21.614365	8.324492088015056	100.0	6.0	0.0028016727940396815	800.0	0.9493719894459474	0.002478753541076487	0.00541784702549575	0.0036827195467422098	0.00424929178470255	19246.33068342776	0.0037507720090012605	0.002478753541076487	0.00541784702549575	0.0036827195467422098	0.00424929178470255	19246.330347025494	0.003750772011106868	0.002478753541076487	0.00541784702549575	0.0036827195467422098	0.00424929178470255	19246.331019830028	0.0037507720068959516	0		0.004308309726156752	0.005001770538243626				
1	TrialState.COMPLETE	0.0047804532577903685	2019-12-31 15:32:21.615265	2019-12-31 15:59:07.093547	5.733408872609106	100.0	31.0	0.0038523691363277746	1800.0	0.9391446470251232	0.001593484419263456	0.0047804532577903685	0.002584985835694051	0.0030807365439093483	19038.901434135976	0.0028159781543372893	0.001593484419263456	0.0047804532577903685	0.002584985835694051	0.0030807365439093483	19038.901026912183	0.002815978172908747	0.001593484419263456	0.0047804532577903685	0.002584985835694051	0.0030807365439093483	19038.901841359773	0.002815978135775708	1		0.0034820585457979226	0.0042935552407932015				
2	TrialState.COMPLETE	0.01746193342776204	2019-12-31 15:59:07.094451	2019-12-31 17:14:08.301013	6.7202508743825735	200.0	21.0	0.006040116724084374	1500.0	0.8831406300626716	0.0045812677053824365	0.01746193342776204	0.008587110481586403	0.01179621104815864	17903.20845874646	0.008848427182120209	0.0045812677053824365	0.01746193342776204	0.008587110481586403	0.01179621104815864	17903.207551345607	0.008848427206392336	0.0045812677053824365	0.01746193342776204	0.008587110481586403	0.01179621104815864	17903.209366147308	0.0088484271578629	2					0.016200424929178472	0.01692128692836908	
3	TrialState.COMPLETE	0.006167374881964117	2019-12-31 17:14:08.301796	2019-12-31 17:38:13.850531	1.8746503246782615	50.0	1.0	0.057691452327516414	800.0	0.9209827213035887	0.0010918319169027383	0.006167374881964117	0.002980406043437205	0.004131255901794146	18670.95620868744	0.0031566832232011433	0.0010918319169027383	0.006167374881964117	0.002980406043437205	0.004131255901794146	18670.955441454204	0.0031566832272586316	0.0010918319169027383	0.006167374881964117	0.002980406043437205	0.004131255901794146	18670.95697592068	0.0031566832191441477	3			0.005178824362606233	0.005771954674220963			
4	TrialState.COMPLETE	0.002301699716713881	2019-12-31 17:38:13.851413	2019-12-31 17:56:41.454045	5.908697283355749	100.0	26.0	0.0016401734333241582	2000.0	0.9490973981915255	0.001903328611898017	0.002301699716713881	0.0020361189801699716	0.0020361189801699716	19240.61096848442	0.0023453151740785816	0.001903328611898017	0.002301699716713881	0.0020361189801699716	0.0020361189801699716	19240.609773371103	0.0023453152167913754	0.001903328611898017	0.002301699716713881	0.0020361189801699716	0.0020361189801699716	19240.612163597732	0.0023453151313881098	4	0.00141643059490085	0.0020066100094428708					
5	TrialState.COMPLETE	0.004160764872521246	2019-12-31 17:56:41.454963	2019-12-31 18:20:52.115760	7.099939976162615	50.0	1.0	0.005775335530974362	700.0	0.9644549293845266	0.0013574126534466478	0.004160764872521246	0.0025672804532577906	0.0034230406043437205	19552.292345372993	0.0025701024928654346	0.0013574126534466478	0.004160764872521246	0.0025672804532577906	0.0034230406043437205	19552.29169617564	0.002570102497100186	0.0013574126534466478	0.004160764872521246	0.0025672804532577906	0.0034230406043437205	19552.29299457035	0.002570102488631378	5			0.0034968130311614732	0.003895184135977337			
6	TrialState.COMPLETE	0.013582557668959935	2019-12-31 18:20:52.116558	2019-12-31 19:15:27.302579	7.461038157735217	150.0	41.0	0.011537962813804818	1500.0	0.8787796185416592	0.0033893160663698908	0.013582557668959935	0.006753338729259409	0.009080331849453662	17814.88365034399	0.006940372364135409	0.0033893160663698908	0.013582557668959935	0.006753338729259409	0.009080331849453662	17814.882967422098	0.006940372391793294	0.0033893160663698908	0.013582557668959935	0.006753338729259409	0.009080331849453662	17814.884333265883	0.006940372336495549	6				0.01334985835694051	0.013485599622285174		
7	TrialState.COMPLETE	0.012606232294617563	2019-12-31 19:15:27.303820	2019-12-31 19:57:08.665510	9.592654193941513	200.0	21.0	0.038095174949255454	1300.0	0.8548699762342767	0.0035410764872521247	0.012606232294617563	0.005736543909348442	0.008604815864022662	17329.846990084985	0.006835654575902477	0.0035410764872521247	0.012606232294617563	0.005736543909348442	0.008604815864022662	17329.84628186969	0.00683565476083642	0.0035410764872521247	0.012606232294617563	0.005736543909348442	0.008604815864022662	17329.847698300284	0.006835654391326842	7		0.013574126534466479	0.012969192634560906				
8	TrialState.COMPLETE	0.015433191690273844	2019-12-31 19:57:08.666315	2019-12-31 20:41:05.437375	9.677502834084983	150.0	31.0	0.06302643535096727	1300.0	0.8538498690291757	0.004514872521246459	0.015433191690273844	0.008351038715769595	0.010475684608120869	17309.33700720019	0.008318357594119367	0.004514872521246459	0.015433191690273844	0.008351038715769595	0.010475684608120869	17309.335516997166	0.008318357644299291	0.004514872521246459	0.015433191690273844	0.008351038715769595	0.010475684608120869	17309.338497403212	0.008318357543972844	8			0.014916784702549575	0.015226628895184136			
