number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.5814584170349538	2020-05-25 20:02:40.752215	2020-05-25 23:51:01.409670	128	37	0.002578716491264209	1024	0.03370318363699769	0.2891723583768582	0.5814584170349538	0.454700683005223	0.5178786661309763	1922.5915528324629	0.39161684843921035	0.2891723583768582	0.5814584170349538	0.454700683005223	0.5178786661309763	1922.5910004017678	0.391616848477384		304111523.0	370.0	0.2891723583768582	0.5814584170349538	0.454700683005223	0.5178786661309763	1922.592105263158	0.39161684840106076	0		COMPLETE
1	0.0	2020-05-25 23:51:01.485020	2020-05-25 23:59:58.774890	64	14	0.09429390897171185	4096	0.4122243549773187	0.0	0.0	0.0	0.0	24482.559461631176	0.000587453544557787	0.9981920449979912	0.9981920449979912	0.9981920449979912	0.9981920449979912	132.04208517476897	0.9981920734012343		359554167.0	60.0	0.0	0.0	0.0	0.0	48833.07683808759	0.00029655760042081975	1		COMPLETE
2		2020-05-25 23:59:58.801588	2020-05-26 00:00:13.575542	256	4	0.013429834716377919	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									2	Setting status of trial#2 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
3	0.4593210124548011	2020-05-26 00:00:13.632816	2020-05-26 03:06:27.280878	64	31	0.0014464071208566422	2048	0.04759774385580037	0.14985938127762152	0.4593210124548011	0.2964041783848935	0.3647047006830052	2761.7004319003618	0.25194131232519235	0.14985938127762152	0.4593210124548011	0.2964041783848935	0.3647047006830052	2761.7001807955003	0.25194131245976714		2242668816.0	860.0	0.14985938127762152	0.4593210124548011	0.2964041783848935	0.3647047006830052	2761.700683005223	0.2519413121908351	3		COMPLETE
4		2020-05-26 03:06:27.307359	2020-05-26 03:06:42.229668	256	32	0.03436550410847844	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5	0.5431900361591	2020-05-26 03:06:42.242267	2020-05-26 06:33:33.134278	128	36	0.002265740884169822	1024	0.03466289988567463	0.2680795500200884	0.5431900361591	0.40809562073121736	0.4687625552430695	1987.5087384491765	0.3613332848570376	0.2680795500200884	0.5431900361591	0.40809562073121736	0.4687625552430695	1987.5085375652873	0.3613332848621645		3030290158.0	330.0	0.2680795500200884	0.5431900361591	0.40809562073121736	0.4687625552430695	1987.5089393330654	0.3613332848519116	5		COMPLETE
6	0.5669947770188831	2020-05-26 06:33:33.180822	2020-05-26 09:34:44.050918	128	24	0.009183110705675308	8192	0.03123238600574443	0.28846926476496587	0.5669947770188831	0.446163117717959	0.506629168340699	1769.812324226597	0.38659101212886	0.28846926476496587	0.5669947770188831	0.446163117717959	0.506629168340699	1769.811771795902	0.3865910121871716		2397876525.0	430.0	0.28846926476496587	0.5669947770188831	0.446163117717959	0.506629168340699	1769.812876657292	0.3865910120706045	6		COMPLETE
7	0.5848734431498593	2020-05-26 09:34:44.093542	2020-05-26 12:49:23.899150	128	50	0.004186071542160027	1024	0.032310914866857304	0.2987143431096826	0.5848734431498593	0.4622338288469265	0.5202892728003214	1824.658045399759	0.3996948928203351	0.2987143431096826	0.5848734431498593	0.4622338288469265	0.5202892728003214	1824.657693852953	0.39969489283466514		4275142237.0	300.0	0.2987143431096826	0.5848734431498593	0.4622338288469265	0.5202892728003214	1824.6583969465648	0.3996948928060104	7		COMPLETE
8		2020-05-26 12:49:23.963915	2020-05-26 12:49:39.489690	256	13	0.037352199796538955	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9	0.3790678987545199	2020-05-26 12:49:39.502686	2020-05-26 15:17:28.221850	64	8	0.0026092696793957736	2048	0.03768013233649518	0.10054238650060265	0.3790678987545199	0.21584973885094416	0.278023302531137	2175.5016572920854	0.1912847519699439	0.10054238650060265	0.3790678987545199	0.21584973885094416	0.278023302531137	2175.501406187224	0.19128475219063196		3951428216.0	720.0	0.10054238650060265	0.3790678987545199	0.21584973885094416	0.278023302531137	2175.5019083969464	0.1912847517497171	9		COMPLETE
10	0.3549618320610687	2020-05-26 15:17:28.247794	2020-05-26 17:20:21.902920	64	3	0.0028757042399666873	2048	0.0441956493726346	0.09290879871434311	0.3549618320610687	0.20058256327842508	0.2648654077942949	2589.1093310566494	0.1794030017676987	0.09290879871434311	0.3549618320610687	0.20058256327842508	0.2648654077942949	2589.1091803937325	0.17940300176820437		2827750605.0	590.0	0.09290879871434311	0.3549618320610687	0.20058256327842508	0.2648654077942949	2589.1094817195662	0.17940300176719307	10		COMPLETE
11	0.0	2020-05-26 17:20:21.929678	2020-05-26 17:49:36.977396	128	34	0.09268057345482775	8192	0.49104794912878763	0.0	0.0	0.0	0.0	29347.361139011653	6.82032171827188e-05	0.9986942547207714	0.9987946966653274	0.9987946966653274	0.9987946966653274	57.85757332261952	0.9987445899740435		1199206962.0	60.0	0.0	0.0	0.0	0.0	58636.86470470068	3.416117355615122e-05	11		COMPLETE
12	0.5018079550020088	2020-05-26 17:49:37.032519	2020-05-26 19:32:26.869779	64	35	0.007860402319974516	8192	0.03575300474970593	0.19857372438730414	0.5018079550020088	0.3506428284451587	0.42034953796705504	2032.5612193652069	0.30067201194578924	0.19857372438730414	0.5018079550020088	0.3506428284451587	0.42034953796705504	2032.5610687022902	0.3006720119460097		121873870.0	660.0	0.19857372438730414	0.5018079550020088	0.3506428284451587	0.42034953796705504	2032.5613700281237	0.3006720119455688	12		COMPLETE
13		2020-05-26 19:32:26.935179	2020-05-26 19:32:42.971095	256	43	0.0016489189017354397	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									13	Setting status of trial#13 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
14		2020-05-26 19:32:42.984315	2020-05-26 19:32:58.832570	256	47	0.002726730009083287	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									14	Setting status of trial#14 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
15		2020-05-26 19:32:58.861152	2020-05-26 19:33:14.762053	256	47	0.07407304532542919	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									15	Setting status of trial#15 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
16	0.4614302932904781	2020-05-26 19:33:14.775492	2020-05-26 22:22:57.001493	64	49	0.001736108927551852	8192	0.04730715170418329	0.15849738850944153	0.4614302932904781	0.2966050622740056	0.3677179590196866	2657.580755323423	0.2574998602201543	0.15849738850944153	0.4614302932904781	0.2966050622740056	0.3677179590196866	2657.5802531137	0.2574998602214967		1439291515.0		0.15849738850944153	0.4614302932904781	0.2966050622740056	0.3677179590196866	2657.5812575331456	0.257499860218812	16		COMPLETE
