number	value	datetime_start	datetime_complete	params_loss.margin	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.3509642816387082	2020-03-10 10:40:56.761794	2020-03-10 11:20:29.244537	6.239315902952493	6.350614255968342	0.04642999560085234	64	60	0.0073833316585865715	512	0.06494815277350784	0.14181787059226292	0.3509642816387082	0.23031496062992127	0.27750199703297956	447.55296416752253	0.21165120676127253	0.14181787059226292	0.3509642816387082	0.23031496062992127	0.27750199703297956	447.55260755449046	0.211651208304066	2487454719	200	0.14181787059226292	0.3509642816387082	0.23031496062992127	0.27750199703297956	447.5533207805546	0.2116512052266769	0	COMPLETE
1	0.3205237932214995	2020-03-10 11:20:29.293131	2020-03-10 12:22:05.625917	5.176777120372758	8.337636041812972	0.011635515372375133	128	22	0.04676978747711673	512	0.0845264247494701	0.11163414355814219	0.3205237932214995	0.19964623987218988	0.24888736733995206	588.9313733881091	0.18164892370332994	0.11163414355814219	0.3205237932214995	0.19964623987218988	0.24888736733995206	588.9308456008216	0.18164892507234068	4194751294	300	0.11163414355814219	0.3205237932214995	0.19964623987218988	0.24888736733995206	588.9319011753965	0.18164892234095772	1	COMPLETE
2	0.31795617939061965	2020-03-10 12:22:05.658406	2020-03-10 15:09:46.455147	5.143433410734116	2.8160512098746184	0.026491309771904663	64	94	0.018407080747570845	128	0.06733547681978592	0.10338925025676138	0.31795617939061965	0.1923998630605957	0.24298185552892845	468.0580138080566	0.17466499279500902	0.10338925025676138	0.31795617939061965	0.1923998630605957	0.24298185552892845	468.0577427821522	0.17466531404786845	516744727	250	0.10338925025676138	0.31795617939061965	0.1923998630605957	0.24298185552892845	468.05828483396095	0.1746647081790664	2	COMPLETE
3	0.21288371562250372	2020-03-10 15:09:46.487183	2020-03-10 17:05:59.973108	3.0318593687702267	7.438472971334988	0.038675903938728294	256	43	0.0049369871675440085	128	0.1841565767929143	0.05771425310966564	0.21288371562250372	0.11174825972840352	0.1477804404884172	1293.6951529156681	0.10842058674455968	0.05771425310966564	0.21288371562250372	0.11174825972840352	0.1477804404884172	1293.6924283921032	0.10842086453726305	2900596883	200	0.05771425310966564	0.21288371562250372	0.11174825972840352	0.1477804404884172	1293.6978774392333	0.10842034295399469	3	COMPLETE
4	0.25941458404655937	2020-03-10 17:06:00.006372	2020-03-10 18:24:45.427022	7.322921724991736	5.694429697003921	0.013194321825860795	256	86	0.004325293283796132	256	0.1424648361588649	0.08481684354673057	0.25941458404655937	0.1544847654912701	0.1956521739130435	998.9130292137396	0.1436179862773136	0.08481684354673057	0.25941458404655937	0.1544847654912701	0.1956521739130435	998.9112461485793	0.14361810623054314	123287668	200	0.08481684354673057	0.25941458404655937	0.1544847654912701	0.1956521739130435	998.9148122789	0.14361787577016444	4	COMPLETE
5	0.31421887481456123	2020-03-10 18:24:45.462392	2020-03-10 19:09:02.126033	4.754323185485432	6.621559062823424	0.09798043021673111	128	81	0.01455701290126856	512	0.09676563767329018	0.11442998972954467	0.31421887481456123	0.1965936323176994	0.2451215337213283	677.0216392787858	0.18084216423928096	0.11442998972954467	0.31421887481456123	0.1965936323176994	0.2451215337213283	677.0207691429875	0.18084220061059306	4247511754	200	0.11442998972954467	0.31421887481456123	0.1965936323176994	0.2451215337213283	677.0225094145841	0.18084212870680869	5	COMPLETE
6	0.32765605386283236	2020-03-10 19:09:02.160512	2020-03-10 20:26:04.498594	8.512044819059707	6.339367547476646	0.011826079011413033	64	49	0.04768430763373313	512	0.06990114092224263	0.12826657537373046	0.32765605386283236	0.20877553349309597	0.25698961542850624	484.398921602191	0.19403030658453668	0.12826657537373046	0.32765605386283236	0.20877553349309597	0.25698961542850624	484.39863631176536	0.19403030767823418	556860980	350	0.12826657537373046	0.32765605386283236	0.20877553349309597	0.25698961542850624	484.3992068926167	0.19403030549632513	6	COMPLETE
7	0.2554490471299783	2020-03-10 20:26:04.532921	2020-03-10 22:32:02.403604	3.785163725797571	8.758464168972322	0.010287074635872792	256	75	0.07153254870849969	128	0.09723591135055266	0.05143786374529271	0.2554490471299783	0.1335729772908821	0.18130206550268174	681.0692827798699	0.11987943696443917	0.05143786374529271	0.2554490471299783	0.13360150633344745	0.18130206550268174	681.0679561793906	0.11988365835829157	125361807	200	0.05143786374529271	0.2554490471299783	0.1335729772908821	0.18130206550268174	681.0706093803492	0.1198765063092592	7	COMPLETE
8	0.3176708889649663	2020-03-10 22:32:02.443115	2020-03-10 23:08:22.143052	4.456775486215119	3.6380005871938255	0.06107530976788639	128	10	0.0037159046171570302	512	0.08529858522503003	0.12076343717904828	0.3176708889649663	0.19670774848796074	0.2440944881889764	592.3910333219217	0.1847770618650998	0.12076343717904828	0.3176708889649663	0.19670774848796074	0.2440944881889764	592.3904199475065	0.18477708445147625	2783210129	200	0.12076343717904828	0.3176708889649663	0.19670774848796074	0.2440944881889764	592.3916466963369	0.18477704005571133	8	COMPLETE
9	0.15825059910989386	2020-03-10 23:08:22.183713	2020-03-11 00:07:53.406703	4.79541739485771	1.8267753419366528	0.06206565459990826	64	10	0.05719076686279704	256	0.13114470945622	0.046217048955837045	0.15825059910989386	0.08618623758986649	0.11203355015405683	923.8415354330708	0.08476922094913678	0.046217048955837045	0.15825059910989386	0.08618623758986649	0.11203355015405683	923.8408650005706	0.08476923828515401	2415485716	200	0.046217048955837045	0.15825059910989386	0.08618623758986649	0.11203355015405683	923.8422058655711	0.08476920406633313	9	COMPLETE
