number	value	datetime_start	datetime_complete	params_model.dropout_0	params_model.dropout_1	params_model.dropout_2	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.975187265917603	2020-04-05 19:12:49.871365	2020-04-05 19:42:01.880816	0.2537693848532582	0.22708354730808408	0.31053038674851446	64	128	24	0.0013774005833511677	256	0.05789842016991465	0.49812734082397003	0.975187265917603	0.8417602996254682	0.9293071161048689	2.7888576779026217	0.6811774386173179	0.49812734082397003	0.975187265917603	0.8417602996254682	0.9293071161048689	2.7888576779026217	0.6811774386173179	1881210542	500	0.49812734082397003	0.975187265917603	0.8417602996254682	0.9293071161048689	2.7888576779026217	0.6811774386173179	0	COMPLETE
1	0.9550561797752809	2020-04-05 19:42:01.927769	2020-04-05 20:54:13.402194	0.4240684144643923	0.43975100543437284	0.49074917622631375	64	64	92	0.0016280012726460407	256	0.07035569511685338	0.3881086142322097	0.9550561797752809	0.7420411985018727	0.8637640449438202	3.3895131086142323	0.5884007269489093	0.3881086142322097	0.9550561797752809	0.7420411985018727	0.8637640449438202	3.3895131086142323	0.5884007269489093	1861530106	650	0.3881086142322097	0.9550561797752809	0.7420411985018727	0.8637640449438202	3.3895131086142323	0.5884007269489093	1	COMPLETE
2	0.11563670411985019	2020-04-05 20:54:13.435020	2020-04-05 21:50:38.615685	0.4913035176155924	0.18475612925944318	0.35330185717521895	64	256	95	0.04369173774106236	128	0.9853549355201507	0.011235955056179775	0.11563670411985019	0.02855805243445693	0.04915730337078652	47.662921348314605	0.05449078516012795	0.011235955056179775	0.11563670411985019	0.02855805243445693	0.04915730337078652	47.662921348314605	0.05449078516012795	2389053970	150	0.011235955056179775	0.11563670411985019	0.02855805243445693	0.04915730337078652	47.662921348314605	0.05449078516012795	2	COMPLETE
3	0.9691011235955056	2020-04-05 21:50:38.675415	2020-04-05 22:12:36.765061	0.19276981678352978	0.363871847802165	0.11999714117722493	64	64	86	0.004988213928807194	128	0.06302775342927806	0.48782771535580527	0.9691011235955056	0.8412921348314607	0.9250936329588015	3.0388576779026217	0.6722427608719564	0.48782771535580527	0.9691011235955056	0.8412921348314607	0.9250936329588015	3.0388576779026217	0.6722427608719564	1623976537	250	0.48782771535580527	0.9691011235955056	0.8412921348314607	0.9250936329588015	3.0388576779026217	0.6722427608719564	3	COMPLETE
4	0.10299625468164794	2020-04-05 22:12:36.804706	2020-04-06 04:12:10.711418	0.4478641885224499	0.12604137164884197	0.473502279383358	256	64	85	0.07357520337359069	256	1.0098936607623439	0.008426966292134831	0.10299625468164794	0.03745318352059925	0.05383895131086142	48.752808988764045	0.05321722996824345	0.008426966292134831	0.10299625468164794	0.03745318352059925	0.05383895131086142	48.752808988764045	0.05321722996824345	986984150	250	0.008426966292134831	0.10299625468164794	0.03745318352059925	0.05383895131086142	48.752808988764045	0.05321722996824345	4	COMPLETE
5	0.8089887640449438	2020-04-06 04:12:10.745309	2020-04-06 04:41:43.638323	0.29491221587081345	0.2234207179547136	0.4976854919746373	64	64	93	0.022330726998668435	128	0.14014976642404994	0.17415730337078653	0.8089887640449438	0.4101123595505618	0.5823970037453183	6.799157303370786	0.3566852515249448	0.17415730337078653	0.8089887640449438	0.4101123595505618	0.5823970037453183	6.799157303370786	0.3566852515249448	3333546656	300	0.17415730337078653	0.8089887640449438	0.4101123595505618	0.5823970037453183	6.799157303370786	0.3566852515249448	5	COMPLETE
6	0.8628277153558053	2020-04-06 04:41:43.673438	2020-04-06 05:51:25.433367	0.32442197570226067	0.4062401283897872	0.18248929569747727	64	256	47	0.016583216611418913	128	0.12355746512304755	0.23923220973782772	0.8628277153558053	0.4967228464419476	0.6573033707865169	5.9822097378277155	0.42139289064612456	0.23923220973782772	0.8628277153558053	0.4967228464419476	0.6573033707865169	5.9822097378277155	0.42139289064612456	3796898631	300	0.23923220973782772	0.8628277153558053	0.4967228464419476	0.6573033707865169	5.9822097378277155	0.42139289064612456	6	COMPLETE
7	0.4419475655430712	2020-04-06 05:51:25.467251	2020-04-06 05:53:56.947105	0.4727495033138786	0.37263387523725355	0.1763160215746157	64	64	11	0.07459206689487025	512	0.37550151611814336	0.05852059925093633	0.4419475655430712	0.16666666666666666	0.25702247191011235	18.209737827715355	0.17562692433061494	0.05852059925093633	0.4419475655430712	0.16666666666666666	0.25702247191011235	18.209737827715355	0.17562692433061494	3081248582	200	0.05852059925093633	0.4419475655430712	0.16666666666666666	0.25702247191011235	18.209737827715355	0.17562692433061494	7	COMPLETE
8	0.10205992509363296	2020-04-06 05:53:56.982325	2020-04-06 14:15:25.509357	0.4278220148231129	0.4531334871128278	0.42559250811469884	256	256	63	0.08144165697246097	128	1.0115382167116533	0.006554307116104869	0.10205992509363296	0.023876404494382022	0.05056179775280899	48.88623595505618	0.049734359607699966	0.006554307116104869	0.10205992509363296	0.023876404494382022	0.05056179775280899	48.88623595505618	0.049734359607699966	1152909984	150	0.006554307116104869	0.10205992509363296	0.023876404494382022	0.05056179775280899	48.88623595505618	0.049734359607699966	8	COMPLETE
9	0.10065543071161048	2020-04-06 14:15:25.544688	2020-04-06 18:49:56.626305	0.274796650845026	0.41626229834228895	0.18559211799125724	128	256	95	0.0809148037721777	512	0.999381672205536	0.008895131086142321	0.10065543071161048	0.03277153558052434	0.052434456928838954	48.2687265917603	0.05245325079333435	0.008895131086142321	0.10065543071161048	0.03277153558052434	0.052434456928838954	48.2687265917603	0.05245325079333435	1443405928	200	0.008895131086142321	0.10065543071161048	0.03277153558052434	0.052434456928838954	48.2687265917603	0.05245325079333435	9	COMPLETE
