number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.18773408239700373	2020-04-11 02:16:34.623585	2020-04-11 02:20:16.761420	256	2	80	128	0.7848303956354616	0.025280898876404494	0.18773408239700373	0.0702247191011236	0.10112359550561797	37.837312734082396	0.08903252779346309	0.025280898876404494	0.18773408239700373	0.0702247191011236	0.10112359550561797	37.837078651685395	0.08903275287269097	2055365190	650.0	0.025280898876404494	0.18773408239700373	0.0702247191011236	0.10112359550561797	37.8375468164794	0.08903230953481786	0	COMPLETE
1	0.6966292134831461	2020-04-11 02:20:16.810799	2020-04-11 02:21:06.474222	256	1	32	512	0.24036841139228743	0.15355805243445692	0.6966292134831461	0.4002808988764045	0.5355805243445693	11.680711610486892	0.326920147665976	0.15355805243445692	0.6966292134831461	0.4002808988764045	0.5355805243445693	11.680711610486892	0.326920147665976	4289470492	400.0	0.15355805243445692	0.6966292134831461	0.4002808988764045	0.5355805243445693	11.680711610486892	0.326920147665976	1	COMPLETE
2	0.08567415730337079	2020-04-11 02:21:06.523302	2020-04-11 02:21:19.836696	64	1	72	512	1.0410798612253023	0.0	0.08567415730337079	0.017322097378277154	0.033707865168539325	50.20739700374532	0.041206347776258215	0.0	0.08567415730337079	0.017322097378277154	0.033707865168539325	50.20739700374532	0.041206347776258215	2415515786	150.0	0.0	0.08567415730337079	0.017322097378277154	0.033707865168539325	50.20739700374532	0.041206347776258215	2	COMPLETE
3	0.6067415730337079	2020-04-11 02:21:19.863517	2020-04-11 02:25:11.200994	64	1	37	128	0.3225839870758634	0.11563670411985019	0.6067415730337079	0.32724719101123595	0.4545880149812734	15.647940074906368	0.2728563264608761	0.11563670411985019	0.6067415730337079	0.32724719101123595	0.4545880149812734	15.647940074906368	0.2728563264608761	72636377	700.0	0.11563670411985019	0.6067415730337079	0.32724719101123595	0.4545880149812734	15.647940074906368	0.2728563264608761	3	COMPLETE
4	0.6558988764044944	2020-04-11 02:25:11.227591	2020-04-11 02:26:20.871000	128	1	14	256	0.26253692382922195	0.15168539325842698	0.6558988764044944	0.375936329588015	0.5056179775280899	12.749063670411985	0.31466355067320734	0.15168539325842698	0.6558988764044944	0.375936329588015	0.5056179775280899	12.749063670411985	0.31466355067320734	1287045761	400.0	0.15168539325842698	0.6558988764044944	0.375936329588015	0.5056179775280899	12.749063670411985	0.31466355067320734	4	COMPLETE
5	0.6282771535580525	2020-04-11 02:26:20.920970	2020-04-11 02:27:48.278388	128	1	58	512	0.2782784646703105	0.11095505617977527	0.6282771535580525	0.350187265917603	0.4812734082397004	13.468632958801498	0.2819267698316574	0.11095505617977527	0.6282771535580525	0.350187265917603	0.4812734082397004	13.468632958801498	0.2819267698316574	2595641047	750.0	0.11095505617977527	0.6282771535580525	0.350187265917603	0.4812734082397004	13.468632958801498	0.2819267698316574	5	COMPLETE
6	0.6947565543071161	2020-04-11 02:27:48.304744	2020-04-11 02:29:18.562534	256	1	89	512	0.22872677132180344	0.13342696629213482	0.6947565543071161	0.4101123595505618	0.5393258426966292	11.10814606741573	0.31982260940432583	0.13342696629213482	0.6947565543071161	0.4101123595505618	0.5393258426966292	11.10814606741573	0.31982260940432583	5723347	650.0	0.13342696629213482	0.6947565543071161	0.4101123595505618	0.5393258426966292	11.10814606741573	0.31982260940432583	6	COMPLETE
7	0.6783707865168539	2020-04-11 02:29:18.589457	2020-04-11 02:29:55.122710	256	1	23	512	0.24468802639077442	0.15636704119850187	0.6783707865168539	0.4035580524344569	0.5126404494382022	11.900749063670412	0.32715012520250686	0.15636704119850187	0.6783707865168539	0.4035580524344569	0.5126404494382022	11.900749063670412	0.32715012520250686	1414461462	350.0	0.15636704119850187	0.6783707865168539	0.4035580524344569	0.5126404494382022	11.900749063670412	0.32715012520250686	7	COMPLETE
8	0.6273408239700374	2020-04-11 02:29:55.156524	2020-04-11 02:30:48.670799	256	1	18	128	0.27895454234052935	0.12687265917602997	0.6273408239700374	0.3693820224719101	0.4714419475655431	13.542134831460674	0.29325177290420473	0.12687265917602997	0.6273408239700374	0.3693820224719101	0.4714419475655431	13.542134831460674	0.29325177290420473	4125235567	200.0	0.12687265917602997	0.6273408239700374	0.3693820224719101	0.4714419475655431	13.542134831460674	0.29325177290420473	8	COMPLETE
9	0.20973782771535582	2020-04-11 02:30:48.723554	2020-04-11 02:34:13.381148	256	2	34	256	0.7626678142591976	0.0351123595505618	0.20973782771535582	0.08239700374531835	0.12265917602996254	36.76310861423221	0.10143375110194	0.0351123595505618	0.20973782771535582	0.08239700374531835	0.12265917602996254	36.76310861423221	0.10143375110194	2626804145		0.0351123595505618	0.20973782771535582	0.08239700374531835	0.12265917602996254	36.76310861423221	0.10143375110194	9	COMPLETE
10	0.6530898876404494	2020-04-11 02:34:13.408616	2020-04-11 02:35:58.506307	128	1	21	128	0.25530615170514176	0.1502808988764045	0.6530898876404494	0.3637640449438202	0.4789325842696629	12.402153558052435	0.30880058372120595	0.1502808988764045	0.6530898876404494	0.3637640449438202	0.4789325842696629	12.402153558052435	0.30880058372120595	3509979451	350.0	0.1502808988764045	0.6530898876404494	0.3637640449438202	0.4789325842696629	12.402153558052435	0.30880058372120595	10	COMPLETE
11	0.6147003745318352	2020-04-11 02:35:58.532849	2020-04-11 02:38:03.831409	64	1	77	128	0.3107990717789165	0.10393258426966293	0.6147003745318352	0.33146067415730335	0.46441947565543074	15.058052434456929	0.26875338336252164	0.10393258426966293	0.6147003745318352	0.33146067415730335	0.46441947565543074	15.058052434456929	0.26875338336252164	3408681225	400.0	0.10393258426966293	0.6147003745318352	0.33146067415730335	0.46441947565543074	15.058052434456929	0.26875338336252164	11	COMPLETE
12	0.6151685393258427	2020-04-11 02:38:03.858344	2020-04-11 02:40:19.246273	64	1	43	256	0.3003421936259162	0.10159176029962547	0.6151685393258427	0.32818352059925093	0.45271535580524347	14.541198501872659	0.26711257173235253	0.10159176029962547	0.6151685393258427	0.32818352059925093	0.45271535580524347	14.541198501872659	0.26711257173235253	2255740127	650.0	0.10159176029962547	0.6151685393258427	0.32818352059925093	0.45271535580524347	14.541198501872659	0.26711257173235253	12	COMPLETE
13	0.6184456928838952	2020-04-11 02:40:19.288664	2020-04-11 02:42:20.319778	64	1	75	256	0.30137154006936384	0.09316479400749064	0.6184456928838952	0.324438202247191	0.4396067415730337	14.61376404494382	0.2599670709881495	0.09316479400749064	0.6184456928838952	0.324438202247191	0.4396067415730337	14.61376404494382	0.2599670709881495	3804683477	650.0	0.09316479400749064	0.6184456928838952	0.324438202247191	0.4396067415730337	14.61376404494382	0.2599670709881495	13	COMPLETE
14	0.6779026217228464	2020-04-11 02:42:20.346007	2020-04-11 02:44:41.513144	128	1	87	128	0.24826530387105372	0.12265917602996254	0.6779026217228464	0.38764044943820225	0.5215355805243446	12.02434456928839	0.30476839524034804	0.12265917602996254	0.6779026217228464	0.38764044943820225	0.5215355805243446	12.02434456928839	0.30476839524034804	3150003510	450.0	0.12265917602996254	0.6779026217228464	0.38764044943820225	0.5215355805243446	12.02434456928839	0.30476839524034804	14	COMPLETE
15	0.1947565543071161	2020-04-11 02:44:41.547705	2020-04-11 02:48:16.341909	256	2	69	256	0.7973501114523533	0.014044943820224719	0.1947565543071161	0.06460674157303371	0.09410112359550561	38.43773408239701	0.08139163257412482	0.014044943820224719	0.1947565543071161	0.06460674157303371	0.09410112359550561	38.43773408239701	0.08139163257412482	1671336141		0.014044943820224719	0.1947565543071161	0.06460674157303371	0.09410112359550561	38.43773408239701	0.08139163257412482	15	COMPLETE
