number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.3588881019830028	2020-05-10 05:02:11.105355	2020-05-10 10:57:21.861755	0.6348491746299496	29.53640457199414	16	0.21789372664461945	512	32	0.0010366285166665435	128	0.4518875763743618	0.2078611898016997	0.3588881019830028	0.30771954674220964	0.33410056657223797	9158.974769830029	0.2640635641339749	0.2078611898016997	0.3588881019830028	0.30771954674220964	0.33410056657223797	9158.973796033993	0.2640635641404058		554753911.0		0.2078611898016997	0.3588881019830028	0.30771954674220964	0.33410056657223797	9158.975743626062	0.26406356412754484	0		COMPLETE
1		2020-05-10 10:57:21.905842	2020-05-10 10:57:32.123494	0.42322379666026055	6.3252107983705255	128	0.22815246894447974	512	7	0.01219336170949789	128														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2	0.3893413597733711	2020-05-10 10:57:32.141681	2020-05-10 11:21:44.474709	0.5814057630164208	13.457713517819194	32	0.20517753123472568	64	19	0.03655655952497116	512	0.30329120489734196	0.03098441926345609	0.3893413597733711	0.37110481586402266	0.38420679886685555	6147.352425637394	0.20372901179844716	0.056303116147308784	0.3893413597733711	0.37110481586402266	0.38420679886685555	6147.337995750709	0.2125935066055603		1493637766.0	300.0	0.03098441926345609	0.3893413597733711	0.37110481586402266	0.38420679886685555	6147.366855524079	0.19946201463061633	2		COMPLETE
3	0.35003541076487255	2020-05-10 11:21:44.522829	2020-05-10 11:56:19.657690	0.3400427005699249	23.935996839231482	128	0.23418725328876075	32	17	0.0033303549090513518	512	0.3749315612534529	0.000708215297450425	0.35003541076487255	0.24769830028328613	0.3096671388101983	7597.282135269122	0.13448908658219513	0.000708215297450425	0.35003541076487255	0.24769830028328613	0.3096671388101983	7597.280276203966	0.13448908689616573		1832862418.0	300.0	0.000708215297450425	0.35003541076487255	0.24769830028328613	0.3096671388101983	7597.283994334278	0.13448908626864498	3		COMPLETE
4	0.2645184135977337	2020-05-10 11:56:19.692640	2020-05-10 13:31:05.459112	0.5130595133429744	1.6953220812938674	16	0.40990943029211796	512	45	0.011025692288933997	512	0.46223891125834804	0.06338526912181303	0.2645184135977337	0.13473796033994334	0.1878541076487252	9369.34206798867	0.12284466226533616	0.06338526912181303	0.2645184135977337	0.13473796033994334	0.1878541076487252	9369.341890934844	0.12284466226552734		3157932813.0	300.0	0.06338526912181303	0.2645184135977337	0.13473796033994334	0.1878541076487252	9369.342245042493	0.12284466226514498	4		COMPLETE
5	0.39128895184135976	2020-05-10 13:31:05.497877	2020-05-10 14:50:16.631983	0.7293799100286866	16.44570947691882	64	0.3585000405568035	64	46	0.021155906713571	128	0.3599207546332993	0.06037535410764872	0.39128895184135976	0.37836402266288954	0.3850920679886686	7295.211933427762	0.22947704398583646	0.12411473087818697	0.39128895184135976	0.37836402266288954	0.3850920679886686	7295.177053824363	0.2512782716002151		3678696869.0	300.0	0.06037535410764872	0.39128895184135976	0.3780099150141643	0.3850920679886686	7295.246813031162	0.21878889474729746	5		COMPLETE
6	0.3603045325779037	2020-05-10 14:50:16.688404	2020-05-10 16:41:03.596757	0.34445800116829633	7.639043636255668	16	0.178494961275806	128	45	0.004008838515250232	256	0.3777269808598962	0.000708215297450425	0.3603045325779037	0.2413243626062323	0.3155099150141643	7656.139075779037	0.13398717013550568	0.000708215297450425	0.3603045325779037	0.2413243626062323	0.3155099150141643	7656.1386331444755	0.1339871701366084		3626567719.0	700.0	0.000708215297450425	0.3603045325779037	0.2413243626062323	0.3155099150141643	7656.139518413598	0.133987170134403	6		COMPLETE
7	0.3810198300283286	2020-05-10 16:41:03.661744	2020-05-10 17:14:51.606193	0.7120068309222868	1.4563247243796493	32	0.35557951023574336	32	26	0.009327976028524386	512	0.40603922875754866	0.22822237960339944	0.3810198300283286	0.3422450424929179	0.3677407932011331	8230.367121104817	0.28757411719849024	0.22822237960339944	0.3810198300283286	0.3422450424929179	0.3677407932011331	8230.36685552408	0.2875741171993168		1932116026.0	450.0	0.22822237960339944	0.3810198300283286	0.3422450424929179	0.3677407932011331	8230.367386685552	0.2875741171976637	7		COMPLETE
8	0.38243626062322944	2020-05-10 17:14:51.639738	2020-05-10 18:22:05.673320	0.28283156892172545	1.2204456529069616	128	0.2692035659800453	64	21	0.05435779856336618	256	0.4753302688715891	0.329143059490085	0.38243626062322944	0.3780099150141643	0.3810198300283286	9635.663243626062	0.3544260414680906	0.33923512747875356	0.38261331444759206	0.37960339943342775	0.38190509915014165	9635.645361189801	0.35970868133989964		1386745478.0	300.0	0.329143059490085	0.3822592067988669	0.3755311614730878	0.38048866855524077	9635.681126062324	0.3526947326726855	8		COMPLETE
9	0.43006373937677056	2020-05-10 18:22:05.707239	2020-05-10 20:18:26.454644	0.7756266119758256	26.291834088815957	16	0.23355807745674606	32	22	0.004306313258770693	128	0.1399306604456257	0.017351274787535412	0.43006373937677056	0.3328611898016997	0.39288243626062325	2836.2809844192634	0.1834517855056684	0.017351274787535412	0.43006373937677056	0.3328611898016997	0.39288243626062325	2836.280807365439	0.18345178550917732		1213928680.0	800.0	0.017351274787535412	0.43006373937677056	0.3328611898016997	0.39288243626062325	2836.2811614730876	0.18345178550216013	9		COMPLETE
10	0.38757082152974504	2020-05-10 20:18:26.507361	2020-05-10 20:37:10.821730	0.23597364961004735	3.17960928628679	64	0.10076981111337675	32	29	0.04655312330544453	512	0.39426288318894626	0.15456798866855523	0.38757082152974504	0.3815509915014164	0.38473796033994334	7991.408640226628	0.2659022778659376	0.15456798866855523	0.38757082152974504	0.3815509915014164	0.38473796033994334	7991.408109065156	0.26590227787018944		1481514719.0	200.0	0.15456798866855523	0.38757082152974504	0.3815509915014164	0.38473796033994334	7991.409171388102	0.26590227786168663	10		COMPLETE
11	0.37978045325779036	2020-05-10 20:37:10.857822	2020-05-10 21:36:55.052056	0.9955141894888262	5.567503412241073	128	0.36205992946787613	32	21	0.024764615116119777	512	0.3899057345513722	0.03665014164305949	0.37978045325779036	0.33657932011331443	0.363314447592068	7902.687234419263	0.18931873129227625	0.037535410764872525	0.37978045325779036	0.33657932011331443	0.363314447592068	7902.68626062323	0.1896433300619317		1233184730.0	450.0	0.03665014164305949	0.37978045325779036	0.33640226628895187	0.363314447592068	7902.688208215298	0.18915643186171185	11		COMPLETE
12	0.08197592067988668	2020-05-10 21:36:55.088161	2020-05-10 22:12:36.341227	0.7248467501472978	12.8696722407759	16	0.20888942070477576	256	25	0.04204412772055907	128	0.49785940676829227	0.012570821529745042	0.08197592067988668	0.03169263456090651	0.049398016997167137	10091.619865439094	0.03723914859592886	0.06674929178470256	0.19245750708215298	0.11437677053824363	0.14412181303116148	10072.477868271955	0.10859126605109085		1698653476.0	200.0	0.012570821529745042	0.08197592067988668	0.03169263456090651	0.049398016997167137	10110.761862606232	0.03629754449595768	12		COMPLETE
13	0.23176345609065155	2020-05-10 22:12:36.381588	2020-05-10 23:18:34.640594	0.7693651074860595	18.074440456882098	16	0.43740790158751275	16	20	0.01197522999258292	128	0.5113380761649751	0.056657223796033995	0.23176345609065155	0.12039660056657224	0.15970254957507082	10364.614907932011	0.11245517848799	0.11703257790368272	0.3103753541076487	0.20538243626062322	0.24858356940509915	10362.449008498583	0.1773501385577602		2989246766.0	500.0	0.056657223796033995	0.20007082152974504	0.11048158640226628	0.1418201133144476	10366.78080736544	0.10297681795726724	13		COMPLETE
14	0.06019830028328612	2020-05-10 23:18:34.678980	2020-05-10 23:41:28.488344	0.10469459277215054	1.9256435429516219	16	0.18462843288975278	16	18	0.009914008635844547	128	0.3993717412601078	0.008852691218130312	0.06019830028328612	0.023371104815864022	0.035056657223796035	8095.067546033994	0.028926168742293052	0.008852691218130312	0.06019830028328612	0.023371104815864022	0.035056657223796035	8095.067103399433	0.028926168755667316		3003276436.0	200.0	0.008852691218130312	0.06019830028328612	0.023371104815864022	0.035056657223796035	8095.067988668555	0.02892616872892355	14		COMPLETE
15	0.3776558073654391	2020-05-10 23:41:28.526511	2020-05-11 01:34:23.722846	0.34440279625339265	5.7942834295869465	128	0.4991651112696742	128	35	0.019146143781547827	512	0.420633329649788	0.09490084985835694	0.3776558073654391	0.3326841359773371	0.3613668555240793	8525.974150141643	0.21544667742312637	0.09543201133144476	0.3776558073654391	0.3326841359773371	0.3613668555240793	8525.973264872522	0.21562373129078174		4271781890.0	350.0	0.09490084985835694	0.3776558073654391	0.3326841359773371	0.3613668555240793	8525.975035410765	0.2153581504676794	15		COMPLETE
16	0.3748229461756374	2020-05-11 01:34:23.793999	2020-05-11 03:19:30.707721	0.8990377236308732	1.2144015550828922	64	0.48052553063592474	256	16	0.013515845540232047	512	0.4253484636199106	0.16554532577903683	0.3748229461756374	0.33250708215297453	0.35871104815864024	8620.950336402266	0.25068588784856377	0.16554532577903683	0.3748229461756374	0.33250708215297453	0.35871104815864024	8620.949893767705	0.2506858878531176		3731842955.0	350.0	0.16554532577903683	0.3748229461756374	0.33250708215297453	0.35871104815864024	8620.950779036828	0.2506858878440105	16		COMPLETE
17	0.37535410764872523	2020-05-11 03:19:30.747108	2020-05-11 03:51:50.024095	0.7792661543494088	9.253829154376874	64	0.25023733315607943	16	29	0.027878397654004516	512	0.3467268446819283	0.0010623229461756375	0.37535410764872523	0.35074362606232296	0.3606586402266289	7027.493360481586	0.18022271574426094	0.019121813031161474	0.37535410764872523	0.35074362606232296	0.3606586402266289	7027.483888101983	0.1862720547516709		1328436441.0	400.0	0.0010623229461756375	0.37535410764872523	0.35074362606232296	0.3606586402266289	7027.50283286119	0.1772128007217441	17		COMPLETE
18	0.002301699716713881	2020-05-11 03:51:50.095994	2020-05-11 04:02:59.561040	0.6091926642104638	29.24102958471734	16	0.13067582345148507	32	31	0.09715008892686273	256	0.46592351286816763	0.00017705382436260624	0.002301699716713881	0.0005311614730878187	0.0005311614730878187	9444.662623937676	0.009258922228247547	0.39872521246458925	0.39943342776203966	0.39907932011331443	0.39925637393767704	9417.974327195467	0.39926535484503506		685438353.0	150.0	0.00017705382436260624	0.000708215297450425	0.0005311614730878187	0.0005311614730878187	9471.350920679886	0.005036390629909327	18		COMPLETE
19	0.37376062322946174	2020-05-11 04:02:59.599608	2020-05-11 07:24:48.570562	0.9468524186659631	23.809039519886998	128	0.34331910570965596	256	44	0.004459824362273368	512	0.4087479285167525	0.000708215297450425	0.37376062322946174	0.317457507082153	0.35074362606232296	8283.470077903683	0.16171760855678488	0.000708215297450425	0.37376062322946174	0.317457507082153	0.35074362606232296	8283.468661473087	0.16171760857074743		1914251275.0	300.0	0.000708215297450425	0.37376062322946174	0.317457507082153	0.35074362606232296	8283.471494334277	0.1617176085428244	19		COMPLETE
