Replicate	Epoch	Loss
0	0	0.00015196657062806836
0	1	7.675848511176011e-05
0	2	6.724008796172151e-05
0	3	6.398124157779089e-05
0	4	6.236917300472707e-05
0	5	6.09552632674115e-05
0	6	5.957890523140914e-05
0	7	5.8378745643185016e-05
0	8	5.716254035817378e-05
0	9	5.618774710334971e-05
0	10	5.523340694097474e-05
0	11	5.446279105327472e-05
0	12	5.3842064283934686e-05
0	13	5.316748027039429e-05
0	14	5.26135487933629e-05
0	15	5.2071280665789326e-05
0	16	5.1684869288041406e-05
0	17	5.1380391466878945e-05
0	18	5.1068889783529245e-05
0	19	5.080722542408517e-05
0	20	5.0470140829796714e-05
0	21	5.014601041334513e-05
0	22	4.9921514434152935e-05
0	23	4.979772156622253e-05
0	24	4.957729374097375e-05
0	25	4.949026078727494e-05
0	26	4.9302429731840346e-05
0	27	4.914365258069572e-05
0	28	4.8906365442458584e-05
0	29	4.886353066560995e-05
0	30	4.873314443728773e-05
0	31	4.853978863405927e-05
0	32	4.84244974456577e-05
0	33	4.835342446410724e-05
0	34	4.8213041632949035e-05
0	35	4.8102408215065505e-05
0	36	4.8108980158090244e-05
0	37	4.797273193044492e-05
0	38	4.791380331791656e-05
0	39	4.777664557219214e-05
0	40	4.7740402162117315e-05
0	41	4.763617762638741e-05
0	42	4.754248462490205e-05
0	43	4.7488110747190386e-05
0	44	4.7502853408896136e-05
0	45	4.730012885784734e-05
0	46	4.7274058592090105e-05
0	47	4.7215844533271225e-05
0	48	4.726396055879552e-05
0	49	4.710410930231743e-05
0	50	4.706548459752185e-05
0	51	4.697138247139914e-05
0	52	4.6944330288309116e-05
0	53	4.6973759014289624e-05
0	54	4.6944764589386876e-05
0	55	4.6927521562909885e-05
0	56	4.682649519908251e-05
0	57	4.675007237730086e-05
0	58	4.681856268814084e-05
0	59	4.682023539722651e-05
0	60	4.6761445622611885e-05
0	61	4.6693345363943405e-05
0	62	4.6622970629017877e-05
0	63	4.652301343915587e-05
0	64	4.651532475679679e-05
0	65	4.6567558572864174e-05
0	66	4.6539783936400125e-05
0	67	4.650187089618876e-05
0	68	4.64441321877778e-05
0	69	4.642686944549106e-05
0	70	4.641885441073351e-05
0	71	4.6376563811180026e-05
0	72	4.640232765043274e-05
0	73	4.6384157288305436e-05
0	74	4.6332175300540126e-05
0	75	4.627220012802065e-05
0	76	4.6218733044150856e-05
0	77	4.624398127101369e-05
0	78	4.619676781052961e-05
0	79	4.624289698688264e-05
0	80	4.616928418649922e-05
0	81	4.615899390995527e-05
0	82	4.6084681234950233e-05
0	83	4.611753868652578e-05
0	84	4.6036990282695565e-05
0	85	4.606924166941291e-05
0	86	4.603269891491526e-05
0	87	4.6098566301790324e-05
0	88	4.606123458824361e-05
0	89	4.6063248508665126e-05
0	90	4.599865684343212e-05
0	91	4.5972275428327985e-05
0	92	4.602320787596119e-05
0	93	4.601092143173384e-05
0	94	4.5991969504336784e-05
0	95	4.593705812963343e-05
0	96	4.59560069871206e-05
0	97	4.5916076320402965e-05
0	98	4.582366278186623e-05
0	99	4.592909144572286e-05
0	100	4.58982826429829e-05
0	101	4.586827351763816e-05
0	102	4.5778054582842574e-05
0	103	4.5808553361775746e-05
0	104	4.577793661776016e-05
0	105	4.578360309758018e-05
0	106	4.573075078771188e-05
0	107	4.586639750315449e-05
0	108	4.587688986324177e-05
0	109	4.589634803183967e-05
0	110	4.5803901691180186e-05
0	111	4.5817010955104484e-05
0	112	4.574895363153678e-05
0	113	4.570192300290404e-05
0	114	4.574143881037145e-05
0	115	4.568224687880814e-05
0	116	4.5657271617398305e-05
0	117	4.563906421219038e-05
0	118	4.566520919280295e-05
0	119	4.5686984585116714e-05
0	120	4.570322155670868e-05
0	121	4.561562015382082e-05
0	122	4.565393820083225e-05
0	123	4.557941066049945e-05
0	124	4.5639522014022125e-05
0	125	4.5645636077602415e-05
0	126	4.565597553504411e-05
0	127	4.565755842658952e-05
0	128	4.563228101267297e-05
0	129	4.563412015519803e-05
0	130	4.559361203123004e-05
0	131	4.5611305743170345e-05
0	132	4.556598424985429e-05
0	133	4.557443355576662e-05
0	134	4.555524120913558e-05
0	135	4.5587609495864554e-05
0	136	4.555805570651166e-05
0	137	4.550686443140625e-05
0	138	4.547698150744192e-05
0	139	4.5519920368854414e-05
0	140	4.547037660052336e-05
0	141	4.550479038918872e-05
0	142	4.5449218900012535e-05
0	143	4.544613051487019e-05
0	144	4.549529719515729e-05
0	145	4.551337877613893e-05
0	146	4.554336656266439e-05
0	147	4.5471594810837e-05
0	148	4.5481410992179356e-05
0	149	4.548579188356906e-05
0	150	4.545563213969893e-05
0	151	4.540072304724557e-05
0	152	4.5377319321301635e-05
0	153	4.5436975753078606e-05
0	154	4.543644847883385e-05
0	155	4.5414272870512504e-05
0	156	4.543189339834449e-05
0	157	4.544867875546123e-05
0	158	4.541942307807877e-05
0	159	4.5345419025176306e-05
0	160	4.543488154028449e-05
0	161	4.541950763416315e-05
0	162	4.5406734328534664e-05
0	163	4.539875137868364e-05
0	164	4.5410487266412285e-05
0	165	4.5378857093057624e-05
0	166	4.53937925023395e-05
0	167	4.5402772790139806e-05
0	168	4.5289591277539726e-05
0	169	4.5367767818307566e-05
0	170	4.532406228765472e-05
0	171	4.534424742176145e-05
0	172	4.533051049981441e-05
0	173	4.536744253066818e-05
0	174	4.532781589131846e-05
0	175	4.5363830548377935e-05
0	176	4.53406394924754e-05
0	177	4.529544118424185e-05
0	178	4.5326048650577686e-05
0	179	4.534785545733639e-05
0	180	4.530653437765443e-05
0	181	4.528734216754694e-05
0	182	4.530099211183076e-05
0	183	4.5308083671624744e-05
0	184	4.5274136157044224e-05
0	185	4.519985559842717e-05
0	186	4.5234749111864887e-05
0	187	4.5302414573232996e-05
0	188	4.521813396907971e-05
0	189	4.534130510124223e-05
0	190	4.526549485007158e-05
0	191	4.5203938291506206e-05
0	192	4.530033187361398e-05
0	193	4.533397019443849e-05
0	194	4.5340678274828755e-05
0	195	4.5297060385131665e-05
0	196	4.5271751212344304e-05
0	197	4.52093958949566e-05
0	198	4.520688082210963e-05
0	199	4.525000849934443e-05
0	200	4.524747738622608e-05
