model	loss	training_approach	inverse_relations	hits@10 (%)
ComplEx	BCEL	sLCWA	True	0.6257527097551184
ConvKB	SPL	sLCWA	True	0.581493376154155
DistMult	BCEL	sLCWA	False	0.555800883179446
ERMLP	BCEL	sLCWA	True	0.5853071055800884
HolE	BCEL	sLCWA	False	0.6017663588920112
MuRE	SPL	sLCWA	True	0.668506623845845
QuatE	SPL	sLCWA	True	0.6070855078281815
RESCAL	SPL	sLCWA	True	0.5404456041750301
RotatE	NSSAL	sLCWA	True	0.6307707747892413
SE	NSSAL	sLCWA	True	0.2975712565234845
TransD	MRL	sLCWA	False	0.3539743075070253
TransE	MRL	sLCWA	True	0.4921718185467684
