number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351
0	TrialState.COMPLETE	0.01307247403210576	2020-01-04 13:40:40.298466	2020-01-04 13:54:47.928521	0.5220169929333348	14.117776282940245	450.0	1	90.0	0.009686172581207186	1400.0	0.7015208517165618	0.000708215297450425	0.01307247403210576	0.003777148253068933	0.006728045325779037	14219.19523135033	0.005242835459308557	0.000708215297450425	0.01307247403210576	0.003777148253068933	0.006728045325779037	14219.1826605288	0.005242836080999983	0.000708215297450425	0.01307247403210576	0.003777148253068933	0.006728045325779037	14219.20780217186	0.00524283483872001	0			0.012969192634560906	0.013031161473087818			
1	TrialState.COMPLETE	0.000796742209631728	2020-01-04 13:54:47.929758	2020-01-04 13:59:31.266308	0.6777197615566375	20.760483605862113	150.0	2	20.0	0.00211225168979699	800.0	0.9840372714337094	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.000708215297450425	19949.2169351983	0.0009402440411008899	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.000708215297450425	19949.20162004249	0.0009402442104898916	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.000708215297450425	19949.232250354107	0.0009402438717793234	1	0.000708215297450425	0.000767233238904627					
2	TrialState.COMPLETE	0.011833097261567517	2020-01-04 13:59:31.268189	2020-01-04 14:09:47.631695	0.48361384351935566	26.599388171101126	250.0	1	60.0	0.009054571372425222	1400.0	0.7820477336915003	0.000708215297450425	0.011833097261567517	0.003068932955618508	0.0056657223796034	15852.579113550519	0.004803028790678724	0.000708215297450425	0.011833097261567517	0.003068932955618508	0.0056657223796034	15852.569759206799	0.004803028942075915	0.000708215297450425	0.011833097261567517	0.003068932955618508	0.0056657223796034	15852.58846789424	0.004803028639347915	2			0.011729815864022664	0.011791784702549575			
3	TrialState.COMPLETE	0.0034525495750708213	2020-01-04 14:09:47.632950	2020-01-04 14:15:51.163770	0.48573222720439657	16.375897529259007	350.0	1	40.0	0.0013543329134221664	700.0	0.9433909865718778	0.000708215297450425	0.0034525495750708213	0.0015049575070821529	0.0018590651558073655	19125.26292492918	0.0017878968770751848	0.000708215297450425	0.0034525495750708213	0.0015049575070821529	0.0018590651558073655	19125.24389164306	0.0017878971728400254	0.000708215297450425	0.0034525495750708213	0.0015049575070821529	0.0018590651558073655	19125.2819582153	0.0017878965814624068	3	0.0012393767705382436	0.0027148253068932956					
4	TrialState.COMPLETE	0.17539785035827363	2020-01-04 14:15:51.164983	2020-01-04 15:11:58.551040	0.9949206267351429	7.976911856055119	450.0	1	100.0	0.024971856493226273	800.0	0.5669073863477716	0.000708215297450425	0.17539785035827363	0.12996792201299784	0.15867147142142976	11488.27595921513	0.06779903456704729	0.000708215297450425	0.17539785035827363	0.12996792201299784	0.15867147142142976	11488.271715130812	0.06779903801661066	0.000708215297450425	0.17539785035827363	0.12996792201299784	0.15867147142142976	11488.28020329945	0.06779903116184682	4							
5	TrialState.COMPLETE	0.0014606940509915014	2020-01-04 15:11:58.553666	2020-01-04 15:18:12.212912	0.6461791393792297	14.20665589587381	350.0	2	70.0	0.0012430389237642987	1700.0	0.9567996262567413	0.000708215297450425	0.0014606940509915014	0.001106586402266289	0.0011951133144475921	19397.409149256375	0.0012567317827233621	0.000708215297450425	0.0014606940509915014	0.001106586402266289	0.0011951133144475921	19397.383587110482	0.0012567323778533525	0.000708215297450425	0.0014606940509915014	0.001106586402266289	0.0011951133144475921	19397.434711402268	0.0012567311881410627	5	0.000796742209631728	0.0012393767705382436					
6	TrialState.COMPLETE	0.0017262747875354107	2020-01-04 15:18:12.213704	2020-01-04 15:22:36.876974	0.9618346530973607	7.627785220698399	50.0	1	100.0	0.013151598189344983	1300.0	0.9398318539206642	0.000708215297450425	0.0017262747875354107	0.000796742209631728	0.00141643059490085	19052.63383055949	0.0012122148843575235	0.000708215297450425	0.0017262747875354107	0.000796742209631728	0.00141643059490085	19052.629027974504	0.0012122149417012396	0.000708215297450425	0.0017262747875354107	0.000796742209631728	0.00141643059490085	19052.638633144477	0.001212214827029028	6	0.0011508498583569404	0.001534466477809254					
7	TrialState.COMPLETE	0.014164305949008499	2020-01-04 15:22:36.878255	2020-01-04 15:34:27.318821	0.8727986932519788	9.991490869547633	350.0	2	50.0	0.03001344042369323	1500.0	0.7364822377645098	0.000708215297450425	0.014164305949008499	0.0034230406043437205	0.006905099150141643	14928.136419971672	0.0053523037832576715	0.000708215297450425	0.014164305949008499	0.0034230406043437205	0.006905099150141643	14928.118655571294	0.005352304223637222	0.000708215297450425	0.014164305949008499	0.0034230406043437205	0.006905099150141643	14928.15418437205	0.005352303343322718	7			0.013544617563739376	0.01391643059490085			
8	TrialState.COMPLETE	0.0035410764872521247	2020-01-04 15:34:27.319993	2020-01-04 15:41:38.692623	0.22509388235025424	18.924828135071067	150.0	2	90.0	0.021566208195998766	800.0	0.8381825323546462	0.000708215297450425	0.0035410764872521247	0.0014518413597733712	0.0020538243626062325	16991.308781869688	0.0019717991877415183	0.000708215297450425	0.0035410764872521247	0.0014518413597733712	0.0020538243626062325	16991.294015580737	0.0019717994913488524	0.000708215297450425	0.0035410764872521247	0.0014518413597733712	0.0020538243626062325	16991.32354815864	0.001971798884333122	8		0.003895184135977337	0.003673866855524079				
