number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	251	301	351	401	601	651	901	951	1151	1201	1301	1351
0	TrialState.COMPLETE	8.852691218130312e-05	2020-01-05 17:13:38.417663	2020-01-05 17:32:16.192904	100.0	51.0	0.0899873898828707	600.0	0.9349929353105483	0.0	8.852691218130312e-05	0.0	0.0	18954.956998052407	0.00024929826603742745	0.75	0.7500885269121813	0.75	0.75	3750.7234419263455	0.7502123037883562	0.0	8.852691218130312e-05	0.0	0.0	34159.19055417847	0.000230801421754955	0	0.00017705382436260624	0.00011803588290840416													
1	TrialState.COMPLETE	0.1350307801263892	2020-01-05 17:32:16.193639	2020-01-05 21:10:02.560031	150.0	11.0	0.001775577507598844	1900.0	0.36476733419893703	0.047933918064937894	0.1350307801263892	0.08595963172804533	0.10623910438003922	7394.037348142297	0.07790338859509008	0.047933918064937894	0.1350307801263892	0.08595963172804533	0.10623910438003922	7394.036187077795	0.07790338906554771	0.047933918064937894	0.1350307801263892	0.08595963172804533	0.10623910438003922	7394.038509206799	0.07790338812663533	1												0.1338010505193579	0.13444050991501416		
2	TrialState.COMPLETE	0.07610518860891606	2020-01-05 21:10:02.560837	2020-01-06 00:05:44.806996	150.0	61.0	0.001087499294723714	900.0	0.4525880448486355	0.021824213508274938	0.07610518860891606	0.0434247800805129	0.05576263605188609	9174.320434806918	0.040765563248512916	0.021824213508274938	0.07610518860891606	0.0434247800805129	0.05576263605188609	9174.319032354257	0.04076556335769859	0.021824213508274938	0.07610518860891606	0.0434247800805129	0.05576263605188609	9174.32183725958	0.040765563139471314	2															
3	TrialState.COMPLETE	0.1773371104815864	2020-01-06 00:05:44.807757	2020-01-06 01:04:59.045714	50.0	91.0	0.021791186650766663	700.0	0.3312846488040687	0.06720963172804532	0.1773371104815864	0.11382790368271954	0.13896954674220963	6715.400097379604	0.10486492677722879	0.06917492917847025	0.1773371104815864	0.11386331444759207	0.13896954674220963	6715.3975566572235	0.1056174056200503	0.06720963172804532	0.1773371104815864	0.11373937677053825	0.13893413597733711	6715.402638101983	0.1045409603451766	3						0.17674398016997167	0.17707349700975764								
4	TrialState.COMPLETE	0.0018590651558073655	2020-01-06 01:04:59.046477	2020-01-06 01:18:59.533542	50.0	1.0	0.0012067993172668167	1300.0	0.7770984833537907	0.000398371104815864	0.0018590651558073655	0.000796742209631728	0.0010180594900849858	15752.732427407933	0.0014386409696864986	0.000398371104815864	0.0018590651558073655	0.000796742209631728	0.0010180594900849858	15752.731453611897	0.0014386409753555684	0.000398371104815864	0.0018590651558073655	0.000796742209631728	0.0010180594900849858	15752.733401203966	0.0014386409640180801	4	0.0008852691218130312	0.001534466477809254													
5	TrialState.COMPLETE	0.0004868980169971671	2020-01-06 01:18:59.534405	2020-01-06 01:34:29.911682	50.0	41.0	0.07505485454823782	1400.0	0.909013485034069	0.0	0.0004868980169971671	4.426345609065156e-05	8.852691218130312e-05	18428.38292315864	0.00034502816123972734	0.7498229461756374	0.7503098441926346	0.749867209631728	0.7499114730878187	3387.039571529745	0.7501304800192646	0.0	0.0004868980169971671	4.426345609065156e-05	8.852691218130312e-05	33469.726274787536	0.000326281431754533	5	0.0009737960339943342	0.0006491973559962229													
6	TrialState.COMPLETE	0.05906515580736544	2020-01-06 01:34:29.912357	2020-01-06 02:01:05.017655	100.0	81.0	0.03439351519261211	2000.0	0.4069956706860995	0.01104815864022663	0.05906515580736544	0.02762039660056657	0.039305949008498584	8250.099097025495	0.028283280629519212	0.019405099150141644	0.059348441926345606	0.03179886685552408	0.04178470254957507	8250.07064447592	0.03372606184116233	0.01104815864022663	0.05708215297450425	0.02645184135977337	0.03760623229461756	8250.12754957507	0.02727728245835501	6		0.06586402266288952	0.06161473087818697												
7	TrialState.COMPLETE	0.14825533885378078	2020-01-06 02:01:05.018452	2020-01-06 05:54:22.041517	150.0	21.0	0.002108655402131981	1800.0	0.33818454275928106	0.0543146655044672	0.14825533885378078	0.09607893876661582	0.11801999346262802	6855.0547743244715	0.08682699467944446	0.0543146655044672	0.14825533885378078	0.09607893876661582	0.11801999346262802	6855.053592830682	0.0868269953481377	0.0543146655044672	0.14825533885378078	0.09607893876661582	0.11801999346262802	6855.055955818261	0.08682699401591229	7												0.14690303352219075	0.14760623229461756		
8	TrialState.COMPLETE	0.10336280160203185	2020-01-06 05:54:22.042573	2020-01-06 09:38:28.408979	100.0	61.0	0.001665352869873331	1700.0	0.38458450527198	0.03588087330272541	0.10336280160203185	0.06425832763504934	0.07913084888150826	7795.623293567452	0.05952598951801269	0.03588087330272541	0.10336280160203185	0.06425832763504934	0.07913084888150826	7795.621983979681	0.0595259898000381	0.03588087330272541	0.10336280160203185	0.06425832763504934	0.07913084888150826	7795.624603155221	0.0595259892373069	8														0.10165512538033784	0.10253945770942938
