number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.08146067415730338	2020-05-22 22:41:34.464908	2020-05-22 22:43:59.537853	0.879195984213679	19.77004542475461	64	64	2	30	0.023076090131924736	512	1.1782786225776227	0.008426966292134831	0.08146067415730338	0.027153558052434457	0.04307116104868914	56.99274344569288	0.04450108710190891	0.008426966292134831	0.08146067415730338	0.027153558052434457	0.04307116104868914	56.99016853932584	0.04450223907662534	1078670455	350	0.008426966292134831	0.08146067415730338	0.027153558052434457	0.04307116104868914	56.995318352059925	0.04449997594475599	0	COMPLETE
1	0.36657303370786515	2020-05-22 22:43:59.642159	2020-05-22 22:47:33.849730	0.41149543179234893	3.878575459936377	64	64	2	65	0.003720242814819716	128	0.37918135293319905	0.012640449438202247	0.36657303370786515	0.08146067415730338	0.15917602996254682	18.312265917602996	0.11724592565856824	0.012640449438202247	0.36657303370786515	0.08146067415730338	0.15917602996254682	18.312265917602996	0.11724592565856824	1414339522	200	0.012640449438202247	0.36657303370786515	0.08146067415730338	0.15917602996254682	18.312265917602996	0.11724592565856824	1	COMPLETE
2	0.08426966292134831	2020-05-22 22:47:33.959950	2020-05-22 22:50:00.326139	0.45629074128287583	21.30272874638815	256	64	2	18	0.004995759385155324	256	1.1775431593806807	0.00749063670411985	0.08426966292134831	0.023408239700374533	0.042134831460674156	56.932818352059925	0.04429991384627862	0.00749063670411985	0.08426966292134831	0.023408239700374533	0.042134831460674156	56.93071161048689	0.04430102149161382	954148028	200	0.00749063670411985	0.08426966292134831	0.023408239700374533	0.042134831460674156	56.934925093632955	0.04429884587411809	2	COMPLETE
3	0.06367041198501873	2020-05-22 22:50:00.430969	2020-05-22 22:52:56.320300	0.8430502674871257	17.790743547259463	256	128	2	22	0.001083239847827144	256	1.214300631438225	0.0046816479400749065	0.06367041198501873	0.016853932584269662	0.030430711610486893	58.71465355805243	0.03674954522117889	0.0046816479400749065	0.06367041198501873	0.016853932584269662	0.030430711610486893	58.712078651685395	0.036750437063387	2265142	150	0.0046816479400749065	0.06367041198501873	0.016853932584269662	0.030430711610486893	58.71722846441948	0.03674867374222512	3	COMPLETE
4	0.07443820224719101	2020-05-22 22:52:56.438109	2020-05-22 22:54:23.128431	0.48226746270066156	22.71705165335389	256	64	2	13	0.03570529045176332	256	1.1682862337985624	0.006554307116104869	0.07443820224719101	0.019194756554307114	0.0351123595505618	56.412921348314605	0.04150774133184156	0.006554307116104869	0.07443820224719101	0.019194756554307114	0.0351123595505618	56.41151685393258	0.04150803700930743	1791871090	150	0.006554307116104869	0.07443820224719101	0.019194756554307114	0.0351123595505618	56.41432584269663	0.04150745050087577	4	COMPLETE
5	0.07303370786516854	2020-05-22 22:54:23.221095	2020-05-22 22:56:58.176456	0.6625627205300002	25.532801479033512	64	256	2	10	0.0031032824585466735	256	1.180610064978708	0.0056179775280898875	0.07303370786516854	0.019194756554307114	0.03417602996254682	57.02317415730337	0.03995740644845882	0.0056179775280898875	0.07303370786516854	0.019194756554307114	0.03417602996254682	57.00936329588015	0.03996156857611316	1917089856	250	0.0056179775280898875	0.07303370786516854	0.019194756554307114	0.03417602996254682	57.03698501872659	0.03995340964602309	5	COMPLETE
6	0.11470037453183521	2020-05-22 22:56:58.274450	2020-05-22 23:09:14.229250	0.8268135662020373	9.503122518124677	128	64	2	93	0.0016387679166174453	128	1.0206055130595026	0.020599250936329586	0.11470037453183521	0.04119850187265917	0.06179775280898876	49.35159176029963	0.06241856769371607	0.020599250936329586	0.11470037453183521	0.04119850187265917	0.06179775280898876	49.35159176029963	0.06241856769371607	1458203443	400	0.020599250936329586	0.11470037453183521	0.04119850187265917	0.06179775280898876	49.35159176029963	0.06241856769371607	6	COMPLETE
7	0.1100187265917603	2020-05-22 23:09:14.357628	2020-05-22 23:19:57.042569	0.721402047995216	8.609334710454405	128	256	2	43	0.008507267656349782	128	0.9987882800977538	0.016853932584269662	0.1100187265917603	0.04400749063670412	0.06694756554307116	48.29073033707865	0.06147442408627063	0.016853932584269662	0.1100187265917603	0.04400749063670412	0.06694756554307116	48.29073033707865	0.06147442408627063	1499928717	250	0.016853932584269662	0.1100187265917603	0.04400749063670412	0.06694756554307116	48.29073033707865	0.06147442408627063	7	COMPLETE
8	0.11095505617977527	2020-05-22 23:19:57.149689	2020-05-22 23:23:23.488406	0.9495363806029417	7.481159038070375	256	64	2	12	0.02543506826109084	256	0.9772095860336115	0.0149812734082397	0.11095505617977527	0.04119850187265917	0.06413857677902622	47.229166666666664	0.06051847180774555	0.0149812734082397	0.11095505617977527	0.04119850187265917	0.06413857677902622	47.228932584269664	0.060518560931064426	1937887079	300	0.0149812734082397	0.11095505617977527	0.04119850187265917	0.06413857677902622	47.22940074906367	0.06051838439833667	8	COMPLETE
9	0.05758426966292135	2020-05-22 23:23:23.586385	2020-05-22 23:28:07.294295	0.4474832004363194	11.253630487357643	256	128	2	43	0.09530347113924958	256	1.1689112292958443	0.00749063670411985	0.05758426966292135	0.0149812734082397	0.026685393258426966	56.49016853932584	0.03865671556392255	0.00749063670411985	0.05758426966292135	0.0149812734082397	0.026685393258426966	56.489700374531836	0.03865681149613769	1278809235	150	0.00749063670411985	0.05758426966292135	0.0149812734082397	0.026685393258426966	56.49063670411985	0.038656621007007605	9	COMPLETE
