number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	451	501	651	701	851	901	951
0	TrialState.COMPLETE	0.0038585530069610865	2020-01-20 03:26:43.828571	2020-01-20 03:53:17.955172	350.0	31.0	0.08407083489049676	1000.0	0.7364662777259101	0.0026888622617824947	0.0038585530069610865	0.0031239301609038	0.0034163528471984482	5247.557963882232	0.003713301335240738	0.0026888622617824947	0.0038585530069610865	0.0031239301609038	0.0034163528471984482	5247.5576072692	0.0037133013559446557	0.0026888622617824947	0.0038585530069610865	0.0031239301609038	0.0034163528471984482	5247.5583204952645	0.003713301314546033	0	0.003466278671687778	0.003727794895203317								
1	TrialState.COMPLETE	0.2846741983339039	2020-01-20 03:53:17.955940	2020-01-20 06:26:11.498595	50.0	91.0	0.0035492230498919792	700.0	0.11774389728788026	0.0687511887101069	0.2846741983339039	0.1472383886796759	0.1992335197230781	830.9253052607554	0.1384207015611454	0.0687511887101069	0.28467610027007495	0.1472383886796759	0.1992335197230781	830.924611054053	0.13842071075293547	0.0687511887101069	0.2846741983339039	0.1472383886796759	0.1992335197230781	830.9259994674579	0.138420693193198	1										
2	TrialState.COMPLETE	0.289071474761307	2020-01-20 06:26:11.499421	2020-01-20 08:56:18.956828	50.0	31.0	0.0025400904840835615	700.0	0.09995181356673676	0.0751626155426224	0.289071474761307	0.1531591159800677	0.20489558370421088	704.9040321046825	0.14455801275830715	0.0751626155426224	0.289071474761307	0.1531591159800677	0.20489558370421088	704.9034710335121	0.14455801285241973	0.0751626155426224	0.289071474761307	0.1531591159800677	0.20489558370421088	704.904593175853	0.1445580126645575	2										
3	TrialState.COMPLETE	0.006413328768686523	2020-01-20 08:56:18.957625	2020-01-20 09:36:22.350197	250.0	51.0	0.03681606294151039	500.0	0.6134207503718643	0.00219103046901746	0.006413328768686523	0.003235193426908593	0.004313591235878124	4368.638922172772	0.00460555047197904	0.00219103046901746	0.006413328768686523	0.003235193426908593	0.004313591235878124	4368.638462855187	0.0046055505055379725	0.00219103046901746	0.006413328768686523	0.003235193426908593	0.004313591235878124	4368.639381490357	0.00460555043844028	3		0.006200311917532048	0.006333447449503595							
4	TrialState.COMPLETE	0.2837569896154285	2020-01-20 09:36:22.351022	2020-01-20 12:47:41.427122	50.0	51.0	0.003795284221517293	1000.0	0.09061792851440223	0.07040111833846856	0.2837569896154285	0.1482882574460801	0.19949931530297843	637.8314825116969	0.13983082355903875	0.07040111833846856	0.2837569896154285	0.1482882574460801	0.19949931530297843	637.8310823918749	0.13983083223219583	0.07040111833846856	0.2837569896154285	0.1482882574460801	0.19949931530297843	637.8318826315189	0.1398308157229092	4								0.2820555492157683	0.2829510441629579	
5	TrialState.COMPLETE	0.296924268905746	2020-01-20 12:47:41.430182	2020-01-20 18:26:51.962826	450.0	81.0	0.0018035939525076537	900.0	0.12952870302967398	0.07095323038853553	0.296924268905746	0.15361838351441767	0.20920797371724414	915.5339345453672	0.14319685632690615	0.07095323038853553	0.296924268905746	0.15361838351441767	0.20920797371724414	915.5332318300029	0.1431968570009489	0.07095323038853553	0.296924268905746	0.15361838351441767	0.20920797371724414	915.5346372607314	0.14319685566478235	5										
6	TrialState.COMPLETE	0.08075145498117083	2020-01-20 18:26:51.963628	2020-01-20 20:57:23.608377	250.0	91.0	0.009074475408411957	600.0	0.27087392198590804	0.015557837878960782	0.08075145498117083	0.03486011259462132	0.05047500855871277	1919.8688258397049	0.03980484280481899	0.015557837878960782	0.08075145498117083	0.03486011259462132	0.05047500855871277	1919.8683979040663	0.03980484470008666	0.015557837878960782	0.08075145498117083	0.03486011259462132	0.05047500855871277	1919.8692537753434	0.039804840944332315	6				0.08041195937464339	0.08059713879638562					
7	TrialState.COMPLETE	0.16274214024877326	2020-01-20 20:57:23.609174	2020-01-21 00:43:48.698775	450.0	51.0	0.0043918724510913715	800.0	0.17149178954800046	0.029434839666780784	0.16274214024877326	0.06919362661189091	0.10135833903914185	1210.74933313363	0.07350465779855692	0.029434839666780784	0.16274214024877326	0.06919362661189091	0.10135833903914185	1210.7488784520142	0.07350465894497313	0.029434839666780784	0.16274214024877326	0.06919362661189091	0.10135833903914185	1210.749787815246	0.07350465666728975	7						0.16140713389087233	0.1621191372817528			
8	TrialState.COMPLETE	0.1414952729571011	2020-01-21 00:43:48.699677	2020-01-21 02:57:54.114440	150.0	41.0	0.007564691965564924	600.0	0.16318258573098127	0.025239424503375206	0.1414952729571011	0.059327241285474765	0.0865132243084999	1152.1903819819345	0.06475044850634436	0.025239424503375206	0.1414952729571011	0.059327241285474765	0.0865132243084999	1152.1901263178222	0.06475044884234608	0.025239424503375206	0.1414952729571011	0.059327241285474765	0.0865132243084999	1152.1906376460468	0.0647504481724191	8										
9	TrialState.COMPLETE	0.005370592262923656	2020-01-21 02:57:54.115256	2020-01-21 03:20:01.205416	150.0	11.0	0.04490169552205632	500.0	0.6380855528979333	0.0031595914641104643	0.005370592262923656	0.0037230400547757616	0.004143843432614401	4548.456086671231	0.004908939673535275	0.0031595914641104643	0.005370592262923656	0.0037230400547757616	0.004143843432614401	4548.455844174369	0.004908939711191787	0.0031595914641104643	0.005370592262923656	0.0037230400547757616	0.004143843432614401	4548.456329168093	0.004908939635911155	9	0.0046644984594317014	0.005135227661759671								
