number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.672752808988764	2020-05-14 19:43:05.946064	2020-05-14 20:13:33.316854	0.49350479915231316	23.739988024182004	256	0.2689335377422944	200	18	0.02967890919774347	128	0.2880450804091725	0.14559925093632958	0.672752808988764	0.3609550561797753	0.4836142322097378	13.937968164794007	0.3154623455359443	0.27668539325842695	0.6741573033707865	0.4597378277153558	0.5337078651685393	13.467228464419476	0.4070282231162321	3948815426	300	0.14559925093632958	0.6381086142322098	0.33754681647940077	0.4410112359550562	14.40870786516854	0.29659126546451076	0	COMPLETE
1	0.9372659176029963	2020-05-14 20:13:33.445547	2020-05-14 21:22:57.398989	0.7754623486309226	15.099961185874207	64	0.47153302461174473	100	95	0.0014665204302031665	512	0.08880789559125231	0.29681647940074907	0.9372659176029963	0.625	0.7837078651685393	4.271535580524344	0.500870003189168	0.29681647940074907	0.9372659176029963	0.625	0.7837078651685393	4.271535580524344	0.500870003189168	4227929469	850	0.29681647940074907	0.9372659176029963	0.625	0.7837078651685393	4.271535580524344	0.500870003189168	1	COMPLETE
2	0.9194756554307116	2020-05-14 21:22:57.553934	2020-05-14 22:38:03.959174	0.22390177386377302	19.403402519828	256	0.24811335943377802	150	40	0.001377582749858562	256	0.09222238931250287	0.3497191011235955	0.9194756554307116	0.6760299625468165	0.8113295880149812	4.428838951310861	0.5445789173625859	0.3497191011235955	0.9194756554307116	0.6760299625468165	0.8113295880149812	4.428838951310861	0.5445789173625859	1480094429	450	0.3497191011235955	0.9194756554307116	0.6760299625468165	0.8113295880149812	4.428838951310861	0.5445789173625859	2	COMPLETE
3	0.924625468164794	2020-05-14 22:38:04.054617	2020-05-14 23:15:34.763340	0.3603638491325015	27.602532757574544	256	0.3612580953932719	400	14	0.054179495992317424	128	0.10519242046875286	0.10486891385767791	0.924625468164794	0.475187265917603	0.7373595505617978	5.063904494382022	0.37226678257767043	0.5922284644194756	0.9400749063670412	0.7509363295880149	0.8375468164794008	3.591292134831461	0.6998299866012809	2986661352	250	0.10486891385767791	0.8562734082397003	0.35908239700374533	0.5552434456928839	6.536516853932584	0.3073031276571654	3	COMPLETE
4	0.9555243445692884	2020-05-14 23:15:34.912348	2020-05-14 23:57:06.304422	0.1991878493339148	18.866826735789477	64	0.46881944017992183	250	78	0.009620110396287325	512	0.07195337835702809	0.38108614232209737	0.9555243445692884	0.7471910112359551	0.8670411985018727	3.4616104868913857	0.5848589874765782	0.38108614232209737	0.9555243445692884	0.7471910112359551	0.8670411985018727	3.4616104868913857	0.5848589874765782	3537774102	350	0.38108614232209737	0.9555243445692884	0.7471910112359551	0.8670411985018727	3.4616104868913857	0.5848589874765782	4	COMPLETE
5	0.9185393258426966	2020-05-14 23:57:06.413525	2020-05-15 00:02:22.079381	0.5669894526593694	27.704793007699596	128	0.3617349995958892	200	9	0.018648494713437217	256	0.09011037374257148	0.3904494382022472	0.9185393258426966	0.6924157303370787	0.8230337078651685	4.339887640449438	0.5703626027605873	0.3904494382022472	0.9185393258426966	0.6924157303370787	0.8230337078651685	4.339887640449438	0.5703626027605873	2382595312	200	0.3904494382022472	0.9185393258426966	0.6924157303370787	0.8230337078651685	4.339887640449438	0.5703626027605873	5	COMPLETE
6	0.9452247191011236	2020-05-15 00:02:22.192598	2020-05-15 00:44:54.398690	0.9506514978947016	28.148908555744654	64	0.2995860032872387	400	61	0.01567527829169109	512	0.07719114039194411	0.37640449438202245	0.9452247191011236	0.7153558052434457	0.8455056179775281	3.723314606741573	0.5720208908058448	0.37640449438202245	0.9452247191011236	0.7153558052434457	0.8455056179775281	3.723314606741573	0.5720208908058448	2397951806	300	0.37640449438202245	0.9452247191011236	0.7153558052434457	0.8455056179775281	3.723314606741573	0.5720208908058448	6	COMPLETE
7	0.9400749063670412	2020-05-15 00:44:54.488545	2020-05-15 01:34:32.679586	0.21536779980989101	18.898354087835678	256	0.24026687017949178	300	21	0.009744537930320783	128	0.0830462318871254	0.351123595505618	0.9400749063670412	0.6624531835205992	0.8108614232209738	4.0	0.5424380090532733	0.351123595505618	0.9400749063670412	0.6624531835205992	0.8108614232209738	4.0	0.5424380090532733	194045809	300	0.351123595505618	0.9400749063670412	0.6624531835205992	0.8108614232209738	4.0	0.5424380090532733	7	COMPLETE
8	0.7794943820224719	2020-05-15 01:34:32.785284	2020-05-15 01:41:09.342593	0.9427653401915768	12.35177782307491	64	0.48108338101132	500	7	0.09073830109451932	128	0.16573920844328566	0.02200374531835206	0.7794943820224719	0.14794007490636704	0.3506554307116105	8.015215355805243	0.1980242701759318	0.7879213483146067	0.9410112359550562	0.8384831460674157	0.8707865168539326	2.9873595505617976	0.8296083421714439	2169244622	200	0.02200374531835206	0.44569288389513106	0.08192883895131087	0.1647940074906367	13.043071161048688	0.1344780072654067	8	COMPLETE
9	0.8141385767790262	2020-05-15 01:41:09.456754	2020-05-15 02:07:58.750808	0.615827804297765	21.077541819697643	64	0.44220530810308467	50	57	0.0017739819732832452	512	0.13426310802401786	0.18820224719101122	0.8141385767790262	0.44756554307116103	0.5978464419475655	6.487827715355805	0.37502035550113283	0.18820224719101122	0.8141385767790262	0.44756554307116103	0.5978464419475655	6.487827715355805	0.37502035550113283	3728354552	800	0.18820224719101122	0.8141385767790262	0.44756554307116103	0.5978464419475655	6.487827715355805	0.37502035550113283	9	COMPLETE
