number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.00017705382436260624	2019-12-30 02:12:37.400445	2019-12-30 02:30:51.365645	350.0	61.0	0.003683758406018937	1000.0	0.9959621290454586	0.0	0.00017705382436260624	0.0	0.0	20191.318431303116	0.00023202133413322397	0.0	0.00017705382436260624	0.0	0.0	20191.31825424929	0.00023202133568437971	0.0	0.00017705382436260624	0.0	0.0	20191.31860835694	0.00023202133258240365	0	0.00017705382436260624	0.00017705382436260624
1	TrialState.COMPLETE	0.0	2019-12-30 02:30:51.366622	2019-12-30 02:49:00.630771	350.0	61.0	0.002685439880386044	700.0	1.0131321872098022	0.0	0.0	0.0	0.0	20539.288996104817	0.00023620708980525554	0.0	0.0	0.0	0.0	20539.2885092068	0.00023620709992527698	0.0	0.0	0.0	0.0	20539.289483002834	0.0002362070796884303	1	0.0	0.0
2	TrialState.COMPLETE	0.0003541076487252125	2019-12-30 02:49:00.632272	2019-12-30 03:04:29.210982	450.0	1.0	0.004959457977418329	800.0	0.9931656497852657	0.0	0.0003541076487252125	0.00017705382436260624	0.0002655807365439094	20134.618426876772	0.00038011344383216347	0.0	0.0003541076487252125	0.00017705382436260624	0.0002655807365439094	20134.618183427763	0.00038011344489902947	0.0	0.0003541076487252125	0.00017705382436260624	0.0002655807365439094	20134.61867032578	0.0003801134427654173	2	0.0003541076487252125	0.0003541076487252125
3	TrialState.COMPLETE	0.00017705382436260624	2019-12-30 03:04:29.211974	2019-12-30 03:17:44.935686	250.0	31.0	0.017275043683136773	1000.0	0.994455846585231	0.0	0.00017705382436260624	4.426345609065156e-05	0.00017705382436260624	20160.839655630312	0.0002385337214902588	0.0	0.00017705382436260624	4.426345609065156e-05	0.00017705382436260624	20160.839235127478	0.00023853373214490346	0.0	0.00017705382436260624	4.426345609065156e-05	0.00017705382436260624	20160.840076133143	0.0002385337108388102	3	0.00017705382436260624	0.00017705382436260624
4	TrialState.COMPLETE	0.00017705382436260624	2019-12-30 03:17:44.936646	2019-12-30 03:33:00.040317	250.0	71.0	0.0029987814120680982	900.0	0.9951590209217726	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20175.151026912183	0.00025202262493189277	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20175.150894121813	0.0002520226254313502	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20175.15115970255	0.00025202262443247575	4	0.00017705382436260624	0.00017705382436260624
5	TrialState.COMPLETE	0.0	2019-12-30 03:33:00.041262	2019-12-30 03:50:17.713186	450.0	21.0	0.012012748730028158	1000.0	0.9939247795946822	0.0	0.0	0.0	0.0	20149.926699716714	0.00022004454988556104	0.0	0.0	0.0	0.0	20149.926301345607	0.00022004455615935256	0.0	0.0	0.0	0.0	20149.927098087817	0.0002200445436132782	5	0.0	0.0
6	TrialState.COMPLETE	0.00017705382436260624	2019-12-30 03:50:17.713944	2019-12-30 04:06:58.470077	250.0	91.0	0.0032668435066636184	800.0	1.0091534163228102	0.0	0.00017705382436260624	0.0	0.0	20458.98253806657	0.00017942693638050701	0.0	0.00017705382436260624	0.0	0.0	20458.982161827196	0.00017942694399276902	0.0	0.00017705382436260624	0.0	0.0	20458.98291430595	0.00017942692877043166	6	0.00017705382436260624	0.00017705382436260624
7	TrialState.COMPLETE	0.00017705382436260624	2019-12-30 04:06:58.470945	2019-12-30 04:18:01.199263	150.0	11.0	0.011836558387889443	500.0	0.9875933309997146	0.0	0.00017705382436260624	0.0	0.0	20021.406095077902	0.00025176320018188296	0.0	0.00017705382436260624	0.0	0.0	20021.40567457507	0.0002517684082502131	0.0	0.00017705382436260624	0.0	0.0	20021.406515580737	0.0002517580480433896	7	0.00017705382436260624	0.00017705382436260624
8	TrialState.COMPLETE	0.00017705382436260624	2019-12-30 04:18:01.200026	2019-12-30 04:36:14.156233	350.0	61.0	0.007268465505711579	600.0	0.9871816996100905	0.0	0.00017705382436260624	0.0	0.0	20013.269652974504	0.0002312564870779909	0.0	0.00017705382436260624	0.0	0.0	20013.269210339942	0.0002312565332290439	0.0	0.00017705382436260624	0.0	0.0	20013.270095609067	0.0002312564409818734	8	0.00017705382436260624	0.00017705382436260624
9	TrialState.COMPLETE	0.000708215297450425	2019-12-30 04:36:14.157213	2019-12-30 04:55:36.384337	450.0	41.0	0.0063804569225802904	1000.0	1.008734415014703	0.0	0.000708215297450425	0.0	0.0	20449.898725212464	0.0002682145064725696	0.0	0.000708215297450425	0.0	0.0	20449.898459631728	0.0002682145746320553	0.0	0.000708215297450425	0.0	0.0	20449.8989907932	0.0002682144383873742	9	0.000708215297450425	0.000708215297450425
10	TrialState.COMPLETE	0.0	2019-12-30 04:55:36.385114	2019-12-30 05:10:46.651052	350.0	11.0	0.05104301442943368	500.0	0.9861431449586086	0.0	0.0	0.0	0.0	19992.494953966005	0.0002180813783219386	0.0	0.0	0.0	0.0	19992.494688385268	0.00021808138174673995	0.0	0.0	0.0	0.0	19992.49521954674	0.00021808137489781176	10	0.0	0.0
11	TrialState.COMPLETE	0.00017705382436260624	2019-12-30 05:10:46.651820	2019-12-30 05:31:53.178903	350.0	91.0	0.0014872521239705173	800.0	1.0040471614742705	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20355.11231851983	0.00026574781960033887	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20355.112030807366	0.00026574782097310654	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20355.112606232295	0.00026574781822769235	11	0.00017705382436260624	0.00017705382436260624
12	TrialState.COMPLETE	0.00017705382436260624	2019-12-30 05:31:53.179674	2019-12-30 05:47:36.515473	350.0	31.0	0.004447279931832659	900.0	1.0156272735577798	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20589.938916430594	0.000213231660270881	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20589.938783640227	0.0002132316611032116	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20589.939049220964	0.00021323165943863104	12	0.00017705382436260624	0.00017705382436260624
