number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.6348314606741573	2020-03-16 11:43:08.284432	2020-03-16 11:43:50.498753	256	256	2	0.001571468462317667	128	0.2381926825314317	0.25111438588532253	0.03323970037453183	0.6348314606741573	0.24157303370786518	0.3960674157303371	11.96629213483146	0.2083106110240667	0.03323970037453183	0.6348314606741573	0.24157303370786518	0.3960674157303371	11.96629213483146	0.2083106110240667	551919837	200	0.03323970037453183	0.6348314606741573	0.24157303370786518	0.3960674157303371	11.96629213483146	0.2083106110240667	0	COMPLETE
1	0.6839887640449438	2020-03-16 11:43:50.546526	2020-03-16 11:45:07.980862	64	128	2	0.0016977737182769293	512	0.11153442312254565	0.21439129094966453	0.09410112359550561	0.6839887640449438	0.30337078651685395	0.45880149812734083	10.227996254681647	0.2645064287704349	0.09410112359550561	0.6839887640449438	0.30337078651685395	0.45880149812734083	10.227996254681647	0.2645064287704349	1505257423	500	0.09410112359550561	0.6839887640449438	0.30337078651685395	0.45880149812734083	10.227996254681647	0.2645064287704349	1	COMPLETE
2	0.6619850187265918	2020-03-16 11:45:08.011987	2020-03-16 11:45:33.344813	64	128	1	0.05179568938738051	512	0.053218988068003785	0.23374074395425087	0.10252808988764045	0.6619850187265918	0.2841760299625468	0.43773408239700373	11.175093632958802	0.2610082015695688	0.10252808988764045	0.6619850187265918	0.2841760299625468	0.43773408239700373	11.175093632958802	0.2610082015695688	2502379260	200	0.10252808988764045	0.6619850187265918	0.2841760299625468	0.43773408239700373	11.175093632958802	0.2610082015695688	2	COMPLETE
3	0.6399812734082397	2020-03-16 11:45:33.379929	2020-03-16 11:46:27.407474	128	128	2	0.018405250726246186	128	0.007534648706304557	0.24976584893801296	0.08380149812734082	0.6399812734082397	0.26779026217228463	0.40308988764044945	11.922284644194757	0.24108216487141848	0.08380149812734082	0.6399812734082397	0.26779026217228463	0.40308988764044945	11.922284644194757	0.24108216487141848	1619966654	250	0.08380149812734082	0.6399812734082397	0.26779026217228463	0.40308988764044945	11.922284644194757	0.24108216487141848	3	COMPLETE
4	0.6465355805243446	2020-03-16 11:46:27.433767	2020-03-16 11:46:57.886365	256	64	2	0.015940852951158085	256	0.00236540691654767	0.24326694652888128	0.08848314606741572	0.6465355805243446	0.27808988764044945	0.41853932584269665	11.601591760299625	0.24869534699706486	0.08848314606741572	0.6465355805243446	0.27808988764044945	0.41853932584269665	11.601591760299625	0.24869534699706486	4108249933	200	0.08848314606741572	0.6465355805243446	0.27808988764044945	0.41853932584269665	11.601591760299625	0.24869534699706486	4	COMPLETE
5	0.5051498127340824	2020-03-16 11:46:57.927574	2020-03-16 11:47:40.222676	128	128	1	0.06559731631681807	128	0.27772528460745716	0.33893522786496255	0.008426966292134831	0.5051498127340824	0.16526217228464418	0.29260299625468167	16.22425093632959	0.154835864386004	0.008426966292134831	0.5051498127340824	0.16526217228464418	0.29260299625468167	16.22425093632959	0.154835864386004	3557354257	200	0.008426966292134831	0.5051498127340824	0.16526217228464418	0.29260299625468167	16.22425093632959	0.154835864386004	5	COMPLETE
6	0.5884831460674157	2020-03-16 11:47:40.249402	2020-03-16 11:48:34.987543	64	64	2	0.001760305674025459	128	0.31451451807182496	0.27968471401548956	0.012172284644194757	0.5884831460674157	0.20973782771535582	0.3651685393258427	13.370786516853933	0.18060336399134702	0.012172284644194757	0.5884831460674157	0.20973782771535582	0.3651685393258427	13.370786516853933	0.18060336399134702	2046261202	250	0.012172284644194757	0.5884831460674157	0.20973782771535582	0.3651685393258427	13.370786516853933	0.18060336399134702	6	COMPLETE
7	0.7055243445692884	2020-03-16 11:48:35.015264	2020-03-16 11:49:17.623612	128	128	1	0.0019216557134946839	256	0.002046255637689948	0.20399999562284668	0.11891385767790262	0.7055243445692884	0.324438202247191	0.477059925093633	9.719101123595506	0.2881290387566769	0.11891385767790262	0.7055243445692884	0.324438202247191	0.477059925093633	9.719101123595506	0.2881290387566769	3544013107	250	0.11891385767790262	0.7055243445692884	0.324438202247191	0.477059925093633	9.719101123595506	0.2881290387566769	7	COMPLETE
8	0.6999063670411985	2020-03-16 11:49:17.671431	2020-03-16 11:50:14.560834	128	256	1	0.002043564680220946	256	0.0435116428171027	0.20922700217872692	0.1104868913857678	0.6999063670411985	0.32256554307116103	0.46863295880149813	9.971441947565543	0.28078163066571404	0.1104868913857678	0.6999063670411985	0.32256554307116103	0.46863295880149813	9.971441947565543	0.28078163066571404	4118902497	300	0.1104868913857678	0.6999063670411985	0.32256554307116103	0.46863295880149813	9.971441947565543	0.28078163066571404	8	COMPLETE
9	0.5800561797752809	2020-03-16 11:50:14.582572	2020-03-16 11:50:56.788369	256	256	1	0.03655575348567531	128	0.1645329688569062	0.2886395654013234	0.04588014981273408	0.5800561797752809	0.20318352059925093	0.34831460674157305	13.82443820224719	0.19572866726485175	0.04588014981273408	0.5800561797752809	0.20318352059925093	0.34831460674157305	13.82443820224719	0.19572866726485175	448546913	200	0.04588014981273408	0.5800561797752809	0.20318352059925093	0.34831460674157305	13.82443820224719	0.19572866726485175	9	COMPLETE
