number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.31179775280898875	2020-05-20 08:32:40.136833	2020-05-20 08:47:19.780427	128	64	2	43	256	0.5003922670619206	0.0	0.31179775280898875	0.04681647940074907	0.11376404494382023	24.062265917602996	0.08909900012842009	0.0	0.31179775280898875	0.04681647940074907	0.11376404494382023	24.062265917602996	0.08909900012842009	3462226650		0.0	0.31179775280898875	0.04681647940074907	0.11376404494382023	24.062265917602996	0.08909900012842009	0	COMPLETE
1	0.5767790262172284	2020-05-20 08:47:19.799190	2020-05-20 08:55:13.301651	256	64	2	16	512	0.27178503135881954	0.0028089887640449437	0.5767790262172284	0.1306179775280899	0.2846441947565543	12.967696629213483	0.15124386003742218	0.0028089887640449437	0.5767790262172284	0.1306179775280899	0.2846441947565543	12.967696629213483	0.15124386003742218	2766212684	950.0	0.0028089887640449437	0.5767790262172284	0.1306179775280899	0.2846441947565543	12.967696629213483	0.15124386003742218	1	COMPLETE
2	0.06882022471910113	2020-05-20 08:55:13.322197	2020-05-20 08:56:06.874288	64	64	2	53	512	1.0790769504156479	0.0	0.06882022471910113	0.014044943820224719	0.02949438202247191	52.0875468164794	0.037588454451612824	0.0	0.06882022471910113	0.014044943820224719	0.02949438202247191	52.0875468164794	0.037588454451612824	3889679048	150.0	0.0	0.06882022471910113	0.014044943820224719	0.02949438202247191	52.0875468164794	0.037588454451612824	2	COMPLETE
3	0.06788389513108614	2020-05-20 08:56:06.886100	2020-05-20 09:03:49.256329	256	256	2	53	256	1.1102177433927687	0.0	0.06788389513108614	0.011704119850187267	0.026217228464419477	53.47776217228464	0.03508171106137008	0.0	0.06788389513108614	0.011704119850187267	0.026217228464419477	53.47752808988764	0.035082026323857624	1962515647	150.0	0.0	0.06788389513108614	0.011704119850187267	0.026217228464419477	53.47799625468165	0.03508140705825708	3	COMPLETE
4	0.04868913857677903	2020-05-20 09:03:49.268144	2020-05-20 09:07:59.495704	64	256	2	96	128	1.2051992948787908	0.0	0.04868913857677903	0.008895131086142321	0.019194756554307114	58.22284644194757	0.030463034809851307	0.0	0.04868913857677903	0.008895131086142321	0.019194756554307114	58.22284644194757	0.030463034809851307	1710202234	150.0	0.0	0.04868913857677903	0.008895131086142321	0.019194756554307114	58.22284644194757	0.030463034809851307	4	COMPLETE
5	0.04119850187265917	2020-05-20 09:07:59.507835	2020-05-20 09:12:51.784779	128	256	1	66	128	1.2357721467561713	0.0	0.04119850187265917	0.009363295880149813	0.017790262172284643	59.55571161048689	0.029255273910832866	0.0	0.04119850187265917	0.009363295880149813	0.017790262172284643	59.55571161048689	0.029255273910832866	3706243297	150.0	0.0	0.04119850187265917	0.009363295880149813	0.017790262172284643	59.55571161048689	0.029255273910832866	5	COMPLETE
6	0.06554307116104868	2020-05-20 09:12:51.795624	2020-05-20 09:15:34.826721	128	128	1	95	512	1.094464551334789	0.0	0.06554307116104868	0.01451310861423221	0.030430711610486893	52.84410112359551	0.03673459463369996	0.0	0.06554307116104868	0.01451310861423221	0.030430711610486893	52.84410112359551	0.03673459463369996	471332209	150.0	0.0	0.06554307116104868	0.01451310861423221	0.030430711610486893	52.84410112359551	0.03673459463369996	6	COMPLETE
7	0.350187265917603	2020-05-20 09:15:34.838707	2020-05-20 09:33:07.376771	256	128	2	29	512	0.4067963818192817	0.0	0.350187265917603	0.056179775280898875	0.12172284644194757	19.491573033707866	0.09754381915868914	0.0	0.350187265917603	0.056179775280898875	0.12172284644194757	19.491573033707866	0.09754381915868914	3078460804		0.0	0.350187265917603	0.056179775280898875	0.12172284644194757	19.491573033707866	0.09754381915868914	7	COMPLETE
8	0.36704119850187267	2020-05-20 09:33:07.386821	2020-05-20 09:47:22.698163	128	128	1	19	256	0.3607000385843608	0.0	0.36704119850187267	0.06928838951310862	0.13764044943820225	17.29681647940075	0.10664107051553723	0.0	0.36704119850187267	0.06928838951310862	0.13764044943820225	17.29681647940075	0.10664107051553723	2597207435		0.0	0.36704119850187267	0.06928838951310862	0.13764044943820225	17.29681647940075	0.10664107051553723	8	COMPLETE
9	0.05571161048689138	2020-05-20 09:47:22.710230	2020-05-20 09:50:07.162482	256	64	1	99	512	1.1366361751768752	0.0	0.05571161048689138	0.013576779026217229	0.027153558052434457	54.88061797752809	0.03424348009121886	0.0	0.05571161048689138	0.013576779026217229	0.027153558052434457	54.88061797752809	0.03424348009121886	2331490615	150.0	0.0	0.05571161048689138	0.013576779026217229	0.027153558052434457	54.88061797752809	0.03424348009121886	9	COMPLETE
10	0.4583333333333333	2020-05-20 09:50:07.174912	2020-05-20 09:57:55.866754	256	64	2	26	256	0.34029464960300576	0.0	0.4583333333333333	0.0847378277153558	0.20411985018726592	16.256086142322097	0.1218918620232315	0.0	0.4583333333333333	0.0847378277153558	0.20411985018726592	16.256086142322097	0.1218918620232315	1694319902	550.0	0.0	0.4583333333333333	0.0847378277153558	0.20411985018726592	16.256086142322097	0.1218918620232315	10	COMPLETE
11	0.5327715355805244	2020-05-20 09:57:55.878861	2020-05-20 10:05:52.549437	256	64	2	20	256	0.2972622066614138	0.0	0.5327715355805244	0.11423220973782772	0.26357677902621723	14.170880149812733	0.1401475027506077	0.0	0.5327715355805244	0.11423220973782772	0.26357677902621723	14.170880149812733	0.1401475027506077	380569818	600.0	0.0	0.5327715355805244	0.11423220973782772	0.26357677902621723	14.170880149812733	0.1401475027506077	11	COMPLETE
12	0.06882022471910113	2020-05-20 10:05:52.561460	2020-05-20 10:07:30.184662	64	128	2	90	512	1.0910898370821769	0.0	0.06882022471910113	0.012172284644194757	0.0299625468164794	52.63810861423221	0.036492215712898554	0.0	0.06882022471910113	0.012172284644194757	0.0299625468164794	52.63810861423221	0.036492215712898554	983288137	150.0	0.0	0.06882022471910113	0.012172284644194757	0.0299625468164794	52.63810861423221	0.036492215712898554	12	COMPLETE
13	0.6713483146067416	2020-05-20 10:07:30.196870	2020-05-20 10:27:36.960228	128	64	2	9	128	0.21531053347084042	0.10955056179775281	0.6713483146067416	0.26357677902621723	0.41198501872659177	10.286985018726591	0.2612331106811454	0.10955056179775281	0.6713483146067416	0.26357677902621723	0.41198501872659177	10.286985018726591	0.2612331106811454	424976038	1000.0	0.10955056179775281	0.6713483146067416	0.26357677902621723	0.41198501872659177	10.286985018726591	0.2612331106811454	13	COMPLETE
14	0.2209737827715356	2020-05-20 10:27:36.983644	2020-05-20 11:14:52.172626	256	128	2	94	128	0.875653746530888	0.0	0.2209737827715356	0.03838951310861423	0.09550561797752809	42.05383895131086	0.06686047903611542	0.0	0.2209737827715356	0.03838951310861423	0.09550561797752809	42.05383895131086	0.06686047903611542	3802852246	850.0	0.0	0.2209737827715356	0.03838951310861423	0.09550561797752809	42.05383895131086	0.06686047903611542	14	COMPLETE
15	0.6886704119850188	2020-05-20 11:14:52.184676	2020-05-20 11:26:52.451089	256	64	1	5	128	0.20214095209944952	0.12827715355805244	0.6886704119850188	0.30664794007490637	0.4559925093632959	9.631554307116104	0.28611451206884564	0.12827715355805244	0.6886704119850188	0.30664794007490637	0.4559925093632959	9.631554307116104	0.28611451206884564	1218529170	650.0	0.12827715355805244	0.6886704119850188	0.30664794007490637	0.4559925093632959	9.631554307116104	0.28611451206884564	15	COMPLETE
16	0.2602996254681648	2020-05-20 11:26:52.470189	2020-05-20 11:43:06.152657	128	64	2	54	256	0.6202731642188427	0.0	0.2602996254681648	0.03651685393258427	0.09784644194756555	29.857677902621724	0.07693650892211033	0.0	0.2602996254681648	0.03651685393258427	0.09784644194756555	29.857677902621724	0.07693650892211033	2891282246		0.0	0.2602996254681648	0.03651685393258427	0.09784644194756555	29.857677902621724	0.07693650892211033	16	COMPLETE
17	0.24297752808988765	2020-05-20 11:43:06.164509	2020-05-20 12:23:03.744565	256	128	2	80	128	0.813007151711495	0.0	0.24297752808988765	0.03932584269662921	0.10065543071161048	39.02153558052434	0.0709457069281797	0.0	0.24297752808988765	0.03932584269662921	0.10065543071161048	39.02153558052434	0.0709457069281797	151220478	800.0	0.0	0.24297752808988765	0.03932584269662921	0.10065543071161048	39.02153558052434	0.0709457069281797	17	COMPLETE
18	0.3661048689138577	2020-05-20 12:23:03.754869	2020-05-20 12:38:08.408841	256	64	2	44	256	0.43949951346412525	0.0	0.3661048689138577	0.06554307116104868	0.16619850187265917	21.05430711610487	0.101943168868842	0.0	0.3661048689138577	0.06554307116104868	0.16619850187265917	21.05430711610487	0.101943168868842	2043764987	850.0	0.0	0.3661048689138577	0.06554307116104868	0.16619850187265917	21.05430711610487	0.101943168868842	18	COMPLETE
19	0.5926966292134831	2020-05-20 12:38:08.420904	2020-05-20 12:50:01.867954	128	64	1	14	256	0.25833140679788585	0.0046816479400749065	0.5926966292134831	0.149812734082397	0.2991573033707865	12.357209737827715	0.15925518105070796	0.0046816479400749065	0.5926966292134831	0.149812734082397	0.2991573033707865	12.357209737827715	0.15925518105070796	1957277594		0.0046816479400749065	0.5926966292134831	0.149812734082397	0.2991573033707865	12.357209737827715	0.15925518105070796	19	COMPLETE
20	0.34222846441947563	2020-05-20 12:50:01.879935	2020-05-20 12:58:32.034679	128	64	1	29	512	0.4299520723807734	0.0	0.34222846441947563	0.05664794007490637	0.1409176029962547	20.644194756554306	0.09811616069808093	0.0	0.34222846441947563	0.05664794007490637	0.1409176029962547	20.644194756554306	0.09811616069808093	2500135671		0.0	0.34222846441947563	0.05664794007490637	0.1409176029962547	20.644194756554306	0.09811616069808093	20	COMPLETE
