number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	101	151	201	251	301	351	401	451	601	651	901	951
0	TrialState.COMPLETE	0.22405571293673276	2020-01-03 21:45:16.439053	2020-01-04 02:00:05.002267	450.0	81.0	0.0160679994521955	1400.0	0.10227940537038352	0.07869452313503306	0.22405571293673276	0.13877478753541075	0.17314683663833805	2072.90763101983	0.12857112350903593	0.07869452313503306	0.22405571293673276	0.13877478753541075	0.17314683663833805	2072.907141170916	0.12857145630248887	0.07869452313503306	0.22405571293673276	0.13877478753541075	0.17314683663833805	2072.908120868744	0.12857085640613175	0									0.22246132054913925	0.2233154593282072		
1	TrialState.COMPLETE	0.009490084985835694	2020-01-04 02:00:05.003026	2020-01-04 02:37:35.630517	350.0	1.0	0.05730139332913245	1600.0	0.7878241734763946	0.005276203966005665	0.009490084985835694	0.005878186968838527	0.007152974504249292	15968.859401558073	0.00702771448049261	0.005276203966005665	0.009490084985835694	0.005878186968838527	0.007152974504249292	15968.85662181303	0.007027718302114544	0.005276203966005665	0.009490084985835694	0.005878186968838527	0.007152974504249292	15968.862181303117	0.007027710685463158	1	0.009796978281397545	0.009605169971671388										
2	TrialState.COMPLETE	0.17577358901721507	2020-01-04 02:37:35.631535	2020-01-04 04:34:39.320082	150.0	81.0	0.029589970948719763	600.0	0.12500283851409588	0.056548267596426234	0.17577358901721507	0.10297722815428198	0.13055676617999565	2533.492713554151	0.09741691882340198	0.056548267596426234	0.17577358901721507	0.10297722815428198	0.13055676617999565	2533.4920598169538	0.09741691933291306	0.056548267596426234	0.17577358901721507	0.10297722815428198	0.13055676617999565	2533.493367291349	0.09741691831571232	2												
3	TrialState.COMPLETE	0.007082152974504249	2020-01-04 04:34:39.320974	2020-01-04 04:59:30.613817	150.0	1.0	0.059226419372198226	1100.0	0.7833862234456427	0.0032577903682719546	0.007082152974504249	0.004745042492917847	0.005453257790368272	15878.842847025495	0.0050630598145929686	0.0032577903682719546	0.007082152974504249	0.004745042492917847	0.005453257790368272	15878.840014164305	0.005063060282317118	0.0032577903682719546	0.007082152974504249	0.004745042492917847	0.005453257790368272	15878.845679886686	0.005063059348024878	3	0.007436260623229462	0.007214943342776204										
4	TrialState.COMPLETE	0.012358356940509916	2020-01-04 04:59:30.614501	2020-01-04 05:23:19.635235	50.0	71.0	0.09047443648256742	1200.0	0.5594959993695684	0.00396600566572238	0.012358356940509916	0.006373937677053824	0.008144475920679886	11340.619387393768	0.007775724246734042	0.00396600566572238	0.012358356940509916	0.006373937677053824	0.008144475920679886	11340.617280453258	0.007775726206795875	0.00396600566572238	0.012358356940509916	0.006373937677053824	0.008144475920679886	11340.621494334278	0.007775722296779109	4	0.011744570349386214	0.012128186968838528										
5	TrialState.COMPLETE	0.33020538243626063	2020-01-04 05:23:19.635914	2020-01-04 06:11:59.806151	50.0	1.0	0.0016211805468762425	1000.0	0.16639027756798883	0.14898095687755744	0.33020538243626063	0.2358750393452943	0.2754367327667611	3372.849022269437	0.2107774401150326	0.14898095687755744	0.33020538243626063	0.2358750393452943	0.2754367327667611	3372.8478910922254	0.21077744015615746	0.14898095687755744	0.33020538243626063	0.2358750393452943	0.2754367327667611	3372.8501534466477	0.21077744007392873	5					0.33010420882233915	0.33016111898017						
6	TrialState.COMPLETE	0.031464993929583164	2020-01-04 06:11:59.806842	2020-01-04 06:58:34.876234	150.0	31.0	0.04481098537558685	1000.0	0.4418323401499965	0.010547349251315258	0.031464993929583164	0.01798360987454472	0.022511129097531363	8955.610253945772	0.018504108447584697	0.010547349251315258	0.031464993929583164	0.01798360987454472	0.022511129097531363	8955.607952246055	0.01850411651375951	0.010547349251315258	0.031464993929583164	0.01798360987454472	0.022511129097531363	8955.612555645488	0.018504100572170633	6			0.030524079320113313	0.031072946175637394								
7	TrialState.COMPLETE	0.4553065560501821	2020-01-04 06:58:34.876985	2020-01-04 10:01:31.068110	150.0	71.0	0.003619906663264211	1100.0	0.07918475431533033	0.21944556859571024	0.4553065560501821	0.3382149602050452	0.387182989343046	1604.9620641103468	0.3007820863277906	0.21944556859571024	0.4553065560501821	0.3382149602050452	0.387182989343046	1604.9616383380549	0.3007820892896291	0.21944556859571024	0.4553065560501821	0.3382149602050452	0.387182989343046	1604.9624898826387	0.30078208344000684	7											0.4533975697032951	0.45439978753541077
8	TrialState.COMPLETE	0.4333869034648071	2020-01-04 10:01:31.068890	2020-01-04 11:35:19.545677	50.0	91.0	0.009111341861835966	600.0	0.10865449399509608	0.21486162562649816	0.4333869034648071	0.32295979516234474	0.3704374591414252	2202.3171170189585	0.2898509828047458	0.21486162562649816	0.4333869034648071	0.32295979516234474	0.3704374591414252	2202.3167356722597	0.28985098357102307	0.21486162562649816	0.4333869034648071	0.32295979516234474	0.3704374591414252	2202.3174983656572	0.2898509820453504	8												
