number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.27693141618167294	2020-03-04 08:32:19.319496	2020-03-04 09:25:03.846220	256	128	15	0.00131786388725451	256	0.0656697717288687	0.06812735364601163	0.27693141618167294	0.1492068926166838	0.19573776104073948	457.7450216820724	0.13779035849034327	0.06812735364601163	0.27693141618167294	0.1492068926166838	0.19573776104073948	457.744750656168	0.13779035890386607	3031869304	250	0.06812735364601163	0.27693141618167294	0.1492068926166838	0.19573776104073948	457.7452927079767	0.13779035807764067	0	COMPLETE
1	0.002881433299098482	2020-03-04 09:25:03.893235	2020-03-04 10:13:05.736295	128	128	59	0.04333597268793517	128	1.1572673962609676	0.0012838069154399178	0.002881433299098482	0.001797329681615885	0.002253794362661189	8283.414755220814	0.0021557068844571046	0.0012838069154399178	0.002881433299098482	0.001797329681615885	0.002253794362661189	8283.40736619879	0.0021557077061858834	1485183039	150	0.0012838069154399178	0.002881433299098482	0.001797329681615885	0.002253794362661189	8283.422144242839	0.0021557060643644936	1	COMPLETE
2	0.25219673627753053	2020-03-04 10:13:05.770120	2020-03-04 11:15:41.293007	64	128	5	0.004933758490253641	128	0.0695259956187932	0.0817642359922401	0.25219673627753053	0.1492354216592491	0.18911902316558257	483.985821065845	0.14032993812219052	0.0817642359922401	0.25219673627753053	0.1492354216592491	0.18911902316558257	483.9856213625471	0.14032994479150734	3737511767	200	0.0817642359922401	0.25219673627753053	0.1492354216592491	0.18911902316558257	483.986020769143	0.14032993158644494	2	COMPLETE
3	0.006533150747460915	2020-03-04 11:15:41.328882	2020-03-04 11:58:18.695099	128	256	6	0.035520364131597884	128	0.8576496978629823	0.0016546844687892275	0.006533150747460915	0.003309368937578455	0.004336414469930389	6116.514364372932	0.004930181136389032	0.0016546844687892275	0.006561679790026247	0.003309368937578455	0.004336414469930389	6106.541310053634	0.004931655111636548	380975145	150	0.0016546844687892275	0.006533150747460915	0.003309368937578455	0.004336414469930389	6126.487418692229	0.00492874252263934	3	COMPLETE
4	0.01837270341207349	2020-03-04 11:58:18.728265	2020-03-04 12:29:26.857395	64	256	83	0.0011658344015602522	512	0.35625919873652573	0.005277872874586329	0.01837270341207349	0.009671345429647382	0.012838069154399178	2543.3490671003083	0.013023002651353702	0.005277872874586329	0.01837270341207349	0.009671345429647382	0.012838069154399178	2543.3478260869565	0.01302305154465301	3145038272	200	0.005277872874586329	0.01837270341207349	0.009671345429647382	0.012838069154399178	2543.3503081136596	0.013022955561250748	4	COMPLETE
5	0.2516261554262239	2020-03-04 12:29:26.892049	2020-03-04 13:32:45.026193	128	64	4	0.0035863332057260735	128	0.06935566929795929	0.08030925482140819	0.2516261554262239	0.14544105899806004	0.1851820152915668	484.45586557115143	0.1383131299236311	0.08030925482140819	0.2516261554262239	0.14544105899806004	0.1851820152915668	484.45577998402376	0.13831319134862222	1328931516	200	0.08030925482140819	0.2516261554262239	0.14544105899806004	0.1851820152915668	484.4559511582791	0.13831307233332385	5	COMPLETE
6	0.08935296131461828	2020-03-04 13:32:45.062024	2020-03-04 14:44:40.631525	64	256	34	0.001928364305632877	128	0.1492693936203531	0.01081250713226064	0.08935296131461828	0.03374985735478717	0.05323519342690859	1056.8536602761612	0.04017457325302217	0.01081250713226064	0.08935296131461828	0.03374985735478717	0.05323519342690859	1056.853103959831	0.04017457650884323	1760682546	200	0.01081250713226064	0.08935296131461828	0.03374985735478717	0.05323519342690859	1056.8542165924912	0.040174570037698615	6	COMPLETE
7	0.09083647152801552	2020-03-04 14:44:40.666084	2020-03-04 15:56:46.728974	128	64	38	0.001368136914278615	128	0.176647396935487	0.014720985963711058	0.09083647152801552	0.0380292137395869	0.0562307428962684	1254.1412900833047	0.042989287723601326	0.014720985963711058	0.09083647152801552	0.0380292137395869	0.0562307428962684	1254.1405625927193	0.04298928989735514	425739023	200	0.014720985963711058	0.09083647152801552	0.0380292137395869	0.0562307428962684	1254.1420175738901	0.04298928556654583	7	COMPLETE
8	0.00048499372361063563	2020-03-04 15:56:46.765085	2020-03-04 16:44:56.357804	128	256	28	0.04559055303864605	128	1.174969664358714	2.8529042565331506e-05	0.00048499372361063563	0.00011411617026132602	0.0003994065959146411	8405.568412644072	0.000665378302225169	2.8529042565331506e-05	0.00048499372361063563	0.00011411617026132602	0.0003994065959146411	8392.451072692	0.0006667392301759031	32098950	150	2.8529042565331506e-05	0.00048499372361063563	0.00011411617026132602	0.0003994065959146411	8418.685752596142	0.0006640414958201554	8	COMPLETE
9	0.025362318840579712	2020-03-04 16:44:56.395411	2020-03-04 17:00:32.262544	64	64	28	0.037896869613936096	512	0.3980393286471816	0.006647266917722241	0.025362318840579712	0.011326029898436608	0.015662444368366998	2835.6641846399634	0.015446967095502268	0.006647266917722241	0.025362318840579712	0.011326029898436608	0.015662444368366998	2835.6631861234737	0.015446968131995961	3440029667	150	0.006647266917722241	0.025362318840579712	0.011326029898436608	0.015662444368366998	2835.665183156453	0.015446966062765995	9	COMPLETE
