number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.15777153558052434	2020-04-09 12:25:15.482324	2020-04-09 12:26:36.055450	256	128	512	0.0016797626176567582	0.7626858300909624	0.0	0.15777153558052434	0.032303370786516857	0.07584269662921349	36.58192883895131	0.0619309993709698	0.0	0.15777153558052434	0.032303370786516857	0.07584269662921349	36.58192883895131	0.0619309993709698	2843278393	500.0	0.0	0.15777153558052434	0.032303370786516857	0.07584269662921349	36.58192883895131	0.0619309993709698	0	COMPLETE
1	0.14887640449438203	2020-04-09 12:26:36.088035	2020-04-09 12:27:32.634666	128	256	256	0.004617482071236429	0.8045792258466674	0.0	0.14887640449438203	0.039794007490636704	0.07162921348314606	38.681179775280896	0.061390222914552456	0.0	0.14887640449438203	0.039794007490636704	0.07162921348314606	38.681179775280896	0.061390222914552456	3138769693	300.0	0.0	0.14887640449438203	0.039794007490636704	0.07162921348314606	38.681179775280896	0.061390222914552456	1	COMPLETE
2	0.11142322097378277	2020-04-09 12:27:32.656803	2020-04-09 12:29:09.163362	64	256	128	0.6270137294978971	0.8930848750010244	0.0	0.11142322097378277	0.018258426966292134	0.04588014981273408	42.97846441947566	0.04809658995696298	0.0	0.11142322097378277	0.018258426966292134	0.04588014981273408	42.97846441947566	0.04809658995696298	1528108951	350.0	0.0	0.11142322097378277	0.018258426966292134	0.04588014981273408	42.97846441947566	0.04809658995696298	2	COMPLETE
3	0.26591760299625467	2020-04-09 12:29:09.203436	2020-04-09 12:31:07.652589	128	64	256	0.03441995483831971	0.5976082976455783	0.0056179775280898875	0.26591760299625467	0.0650749063670412	0.12780898876404495	28.752808988764045	0.09213758100125434	0.0056179775280898875	0.26591760299625467	0.0650749063670412	0.12780898876404495	28.752808988764045	0.09213758100125434	153596982	600.0	0.0056179775280898875	0.26591760299625467	0.0650749063670412	0.12780898876404495	28.752808988764045	0.09213758100125434	3	COMPLETE
4	0.23829588014981273	2020-04-09 12:31:07.682999	2020-04-09 12:34:04.205075	128	64	128	0.3326265134141573	0.6238460064584856	0.0028089887640449437	0.23829588014981273	0.06741573033707865	0.12406367041198502	30.01498127340824	0.08730999053414423	0.0028089887640449437	0.23829588014981273	0.06741573033707865	0.12406367041198502	30.01498127340824	0.08730999053414423	1823167169	600.0	0.0028089887640449437	0.23829588014981273	0.06741573033707865	0.12406367041198502	30.01498127340824	0.08730999053414423	4	COMPLETE
5	0.14279026217228463	2020-04-09 12:34:04.243935	2020-04-09 12:34:55.374046	64	128	256	0.0010878378359201414	0.814781341459323	0.0	0.14279026217228463	0.028089887640449437	0.05945692883895131	39.183052434456926	0.05673878199800027	0.0	0.14279026217228463	0.028089887640449437	0.05945692883895131	39.183052434456926	0.05673878199800027	287899507	300.0	0.0	0.14279026217228463	0.028089887640449437	0.05945692883895131	39.183052434456926	0.05673878199800027	5	COMPLETE
6	0.15730337078651685	2020-04-09 12:34:55.394860	2020-04-09 12:36:06.979130	256	256	512	0.030992079301910943	0.7868934706156927	0.0	0.15730337078651685	0.03745318352059925	0.07584269662921349	37.81928838951311	0.06274060381889199	0.0	0.15730337078651685	0.03745318352059925	0.07584269662921349	37.81928838951311	0.06274060381889199	3161285759	400.0	0.0	0.15730337078651685	0.03745318352059925	0.07584269662921349	37.81928838951311	0.06274060381889199	6	COMPLETE
7	0.1699438202247191	2020-04-09 12:36:07.025329	2020-04-09 12:37:23.527255	128	128	256	0.10774784257676624	0.7720195929055915	0.0	0.1699438202247191	0.04541198501872659	0.0800561797752809	37.08497191011236	0.06595133421642574	0.0	0.1699438202247191	0.04541198501872659	0.0800561797752809	37.08473782771536	0.06595139462478623	22862238	400.0	0.0	0.1699438202247191	0.04541198501872659	0.0800561797752809	37.085205992509366	0.06595127476692807	7	COMPLETE
8	0.13249063670411984	2020-04-09 12:37:23.554002	2020-04-09 12:38:14.996683	256	256	512	0.061153243928499246	0.828641517115722	0.0	0.13249063670411984	0.03136704119850187	0.060861423220973786	39.859082397003746	0.056507854133088835	0.0	0.13249063670411984	0.03136704119850187	0.060861423220973786	39.859082397003746	0.056507854133088835	3712474933	300.0	0.0	0.13249063670411984	0.03136704119850187	0.060861423220973786	39.859082397003746	0.056507854133088835	8	COMPLETE
9	0.10252808988764045	2020-04-09 12:38:15.018696	2020-04-09 12:39:34.259854	128	256	128	0.8205855570098521	0.9318450113116634	0.0	0.10252808988764045	0.023408239700374533	0.0449438202247191	44.892322097378276	0.047167081772672634	0.0	0.10252808988764045	0.023408239700374533	0.0449438202247191	44.892322097378276	0.047167081772672634	2506536981	300.0	0.0	0.10252808988764045	0.023408239700374533	0.0449438202247191	44.892322097378276	0.047167081772672634	9	COMPLETE
