number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9325842696629213	2020-04-05 14:51:42.485818	2020-04-05 14:55:48.614006	2.0232236343284535	128	36	128	0.08017078872110821	0.43586142322097376	0.9325842696629213	0.7429775280898876	0.8450374531835206	3.877808988764045	0.6097640285042686	0.43586142322097376	0.9325842696629213	0.7429775280898876	0.8450374531835206	3.877808988764045	0.6097640285042686	3292334787	200	0.43586142322097376	0.9325842696629213	0.7429775280898876	0.8450374531835206	3.877808988764045	0.6097640285042686	0	COMPLETE
1	0.9485018726591761	2020-04-05 14:55:48.632358	2020-04-05 15:03:03.714801	3.446297674319948	256	92	128	0.07502685464597708	0.44335205992509363	0.9485018726591761	0.7621722846441947	0.8647003745318352	3.6273408239700373	0.6239882961951911	0.44335205992509363	0.9485018726591761	0.7621722846441947	0.8647003745318352	3.6273408239700373	0.6239882961951911	4067128137	250	0.44335205992509363	0.9485018726591761	0.7621722846441947	0.8647003745318352	3.6273408239700373	0.6239882961951911	1	COMPLETE
2	0.9461610486891385	2020-04-05 15:03:03.732751	2020-04-05 15:09:39.156289	0.6196241474724302	128	96	512	0.07472327870860947	0.4461610486891386	0.9461610486891385	0.7626404494382022	0.8623595505617978	3.6100187265917603	0.6246199688680417	0.4461610486891386	0.9461610486891385	0.7626404494382022	0.8623595505617978	3.6100187265917603	0.6246199688680417	54238520	500	0.4461610486891386	0.9461610486891385	0.7626404494382022	0.8623595505617978	3.6100187265917603	0.6246199688680417	2	COMPLETE
3	0.9396067415730337	2020-04-05 15:09:39.168310	2020-04-05 15:14:12.558401	4.6896321453252074	64	69	128	0.08379693182921281	0.398876404494382	0.9396067415730337	0.7298689138576779	0.8473782771535581	4.046348314606742	0.5889273934456648	0.398876404494382	0.9396067415730337	0.7298689138576779	0.8473782771535581	4.046348314606742	0.5889273934456648	1748797360	200	0.398876404494382	0.9396067415730337	0.7298689138576779	0.8473782771535581	4.046348314606742	0.5889273934456648	3	COMPLETE
4	0.9424157303370787	2020-04-05 15:14:12.569363	2020-04-05 15:17:40.822286	9.068218278910852	128	37	128	0.07846150833900585	0.42275280898876405	0.9424157303370787	0.7565543071161048	0.8637640449438202	3.7799625468164795	0.6082134208487088	0.42275280898876405	0.9424157303370787	0.7565543071161048	0.8637640449438202	3.7799625468164795	0.6082134208487088	269843086	200	0.42275280898876405	0.9424157303370787	0.7565543071161048	0.8637640449438202	3.7799625468164795	0.6082134208487088	4	COMPLETE
5	0.951310861423221	2020-04-05 15:17:40.833408	2020-04-05 15:29:52.887704	8.46920779719656	256	84	512	0.07596034215055127	0.44756554307116103	0.951310861423221	0.7804307116104869	0.8806179775280899	3.6821161048689137	0.6295817168010395	0.44756554307116103	0.951310861423221	0.7804307116104869	0.8806179775280899	3.6821161048689137	0.6295817168010395	1847472021	550	0.44756554307116103	0.951310861423221	0.7804307116104869	0.8806179775280899	3.6821161048689137	0.6295817168010395	5	COMPLETE
6	0.9545880149812734	2020-04-05 15:29:52.904235	2020-04-05 15:34:16.201568	4.477813349455469	64	76	512	0.07263935611440281	0.4438202247191011	0.9545880149812734	0.7888576779026217	0.8834269662921348	3.5102996254681647	0.6325789372806867	0.4438202247191011	0.9545880149812734	0.7888576779026217	0.8834269662921348	3.5102996254681647	0.6325789372806867	245993628	450	0.4438202247191011	0.9545880149812734	0.7888576779026217	0.8834269662921348	3.5102996254681647	0.6325789372806867	6	COMPLETE
7	0.952247191011236	2020-04-05 15:34:16.219630	2020-04-05 15:37:43.474512	1.9370465274002742	128	31	128	0.07600589173720375	0.41853932584269665	0.952247191011236	0.7715355805243446	0.87312734082397	3.6676029962546814	0.6113969355169515	0.41853932584269665	0.952247191011236	0.7715355805243446	0.87312734082397	3.6676029962546814	0.6113969355169515	2177822204	200	0.41853932584269665	0.952247191011236	0.7715355805243446	0.87312734082397	3.6676029962546814	0.6113969355169515	7	COMPLETE
8	0.9658239700374532	2020-04-05 15:37:43.486817	2020-04-05 15:40:53.642327	3.824083795899706	256	1	256	0.0679769400587438	0.4705056179775281	0.9658239700374532	0.8206928838951311	0.9096441947565543	3.2818352059925093	0.6563472723939461	0.4705056179775281	0.9658239700374532	0.8206928838951311	0.9096441947565543	3.2818352059925093	0.6563472723939461	3099810320	400	0.4705056179775281	0.9658239700374532	0.8206928838951311	0.9096441947565543	3.2818352059925093	0.6563472723939461	8	COMPLETE
9	0.9424157303370787	2020-04-05 15:40:53.660169	2020-04-05 15:44:51.330824	6.038582641340213	64	94	128	0.0820388785059379	0.4035580524344569	0.9424157303370787	0.7186329588014981	0.8431647940074907	3.9545880149812733	0.5880685497513166	0.4035580524344569	0.9424157303370787	0.7186329588014981	0.8431647940074907	3.9545880149812733	0.5880685497513166	1893567809	200	0.4035580524344569	0.9424157303370787	0.7186329588014981	0.8431647940074907	3.9545880149812733	0.5880685497513166	9	COMPLETE
