number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	451	501	551	601
0	TrialState.COMPLETE	0.031471317280453256	2020-01-13 22:16:38.298912	2020-01-14 07:20:07.316807	350.0	1	51.0	0.0018295304794211126	800.0	0.881858078908109	0.010623229461756374	0.031471317280453256	0.0170856940509915	0.021821883852691216	17877.2950085576	0.016985407680937044	0.010623229461756374	0.031471317280453256	0.0170856940509915	0.021821883852691216	17877.279863078376	0.01698540818819276	0.010623229461756374	0.031471317280453256	0.0170856940509915	0.021821883852691216	17877.310154036826	0.016985407174897098	0								0.02983356940509915	0.030726886428019573		
1	TrialState.COMPLETE	0.001106586402266289	2020-01-14 07:20:07.317918	2020-01-14 09:08:33.839499	450.0	2	21.0	0.0027305685573346425	1400.0	0.9820724935745007	0.00017705382436260624	0.001106586402266289	0.0004426345609065156	0.0006196883852691218	19909.371436791786	0.00066568063424306	0.00017705382436260624	0.001106586402266289	0.0004426345609065156	0.0006196883852691218	19909.34711402266	0.0006656808740033997	0.00017705382436260624	0.001106586402266289	0.0004426345609065156	0.0006196883852691218	19909.395759560906	0.0006656803945475562	1	8.852691218130312e-05	0.000767233238904627									
2	TrialState.COMPLETE	0.017548001259049418	2020-01-14 09:08:33.840297	2020-01-14 10:44:06.486607	150.0	1	71.0	0.005740192356395332	500.0	0.9211033950143047	0.007239534151715455	0.017548001259049418	0.011272426817752597	0.013574126534466479	18673.51642666037	0.010801568093900475	0.007239534151715455	0.017548001259049418	0.011272426817752597	0.013574126534466479	18673.507554296506	0.010801568205303234	0.007239534151715455	0.017548001259049418	0.011272426817752597	0.013574126534466479	18673.525299024237	0.010801567982539891	2						0.017300687980574665	0.017439801699716713				
3	TrialState.COMPLETE	0.0	2020-01-14 10:44:06.487413	2020-01-14 12:01:17.636398	250.0	2	61.0	0.0010392327932785524	600.0	0.9928704570282789	0.0	0.0	0.0	0.0	20129.075004426344	0.00024385720686860235	0.0	0.0	0.0	0.0	20129.06099504249	0.00024385756003582467	0.0	0.0	0.0	0.0	20129.089013810197	0.00024385685418766096	3	0.0	0.0									
4	TrialState.COMPLETE	0.0005311614730878187	2020-01-14 12:01:17.637339	2020-01-14 12:16:03.783326	150.0	2	21.0	0.0010044109146871807	1600.0	0.9977612475773864	0.0	0.0005311614730878187	0.0	8.852691218130312e-05	20227.648238314447	0.0002975811130002908	0.0	0.0005311614730878187	0.0	8.852691218130312e-05	20227.6399167847	0.00029758137956925824	0.0	0.0005311614730878187	0.0	8.852691218130312e-05	20227.656559844192	0.000297580846980685	4	0.0005311614730878187	0.0005311614730878187									
5	TrialState.COMPLETE	0.0003541076487252125	2020-01-14 12:16:03.784310	2020-01-14 13:04:27.109542	250.0	2	31.0	0.0022235638604250854	1600.0	0.9900468805845305	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20071.275717067987	0.00041656330699690755	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20071.26141997167	0.0004165637599652145	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20071.290014164308	0.00041656285473635937	5	0.0003541076487252125	0.0003541076487252125									
6	TrialState.COMPLETE	0.0005311614730878187	2020-01-14 13:04:27.110522	2020-01-14 14:03:55.850227	250.0	2	41.0	0.0018849338273336529	1100.0	0.9949152586455714	0.0	0.0005311614730878187	0.0	0.00017705382436260624	20170.128917315866	0.00033867404726635225	0.0	0.0005311614730878187	0.0	0.00017705382436260624	20170.11433250708	0.00033867443696098055	0.0	0.0005311614730878187	0.0	0.00017705382436260624	20170.143502124647	0.0003386736581423877	6	0.0005311614730878187	0.0005311614730878187									
7	TrialState.COMPLETE	0.02233091359773371	2020-01-14 14:03:55.851219	2020-01-14 14:51:37.224711	150.0	1	31.0	0.011964806958834687	1200.0	0.924031542629341	0.006418201133144476	0.02233091359773371	0.012991324362606232	0.01704143059490085	18732.79911030453	0.011783500864045341	0.006418201133144476	0.02233091359773371	0.012991324362606232	0.01704143059490085	18732.79209454674	0.011783501185043439	0.006418201133144476	0.02233091359773371	0.012991324362606232	0.01704143059490085	18732.80612606232	0.011783500543825706	7					0.021216949952785648	0.021853500607041682					
8	TrialState.COMPLETE	0.025736038041278834	2020-01-14 14:51:37.225572	2020-01-14 21:52:18.595166	250.0	2	61.0	0.036700332097900565	1100.0	0.8978730590566304	0.008346823148522866	0.025736038041278834	0.014202246054229057	0.01813537029542695	18201.977665924725	0.013737077935103904	0.008346823148522866	0.025736038041278834	0.014202246054229057	0.01813537029542695	18201.965588324565	0.013737078266219805	0.008346823148522866	0.025736038041278834	0.014202246054229057	0.01813537029542695	18201.98974352489	0.013737077604575758	8										0.02615970254957507	0.025931575506646327
9	TrialState.COMPLETE	0.025997403210576014	2020-01-14 21:52:18.596068	2020-01-14 23:15:44.721883	450.0	2	1.0	0.007965840514206835	1100.0	0.8940064082320996	0.007760859301227573	0.025997403210576014	0.013515108593012276	0.018384088762983947	18123.510682247404	0.013760514933870111	0.007760859301227573	0.025997403210576014	0.013515108593012276	0.018384088762983947	18123.49834749764	0.013760515245737617	0.007760859301227573	0.025997403210576014	0.013515108593012276	0.018384088762983947	18123.523016997166	0.013760514622396764	9			0.026248229461756374	0.02609773371104816							
