number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.12219101123595505	2020-03-16 09:17:04.523518	2020-03-16 09:18:34.980815	0.6923016193655201	15.134303888188851	6.5880077012359815	0.04082874062427786	64	100	0.011001476754488865	512	0.9502248738810406	0.010299625468164793	0.12219101123595505	0.04447565543071161	0.06882022471910113	45.78511235955056	0.06069770088817147	0.010299625468164793	0.12219101123595505	0.04447565543071161	0.06882022471910113	45.78511235955056	0.06069770088817147	3442271293	200	0.010299625468164793	0.12219101123595505	0.04447565543071161	0.06882022471910113	45.78511235955056	0.06069770088817147	0	COMPLETE
1	0.12827715355805244	2020-03-16 09:18:34.995598	2020-03-16 09:22:09.408663	0.26541885101994817	3.324156328288627	6.7862203202349	0.04484553921165793	256	83	0.0400782624076709	256	0.917822056985373	0.012172284644194757	0.12827715355805244	0.03604868913857678	0.06554307116104868	44.24953183520599	0.060400918492914686	0.012172284644194757	0.12827715355805244	0.03604868913857678	0.06554307116104868	44.24953183520599	0.060400918492914686	1194125678	250	0.012172284644194757	0.12827715355805244	0.03604868913857678	0.06554307116104868	44.24953183520599	0.060400918492914686	1	COMPLETE
2	0.10955056179775281	2020-03-16 09:22:09.426904	2020-03-16 09:24:50.000470	0.3368275724586739	5.051849626545383	8.539299472225963	0.03517130440332615	64	12	0.012363026608101988	128	0.9761006211127723	0.009831460674157303	0.10955056179775281	0.025280898876404494	0.046348314606741575	47.09339887640449	0.05299784413136018	0.009831460674157303	0.10955056179775281	0.025280898876404494	0.046348314606741575	47.09316479400749	0.05299821131943391	1743335088	150	0.009831460674157303	0.10955056179775281	0.025280898876404494	0.046348314606741575	47.0936329588015	0.05299749106590467	2	COMPLETE
3	0.14138576779026218	2020-03-16 09:24:50.012771	2020-03-16 09:26:41.508196	0.5678398341404061	29.093694749407582	3.994742358708975	0.08762237255846422	128	70	0.08844786960394778	512	0.875889938817384	0.0149812734082397	0.14138576779026218	0.041666666666666664	0.07209737827715355	42.03089887640449	0.06640788167353792	0.0149812734082397	0.14138576779026218	0.041666666666666664	0.07209737827715355	42.03089887640449	0.06640788167353792	971257829	250	0.0149812734082397	0.14138576779026218	0.041666666666666664	0.07209737827715355	42.03089887640449	0.06640788167353792	3	COMPLETE
4	0.12453183520599251	2020-03-16 09:26:41.527019	2020-03-16 09:29:52.718269	0.9836621223373792	15.090122609175973	9.97945027835471	0.054075731244058164	128	94	0.0406611960345094	256	0.9316049994663632	0.012640449438202247	0.12453183520599251	0.035580524344569285	0.06132958801498127	44.7626404494382	0.060635105883791396	0.012640449438202247	0.12453183520599251	0.035580524344569285	0.06132958801498127	44.7626404494382	0.060635105883791396	2400216234	250	0.012640449438202247	0.12453183520599251	0.035580524344569285	0.06132958801498127	44.7626404494382	0.060635105883791396	4	COMPLETE
5	0.09597378277153558	2020-03-16 09:29:52.730238	2020-03-16 09:31:19.536717	0.6535820703265649	13.316985715583103	8.549276964913766	0.020605348427058853	64	37	0.014802849656288525	256	0.974872874904403	0.009363295880149813	0.09597378277153558	0.0299625468164794	0.04915730337078652	47.02340823970037	0.05226066047400893	0.009363295880149813	0.09597378277153558	0.0299625468164794	0.04915730337078652	47.02340823970037	0.05226066047400893	3007474746	150	0.009363295880149813	0.09597378277153558	0.0299625468164794	0.04915730337078652	47.02340823970037	0.05226066047400893	5	COMPLETE
6	0.12734082397003746	2020-03-16 09:31:19.547670	2020-03-16 09:35:42.086880	0.7151422541211023	21.24341253941152	6.981623496093802	0.046181485685558334	64	69	0.09839294349749991	256	0.9117398602357797	0.013108614232209739	0.12734082397003746	0.037921348314606744	0.07116104868913857	43.86516853932584	0.06293868082727214	0.013108614232209739	0.12734082397003746	0.037921348314606744	0.07116104868913857	43.86516853932584	0.06293868082727214	2561648009	350	0.013108614232209739	0.12734082397003746	0.037921348314606744	0.07116104868913857	43.86516853932584	0.06293868082727214	6	COMPLETE
7	0.11282771535580524	2020-03-16 09:35:42.099142	2020-03-16 09:39:16.215158	0.16741042814630408	19.962201874715934	6.644249329811931	0.023793016004849	64	28	0.0025863043491958495	256	0.9557672671342359	0.010299625468164793	0.11282771535580524	0.03651685393258427	0.05852059925093633	46.03253745318352	0.056287015659881076	0.010299625468164793	0.11282771535580524	0.03651685393258427	0.05852059925093633	46.032303370786515	0.05628708464968273	3182650109	300	0.010299625468164793	0.11282771535580524	0.03651685393258427	0.05852059925093633	46.03277153558052	0.056286947839398103	7	COMPLETE
8	0.12593632958801498	2020-03-16 09:39:16.227185	2020-03-16 09:41:57.055688	0.37323238569286843	1.2380960092507147	5.538593393927375	0.021018700988091096	64	75	0.09449028668138226	512	0.9174927174016024	0.010767790262172285	0.12593632958801498	0.03604868913857678	0.07162921348314606	44.1123595505618	0.060688154270531945	0.010767790262172285	0.12593632958801498	0.03604868913857678	0.07162921348314606	44.1123595505618	0.060688154270531945	2823060609	350	0.010767790262172285	0.12593632958801498	0.03604868913857678	0.07162921348314606	44.1123595505618	0.060688154270531945	8	COMPLETE
9	0.09784644194756555	2020-03-16 09:41:57.067743	2020-03-16 09:44:42.092096	0.5827383344647789	5.476679151649559	8.59250514928437	0.05082257516184887	128	87	0.0036396338885305132	128	0.9914556904974976	0.005149812734082397	0.09784644194756555	0.023408239700374533	0.042134831460674156	47.708567415730336	0.04810430813885763	0.005149812734082397	0.09784644194756555	0.023408239700374533	0.042134831460674156	47.708333333333336	0.04810435989837051	2541968584	150	0.005149812734082397	0.09784644194756555	0.023408239700374533	0.042134831460674156	47.70880149812734	0.04810425714051406	9	COMPLETE
10	0.10346441947565543	2020-03-16 09:44:42.104860	2020-03-16 09:46:10.920068	0.6505016280895112	2.9173988923075913	7.48251983532173	0.021599632697540727	128	55	0.0017471072152436201	256	0.9700254458752687	0.012172284644194757	0.10346441947565543	0.03604868913857678	0.054307116104868915	46.691947565543074	0.05671944134992621	0.012172284644194757	0.10346441947565543	0.03604868913857678	0.054307116104868915	46.691947565543074	0.05671944134992621	3811674832	150	0.012172284644194757	0.10346441947565543	0.03604868913857678	0.054307116104868915	46.691947565543074	0.05671944134992621	10	COMPLETE
11	0.11142322097378277	2020-03-16 09:46:10.932114	2020-03-16 09:48:23.826447	0.4839840306593567	1.5913443268116225	8.565351466143603	0.056374169315361766	64	57	0.04450089777797866	256	0.9405678185880226	0.013108614232209739	0.11142322097378277	0.040262172284644196	0.05290262172284644	45.300561797752806	0.060155601141630724	0.013108614232209739	0.11142322097378277	0.040262172284644196	0.05290262172284644	45.300561797752806	0.060155601141630724	2882328805	200	0.013108614232209739	0.11142322097378277	0.040262172284644196	0.05290262172284644	45.300561797752806	0.060155601141630724	11	COMPLETE
12	0.11938202247191011	2020-03-16 09:48:23.838512	2020-03-16 09:51:10.534348	0.2541041430765306	26.631543758071928	4.493556647099975	0.023193476724320632	64	97	0.006420458861873709	512	0.9464669141723088	0.011235955056179775	0.11938202247191011	0.037921348314606744	0.05852059925093633	45.624063670411985	0.05846253756446524	0.011235955056179775	0.11938202247191011	0.037921348314606744	0.05852059925093633	45.624063670411985	0.05846253756446524	1286612424	350	0.011235955056179775	0.11938202247191011	0.037921348314606744	0.05852059925093633	45.624063670411985	0.05846253756446524	12	COMPLETE
13	0.1100187265917603	2020-03-16 09:51:10.546380	2020-03-16 09:53:53.332957	0.2656212279911371	4.888011573212036	5.46364579922562	0.013624680629115146	64	62	0.016439720406501605	128	0.9688626706655998	0.007022471910112359	0.1100187265917603	0.028089887640449437	0.04541198501872659	46.74578651685393	0.05130841141722464	0.007022471910112359	0.1100187265917603	0.028089887640449437	0.04541198501872659	46.74578651685393	0.05130841141722464	4256672393	150	0.007022471910112359	0.1100187265917603	0.028089887640449437	0.04541198501872659	46.74578651685393	0.05130841141722464	13	COMPLETE
