number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	351	401	501	551	601	651	801	851	1051	1101
0	TrialState.COMPLETE	0.04704573047349251	2019-12-30 13:56:51.209379	2019-12-30 14:39:46.351898	0.4358022133723921	5.776637608272561	100.0	30.0	0.010969966827988495	800.0	0.4660345126900631	0.010092067988668555	0.04704573047349251	0.02190408741400243	0.031136179684338326	9446.585706697693	0.02328117680718282	0.010092067988668555	0.04704573047349251	0.02190408741400243	0.031136179684338326	9446.58364528531	0.023281177000857023	0.010092067988668555	0.04704573047349251	0.02190408741400243	0.031136179684338326	9446.587768110077	0.023281176614072977	0				0.046529745042492916	0.046830736543909346										
1	TrialState.COMPLETE	0.04724807770133549	2019-12-30 14:39:46.352693	2019-12-30 15:32:58.440191	0.1699787694349119	10.39985803125894	150.0	20.0	0.01089126109131746	1200.0	0.46174612860797554	0.009358559287737758	0.04724807770133549	0.022485835694050993	0.03128794010522056	9359.964778935653	0.02300515240702236	0.009358559287737758	0.04724807770133549	0.022485835694050993	0.03128794010522056	9359.96198401457	0.023005152545645526	0.009358559287737758	0.04724807770133549	0.022485835694050993	0.03128794010522056	9359.967573856738	0.023005152268591945	1				0.04631728045325779	0.046860245514636446										
2	TrialState.COMPLETE	0.024939295831647106	2019-12-30 15:32:58.441009	2019-12-30 16:10:35.876302	0.6995062726447027	16.257407794179592	50.0	90.0	0.012794619451197654	1800.0	0.5275253965541025	0.004805746661270741	0.024939295831647106	0.011710845811412384	0.016061311210036424	10693.11903075678	0.012598625330140828	0.004805746661270741	0.024939295831647106	0.011710845811412384	0.016061311210036424	10693.113668555241	0.012598625458876436	0.004805746661270741	0.024939295831647106	0.011710845811412384	0.016061311210036424	10693.124392958316	0.01259862520155349	2				0.024008498583569404	0.024551463644948063										
3	TrialState.COMPLETE	0.14404066336166194	2019-12-30 16:10:35.877219	2019-12-30 19:30:51.192705	0.40089595335620487	10.853026080182756	150.0	10.0	0.005043483306281557	1400.0	0.35557319469460025	0.04915456798866855	0.14404066336166194	0.09009826487252125	0.11187588526912182	7207.516240999764	0.08164857266090617	0.04915456798866855	0.14404066336166194	0.09009826487252125	0.11187588526912182	7207.5144962818695	0.0816485728081887	0.04915456798866855	0.14404066336166194	0.09009826487252125	0.11187588526912182	7207.517985717658	0.08164857251391107	3														0.14239151429307237	0.14325193989407561
4	TrialState.COMPLETE	0.0002655807365439094	2019-12-30 19:30:51.193813	2019-12-30 19:49:33.232194	0.8138625919739346	26.185683478721717	100.0	20.0	0.055561841101109254	1200.0	0.8286051534897378	0.0	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	16798.229107648724	0.00026794740144126216	0.7278682719546742	0.7283109065155807	0.7280895892351275	0.7280895892351275	4503.639075779037	0.7281774041959812	0.0	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	29092.819139518415	0.0002442771474937647	4	0.0005311614730878187	0.0003541076487252125													
5	TrialState.COMPLETE	0.004036827195467422	2019-12-30 19:49:33.233024	2019-12-30 20:21:23.607143	0.14783699120901173	17.771699996381784	150.0	10.0	0.001032740645221174	800.0	0.7240914548032241	0.0009560906515580737	0.004036827195467422	0.001593484419263456	0.0022662889518413596	14677.528948300283	0.0025275350872315363	0.0009560906515580737	0.004036827195467422	0.001593484419263456	0.0022662889518413596	14677.521671388102	0.0025275351794687697	0.0009560906515580737	0.004036827195467422	0.001593484419263456	0.0022662889518413596	14677.536225212465	0.0025275349950184926	5		0.002478753541076487	0.0034525495750708213												
6	TrialState.COMPLETE	0.000708215297450425	2019-12-30 20:21:23.607984	2019-12-30 20:37:05.512421	0.7853511182883265	16.747015414417337	50.0	30.0	0.05259840269126361	800.0	0.5511959914436895	4.426345609065156e-05	0.000708215297450425	0.0001327903682719547	0.0002213172804532578	11173.73269298867	0.0007369743796716856	0.4191306657223796	0.4196618271954674	0.4193519830028329	0.41944050991501414	8208.163199362607	0.41957151862445147	4.426345609065156e-05	0.0004868980169971671	0.0001327903682719547	0.00017705382436260624	14139.30218661473	0.0005790250353807526	6	0.00141643059490085	0.0009442870632672333													
7	TrialState.COMPLETE	0.011189801699716714	2019-12-30 20:37:05.513339	2019-12-30 21:16:45.753819	0.297989535028767	8.474253194101966	200.0	10.0	0.020829249793745296	900.0	0.3995716393508862	0.0007790368271954674	0.011189801699716714	0.0029390934844192636	0.004957507082152974	8099.61104815864	0.006391267955095543	0.10293909348441926	0.10984419263456091	0.10601983002832861	0.10718838526912182	8088.040757790368	0.10646369649392125	0.0007790368271954674	0.007577903682719547	0.002301699716713881	0.003895184135977337	8111.181338526912	0.004989853931017024	7		0.0171152030217186	0.013411827195467423												
8	TrialState.COMPLETE	0.00141643059490085	2019-12-30 21:16:45.754722	2019-12-30 21:41:11.359970	0.23578093160430713	19.11500027564036	150.0	20.0	0.03395685733277651	800.0	0.5040724788872829	0.0	0.00141643059490085	0.0004868980169971671	0.000796742209631728	10218.19644121813	0.0011721924102376326	0.3781869688385269	0.3809313031161473	0.37986898016997167	0.38017882436260625	8511.499778682719	0.3795006391781696	0.0	0.0013279036827195468	0.0004868980169971671	0.000708215297450425	11924.89310375354	0.0009567536135107027	8	0.0028328611898017	0.0018885741265344666													
9	TrialState.COMPLETE	0.0534171388101983	2019-12-30 21:41:11.360934	2019-12-30 22:49:27.620825	0.19823600583557321	2.0307187933369395	100.0	70.0	0.005461802310833195	1600.0	0.4856314718455194	0.01248229461756374	0.0534171388101983	0.026558073654390935	0.036136685552407934	9843.65668378187	0.027373830851310604	0.01248229461756374	0.0534171388101983	0.026558073654390935	0.036136685552407934	9843.655506373938	0.027373830882597063	0.01248229461756374	0.0534171388101983	0.026558073654390935	0.036136685552407934	9843.657861189802	0.02737383082004134	9						0.05238580028328612	0.05295876613157066								
10	TrialState.COMPLETE	0.004851274787535411	2019-12-30 22:49:27.621648	2019-12-30 23:12:25.790180	0.627432362623456	19.002631297466856	50.0	40.0	0.04192385689158545	1700.0	0.5626950150973633	0.0008498583569405099	0.004851274787535411	0.00198300283286119	0.0027620396600566573	11406.67652266289	0.002801737561500082	0.18243626062322946	0.18640226628895185	0.18356940509915015	0.1843484419263456	11016.506586402265	0.18414807761023796	0.0008498583569405099	0.004815864022662889	0.0019475920679886685	0.0027620396600566573	11796.846458923514	0.0026723959548835465	10		0.008085457979225684	0.006064093484419264												
11	TrialState.COMPLETE	0.0003541076487252125	2019-12-30 23:12:25.791211	2019-12-30 23:42:57.617693	0.8459148825929731	23.455292476757336	200.0	20.0	0.05798136042092066	1200.0	0.8953244305175511	0.0	0.0003541076487252125	8.852691218130312e-05	0.0001327903682719547	18150.956599681303	0.0002987362414865071	0.7484065155807366	0.7497786827195467	0.7492917847025495	0.7494245750708215	3424.482825779037	0.7490867561910962	0.0	0.0003541076487252125	8.852691218130312e-05	0.0001327903682719547	32877.43037358357	0.0002793386780728801	11	0.000708215297450425	0.00047214353163361664													
