number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
12	TrialState.COMPLETE	0.0002655807365439094	2019-12-30 23:42:57.618576	2019-12-31 00:13:58.672935	0.6814942943113873	22.311088728050812	200.0	50.0	0.09677521808382056	800.0	0.91076170595235	8.852691218130312e-05	0.0002655807365439094	0.0001327903682719547	0.0002655807365439094	18463.559733533995	0.00031167098838456614	0.7498229461756374	0.75	0.749867209631728	0.75	3264.898503895184	0.750009108659603	8.852691218130312e-05	0.0002655807365439094	0.0001327903682719547	0.0002655807365439094	33662.220963172804	0.0002931802166674897	12	0.0005311614730878187	0.0003541076487252125													
13	TrialState.COMPLETE	0.0042935552407932015	2019-12-31 00:13:58.673743	2019-12-31 00:31:06.126284	0.6773489051965798	7.662253292706973	100.0	10.0	0.0017912839128927762	1900.0	0.710385310362874	0.0008410056657223796	0.0042935552407932015	0.002080382436260623	0.002700070821529745	14400.044506905098	0.0027229510748324345	0.0008410056657223796	0.0042935552407932015	0.002080382436260623	0.002700070821529745	14400.04041253541	0.002722951507103016	0.0008410056657223796	0.0042935552407932015	0.002080382436260623	0.002700070821529745	14400.048601274788	0.002722950643675395	13	0.002921388101983003	0.0038361661945231352													
14	TrialState.COMPLETE	0.014577431539187913	2019-12-31 00:31:06.127202	2019-12-31 01:06:14.629670	0.10242027611808167	16.269364512069572	100.0	70.0	0.021901542296006275	2000.0	0.5087550014923226	0.002360717658168083	0.014577431539187913	0.005724740321057601	0.008705146364494806	10312.971036945231	0.007648952299660901	0.026499055712936734	0.03783050047214353	0.029508970727101038	0.032341831916902736	10310.961903918791	0.031101875521113213	0.002360717658168083	0.0141938149197356	0.005488668555240793	0.0085576015108593	10314.980169971672	0.007341475017452512	14			0.021246458923512748	0.017245042492917848											
15	TrialState.COMPLETE	0.015226628895184136	2019-12-31 01:06:14.630619	2019-12-31 02:27:54.546358	0.7583664810518934	23.275847232397457	50.0	90.0	0.001360026653682281	900.0	0.560564257302876	0.002192743517106123	0.015226628895184136	0.005842776203966006	0.009097842667247766	11362.453816190891	0.0074541082284429695	0.002192743517106123	0.015226628895184136	0.005842776203966006	0.009097842667247766	11362.449444323382	0.007454108332991128	0.002192743517106123	0.015226628895184136	0.005842776203966006	0.009097842667247766	11362.458188058401	0.0074541081239468355	15								0.013745815091424156	0.014547922568460813						
16	TrialState.COMPLETE	0.002213172804532578	2019-12-31 02:27:54.547184	2019-12-31 02:59:34.467163	0.7548352633541031	15.574036823588001	200.0	80.0	0.0274098241398451	800.0	0.4260635656184101	0.0007524787535410764	0.002213172804532578	0.001106586402266289	0.0011951133144475921	8636.63812411473	0.002204143250391816	0.15585162889518414	0.21782046742209632	0.18661473087818697	0.19887570821529746	8239.586402266288	0.17722837772247912	0.0007524787535410764	0.00199185552407932	0.0010623229461756375	0.0011951133144475921	9033.689845963172	0.00187203322286296	16	0.00424929178470255	0.002891879131255902													
17	TrialState.COMPLETE	0.0653701356791412	2019-12-31 02:59:34.467998	2019-12-31 06:21:58.754386	0.11847563187025775	3.4753801879257655	200.0	30.0	0.003300283350691065	1600.0	0.44058428371072755	0.016661696734754733	0.0653701356791412	0.034525495750708214	0.04640673922767258	8930.84351237513	0.03387068224762711	0.016661696734754733	0.0653701356791412	0.034525495750708214	0.04640673922767258	8930.842189130759	0.03387068233640108	0.016661696734754733	0.0653701356791412	0.034525495750708214	0.04640673922767258	8930.844835619502	0.03387068215897448	17												0.06414555907348775	0.06479186339313818		
18	TrialState.COMPLETE	0.000708215297450425	2019-12-31 06:21:58.755359	2019-12-31 06:46:36.836838	0.44544026365577793	1.6492903578517428	150.0	20.0	0.04945107052740776	1500.0	0.8108091108579103	0.0	0.000708215297450425	4.426345609065156e-05	0.000398371104815864	16437.945246104817	0.0004334744981094205	0.7454408640226629	0.7491147308781869	0.7472999291784702	0.7477425637393768	2848.74026203966	0.7469368119595617	0.0	0.000708215297450425	4.426345609065156e-05	0.000398371104815864	30027.150230169973	0.00041086686612929764	18	0.00141643059490085	0.0009442870632672333													
19	TrialState.COMPLETE	0.03890462700661001	2019-12-31 06:46:36.837819	2019-12-31 08:23:19.543108	0.1973626441883861	16.64696262186483	50.0	40.0	0.0055561681925805455	1100.0	0.4836111017651349	0.008486779981114259	0.03890462700661001	0.018047686496694994	0.024728517469310672	9802.734578611899	0.019643332691671875	0.008486779981114259	0.03890462700661001	0.018047686496694994	0.024728517469310672	9802.73031161473	0.01964333300207367	0.008486779981114259	0.03890462700661001	0.018047686496694994	0.024728517469310672	9802.738845609065	0.01964333238198273	19										0.037943996513401614	0.03845861999190611				
20	TrialState.COMPLETE	0.0018590651558073655	2019-12-31 08:23:19.544072	2019-12-31 08:38:56.736479	0.8809668267024483	5.300592917129103	50.0	30.0	0.06838493154756699	1300.0	0.8562897172464133	0.0003541076487252125	0.0018590651558073655	0.000796742209631728	0.0010180594900849858	17359.63918643768	0.001016885763148105	0.7369865439093485	0.7454851274787535	0.7413243626062322	0.7437588526912181	3080.5833480878186	0.7399579829459075	0.0003541076487252125	0.0018590651558073655	0.000796742209631728	0.0010180594900849858	31638.695024787536	0.0009968786084653975	20	0.003718130311614731	0.002478753541076487													
21	TrialState.COMPLETE	0.10150549403382264	2019-12-31 08:38:56.737267	2019-12-31 13:02:12.280805	0.4261552160690125	27.856178629040496	100.0	40.0	0.0020268356049408486	1600.0	0.41292068024827266	0.030705425358399863	0.10150549403382264	0.06028414456176496	0.0764282341831917	8369.633605888917	0.05516005700186426	0.030705425358399863	0.10150549403382264	0.06028414456176496	0.0764282341831917	8369.630966177354	0.055160058932591266	0.030705425358399863	0.10150549403382264	0.06028414456176496	0.0764282341831917	8369.63624560048	0.05516005510154072	21															
22	TrialState.COMPLETE	0.021777620396600566	2019-12-31 13:02:12.281953	2019-12-31 13:28:53.855623	0.8947257741506275	7.151350563558343	100.0	40.0	0.02070177688760571	1700.0	0.4323878579008535	0.002337110481586402	0.021777620396600566	0.007152974504249292	0.011862606232294617	8764.94789305949	0.010507712198434353	0.04373229461756374	0.05527620396600567	0.047698300283286116	0.05031869688385269	8763.373158640226	0.04919525386737371	0.002337110481586402	0.017528328611898018	0.006055240793201133	0.009596317280453258	8766.522627478753	0.009123914466506297	22		0.0312204910292729	0.02531869688385269												
23	TrialState.COMPLETE	0.045816081935062106	2019-12-31 13:28:53.856561	2019-12-31 15:50:15.343165	0.4584738604864077	17.36111273438084	200.0	40.0	0.0018036617612263441	600.0	0.5158677934219916	0.009383852691218131	0.045816081935062106	0.02255393331880584	0.03091632163870124	10456.50315972979	0.022360492214201555	0.009383852691218131	0.045816081935062106	0.02255393331880584	0.03091632163870124	10456.499114730877	0.02236049269129232	0.009383852691218131	0.045816081935062106	0.02255393331880584	0.03091632163870124	10456.5072047287	0.022360491738285887	23															
