number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.0	2020-01-04 17:25:58.991193	2020-01-04 17:35:04.312279	250.0	91.0	0.028462818479111588	700.0	1.0165144524294334	0.0	0.0	0.0	0.0	20608.24504249292	0.0002092109634695847	0.0	0.0	0.0	0.0	20608.244732648724	0.00020921096776038234	0.0	0.0	0.0	0.0	20608.24535233711	0.00020921095917968315	0	0.0	0.0
1	TrialState.COMPLETE	0.00017705382436260624	2020-01-04 17:35:04.313036	2020-01-04 17:40:51.726742	50.0	81.0	0.0015299534299121017	700.0	1.0144880810706516	0.0	0.00017705382436260624	0.0	0.0	20567.02129072238	0.00019053281115906102	0.0	0.00017705382436260624	0.0	0.0	20567.021025141643	0.0001905328119734276	0.0	0.00017705382436260624	0.0	0.0	20567.021556303116	0.0001905328103447574	1	0.00017705382436260624	0.00017705382436260624
2	TrialState.COMPLETE	0.00017705382436260624	2020-01-04 17:40:51.727704	2020-01-04 17:46:49.507557	150.0	11.0	0.002960791231594909	600.0	0.9838575717147318	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19946.095941041076	0.0003099224993406827	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19946.095830382437	0.0003099225015667767	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19946.09605169972	0.0003099224971151675	2	0.00017705382436260624	0.00017705382436260624
3	TrialState.COMPLETE	0.0	2020-01-04 17:46:49.508549	2020-01-04 17:52:20.549545	50.0	1.0	0.0023330103877634988	900.0	1.005049226476676	0.0	0.0	0.0	0.0	20375.597091890933	0.00018006814336450863	0.0	0.0	0.0	0.0	20375.596671388103	0.0001800681527185845	0.0	0.0	0.0	0.0	20375.597512393768	0.00018006813401298075	3	0.0	0.0
4	TrialState.COMPLETE	0.0	2020-01-04 17:52:20.550529	2020-01-04 18:01:27.394287	250.0	91.0	0.015648927663779368	900.0	1.0220285482550122	0.0	0.0	0.0	0.0	20719.882414128897	0.00015870026784628813	0.0	0.0	0.0	0.0	20719.882082152973	0.00015870029951249657	0.0	0.0	0.0	0.0	20719.882746104817	0.0001587002362020657	4	0.0	0.0
5	TrialState.COMPLETE	0.00017705382436260624	2020-01-04 18:01:27.395890	2020-01-04 18:13:53.537901	450.0	71.0	0.0020374585864676707	800.0	1.0018823062853623	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20311.452748760625	0.0002797529513480225	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20311.45254957507	0.00027975295321588077	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20311.452947946174	0.00027975294948041565	5	0.00017705382436260624	0.00017705382436260624
6	TrialState.COMPLETE	0.0008852691218130312	2020-01-04 18:13:53.538736	2020-01-04 18:26:17.201562	450.0	71.0	0.0011083951043823236	500.0	1.0099865983855019	0.00017705382436260624	0.0008852691218130312	0.0003541076487252125	0.0005311614730878187	20475.56059667139	0.0005420375633660188	0.00017705382436260624	0.0008852691218130312	0.0003541076487252125	0.0005311614730878187	20475.56019830028	0.0005420375650133203	0.00017705382436260624	0.0008852691218130312	0.0003541076487252125	0.0005311614730878187	20475.56099504249	0.0005420375617188649	6	0.0008852691218130312	0.0008852691218130312
7	TrialState.COMPLETE	0.0	2020-01-04 18:26:17.202589	2020-01-04 18:34:22.355239	250.0	61.0	0.007841383139101567	500.0	0.9860661489355855	0.0	0.0	0.0	0.0	19990.651447415014	0.0001964731989303931	0.0	0.0	0.0	0.0	19990.65115970255	0.00019647320371471354	0.0	0.0	0.0	0.0	19990.651735127478	0.00019647319414689015	7	0.0	0.0
8	TrialState.COMPLETE	0.0005311614730878187	2020-01-04 18:34:22.356815	2020-01-04 18:41:27.905995	150.0	81.0	0.003159298629486087	900.0	0.9999032452494742	0.00017705382436260624	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	20271.49991147309	0.00048404396124327565	0.00017705382436260624	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	20271.499557365438	0.0004840439714925969	0.00017705382436260624	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	20271.500265580737	0.0004840439509967655	8	0.0005311614730878187	0.0005311614730878187
9	TrialState.COMPLETE	0.0002655807365439094	2020-01-04 18:41:27.906969	2020-01-04 18:47:22.953586	50.0	61.0	0.08283039192326636	900.0	0.9991669406072653	0.0	0.0002655807365439094	8.852691218130312e-05	0.00017705382436260624	20256.25398371105	0.0002619973905701892	0.0	0.0002655807365439094	8.852691218130312e-05	0.00017705382436260624	20256.253762393768	0.00026199739258910714	0.0	0.0002655807365439094	8.852691218130312e-05	0.00017705382436260624	20256.25420502833	0.00026199738855160065	9	0.0003541076487252125	0.0002950897072710104
10	TrialState.COMPLETE	0.0	2020-01-04 18:47:22.954652	2020-01-04 19:00:55.415243	450.0	91.0	0.008343092369348281	500.0	0.9925331567957091	0.0	0.0	0.0	0.0	20122.077261862607	0.00021233802094938064	0.0	0.0	0.0	0.0	20122.07710694051	0.00021233802557836225	0.0	0.0	0.0	0.0	20122.0774167847	0.0002123380163217396	10	0.0	0.0
11	TrialState.COMPLETE	0.0	2020-01-04 19:00:55.416208	2020-01-04 19:14:32.044621	450.0	91.0	0.09549443402407501	900.0	0.996460585334057	0.0	0.0	0.0	0.0	20201.452283994335	0.0001989446461535824	0.0	0.0	0.0	0.0	20201.451885623228	0.0001989446498440801	0.0	0.0	0.0	0.0	20201.452682365438	0.00019894464246386745	11	0.0	0.0
12	TrialState.COMPLETE	0.0003541076487252125	2020-01-04 19:14:32.045566	2020-01-04 19:20:33.255122	150.0	21.0	0.014987196158569766	500.0	1.0171211621350686	0.00017705382436260624	0.0003541076487252125	0.0003541076487252125	0.0003541076487252125	20620.615062854107	0.0004246010411335634	0.00017705382436260624	0.0003541076487252125	0.0003541076487252125	0.0003541076487252125	20620.614907932013	0.00042460104168524785	0.00017705382436260624	0.0003541076487252125	0.0003541076487252125	0.0003541076487252125	20620.615217776205	0.00042460104058192897	12	0.0003541076487252125	0.0003541076487252125
13	TrialState.COMPLETE	0.0003541076487252125	2020-01-04 19:20:33.256048	2020-01-04 19:34:08.329342	450.0	91.0	0.01218961886627038	800.0	0.9895649785837506	0.0	0.0003541076487252125	0.0	0.0003541076487252125	20061.718772131728	0.0002867429176858361	0.0	0.0003541076487252125	0.0	0.0003541076487252125	20061.71852868272	0.00028674292173105177	0.0	0.0003541076487252125	0.0	0.0003541076487252125	20061.719015580737	0.00028674291364169587	13	0.0003541076487252125	0.0003541076487252125
14	TrialState.COMPLETE	0.0003541076487252125	2020-01-04 19:34:08.330362	2020-01-04 19:40:33.282806	150.0	51.0	0.0050943069534002345	600.0	0.9918406492557479	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20107.778660587817	0.0002583969381532532	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20107.778505665723	0.0002583969385227591	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20107.778815509915	0.0002583969377837676	14	0.0003541076487252125	0.0003541076487252125
