number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9297752808988764	2020-04-10 04:10:54.202276	2020-04-10 04:15:50.933268	0.6233025102180645	13.044416476980814	64	53	256	0.08481485545565462	0.38717228464419473	0.9297752808988764	0.7055243445692884	0.8235018726591761	4.105805243445693	0.5727274128382306	0.38717228464419473	0.9297752808988764	0.7055243445692884	0.8235018726591761	4.105805243445693	0.5727274128382306	1684505494		0.38717228464419473	0.9297752808988764	0.7055243445692884	0.8235018726591761	4.105805243445693	0.5727274128382306	0	COMPLETE
1	0.8553370786516854	2020-04-10 04:15:50.965561	2020-04-10 04:21:15.780873	0.3309961078756234	16.81941249332089	128	37	128	0.12164174390464938	0.2916666666666667	0.8553370786516854	0.5702247191011236	0.7228464419475655	5.917134831460674	0.47327651568083073	0.2916666666666667	0.8553370786516854	0.5702247191011236	0.7228464419475655	5.917134831460674	0.47327651568083073	1604797941	650.0	0.2916666666666667	0.8553370786516854	0.5702247191011236	0.7228464419475655	5.917134831460674	0.47327651568083073	1	COMPLETE
2	0.6671348314606742	2020-04-10 04:21:15.808202	2020-04-10 04:25:00.225123	0.9547455767277525	11.75818971910969	256	85	512	0.24310367193495094	0.14185393258426968	0.6671348314606742	0.33848314606741575	0.4714419475655431	11.879681647940075	0.29876402802340624	0.14185393258426968	0.6671348314606742	0.33848314606741575	0.4714419475655431	11.879681647940075	0.29876402802340624	1196294000		0.14185393258426968	0.6671348314606742	0.33848314606741575	0.4714419475655431	11.879681647940075	0.29876402802340624	2	COMPLETE
3	0.8941947565543071	2020-04-10 04:25:00.252202	2020-04-10 04:28:01.533569	0.6636452405093349	26.1953671962174	64	95	512	0.10282660318601332	0.27902621722846443	0.8941947565543071	0.5814606741573034	0.7467228464419475	4.991104868913857	0.474042733431549	0.27902621722846443	0.8941947565543071	0.5814606741573034	0.7467228464419475	4.991104868913857	0.474042733431549	1662773235		0.27902621722846443	0.8941947565543071	0.5814606741573034	0.7467228464419475	4.991104868913857	0.474042733431549	3	COMPLETE
4	0.11844569288389513	2020-04-10 04:28:01.560633	2020-04-10 04:28:19.940068	0.3473986271419748	3.9311199021555154	64	17	512	0.9870915596237343	0.011704119850187267	0.11844569288389513	0.03698501872659176	0.06273408239700375	47.66573033707865	0.05793774085207004	0.011704119850187267	0.11844569288389513	0.03698501872659176	0.06273408239700375	47.66573033707865	0.05793774085207004	1625945849	150.0	0.011704119850187267	0.11844569288389513	0.03698501872659176	0.06273408239700375	47.66573033707865	0.05793774085207004	4	COMPLETE
5	0.6385767790262172	2020-04-10 04:28:19.967379	2020-04-10 04:31:01.763395	0.8784000691934947	18.188734974034638	256	21	512	0.2533480795204974	0.12406367041198502	0.6385767790262172	0.3160112359550562	0.44709737827715357	12.345973782771535	0.2784071024327204	0.12406367041198502	0.6385767790262172	0.3160112359550562	0.44709737827715357	12.345973782771535	0.2784071024327204	1916069565		0.12406367041198502	0.6385767790262172	0.3160112359550562	0.44709737827715357	12.345973782771535	0.2784071024327204	5	COMPLETE
6	0.7036516853932584	2020-04-10 04:31:01.839428	2020-04-10 04:35:59.558054	0.4833752951653343	3.1826906636280174	256	15	256	0.20552066627938706	0.17883895131086142	0.7036516853932584	0.3937265917602996	0.5173220973782772	10.0187265917603	0.3402851511942316	0.17883895131086142	0.7036516853932584	0.3937265917602996	0.5173220973782772	10.0187265917603	0.3402851511942316	4171789843		0.17883895131086142	0.7036516853932584	0.3937265917602996	0.5173220973782772	10.0187265917603	0.3402851511942316	6	COMPLETE
7	0.5781835205992509	2020-04-10 04:35:59.600917	2020-04-10 04:39:36.975691	0.36266914883267676	29.55752154483611	256	79	512	0.3045683018784719	0.11750936329588015	0.5781835205992509	0.2982209737827715	0.4096441947565543	14.872191011235955	0.26248874031816993	0.11750936329588015	0.5781835205992509	0.2982209737827715	0.4096441947565543	14.872191011235955	0.26248874031816993	745786568		0.11750936329588015	0.5781835205992509	0.2982209737827715	0.4096441947565543	14.872191011235955	0.26248874031816993	7	COMPLETE
8	0.8693820224719101	2020-04-10 04:39:37.020717	2020-04-10 04:46:20.765372	0.7093286094842921	26.836694625786038	128	20	128	0.1184474902091485	0.30290262172284643	0.8693820224719101	0.5781835205992509	0.7219101123595506	5.73876404494382	0.483534305374611	0.30290262172284643	0.8693820224719101	0.5781835205992509	0.7219101123595506	5.73876404494382	0.483534305374611	2685546134	800.0	0.30290262172284643	0.8693820224719101	0.5781835205992509	0.7219101123595506	5.73876404494382	0.483534305374611	8	COMPLETE
9	0.6671348314606742	2020-04-10 04:46:20.787021	2020-04-10 04:51:18.736539	0.23217369207674002	25.96095888110194	256	22	256	0.24429710379501715	0.17790262172284643	0.6671348314606742	0.3862359550561798	0.49953183520599254	11.913389513108614	0.33237385148443255	0.17790262172284643	0.6671348314606742	0.3862359550561798	0.49953183520599254	11.913389513108614	0.33237385148443255	1642841641		0.17790262172284643	0.6671348314606742	0.3862359550561798	0.49953183520599254	11.913389513108614	0.33237385148443255	9	COMPLETE
