number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.007246376811594203	2021-04-08 17:13:28.198447	2021-04-08 18:55:47.551818	64	10	0.07626229240123672	128	0.9004276769719571	0.004564646810453041	0.007246376811594203	0.005306401917151661	0.00604815702385028	6429.415967705124	0.006103643848054187	0.004564646810453041	0.007246376811594203	0.005306401917151661	0.00604815702385028	6429.414526988474	0.006103644002028525		2389319575.0	101.0	0.004564646810453041	0.007246376811594203	0.005306401917151661	0.00604815702385028	6429.417408421773	0.0061036436942258	0		COMPLETE
1	0.3636597055802807	2021-04-08 18:55:47.646317	2021-04-08 21:29:07.495703	256	63	0.0037307252665748046	128	0.03922426873146611	0.11542850621933128	0.3636597055802807	0.20974552094031723	0.2696565103275134	264.12569896154287	0.19584645580404023	0.11542850621933128	0.3636597055802807	0.20974552094031723	0.2696565103275134	264.12564190345773	0.19584645874280898		3944121135.0	151.0	0.11542850621933128	0.3636597055802807	0.20974552094031723	0.2696565103275134	264.125756019628	0.19584645290605943	1		COMPLETE
2	0.30988246034463085	2021-04-08 21:29:07.597926	2021-04-08 22:43:12.624829	128	20	0.01290055880696595	256	0.045383101599535854	0.07240671003081137	0.30988246034463085	0.15796530868424055	0.21373958689946365	307.39562649777474	0.14951966670900826	0.07240671003081137	0.30988246034463085	0.15796530868424055	0.21373958689946365	307.3955837042109	0.1495196667250209		3019831087.0	151.0	0.07240671003081137	0.30988246034463085	0.15796530868424055	0.21373958689946365	307.3956692913386	0.1495196666930058	2		COMPLETE
3	0.32936779641675223	2021-04-08 22:43:12.690716	2021-04-08 23:23:42.860195	128	18	0.012764202035054815	512	0.042171745322630586	0.08019513865114687	0.32936779641675223	0.16700901517745065	0.22866027616113202	286.38351591920576	0.15893478252744098	0.08019513865114687	0.32936779641675223	0.16700901517745065	0.22866027616113202	286.38348739016317	0.15893478254074772		3901455011.0	151.0	0.08019513865114687	0.32936779641675223	0.16700901517745065	0.22866027616113202	286.3835444482483	0.15893478251414594	3		COMPLETE
4	0.4032294876183955	2021-04-08 23:23:42.927050	2021-04-09 01:47:09.528261	256	39	0.001915771455794805	128	0.03411269022780611	0.12783863973525048	0.4032294876183955	0.23510783978089694	0.3033207805546046	227.46975921488075	0.21574875661632323	0.12783863973525048	0.4032294876183955	0.23510783978089694	0.3033207805546046	227.4697306858382	0.21574876766888754		3697536118.0	151.0	0.12783863973525048	0.4032294876183955	0.23510783978089694	0.3033207805546046	227.46978774392332	0.21574874585788772	4		COMPLETE
5	0.4056544562364487	2021-04-09 01:47:09.618308	2021-04-09 04:09:49.931262	256	46	0.0018189554034603302	128	0.034766805255759876	0.12986420175738903	0.4056544562364487	0.23619194339837954	0.30209403172429533	231.0343061736848	0.21755929665886553	0.12986420175738903	0.4056544562364487	0.23619194339837954	0.30209403172429533	231.03429190916353	0.21755929674320784		3193138096.0	151.0	0.12986420175738903	0.4056544562364487	0.23619194339837954	0.30209403172429533	231.0343204382061	0.21755929657472792	5		COMPLETE
6	0.3378123930160904	2021-04-09 04:09:50.028063	2021-04-09 06:03:06.927682	256	87	0.014640359481033668	512	0.07431516253366637	0.08766974780326373	0.3378123930160904	0.1830138080566016	0.2430103845714938	514.6804889877895	0.16820322185643147	0.08766974780326373	0.3378123930160904	0.1830138080566016	0.2430103845714938	514.6804176651832	0.1682033890426184		2288800722.0	301.0	0.08766974780326373	0.3378123930160904	0.1830138080566016	0.2430103845714938	514.680560310396	0.16820307135554455	6		COMPLETE
7	0.39512723952984136	2021-04-09 06:03:06.994767	2021-04-09 08:23:58.353717	256	9	0.002113091875131591	128	0.033814243047904896	0.12313134771197079	0.39512723952984136	0.22794705009699875	0.29279356384799726	227.11950815930618	0.21025982058895612	0.12313134771197079	0.39512723952984136	0.22794705009699875	0.29279356384799726	227.1194796302636	0.2102598206402705		3879928261.0	151.0	0.12313134771197079	0.39512723952984136	0.22794705009699875	0.29279356384799726	227.11953668834875	0.21025982053773346	7		COMPLETE
8	0.007731370535204838	2021-04-09 08:23:58.416800	2021-04-09 09:18:55.849248	256	68	0.07131579394545758	256	0.7649511923062217	0.004364943512495721	0.007731370535204838	0.005391989044847655	0.0062478603218076	5441.247090037658	0.0063334935816704244	0.004364943512495721	0.007731370535204838	0.005391989044847655	0.0062478603218076	5441.246319753509	0.006333493850177541		595893124.0	101.0	0.004364943512495721	0.007731370535204838	0.005391989044847655	0.0062478603218076	5441.247860321808	0.006333493313606776	8		COMPLETE
9	0.4258530183727034	2021-04-09 09:18:55.916786	2021-04-09 10:40:28.558650	256	67	0.0010067464130292152	256	0.029775615688364725	0.12935067899121305	0.4258530183727034	0.2485735478717334	0.31752824375213967	198.72856042451215	0.2241436026579772	0.12935067899121305	0.4258530183727034	0.2485735478717334	0.31752824375213967	198.72851763094832	0.22414360267898878		626564548.0	151.0	0.12935067899121305	0.4258530183727034	0.2485735478717334	0.31752824375213967	198.728603218076	0.22414360263698346	9		COMPLETE
