number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9447565543071161	2020-05-14 23:56:24.351266	2020-05-14 23:59:44.081304	256	0.39185142857904953	0.26102790882970445	31	0.35977687739245645	512	0.01960434655586619	0.0734456231780978	0.4541198501872659	0.9447565543071161	0.7659176029962547	0.8712546816479401	3.5388576779026217	0.6295197919639737	0.4541198501872659	0.9447565543071161	0.7659176029962547	0.8712546816479401	3.5388576779026217	0.6295197919639737	3392362182	900.0	0.4541198501872659	0.9447565543071161	0.7659176029962547	0.8712546816479401	3.5388576779026217	0.6295197919639737	0	COMPLETE
1	0.949438202247191	2020-05-14 23:59:44.112461	2020-05-15 00:04:58.937438	64	0.07199868128739467	0.3525901132417661	45	0.07701901881510892	256	0.0012420320075074783	0.07164256524360889	0.43679775280898875	0.949438202247191	0.7734082397003745	0.8764044943820225	3.4545880149812733	0.6233777348756677	0.43679775280898875	0.949438202247191	0.7734082397003745	0.8764044943820225	3.4545880149812733	0.6233777348756677	2858146468	1000.0	0.43679775280898875	0.949438202247191	0.7734082397003745	0.8764044943820225	3.4545880149812733	0.6233777348756677	1	COMPLETE
2	0.9232209737827716	2020-05-15 00:04:59.023723	2020-05-15 00:09:09.917286	256	0.3206225008770375	0.1594775078317225	60	0.35430298102907615	512	0.2508366966799545	0.08120455293591773	0.4049625468164794	0.9232209737827716	0.725187265917603	0.8333333333333334	3.9157303370786516	0.5893805708249722	0.4049625468164794	0.9232209737827716	0.725187265917603	0.8333333333333334	3.9157303370786516	0.5893805708249722	3245646913	950.0	0.4049625468164794	0.9232209737827716	0.725187265917603	0.8333333333333334	3.9157303370786516	0.5893805708249722	2	COMPLETE
3	0.9564606741573034	2020-05-15 00:09:09.942980	2020-05-15 00:15:10.542340	64	0.11172028599011796	0.3845340838708541	50	0.12286864374354672	128	0.0013891783286969705	0.06772925720414084	0.46769662921348315	0.9564606741573034	0.7879213483146067	0.8913857677902621	3.259831460674157	0.6466131443997924	0.46769662921348315	0.9564606741573034	0.7879213483146067	0.8913857677902621	3.259831460674157	0.6466131443997924	2901894281	700.0	0.46769662921348315	0.9564606741573034	0.7879213483146067	0.8913857677902621	3.259831460674157	0.6466131443997924	3	COMPLETE
4	0.920880149812734	2020-05-15 00:15:10.575305	2020-05-15 00:18:50.907135	64	0.158419835154479	0.12710712518611855	26	0.4412163952863155	512	0.004032945573789691	0.08726466778309995	0.36657303370786515	0.920880149812734	0.6783707865168539	0.8164794007490637	4.197565543071161	0.5554847629712379	0.36657303370786515	0.920880149812734	0.6783707865168539	0.8164794007490637	4.197565543071161	0.5554847629712379	4111359406		0.36657303370786515	0.920880149812734	0.6783707865168539	0.8164794007490637	4.197565543071161	0.5554847629712379	4	COMPLETE
5	0.9339887640449438	2020-05-15 00:18:50.933048	2020-05-15 00:22:36.358540	256	0.1493205728842475	0.18162764257796732	31	0.4321836776916848	256	0.25516266287850725	0.07925286672465252	0.43258426966292135	0.9339887640449438	0.7443820224719101	0.8431647940074907	3.818820224719101	0.6099678975687923	0.43258426966292135	0.9339887640449438	0.7443820224719101	0.8431647940074907	3.818820224719101	0.6099678975687923	4191251024	750.0	0.43258426966292135	0.9339887640449438	0.7443820224719101	0.8431647940074907	3.818820224719101	0.6099678975687923	5	COMPLETE
6	0.9616104868913857	2020-05-15 00:22:36.385662	2020-05-15 00:27:38.431886	64	0.2934255033357598	0.1361056903146115	26	0.1553191294641239	128	0.01784485806147783	0.06569018321240858	0.4658239700374532	0.9616104868913857	0.8071161048689138	0.8927902621722846	3.1615168539325844	0.6481710393515485	0.4658239700374532	0.9616104868913857	0.8071161048689138	0.8927902621722846	3.1615168539325844	0.6481710393515485	2582047478	600.0	0.4658239700374532	0.9616104868913857	0.8071161048689138	0.8927902621722846	3.1615168539325844	0.6481710393515485	6	COMPLETE
7	0.951310861423221	2020-05-15 00:27:38.465339	2020-05-15 00:31:15.130690	128	0.3366284101177314	0.11048890374411713	31	0.2636414864270683	512	0.004752812692618223	0.06962393117067492	0.4583333333333333	0.951310861423221	0.7832397003745318	0.8792134831460674	3.356741573033708	0.6383092924302441	0.4583333333333333	0.951310861423221	0.7832397003745318	0.8792134831460674	3.356741573033708	0.6383092924302441	656630626		0.4583333333333333	0.951310861423221	0.7832397003745318	0.8792134831460674	3.356741573033708	0.6383092924302441	7	COMPLETE
8	0.0950374531835206	2020-05-15 00:31:15.156815	2020-05-15 00:31:43.125749	64	0.4910611243305085	0.4730657274618271	54	0.19676581654787845	512	0.5471178039299623	1.020312189559665	0.008895131086142321	0.0950374531835206	0.02855805243445693	0.04868913857677903	49.34503745318352	0.05024721758249139	0.008895131086142321	0.0950374531835206	0.02855805243445693	0.04868913857677903	49.34503745318352	0.05024721758249139	4071259827	150.0	0.008895131086142321	0.0950374531835206	0.02855805243445693	0.04868913857677903	49.34503745318352	0.05024721758249139	8	COMPLETE
9	0.9269662921348315	2020-05-15 00:31:43.153014	2020-05-15 00:37:12.600654	64	0.4046983994404185	0.48380525046561385	29	0.33770176245269723	256	0.0011376393956626834	0.08334957394480343	0.38295880149812733	0.9269662921348315	0.7017790262172284	0.8113295880149812	4.012172284644195	0.5707771040839723	0.38295880149812733	0.9269662921348315	0.7017790262172284	0.8113295880149812	4.012172284644195	0.5707771040839723	577477659		0.38295880149812733	0.9269662921348315	0.7017790262172284	0.8113295880149812	4.012172284644195	0.5707771040839723	9	COMPLETE
