number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.01854387766746548	2020-01-19 02:05:53.438175	2020-01-19 03:58:49.875956	0.9978291127088098	28.010609411087167	250.0	1	60.0	0.06051455879483651	1100.0	0.5875596940945158	0.005163756704325003	0.01854387766746548	0.00813077713111948	0.011668378409220586	4174.712869451101	0.010626273832822265	0.005163756704325003	0.01854387766746548	0.00813077713111948	0.011668378409220586	4174.71174255392	0.010626276632310016	571156171	0.005163756704325003	0.01854387766746548	0.00813077713111948	0.011668378409220586	4174.713996348282	0.010626271058392985	0
1	TrialState.COMPLETE	0.017145954581764235	2020-01-19 03:58:49.876802	2020-01-19 05:02:37.626943	0.15357833504547944	21.28612705659057	350.0	2	50.0	0.03945363300727042	600.0	0.42236404117306486	0.005135227661759671	0.017145954581764235	0.0073034348967248655	0.010127810110692685	2987.6377239529843	0.011278676783552363	0.005135227661759671	0.017145954581764235	0.0073034348967248655	0.010127810110692685	2987.6364258815474	0.011278679122922644	2728032290	0.005135227661759671	0.017145954581764235	0.0073034348967248655	0.010127810110692685	2987.6390220244207	0.011278674462672954	1
2	TrialState.COMPLETE	0.05192285746890334	2020-01-19 05:02:37.627768	2020-01-19 07:54:12.630756	0.7261965821888886	5.1601860272980735	350.0	2	70.0	0.001367345923909264	1600.0	0.10690505277639983	0.005163756704325003	0.05192285746890334	0.016175967134542963	0.026417893415496975	739.9704724409448	0.026660905848234592	0.005163756704325003	0.05192285746890334	0.016175967134542963	0.026417893415496975	739.9702442086044	0.02666090716007259	2872612893	0.005163756704325003	0.05192285746890334	0.016175967134542963	0.026417893415496975	739.9707006732854	0.02666090454303031	2
3	TrialState.COMPLETE	0.025248202670318385	2020-01-19 07:54:12.631582	2020-01-19 10:13:04.149620	0.9201408434105881	22.482330709960085	450.0	2	100.0	0.0026134277864411914	1200.0	0.13675398590296337	0.005135227661759671	0.025248202670318385	0.008587241812164784	0.013151888622617824	945.4935524363802	0.018355952713394564	0.005135227661759671	0.025248202670318385	0.008587241812164784	0.013151888622617824	945.4925539198905	0.018355967974186316	2549058838	0.005135227661759671	0.025248202670318385	0.008587241812164784	0.013151888622617824	945.49455095287	0.018355937708226105	3
4	TrialState.COMPLETE	0.024506447563619766	2020-01-19 10:13:04.150471	2020-01-19 11:17:33.260372	0.2522875051640342	5.201574662846413	450.0	1	50.0	0.022428039820131994	600.0	0.5861877008909314	0.005135227661759671	0.024506447563619766	0.010612803834303321	0.015805089581193654	4165.830637338811	0.01245892917851774	0.005135227661759671	0.024506447563619766	0.010612803834303321	0.015805089581193654	4165.829710144928	0.012458929833373343	995847471	0.005135227661759671	0.024506447563619766	0.010612803834303321	0.015805089581193654	4165.831564532694	0.012458928524943185	4
5	TrialState.COMPLETE	0.02647495150062764	2020-01-19 11:17:33.261208	2020-01-19 13:41:11.465436	0.42548816425226804	16.15847681495044	450.0	2	70.0	0.0019508302121172784	1300.0	0.12657021654491624	0.005135227661759671	0.02647495150062764	0.009500171174255391	0.013579824261097797	874.6771796188519	0.019869473599434233	0.005135227661759671	0.02647495150062764	0.009500171174255391	0.013579824261097797	874.6763665411389	0.019869475478394124	3536910450	0.005135227661759671	0.02647495150062764	0.009500171174255391	0.013579824261097797	874.6779926965651	0.019869471728033206	5
6	TrialState.COMPLETE	0.05183727034120735	2020-01-19 13:41:11.466259	2020-01-19 15:40:39.862129	0.9367345809071969	7.3275436978587445	150.0	1	60.0	0.0010013399953798247	1200.0	0.1714970801198142	0.005135227661759671	0.05183727034120735	0.015633915325801665	0.026731712883715623	1197.01857240671	0.023304989469810036	0.005135227661759671	0.05183727034120735	0.015633915325801665	0.026731712883715623	1197.018058883944	0.02330500524109727	1020503181	0.005135227661759671	0.05183727034120735	0.015633915325801665	0.026731712883715623	1197.0190859294762	0.02330497394978008	6
7	TrialState.COMPLETE	0.039883601506333445	2020-01-19 15:40:39.862954	2020-01-19 16:31:06.442008	0.2887910032105647	5.888406427987832	250.0	1	40.0	0.0019965306080901887	500.0	0.46783568966694683	0.005135227661759671	0.039883601506333445	0.014521282665753737	0.022737646924569213	3314.3354016889193	0.017805535801906493	0.005135227661759671	0.039883601506333445	0.014521282665753737	0.022737646924569213	3314.334417436951	0.01780553882614351	1154722244	0.005135227661759671	0.039883601506333445	0.014521282665753737	0.022737646924569213	3314.336385940888	0.017805532806289548	7
8	TrialState.COMPLETE	0.024534976606185095	2020-01-19 16:31:06.442842	2020-01-19 19:48:23.372475	0.8077928371576644	10.026564437628327	350.0	1	40.0	0.0034093307243690716	1900.0	0.57468507916482	0.005135227661759671	0.024534976606185095	0.011297500855871277	0.01586214766632432	4082.424811708319	0.012772383135746648	0.005135227661759671	0.024534976606185095	0.011297500855871277	0.01586214766632432	4082.423941572521	0.012772383588771781	590318111	0.005135227661759671	0.024534976606185095	0.011297500855871277	0.01586214766632432	4082.425681844117	0.012772382683677797	8
9	TrialState.COMPLETE	0.03474837384457378	2020-01-19 19:48:23.373316	2020-01-19 21:46:59.393960	0.41033306959650107	21.899267319142808	150.0	1	40.0	0.0014472669446641533	1200.0	0.20289533428674342	0.005135227661759671	0.03474837384457378	0.011211913728175283	0.018401232454638823	1421.7083761268973	0.017862348362101124	0.005135227661759671	0.03474837384457378	0.011211913728175283	0.018401232454638823	1421.7071208490242	0.017862349948314968	2491479505	0.005135227661759671	0.03474837384457378	0.011211913728175283	0.018401232454638823	1421.70963140477	0.017862346781084427	9
10	TrialState.COMPLETE	0.01868652288029214	2020-01-19 21:46:59.394795	2020-01-20 00:53:47.075015	0.2382841039700851	16.33789192396118	250.0	2	60.0	0.053897077164634585	1800.0	0.5039176967854376	0.005135227661759671	0.01868652288029214	0.007417551066986192	0.010726920004564646	3573.964823690517	0.011234892269540157	0.005135227661759671	0.01868652288029214	0.007417551066986192	0.010726920004564646	3573.963653999772	0.011234893237113823	3369857363	0.005135227661759671	0.01868652288029214	0.007417551066986192	0.010726920004564646	3573.9659933812623	0.011234891304162737	10
11	TrialState.COMPLETE	0.02350793107383316	2020-01-20 00:53:47.075855	2020-01-20 01:54:50.693896	0.47211980451906843	17.479025283797874	250.0	2	20.0	0.001390226801327276	600.0	0.13192852694000876	0.005135227661759671	0.02350793107383316	0.009386055003994066	0.012980714367225836	911.9260669861919	0.018809434754475617	0.005135227661759671	0.02350793107383316	0.009386055003994066	0.012980714367225836	911.925310966564	0.018809437157225935	2466290206	0.005135227661759671	0.02350793107383316	0.009386055003994066	0.012980714367225836	911.9268230058199	0.018809432371831997	11
12	TrialState.COMPLETE	0.02516261554262239	2020-01-20 01:54:50.694735	2020-01-20 02:45:49.837800	0.49872391434694496	27.573082878488066	250.0	2	30.0	0.01930559800113844	500.0	0.19371951658848904	0.005135227661759671	0.02516261554262239	0.0088725322378181	0.01360835330366313	1356.5872275476436	0.015302986705365491	0.005135227661759671	0.02516261554262239	0.0088725322378181	0.01360835330366313	1356.5861862375898	0.015303028688510347	2234377744	0.005135227661759671	0.02516261554262239	0.0088725322378181	0.01360835330366313	1356.5882688576971	0.01530294666173189	12
