number	value	datetime_start	datetime_complete	params_loss.margin	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.17088014981273408	2020-03-13 11:44:13.404171	2020-03-13 11:46:48.812306	1.7837047023251895	1.7681003758419696	0.012512596671185932	128	15	0.010482942912971333	256	0.7950268934493054	0.018258426966292134	0.17088014981273408	0.06179775280898876	0.09550561797752809	38.10159176029963	0.07987558086480231	0.018258426966292134	0.17088014981273408	0.06179775280898876	0.09550561797752809	38.10159176029963	0.07987558086480231	1570517943	200	0.018258426966292134	0.17088014981273408	0.06179775280898876	0.09550561797752809	38.10159176029963	0.07987558086480231	0	COMPLETE
1	0.11938202247191011	2020-03-13 11:46:48.830594	2020-03-13 11:50:12.564847	9.704877267113366	4.171308068369255	0.02385050752100298	64	31	0.06321577362149182	128	0.9161223555088378	0.010767790262172285	0.11938202247191011	0.03417602996254682	0.056179775280898875	44.090823970037455	0.05770127874619594	0.010767790262172285	0.11938202247191011	0.03417602996254682	0.056179775280898875	44.090823970037455	0.05770127874619594	2975422624	150	0.010767790262172285	0.11938202247191011	0.03417602996254682	0.056179775280898875	44.090823970037455	0.05770127874619594	1	COMPLETE
2	0.18773408239700373	2020-03-13 11:50:12.576765	2020-03-13 11:57:38.956971	4.233076299593922	3.1818801751110453	0.02771952443276281	64	14	0.0011267053987467463	256	0.7442245180631398	0.017790262172284643	0.18773408239700373	0.0599250936329588	0.09831460674157304	35.5437734082397	0.08201867324049691	0.017790262172284643	0.18773408239700373	0.0599250936329588	0.09878277153558053	35.543539325842694	0.08202718532766069	678340502	500	0.017790262172284643	0.18773408239700373	0.0599250936329588	0.09831460674157304	35.5440074906367	0.08201157983452712	2	COMPLETE
3	0.19194756554307116	2020-03-13 11:57:38.975193	2020-03-13 12:01:12.587675	2.3078217465072477	4.161051614095053	0.03569105647210646	128	9	0.0015253530879151137	256	0.7393778414842201	0.025280898876404494	0.19194756554307116	0.06179775280898876	0.10908239700374532	35.35159176029963	0.0889486862434615	0.025280898876404494	0.19194756554307116	0.06179775280898876	0.10908239700374532	35.35159176029963	0.0889486862434615	1711670660	250	0.025280898876404494	0.19194756554307116	0.06179775280898876	0.10908239700374532	35.35159176029963	0.0889486862434615	3	COMPLETE
4	0.19101123595505617	2020-03-13 12:01:12.605528	2020-03-13 12:03:19.187591	3.780824987767213	9.988340364053842	0.013885904165837596	128	15	0.010082093343127369	512	0.7489675594683848	0.017790262172284643	0.19101123595505617	0.05805243445692884	0.09737827715355805	35.84761235955056	0.0816480003509674	0.017790262172284643	0.19101123595505617	0.05805243445692884	0.09737827715355805	35.84737827715356	0.08164915346622358	414610646	250	0.017790262172284643	0.19101123595505617	0.05805243445692884	0.09737827715355805	35.84784644194757	0.08164692411006165	4	COMPLETE
5	0.13576779026217228	2020-03-13 12:03:19.198374	2020-03-13 12:07:17.126151	3.7195974280280617	7.422324154215469	0.035331512988347163	128	28	0.07585209357086428	512	0.8887978154347952	0.013108614232209739	0.13576779026217228	0.04353932584269663	0.06882022471910113	42.78885767790262	0.06514225178280385	0.013108614232209739	0.13576779026217228	0.04353932584269663	0.06882022471910113	42.78885767790262	0.06514225178280385	4219100337	450	0.013108614232209739	0.13576779026217228	0.04353932584269663	0.06882022471910113	42.78885767790262	0.06514225178280385	5	COMPLETE
6	0.1704119850187266	2020-03-13 12:07:17.138207	2020-03-13 12:09:12.967059	1.0727763919047155	1.921046986936699	0.0755942145407348	64	44	0.007010146987434352	512	0.8056380514156646	0.025280898876404494	0.1704119850187266	0.06413857677902622	0.0950374531835206	38.66760299625468	0.08450997824677314	0.025280898876404494	0.1704119850187266	0.06413857677902622	0.0950374531835206	38.66760299625468	0.08450997824677314	4286413194	250	0.025280898876404494	0.1704119850187266	0.06413857677902622	0.0950374531835206	38.66760299625468	0.08450997824677314	6	COMPLETE
7	0.14934456928838952	2020-03-13 12:09:12.979038	2020-03-13 12:16:22.935002	5.406785724581832	5.4754485285809205	0.022215202460304718	128	48	0.053805639047594	256	0.8036204893229187	0.012172284644194757	0.14934456928838952	0.042134831460674156	0.07256554307116105	38.392322097378276	0.06794921201426106	0.012172284644194757	0.14934456928838952	0.042134831460674156	0.07256554307116105	38.392322097378276	0.06794921201426106	1803671095	450	0.012172284644194757	0.14934456928838952	0.042134831460674156	0.07256554307116105	38.392322097378276	0.06794921201426106	7	COMPLETE
8	0.15730337078651685	2020-03-13 12:16:22.947102	2020-03-13 12:20:57.425441	2.929348376571208	7.767028172798029	0.08919337824187006	64	57	0.0701279576281892	256	0.8439163338037187	0.018258426966292134	0.15730337078651685	0.050093632958801496	0.08426966292134831	40.51076779026217	0.07415807859271109	0.018258426966292134	0.15730337078651685	0.050093632958801496	0.08426966292134831	40.51076779026217	0.07415807859271109	3879721738	300	0.018258426966292134	0.15730337078651685	0.050093632958801496	0.08426966292134831	40.51076779026217	0.07415807859271109	8	COMPLETE
9	0.19756554307116106	2020-03-13 12:20:57.436391	2020-03-13 12:22:48.567130	7.128603763540615	7.9388303843554375	0.022600807522614813	256	6	0.005157021191576122	512	0.7305682650435897	0.018726591760299626	0.19756554307116106	0.05945692883895131	0.1100187265917603	34.8562734082397	0.08483158272222592	0.018726591760299626	0.19756554307116106	0.05945692883895131	0.1100187265917603	34.8562734082397	0.08483158272222592	1793261567	250	0.018726591760299626	0.19756554307116106	0.05945692883895131	0.1100187265917603	34.8562734082397	0.08483158272222592	9	COMPLETE
