number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.11095505617977527	2020-03-08 12:11:12.532512	2020-03-08 12:16:44.563613	128	2	64	0.008642206506083888	0.2578890749705167	128	1.004317915259794	0.009831460674157303	0.11095505617977527	0.03417602996254682	0.054775280898876406	48.454588014981276	0.05472874352462118	0.009831460674157303	0.11095505617977527	0.03417602996254682	0.054775280898876406	48.454588014981276	0.05472874352462118	2145208145	250.0	0.009831460674157303	0.11095505617977527	0.03417602996254682	0.054775280898876406	48.454588014981276	0.05472874352462118	0	COMPLETE
1	0.10533707865168539	2020-03-08 12:16:44.579608	2020-03-08 12:23:35.585018	64	2	13	0.006853796385620277	0.11664888549789248	128	0.9994969295742415	0.012172284644194757	0.10533707865168539	0.0351123595505618	0.05711610486891386	48.225187265917604	0.05596131852802477	0.012172284644194757	0.10533707865168539	0.0351123595505618	0.05711610486891386	48.225187265917604	0.05596131852802477	2446073950	300.0	0.012172284644194757	0.10533707865168539	0.0351123595505618	0.05711610486891386	48.225187265917604	0.05596131852802477	1	COMPLETE
2	0.10299625468164794	2020-03-08 12:23:35.596958	2020-03-08 12:26:26.997967	256	1	31	0.01910115124119853	0.05653886678194355	128	1.0090273212203722	0.009363295880149813	0.10299625468164794	0.026217228464419477	0.04307116104868914	48.69662921348315	0.051182847409150786	0.009363295880149813	0.10299625468164794	0.026217228464419477	0.04307116104868914	48.69662921348315	0.051182847409150786	3093749416	150.0	0.009363295880149813	0.10299625468164794	0.026217228464419477	0.04307116104868914	48.69662921348315	0.051182847409150786	2	COMPLETE
3	0.10486891385767791	2020-03-08 12:26:27.010031	2020-03-08 12:32:23.525033	64	2	86	0.012886681327803608	0.06634281222219104	128	1.010679920631276	0.011704119850187267	0.10486891385767791	0.03089887640449438	0.054775280898876406	48.745552434456926	0.05459525922784279	0.011704119850187267	0.10486891385767791	0.03089887640449438	0.054775280898876406	48.745318352059925	0.05459532371335161	2273718949	250.0	0.011704119850187267	0.10486891385767791	0.03089887640449438	0.054775280898876406	48.74578651685393	0.054595195799473466	3	COMPLETE
4	0.10299625468164794	2020-03-08 12:32:23.537206	2020-03-08 12:35:05.106745	256	1	21	0.003239338654184967	0.1354690792876679	128	1.002330260272818	0.0	0.10299625468164794	0.02247191011235955	0.04400749063670412	48.37453183520599	0.04479468326143458	0.0	0.10299625468164794	0.02247191011235955	0.04400749063670412	48.37453183520599	0.04479468326143458	796355531	150.0	0.0	0.10299625468164794	0.02247191011235955	0.04400749063670412	48.37453183520599	0.04479468326143458	4	COMPLETE
5	0.09035580524344569	2020-03-08 12:35:05.118747	2020-03-08 12:38:10.702923	128	2	86	0.00158534921487113	0.06563968037991486	256	1.0246615860374009	0.0	0.09035580524344569	0.018258426966292134	0.03885767790262172	49.489700374531836	0.042269325074339885	0.0	0.09035580524344569	0.018258426966292134	0.03885767790262172	49.489700374531836	0.042269325074339885	1865748159	250.0	0.0	0.09035580524344569	0.018258426966292134	0.03885767790262172	49.489700374531836	0.042269325074339885	5	COMPLETE
6	0.0997191011235955	2020-03-08 12:38:10.714996	2020-03-08 12:45:13.190710	128	1	90	0.026878821088293037	0.017845796278522067	128	0.9793161133850126	0.011235955056179775	0.0997191011235955	0.02949438202247191	0.04868913857677903	47.30383895131086	0.054017011114409125	0.011235955056179775	0.0997191011235955	0.02949438202247191	0.04868913857677903	47.30383895131086	0.054017011114409125	3354733898	250.0	0.011235955056179775	0.0997191011235955	0.02949438202247191	0.04868913857677903	47.30383895131086	0.054017011114409125	6	COMPLETE
7	0.09737827715355805	2020-03-08 12:45:13.202744	2020-03-08 12:46:11.287543	128	2	69	0.002853214067381084	0.11194615186622416	512	1.0017638714523631	0.0	0.09737827715355805	0.019662921348314606	0.042134831460674156	48.403558052434455	0.0437805164267072	0.0	0.09737827715355805	0.019662921348314606	0.042134831460674156	48.403558052434455	0.0437805164267072	1305649427	150.0	0.0	0.09737827715355805	0.019662921348314606	0.042134831460674156	48.403558052434455	0.0437805164267072	7	COMPLETE
8	0.09925093632958802	2020-03-08 12:46:11.299766	2020-03-08 12:47:50.373749	64	2	11	0.001990600179125372	0.09886246744552944	256	0.9949034896368781	0.0	0.09925093632958802	0.021067415730337078	0.04681647940074907	47.969803370786515	0.044759933632855936	0.0	0.09925093632958802	0.021067415730337078	0.04681647940074907	47.969569288389515	0.04476002275617481	4048776025	150.0	0.0	0.09925093632958802	0.021067415730337078	0.04681647940074907	47.97003745318352	0.04475984622344705	8	COMPLETE
9	0.22331460674157302	2020-03-08 12:47:50.384547	2020-03-08 13:15:00.348957	128	2	13	0.08717190651907608	0.12692358419259106	128	0.7628565318568536	0.03277153558052434	0.22331460674157302	0.0800561797752809	0.12359550561797752	36.81647940074907	0.10037498937929701	0.03277153558052434	0.22331460674157302	0.0800561797752809	0.12359550561797752	36.81647940074907	0.10037498937929701	694463454	950.0	0.03277153558052434	0.22331460674157302	0.0800561797752809	0.12359550561797752	36.81647940074907	0.10037498937929701	9	COMPLETE
