number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451
0	TrialState.COMPLETE	0.013832330028328612	2020-01-08 17:53:14.587314	2020-01-08 18:38:40.470634	5.9567628928806045	150.0	26.0	0.004072109772702787	1800.0	0.9279790740498255	0.004957507082152974	0.013832330028328612	0.008786296033994334	0.010291253541076488	18812.968473353398	0.008273180953260678	0.004957507082152974	0.013832330028328612	0.008786296033994334	0.010291253541076488	18812.968130311616	0.008273180962352031	0.004957507082152974	0.013832330028328612	0.008786296033994334	0.010291253541076488	18812.968816395183	0.008273180944173853	0					0.012423276676109537	0.013228450020234723			
1	TrialState.COMPLETE	0.01646600566572238	2020-01-08 18:38:40.472450	2020-01-08 19:39:45.069739	4.045295078365703	450.0	46.0	0.006288922436761997	600.0	0.8723634489981822	0.0021689093484419265	0.01646600566572238	0.006152620396600567	0.009605169971671388	17684.705282843486	0.007131192138736549	0.0021689093484419265	0.01646600566572238	0.006152620396600567	0.009605169971671388	17684.70496193343	0.007131192145672222	0.0021689093484419265	0.01646600566572238	0.006152620396600567	0.009605169971671388	17684.70560375354	0.007131192131804028	1					0.015521718602455147	0.016061311210036424			
2	TrialState.COMPLETE	0.017262747875354107	2020-01-08 19:39:45.071285	2020-01-08 20:20:08.669503	9.668292648473477	450.0	46.0	0.01883373799537912	800.0	0.7910196153580947	0.0027443342776203965	0.017262747875354107	0.007082152974504249	0.010033050047214354	16034.415840415486	0.00802516075617578	0.0027443342776203965	0.017262747875354107	0.007082152974504249	0.010033050047214354	16034.415545325779	0.008025160895094805	0.0027443342776203965	0.017262747875354107	0.007082152974504249	0.010033050047214354	16034.416135505193	0.008025160617653121	2			0.016244688385269122	0.016855524079320113					
3	TrialState.COMPLETE	0.0035410764872521247	2020-01-08 20:20:08.670515	2020-01-08 20:41:58.038702	6.468143879578569	50.0	21.0	0.00545329306115897	1500.0	0.9629683804912114	0.0022308781869688384	0.0035410764872521247	0.002691218130311615	0.002868271954674221	19522.149946883852	0.002824432880114037	0.0022308781869688384	0.0035410764872521247	0.002691218130311615	0.002868271954674221	19522.14957507082	0.0028244328823575655	0.0022308781869688384	0.0035410764872521247	0.002691218130311615	0.002868271954674221	19522.150318696884	0.0028244328778708615	3		0.0027148253068932956	0.0032312322946175635						
4	TrialState.COMPLETE	0.013168378186968838	2020-01-08 20:41:58.039769	2020-01-08 21:40:31.203630	6.783857557428275	450.0	36.0	0.0018429607080182838	800.0	0.9334546583878195	0.004182896600566572	0.013168378186968838	0.005289483002832861	0.008697769121813031	18923.36104594547	0.006639412283288396	0.004182896600566572	0.013168378186968838	0.005289483002832861	0.008697769121813031	18923.36081356232	0.00663941229002175	0.004182896600566572	0.013168378186968838	0.005289483002832861	0.008697769121813031	18923.36127832861	0.0066394122765582415	4					0.01189211520302172	0.012621408336705787			
5	TrialState.COMPLETE	0.015551227573182247	2020-01-08 21:40:31.205329	2020-01-08 22:13:19.024169	3.8082980749186204	250.0	31.0	0.03752947738379712	1500.0	0.748362089028573	0.0033345136921624175	0.015551227573182247	0.007819877242681775	0.010475684608120869	15169.8725802644	0.008157710338082949	0.0033345136921624175	0.015551227573182247	0.007819877242681775	0.010475684608120869	15169.872285174693	0.008157710372518478	0.0033345136921624175	0.015551227573182247	0.007819877242681775	0.010475684608120869	15169.872875354107	0.008157710303676582	5			0.015625	0.015580736543909348					
6	TrialState.COMPLETE	0.013101983002832862	2020-01-08 22:13:19.025299	2020-01-08 23:01:45.945862	3.2720032222335047	450.0	31.0	0.0016584858782541828	1200.0	0.9389379204108477	0.002124645892351275	0.013101983002832862	0.005918656414407123	0.008953864832051801	19035.11229006475	0.005736656697755278	0.002124645892351275	0.013101983002832862	0.005918656414407123	0.008953864832051801	19035.1119233104	0.005736656720725364	0.002124645892351275	0.013101983002832862	0.005918656414407123	0.008953864832051801	19035.112656819103	0.005736656674809203	6				0.012181303116147308	0.012718366383380548				
7	TrialState.COMPLETE	0.0030099150141643057	2020-01-08 23:01:45.947222	2020-01-08 23:24:41.804565	0.7093743248360223	150.0	26.0	0.007024347955768042	1000.0	0.940284417048154	0.00021246458923512748	0.0030099150141643057	0.0010269121813031162	0.001735127478753541	19062.284171388103	0.001479182816787038	0.00021246458923512748	0.0030099150141643057	0.0010269121813031162	0.001735127478753541	19062.28371104816	0.0014791828468323353	0.00021246458923512748	0.0030099150141643057	0.0010269121813031162	0.001735127478753541	19062.284631728045	0.0014791827867764332	7		0.0027738432483474977	0.002921388101983003						
8	TrialState.COMPLETE	0.015285646836638338	2020-01-08 23:24:41.805551	2020-01-09 00:28:06.219379	5.914099319585282	350.0	41.0	0.00243014237692182	2000.0	0.9211665287345946	0.0040132200188857416	0.015285646836638338	0.006334592382751023	0.00967894239848914	18674.51399708845	0.0073022154595313105	0.0040132200188857416	0.015285646836638338	0.006334592382751023	0.00967894239848914	18674.513692162418	0.007302215485307932	0.0040132200188857416	0.015285646836638338	0.006334592382751023	0.00967894239848914	18674.51430201448	0.007302215433777006	8						0.014341359773371105	0.014872521246458924		
