number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.1601123595505618	2020-04-10 06:53:44.508247	2020-04-10 06:55:54.200847	128	128	18	512	0.7123795296152712	0.0	0.1601123595505618	0.03089887640449438	0.06413857677902622	33.9625468164794	0.06224963192091184	0.0	0.1601123595505618	0.03089887640449438	0.06413857677902622	33.9625468164794	0.06224963192091184	2559729763	500	0.0	0.1601123595505618	0.03089887640449438	0.06413857677902622	33.9625468164794	0.06224963192091184	0	COMPLETE
1	0.20318352059925093	2020-04-10 06:55:54.232822	2020-04-10 06:57:35.833415	128	256	11	512	0.6304770732151993	0.0018726591760299626	0.20318352059925093	0.05149812734082397	0.09222846441947566	30.021535580524343	0.07607740101883699	0.0018726591760299626	0.20318352059925093	0.05149812734082397	0.09222846441947566	30.021535580524343	0.07607740101883699	3784196547	400	0.0018726591760299626	0.20318352059925093	0.05149812734082397	0.09222846441947566	30.021535580524343	0.07607740101883699	1	COMPLETE
2	0.05852059925093633	2020-04-10 06:57:35.865749	2020-04-10 06:58:09.049723	64	128	65	512	1.1029514883930902	0.0	0.05852059925093633	0.010299625468164793	0.023876404494382022	53.195692883895134	0.034400080928446396	0.0	0.05852059925093633	0.010299625468164793	0.023876404494382022	53.195692883895134	0.034400080928446396	297884541	150	0.0	0.05852059925093633	0.010299625468164793	0.023876404494382022	53.195692883895134	0.034400080928446396	2	COMPLETE
3	0.04962546816479401	2020-04-10 06:58:09.076881	2020-04-10 06:59:03.096351	64	64	81	256	1.1804913321879695	0.0	0.04962546816479401	0.009831460674157303	0.017790262172284643	56.99204119850187	0.030344711852243977	0.0	0.04962546816479401	0.009831460674157303	0.017790262172284643	56.99204119850187	0.030344711852243977	1616058883	150	0.0	0.04962546816479401	0.009831460674157303	0.017790262172284643	56.99204119850187	0.030344711852243977	3	COMPLETE
4	0.06975655430711611	2020-04-10 06:59:03.123171	2020-04-10 06:59:37.536745	128	64	88	512	1.1066035316290843	0.0	0.06975655430711611	0.011704119850187267	0.028089887640449437	53.4122191011236	0.035584194973461845	0.0	0.06975655430711611	0.011704119850187267	0.028089887640449437	53.41198501872659	0.03558425348674694	2881148734	150	0.0	0.06975655430711611	0.011704119850187267	0.028089887640449437	53.4124531835206	0.03558413737444683	4	COMPLETE
5	0.2209737827715356	2020-04-10 06:59:37.558470	2020-04-10 07:02:04.182219	256	64	14	128	0.6422471533972449	0.0	0.2209737827715356	0.054307116104868915	0.11095505617977527	30.8562734082397	0.07913270506933345	0.0	0.2209737827715356	0.054307116104868915	0.11095505617977527	30.8562734082397	0.07913270506933345	2640896380	200	0.0	0.2209737827715356	0.054307116104868915	0.11095505617977527	30.8562734082397	0.07913270506933345	5	COMPLETE
6	0.060861423220973786	2020-04-10 07:02:04.209822	2020-04-10 07:02:38.486265	128	64	56	512	1.1318352023655835	0.0	0.060861423220973786	0.008426966292134831	0.02247191011235955	54.6502808988764	0.03339894610204421	0.0	0.060861423220973786	0.008426966292134831	0.02247191011235955	54.6502808988764	0.03339894610204421	2042082039	150	0.0	0.060861423220973786	0.008426966292134831	0.02247191011235955	54.6502808988764	0.03339894610204421	6	COMPLETE
7	0.33754681647940077	2020-04-10 07:02:38.535981	2020-04-10 07:17:10.670638	128	128	8	128	0.48222976539210743	0.042134831460674156	0.33754681647940077	0.1399812734082397	0.20973782771535582	23.06367041198502	0.14325659669114235	0.042134831460674156	0.33754681647940077	0.1399812734082397	0.20973782771535582	23.06367041198502	0.14325659669114235	1701340578	950	0.042134831460674156	0.33754681647940077	0.1399812734082397	0.20973782771535582	23.06367041198502	0.14325659669114235	7	COMPLETE
8	0.38764044943820225	2020-04-10 07:17:10.701407	2020-04-10 07:24:51.095458	64	256	2	128	0.5462100520801525	0.09644194756554307	0.38764044943820225	0.20224719101123595	0.26217228464419473	26.294007490636705	0.19506592274713505	0.09644194756554307	0.38764044943820225	0.20224719101123595	0.26217228464419473	26.294007490636705	0.19506592274713505	3835717489	600	0.09644194756554307	0.38764044943820225	0.20224719101123595	0.26217228464419473	26.294007490636705	0.19506592274713505	8	COMPLETE
9	0.26591760299625467	2020-04-10 07:24:51.133807	2020-04-10 07:26:43.497799	64	128	9	512	0.5902869330905727	0.012640449438202247	0.26591760299625467	0.07771535580524344	0.13670411985018727	28.35814606741573	0.0983674987977149	0.012640449438202247	0.26591760299625467	0.07771535580524344	0.13670411985018727	28.35814606741573	0.0983674987977149	2616364587	450	0.012640449438202247	0.26591760299625467	0.07771535580524344	0.13670411985018727	28.35814606741573	0.0983674987977149	9	COMPLETE
