number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.dropout_0	params_model.dropout_1	params_model.dropout_2	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0		2020-05-19 12:27:23.376674	2020-05-19 12:27:30.705020	0.24984504160615958	12.369664739304028	0.24019005684482445	0.48258848523321096	0.44113747065299946	256	256	74	512														The current model can't be trained on this hardware with these parameters.									0	Setting status of trial#0 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
1	0.9283707865168539	2020-05-19 12:27:30.707539	2020-05-20 14:19:19.189323	0.4163108693660377	9.884994980181943	0.3810726058717494	0.42400161235581335	0.4308334868804703	256	256	7	512	0.09097013769196939	0.28277153558052437	0.9283707865168539	0.6109550561797753	0.7668539325842697	4.384831460674158	0.4886274639631643	0.28277153558052437	0.9283707865168539	0.6109550561797753	0.7668539325842697	4.384831460674158	0.4886274639631643		592922347.0	650.0	0.28277153558052437	0.9283707865168539	0.6109550561797753	0.7668539325842697	4.384831460674158	0.4886274639631643	1		COMPLETE
