number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.000398371104815864	2020-01-15 00:28:06.046154	2020-01-15 00:39:56.546186	50.0	1.0	0.0017616127395939482	0.08792794412702899	1900.0	0.9898271726199152	0.0	0.000398371104815864	4.426345609065156e-05	4.426345609065156e-05	20066.88544617564	0.0002692772403251388	0.0	0.000398371104815864	4.426345609065156e-05	4.426345609065156e-05	20066.88504780453	0.00026927724232061535	0.0	0.000398371104815864	4.426345609065156e-05	4.426345609065156e-05	20066.88584454674	0.00026927723832986843	0	0.0004426345609065156	0.00041312559017941453
1	TrialState.COMPLETE	0.0	2020-01-15 00:39:56.547003	2020-01-15 00:51:08.037424	50.0	1.0	0.057785713038567534	0.012899737535031182	1000.0	1.0046674236744124	0.0	0.0	0.0	0.0	20368.140226628897	0.000176031994845742	0.0	0.0	0.0	0.0	20368.139651203965	0.00017603200003976941	0.0	0.0	0.0	0.0	20368.140802053826	0.0001760319896528109	1	0.0	0.0
2	TrialState.COMPLETE	8.852691218130312e-05	2020-01-15 00:51:08.038277	2020-01-15 01:12:35.935348	350.0	21.0	0.006472721272106737	0.04601834040090085	1300.0	1.0099193955788557	0.0	8.852691218130312e-05	0.0	0.0	20474.309180240794	0.00020285998596514105	0.0	8.852691218130312e-05	0.0	0.0	20474.30909171388	0.0002028599865254122	0.0	8.852691218130312e-05	0.0	0.0	20474.309268767705	0.00020285998540492715	2	0.0	5.901794145420208e-05
3	TrialState.COMPLETE	0.0003098441926345609	2020-01-15 01:12:35.936294	2020-01-15 01:32:47.767417	250.0	61.0	0.0019415675471710031	0.02991935790520735	1900.0	0.9956054740928588	0.0	0.0003098441926345609	8.852691218130312e-05	0.00017705382436260624	20184.338460516996	0.00032971790271589844	0.0	0.0003098441926345609	8.852691218130312e-05	0.00017705382436260624	20184.338040014165	0.0003297179110478595	0.0	0.0003098441926345609	8.852691218130312e-05	0.00017705382436260624	20184.33888101983	0.00032971789438776246	3	8.852691218130312e-05	0.00023607176581680832
4	TrialState.COMPLETE	0.000398371104815864	2020-01-15 01:32:47.768264	2020-01-15 02:01:32.535917	450.0	51.0	0.052731003570719935	0.021345903606535988	1600.0	0.9980644193184843	8.852691218130312e-05	0.000398371104815864	0.00017705382436260624	0.0002213172804532578	20233.858511862607	0.0003556096277468952	8.852691218130312e-05	0.000398371104815864	0.00017705382436260624	0.0002213172804532578	20233.858135623228	0.0003556096402262707	8.852691218130312e-05	0.000398371104815864	0.00017705382436260624	0.0002213172804532578	20233.858888101982	0.00035560961527240643	4	8.852691218130312e-05	0.0002950897072710104
5	TrialState.COMPLETE	0.00017705382436260624	2020-01-15 02:01:32.536758	2020-01-15 02:28:46.542893	450.0	41.0	0.001337469018851593	0.014473639286948777	1000.0	1.0046767895882016	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20368.034835339942	0.00021171276004681687	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20368.034481232295	0.00021171278438651388	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20368.035189447593	0.00021171273572241338	5	0.00017705382436260624	0.00017705382436260624
6	TrialState.COMPLETE	0.0001327903682719547	2020-01-15 02:28:46.543589	2020-01-15 02:48:57.399793	250.0	61.0	0.07534373044777183	0.0675693031531519	1500.0	0.9953067991960656	0.0	0.0001327903682719547	0.0	8.852691218130312e-05	20178.179731763455	0.00020046524089489297	0.0	0.0001327903682719547	0.0	8.852691218130312e-05	20178.179311260625	0.00020046524387750523	0.0	0.0001327903682719547	0.0	8.852691218130312e-05	20178.18015226629	0.00020046523791267555	6	8.852691218130312e-05	0.00011803588290840416
7	TrialState.COMPLETE	0.0003541076487252125	2020-01-15 02:48:57.400479	2020-01-15 03:04:10.423370	150.0	11.0	0.0014168710685808095	0.013472947343988817	800.0	0.9978437797611861	0.00017705382436260624	0.0003541076487252125	0.0002213172804532578	0.0003541076487252125	20229.408374645893	0.00041720318060657353	0.00017705382436260624	0.0003541076487252125	0.0002213172804532578	0.0003541076487252125	20229.408109065156	0.00041720318230538937	0.00017705382436260624	0.0003541076487252125	0.0002213172804532578	0.0003541076487252125	20229.40864022663	0.0004172031789079943	7	0.0003541076487252125	0.0003541076487252125
8	TrialState.COMPLETE	0.0002655807365439094	2020-01-15 03:04:10.424076	2020-01-15 03:25:47.441874	350.0	21.0	0.007810111259231153	0.015414830596361286	800.0	1.004478145431727	0.0	0.0002655807365439094	0.0	0.0002213172804532578	20364.120175283286	0.00026162591351872126	0.0	0.0002655807365439094	0.0	0.0002213172804532578	20364.119776912183	0.0002616259308218565	0.0	0.0002655807365439094	0.0	0.0002213172804532578	20364.120573654393	0.0002616258962259004	8	0.00017705382436260624	0.00023607176581680832
