number	value	datetime_start	datetime_complete	params_model.dropout_0	params_model.dropout_1	params_model.dropout_2	params_model.embedding_dim	params_model.relation_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.9283707865168539	2020-05-19 22:27:34.079646	2020-05-19 23:01:30.545255	0.40899030923286606	0.35143310103158054	0.24199612017967354	256	256	512	0.008961363123150662	0.080569692858589	0.41058052434456926	0.9283707865168539	0.726123595505618	0.822565543071161	3.903558052434457	0.5910103526226836	0.41058052434456926	0.9283707865168539	0.726123595505618	0.822565543071161	3.903558052434457	0.5910103526226836		2880049938.0	1000.0	0.41058052434456926	0.9283707865168539	0.726123595505618	0.822565543071161	3.903558052434457	0.5910103526226836	0		COMPLETE
1	0.10814606741573034	2020-05-19 23:01:30.596529	2020-05-19 23:02:09.115658	0.4622239311702825	0.3348498559749039	0.13597836771671462	64	128	512	0.9252361968502995	0.9731308776232996	0.010767790262172285	0.10814606741573034	0.02949438202247191	0.05383895131086142	46.9686329588015	0.05518241869742003	0.010767790262172285	0.10814606741573034	0.02949438202247191	0.05383895131086142	46.9686329588015	0.05518241869742003		513113178.0	300.0	0.010767790262172285	0.10814606741573034	0.02949438202247191	0.05383895131086142	46.9686329588015	0.05518241869742003	1		COMPLETE
2	0.8473782771535581	2020-05-19 23:02:09.151200	2020-05-19 23:05:59.169813	0.43964889237314464	0.47232854438878424	0.42238997247590393	128	64	128	0.4244999459552034	0.12051014616049491	0.25749063670411987	0.8473782771535581	0.5159176029962547	0.6577715355805244	5.823033707865169	0.4377950622132717	0.25749063670411987	0.8473782771535581	0.5159176029962547	0.6577715355805244	5.823033707865169	0.4377950622132717		3448602179.0		0.25749063670411987	0.8473782771535581	0.5159176029962547	0.6577715355805244	5.823033707865169	0.4377950622132717	2		COMPLETE
3	0.898876404494382	2020-05-19 23:05:59.202598	2020-05-19 23:09:17.107653	0.3626019962364847	0.41979627157341937	0.4011825565283621	64	256	512	0.004964016986316896	0.09828280398451238	0.3197565543071161	0.898876404494382	0.6240636704119851	0.7514044943820225	4.73689138576779	0.507869383971121	0.3197565543071161	0.898876404494382	0.6240636704119851	0.7514044943820225	4.73689138576779	0.507869383971121		773714747.0		0.3197565543071161	0.898876404494382	0.6240636704119851	0.7514044943820225	4.73689138576779	0.507869383971121	3		COMPLETE
4	0.9414794007490637	2020-05-19 23:09:17.151879	2020-05-19 23:15:13.409893	0.22249411488408294	0.20639444716485147	0.25016679881965287	128	256	256	0.02682410719721809	0.07385453786125427	0.41385767790262173	0.9414794007490637	0.7476591760299626	0.8506554307116105	3.570692883895131	0.6019726209635631	0.41385767790262173	0.9414794007490637	0.7476591760299626	0.8506554307116105	3.570692883895131	0.6019726209635631		3253379885.0	750.0	0.41385767790262173	0.9414794007490637	0.7476591760299626	0.8506554307116105	3.570692883895131	0.6019726209635631	4		COMPLETE
5	0.9138576779026217	2020-05-19 23:15:13.462066	2020-05-19 23:17:43.355259	0.16647018242806055	0.1482009532669209	0.25866985212468185	128	64	256	0.0514993358268688	0.08892653378473127	0.3848314606741573	0.9138576779026217	0.700374531835206	0.8136704119850188	4.302434456928839	0.5702080061202952	0.3848314606741573	0.9138576779026217	0.700374531835206	0.8136704119850188	4.302434456928839	0.5702080061202952		216214901.0	800.0	0.3848314606741573	0.9138576779026217	0.700374531835206	0.8136704119850188	4.302434456928839	0.5702080061202952	5		COMPLETE
6	0.9466292134831461	2020-05-19 23:17:43.390423	2020-05-19 23:37:21.520808	0.4197392029857221	0.14745687954998524	0.38956209256617247	256	256	128	0.01858166489474526	0.07951367347874445	0.4199438202247191	0.9466292134831461	0.7368913857677902	0.8469101123595506	3.8459737827715355	0.6011303047236259	0.4199438202247191	0.9466292134831461	0.7368913857677902	0.8469101123595506	3.8459737827715355	0.6011303047236259		1078162199.0	600.0	0.4199438202247191	0.9466292134831461	0.7368913857677902	0.8469101123595506	3.8459737827715355	0.6011303047236259	6		COMPLETE
7		2020-05-19 23:37:21.569196	2020-05-19 23:37:26.286668	0.29132357400940034	0.15931966071744808	0.21350454597513613	256	64	256	0.01983986848486683														CUDA out of memory. Tried to allocate 3.75 GiB (GPU 0; 11.91 GiB total capacity; 3.89 GiB already allocated; 3.71 GiB free; 7.62 GiB reserved in total by PyTorch)									7	Setting status of trial#7 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
8	0.2045880149812734	2020-05-19 23:37:26.319180	2020-05-19 23:42:15.551984	0.2625062881708623	0.3264637410482823	0.3071113932274052	128	128	512	0.7429598640559915	0.7477040479608467	0.017322097378277154	0.2045880149812734	0.06882022471910113	0.10674157303370786	35.79447565543071	0.0861692381772525	0.017322097378277154	0.2045880149812734	0.06882022471910113	0.10674157303370786	35.79447565543071	0.0861692381772525		1706163967.0		0.017322097378277154	0.2045880149812734	0.06882022471910113	0.10674157303370786	35.79447565543071	0.0861692381772525	8		COMPLETE
9	0.10065543071161048	2020-05-19 23:42:15.594794	2020-05-19 23:42:31.018606	0.34576229558464844	0.42524964484255623	0.15490768479406875	64	64	512	0.01219731055800299	0.9783314699847739	0.007022471910112359	0.10065543071161048	0.025749063670411985	0.05056179775280899	47.12125468164794	0.05097310547979648	0.007022471910112359	0.10065543071161048	0.025749063670411985	0.05056179775280899	47.12125468164794	0.05097310547979648		2501218117.0	150.0	0.007022471910112359	0.10065543071161048	0.025749063670411985	0.05056179775280899	47.12125468164794	0.05097310547979648	9		COMPLETE
10	0.8909176029962547	2020-05-19 23:42:31.049329	2020-05-19 23:45:24.570469	0.1962152715487362	0.38172496291919866	0.40484427604666884	64	256	512	0.05134104764539803	0.09815240367088983	0.323501872659176	0.8909176029962547	0.6221910112359551	0.7542134831460674	4.730337078651686	0.5103319451652162	0.323501872659176	0.8909176029962547	0.6221910112359551	0.7542134831460674	4.730337078651686	0.5103319451652162		1582716259.0	950.0	0.323501872659176	0.8909176029962547	0.6221910112359551	0.7542134831460674	4.730337078651686	0.5103319451652162	10		COMPLETE
11	0.9302434456928839	2020-05-19 23:45:24.603028	2020-05-19 23:49:12.042160	0.20559535249715843	0.3416723885883182	0.33816797772210083	128	128	128	0.0028284715168754287	0.08113689760569386	0.3970037453183521	0.9302434456928839	0.7134831460674157	0.8328651685393258	3.9213483146067416	0.5812724014061297	0.3970037453183521	0.9302434456928839	0.7134831460674157	0.8328651685393258	3.9213483146067416	0.5812724014061297		4051005005.0	750.0	0.3970037453183521	0.9302434456928839	0.7134831460674157	0.8328651685393258	3.9213483146067416	0.5812724014061297	11		COMPLETE
12	0.9241573033707865	2020-05-19 23:49:12.083104	2020-05-19 23:55:14.582219	0.2373974930270519	0.308337058362447	0.16795162810573264	256	64	128	0.06500881408315776	0.08576818614280765	0.3960674157303371	0.9241573033707865	0.7106741573033708	0.8192883895131086	4.157303370786517	0.578417616048437	0.3960674157303371	0.9241573033707865	0.7106741573033708	0.8192883895131086	4.157303370786517	0.578417616048437		4109847918.0	700.0	0.3960674157303371	0.9241573033707865	0.7106741573033708	0.8192883895131086	4.157303370786517	0.578417616048437	12		COMPLETE
13	0.9218164794007491	2020-05-19 23:55:14.626949	2020-05-20 00:03:56.817957	0.3767692444220151	0.28111767514867947	0.14533986204681823	256	64	512	0.011460948228886296	0.08655532749024418	0.37265917602996257	0.9218164794007491	0.6891385767790262	0.8061797752808989	4.197097378277154	0.5614498619551335	0.37265917602996257	0.9218164794007491	0.6891385767790262	0.8061797752808989	4.197097378277154	0.5614498619551335		677973493.0		0.37265917602996257	0.9218164794007491	0.6891385767790262	0.8061797752808989	4.197097378277154	0.5614498619551335	13		COMPLETE
