number	value	datetime_start	datetime_complete	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0007702841492639507	2020-03-10 10:45:49.153324	2020-03-10 11:57:10.229483	2.6595980117235225	0.035972204383711376	128	24	0.06683565173899927	128	1.0036686046292873	2.8529042565331506e-05	0.0007702841492639507	0.00019970329795732054	0.0002567613830879836	7172.315702385028	0.0006683528401991475	2.8529042565331506e-05	0.0007702841492639507	0.00019970329795732054	0.0002567613830879836	7172.313933584389	0.0006683530540133593	3736935056	150	2.8529042565331506e-05	0.0007702841492639507	0.00019970329795732054	0.0002567613830879836	7172.317471185667	0.0006683526266481192	0	COMPLETE
1	0.0011126326600479288	2020-03-10 11:57:10.276643	2020-03-10 12:38:00.614715	4.2141880428726415	0.027530565287528667	64	69	0.040126866189775436	256	0.9943987012964388	2.8529042565331506e-05	0.0011126326600479288	0.00019970329795732054	0.0004279356384799726	7105.091834988018	0.0007843804872803327	2.8529042565331506e-05	0.0011126326600479288	0.00019970329795732054	0.0004279356384799726	7105.0902373616345	0.0007843807157227953	2583578250	150	2.8529042565331506e-05	0.0011126326600479288	0.00019970329795732054	0.0004279356384799726	7105.0934326144015	0.0007843802592600096	1	COMPLETE
2	0.0006276389364372932	2020-03-10 12:38:00.659955	2020-03-10 13:50:40.556567	6.823288839293506	0.020246516284042747	128	81	0.00108626705785475	128	1.012456230174278	0.0	0.0006276389364372932	2.8529042565331506e-05	0.0002567613830879836	7234.57440374301	0.0005716282512214385	0.0	0.0006276389364372932	2.8529042565331506e-05	0.0002567613830879836	7234.571893187264	0.0005716286275197574	707048438	150	0.0	0.0006276389364372932	2.8529042565331506e-05	0.0002567613830879836	7234.5769142987565	0.0005716278755277736	2	COMPLETE
3	0.0008558712769599452	2020-03-10 13:50:40.588825	2020-03-10 14:16:04.116395	1.209801441053703	0.03264350346418791	64	91	0.06349869931134022	512	1.0061919510938542	0.00011411617026132602	0.0008558712769599452	0.00019970329795732054	0.00034234851078397807	7190.452984137853	0.0007656069162476154	0.00011411617026132602	0.0008558712769599452	0.00019970329795732054	0.00034234851078397807	7190.451357982426	0.0007656070864649224	1948058929	150	0.00011411617026132602	0.0008558712769599452	0.00019970329795732054	0.00034234851078397807	7190.454610293278	0.0007656067461991754	3	COMPLETE
4	0.0007417551066986192	2020-03-10 14:16:04.149650	2020-03-10 14:41:37.908590	3.7554803718081793	0.05759669985977769	128	52	0.019062901703974733	512	1.033389989730514	8.558712769599452e-05	0.0007417551066986192	0.00022823234052265205	0.0003994065959146411	7386.573833162159	0.0006889055696401	8.558712769599452e-05	0.0007417551066986192	0.00022823234052265205	0.0003994065959146411	7386.571465251626	0.0006889058181344605	465456288	150	8.558712769599452e-05	0.0007417551066986192	0.00022823234052265205	0.0003994065959146411	7386.576201072692	0.0006889053213584822	4	COMPLETE
5	0.0009414584046559398	2020-03-10 14:41:37.942224	2020-03-10 15:07:41.662155	3.28758010725773	0.010202444420886232	256	25	0.0010374303256458146	512	1.0362748359537948	0.00019970329795732054	0.0009414584046559398	0.0006846970215679561	0.0007702841492639507	7407.216906310624	0.0009225144649979633	0.00019970329795732054	0.0009414584046559398	0.0006846970215679561	0.0007702841492639507	7407.2141104644525	0.0009225148664593061	3470058516	150	0.00019970329795732054	0.0009414584046559398	0.0006846970215679561	0.0007702841492639507	7407.219702156795	0.0009225140643091625	5	COMPLETE
6	0.0006846970215679561	2020-03-10 15:07:41.696694	2020-03-10 15:48:40.625655	8.022294954419781	0.010128076629786688	64	88	0.020537209798652648	256	0.9653843423598691	5.705808513066301e-05	0.0006846970215679561	0.00022823234052265205	0.00028529042565331506	6893.996120050211	0.0006424894936317689	5.705808513066301e-05	0.0006846970215679561	0.00022823234052265205	0.00028529042565331506	6893.994522423827	0.0006424898771278755	190175871	150	5.705808513066301e-05	0.0006846970215679561	0.00022823234052265205	0.00028529042565331506	6893.997717676595	0.0006424891111954428	6	COMPLETE
7	0.0010841036174825973	2020-03-10 15:48:40.660217	2020-03-10 17:03:56.510964	6.957669276658368	0.06745734523268078	256	80	0.07632391951377578	128	0.9853725617845671	0.00022823234052265205	0.0010841036174825973	0.0002567613830879836	0.0004564646810453041	7038.971727718817	0.0008726108719084835	0.00022823234052265205	0.0010841036174825973	0.0002567613830879836	0.0004564646810453041	7038.968988930732	0.0008726109931793417	469310135	150	0.00022823234052265205	0.0010841036174825973	0.0002567613830879836	0.0004564646810453041	7038.974466506904	0.0008726107506864435	7	COMPLETE
8	0.00034234851078397807	2020-03-10 17:03:56.546987	2020-03-10 18:16:38.110861	8.569496476130606	0.021100222663599306	128	83	0.0035178729318355094	128	0.9859801671559716	0.0	0.00034234851078397807	0.00014264521282665753	0.00017117425539198904	7044.1876355129525	0.0005726824308832411	0.0	0.00034234851078397807	0.00014264521282665753	0.00017117425539198904	7044.185524363802	0.0005726827350946769	298864140	150	0.0	0.00034234851078397807	0.00014264521282665753	0.00017117425539198904	7044.189746662102	0.0005726821272207964	8	COMPLETE
9	0.0005420518087412986	2020-03-10 18:16:38.146245	2020-03-10 19:29:24.020168	7.188165702926606	0.034566014534623886	128	75	0.00829166602330892	128	0.9931732254364418	0.0	0.0005420518087412986	8.558712769599452e-05	0.00014264521282665753	7095.806701472098	0.0006287502721125493	0.0	0.0005420518087412986	8.558712769599452e-05	0.00014264521282665753	7095.804576058427	0.0006287505976627104	2532379516	150	0.0	0.0005420518087412986	8.558712769599452e-05	0.00014264521282665753	7095.80882688577	0.0006287499469857524	9	COMPLETE
10	0.0005420518087412986	2020-03-10 19:29:24.056963	2020-03-10 20:11:33.031597	7.044021029461959	0.03538575012038522	128	94	0.008795047859167385	256	0.98540090228877	2.8529042565331506e-05	0.0005420518087412986	0.0002567613830879836	0.0003138194682186466	7039.656652972726	0.0006792456482012605	2.8529042565331506e-05	0.0005420518087412986	0.0002567613830879836	0.0003138194682186466	7039.654541823576	0.0006792459077705239	3920701327	150	2.8529042565331506e-05	0.0005420518087412986	0.0002567613830879836	0.0003138194682186466	7039.658764121876	0.0006792453889375744	10	COMPLETE
11	0.0008844003195252767	2020-03-10 20:11:33.067333	2020-03-10 20:57:18.375732	2.097742730794546	0.033404524280868333	256	68	0.006652665464521033	256	1.0000835028839616	8.558712769599452e-05	0.0008844003195252767	0.00022823234052265205	0.0003994065959146411	7144.57795560881	0.0007333492033694134	8.558712769599452e-05	0.0008844003195252767	0.00022823234052265205	0.0003994065959146411	7144.575088440032	0.0007333500908601189	2065370888	150	8.558712769599452e-05	0.0008844003195252767	0.00022823234052265205	0.0003994065959146411	7144.580822777588	0.0007333483210042594	11	COMPLETE
12	0.0003994065959146411	2020-03-10 20:57:18.412675	2020-03-10 21:38:48.278608	5.956080976122877	0.011467404048043682	128	76	0.0010476408863042167	256	1.0092916958467353	5.705808513066301e-05	0.0003994065959146411	8.558712769599452e-05	0.00017117425539198904	7212.086428734452	0.0005882161542540279	5.705808513066301e-05	0.0003994065959146411	8.558712769599452e-05	0.00017117425539198904	7212.084331849823	0.0005882162922024594	1386187798	150	5.705808513066301e-05	0.0003994065959146411	8.558712769599452e-05	0.00017117425539198904	7212.08852561908	0.0005882160163937893	12	COMPLETE
13	0.007531667237247518	2020-03-10 21:38:48.315158	2020-03-10 22:49:43.506884	2.015255582983017	0.02263422850648786	128	16	0.05109178414609457	128	0.9854876098736526	0.0	0.007531667237247518	2.8529042565331506e-05	8.558712769599452e-05	7036.754564646811	0.001604334187635471	0.0	0.007531667237247518	2.8529042565331506e-05	8.558712769599452e-05	7036.752282323405	0.0016043347889200042	2119936971	150	0.0	0.007531667237247518	2.8529042565331506e-05	8.558712769599452e-05	7036.7568469702155	0.001604333588727585	13	COMPLETE
14	0.0008844003195252767	2020-03-10 22:49:43.563334	2020-03-10 23:29:18.487996	1.5389446575949313	0.03289333856027564	64	9	0.0011026516169435404	256	0.9922376982837408	0.00011411617026132602	0.0008844003195252767	0.00028529042565331506	0.00034234851078397807	7089.56260698391	0.0007102207447372001	0.00011411617026132602	0.0008844003195252767	0.00028529042565331506	0.00034234851078397807	7089.561080680132	0.0007102208393035497	1278646796	150	0.00011411617026132602	0.0008844003195252767	0.00028529042565331506	0.00034234851078397807	7089.564133287687	0.0007102206502213859	14	COMPLETE
15	0.001626155426223896	2020-03-10 23:29:18.524656	2020-03-11 00:42:27.127344	5.947122588549318	0.08614084924132553	256	51	0.023433739824309234	128	0.9875385484809723	0.00014264521282665753	0.001626155426223896	0.0003138194682186466	0.0006846970215679561	7054.640676708889	0.0009816888577106803	0.00014264521282665753	0.001626155426223896	0.0003138194682186466	0.0006846970215679561	7054.636996462399	0.000981689211731738	2383594463	150	0.00014264521282665753	0.001626155426223896	0.0003138194682186466	0.0006846970215679561	7054.64435695538	0.0009816885039302288	15	COMPLETE
16	0.0005991098938719617	2020-03-11 00:42:27.169811	2020-03-11 01:54:38.875777	8.500087459384085	0.08378263804641595	128	38	0.008665494683967679	128	1.013055812319862	2.8529042565331506e-05	0.0005991098938719617	0.00011411617026132602	0.0002567613830879836	7240.675068469702	0.0006161409989576666	2.8529042565331506e-05	0.0005991098938719617	0.00011411617026132602	0.0002567613830879836	7240.67225835901	0.0006161414551635777	2161564216	150	2.8529042565331506e-05	0.0005991098938719617	0.00011411617026132602	0.0002567613830879836	7240.6778785803945	0.0006161405435790577	16	COMPLETE
