number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.07584269662921349	2020-04-09 21:06:55.599308	2020-04-09 21:09:39.725959	0.5170975145133294	12.172361370322605	256	64	69	256	1.1665255246894985	0.006086142322097378	0.07584269662921349	0.023876404494382022	0.04073033707865169	56.296816479400746	0.04161655104634874	0.006086142322097378	0.07584269662921349	0.023876404494382022	0.04073033707865169	56.29634831460674	0.041616627844374386	1899796562	300	0.006086142322097378	0.07584269662921349	0.023876404494382022	0.04073033707865169	56.297284644194754	0.041616475224684486	0	COMPLETE
1	0.0847378277153558	2020-04-09 21:09:39.778014	2020-04-09 21:13:43.547396	0.8685994427472288	13.777437979662526	128	256	6	256	1.1136890637674386	0.008426966292134831	0.0847378277153558	0.02200374531835206	0.039794007490636704	53.690074906367045	0.04446553521835275	0.008426966292134831	0.0847378277153558	0.02200374531835206	0.039794007490636704	53.690074906367045	0.04446553521835275	1493049067	450	0.008426966292134831	0.0847378277153558	0.02200374531835206	0.039794007490636704	53.690074906367045	0.04446553521835275	1	COMPLETE
2	0.0449438202247191	2020-04-09 21:13:43.574460	2020-04-09 21:14:19.139231	0.8433140590024717	5.297311232929578	64	128	37	512	1.2832510813421916	0.0	0.0449438202247191	0.006086142322097378	0.019194756554307114	62.026451310861425	0.02818253780345323	0.0	0.0449438202247191	0.006086142322097378	0.019194756554307114	62.02621722846442	0.028182580263528875	1593750853	150	0.0	0.0449438202247191	0.006086142322097378	0.019194756554307114	62.026685393258425	0.028182495909511936	2	COMPLETE
3	0.060861423220973786	2020-04-09 21:14:19.176904	2020-04-09 21:16:39.741077	0.4344398150252061	6.893755942934323	128	128	60	512	1.2050907152333412	0.0009363295880149813	0.060861423220973786	0.01451310861423221	0.026685393258426966	58.18445692883895	0.03415866045162632	0.0009363295880149813	0.060861423220973786	0.01451310861423221	0.026685393258426966	58.18445692883895	0.03415866045162632	774229098	400	0.0009363295880149813	0.060861423220973786	0.01451310861423221	0.026685393258426966	58.18445692883895	0.03415866045162632	3	COMPLETE
4	0.08801498127340825	2020-04-09 21:16:39.764925	2020-04-09 21:23:07.244031	0.6129401608864621	11.321995511012213	64	128	58	256	1.1256525000061994	0.008895131086142321	0.08801498127340825	0.02855805243445693	0.04588014981273408	54.23829588014981	0.047313447531195485	0.008895131086142321	0.08801498127340825	0.02855805243445693	0.04588014981273408	54.23829588014981	0.047313447531195485	3476163128	550	0.008895131086142321	0.08801498127340825	0.02855805243445693	0.04588014981273408	54.23829588014981	0.047313447531195485	4	COMPLETE
5	0.07443820224719101	2020-04-09 21:23:07.296934	2020-04-09 21:26:22.441987	0.533126701794326	19.293706538083587	256	128	83	512	1.1482271306663194	0.007022471910112359	0.07443820224719101	0.02294007490636704	0.039794007490636704	55.39185393258427	0.04239025397242313	0.007022471910112359	0.07443820224719101	0.02294007490636704	0.039794007490636704	55.39185393258427	0.04239025397242313	1419372123	400	0.007022471910112359	0.07443820224719101	0.02294007490636704	0.039794007490636704	55.39185393258427	0.04239025397242313	5	COMPLETE
6	0.04915730337078652	2020-04-09 21:26:22.468543	2020-04-09 21:27:26.525096	0.9317309593754755	3.600893345813258	256	64	87	512	0.9743987680395388	0.0	0.04915730337078652	0.007022471910112359	0.01544943820224719	47.00795880149813	0.034860551944515476	0.0	0.04915730337078652	0.007022471910112359	0.01544943820224719	47.00795880149813	0.034860551944515476	1915968417	200	0.0	0.04915730337078652	0.007022471910112359	0.01544943820224719	47.00795880149813	0.034860551944515476	6	COMPLETE
7	0.0997191011235955	2020-04-09 21:27:26.552584	2020-04-09 21:28:27.301903	0.26547915088581453	3.055545155577433	64	256	29	512	0.8138172346261445	0.0	0.0997191011235955	0.020131086142322098	0.04400749063670412	38.80126404494382	0.049839685587202455	0.0	0.0997191011235955	0.020131086142322098	0.04400749063670412	38.801029962546814	0.04983985429523633	1165410299	200	0.0	0.0997191011235955	0.020131086142322098	0.04400749063670412	38.80149812734082	0.04983952131885368	7	COMPLETE
8	0.06835205992509363	2020-04-09 21:28:27.331232	2020-04-09 21:29:55.603720	0.6876239549983905	21.915259479269874	128	256	11	256	1.157054937048728	0.0056179775280898875	0.06835205992509363	0.020131086142322098	0.03323970037453183	55.828183520599254	0.03987003058444877	0.0056179775280898875	0.06835205992509363	0.020131086142322098	0.03323970037453183	55.828183520599254	0.03987003058444877	407934055	200	0.0056179775280898875	0.06835205992509363	0.020131086142322098	0.03323970037453183	55.828183520599254	0.03987003058444877	8	COMPLETE
9	0.060861423220973786	2020-04-09 21:29:55.634198	2020-04-09 21:31:51.554496	0.8822581790636641	7.094950756461018	128	64	32	128	1.1858759582206635	0.0014044943820224719	0.060861423220973786	0.014044943820224719	0.028089887640449437	57.24461610486891	0.03481648784563148	0.0014044943820224719	0.060861423220973786	0.014044943820224719	0.028089887640449437	57.24438202247191	0.03481653527874131	3117978269	150	0.0014044943820224719	0.060861423220973786	0.014044943820224719	0.028089887640449437	57.24485018726592	0.034816441080593626	9	COMPLETE
