number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	201	251	301	351
0	TrialState.COMPLETE	0.0	2020-01-10 06:41:40.765333	2020-01-10 07:14:33.888875	0.44704741751304067	27.002356956336335	50.0	60.0	0.0013622444750185543	800.0	1.012121062359274	0.0	0.0	0.0	0.0	20519.13641997167	0.00018208354231531766	0.0	0.0	0.0	0.0	20519.124955736545	0.0001820836895209765	0.0	0.0	0.0	0.0	20519.1478842068	0.00018208339517965488	0	0.0	0.0				
1	TrialState.COMPLETE	0.0003541076487252125	2020-01-10 07:14:33.889778	2020-01-10 07:47:37.338078	0.5871089012451711	16.233413132189725	50.0	80.0	0.0498358241737186	1200.0	1.0691029127316554	0.0	0.0003541076487252125	0.00017705382436260624	0.0002213172804532578	21674.87646069405	0.0002802041604627809	0.0	0.0003541076487252125	0.00017705382436260624	0.0002213172804532578	21674.86672273371	0.0002802042696119166	0.0	0.0003541076487252125	0.00017705382436260624	0.0002213172804532578	21674.886198654393	0.00028020405137442754	1	0.0005311614730878187	0.00041312559017941453				
2	TrialState.COMPLETE	8.852691218130312e-05	2020-01-10 07:47:37.339058	2020-01-10 08:44:56.965765	0.36175828508786256	7.852555567695409	350.0	20.0	0.015887400691072574	800.0	1.0493022224932183	0.0	8.852691218130312e-05	0.0	0.0	21273.154722910764	0.00022783261429943887	0.0	8.852691218130312e-05	0.0	0.0	21273.127567280455	0.0002278333742934531	0.0	8.852691218130312e-05	0.0	0.0	21273.181878541076	0.0002278318556681796	2	0.0	5.901794145420208e-05				
3	TrialState.COMPLETE	0.0	2020-01-10 08:44:56.966837	2020-01-10 09:17:22.769276	0.6874180709275759	17.641367165152516	50.0	30.0	0.037812460342541085	600.0	1.02004074935533	0.0	0.0	0.0	0.0	20680.09521069405	0.00020718892737283482	0.0	0.0	0.0	0.0	20680.085428470255	0.00020718907950095772	0.0	0.0	0.0	0.0	20680.104992917848	0.0002071887753233039	3	0.0	0.0				
4	TrialState.COMPLETE	0.0003541076487252125	2020-01-10 09:17:22.770082	2020-01-10 10:19:57.984235	0.5254350944797863	11.31707248633679	350.0	40.0	0.01821506027635863	500.0	1.0509803933806279	0.0	0.0003541076487252125	0.0	0.0001327903682719547	21307.265226628897	0.00022652372200915725	0.0	0.0003541076487252125	0.0	0.0001327903682719547	21307.23698654391	0.00022652403822772242	0.0	0.0003541076487252125	0.0	0.0001327903682719547	21307.29346671388	0.00022652340589373655	4	0.0003541076487252125	0.0003541076487252125				
5	TrialState.COMPLETE	0.0003541076487252125	2020-01-10 10:19:57.985027	2020-01-10 11:11:53.486761	0.5246264523340695	18.803131290759637	250.0	60.0	0.0020080872304623658	1400.0	1.0030479076062733	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20335.26212818697	0.00026981500976213876	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20335.237296388103	0.0002698157260247061	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20335.286959985835	0.0002698142950705159	5	0.0003541076487252125	0.0003541076487252125				
6	TrialState.COMPLETE	0.00017705382436260624	2020-01-10 11:11:53.487451	2020-01-10 11:52:23.761273	0.10040820087969476	29.95201905802899	150.0	50.0	0.01111448246954553	1200.0	1.0208193284461773	0.0	0.00017705382436260624	0.0	0.0	20695.762747875353	0.00019768977125466183	0.0	0.00017705382436260624	0.0	0.0	20695.74570644476	0.00019768998524821363	0.0	0.00017705382436260624	0.0	0.0	20695.77978930595	0.0001976895573513117	6	0.00017705382436260624	0.00017705382436260624				
7	TrialState.COMPLETE	0.0022574362606232294	2020-01-10 11:52:23.762036	2020-01-10 12:46:32.598462	0.35877149748825754	3.7058219479018426	350.0	10.0	0.00783688803113609	1800.0	0.9414546406714006	0.0004868980169971671	0.0022574362606232294	0.0015492209631728046	0.002080382436260623	19086.02514164306	0.0014833854557879276	0.0004868980169971671	0.0022574362606232294	0.0015492209631728046	0.002080382436260623	19085.99614907932	0.001483385931149283	0.0004868980169971671	0.0022574362606232294	0.0015492209631728046	0.002080382436260623	19086.0541342068	0.0014833849807459993	7	0.0002655807365439094	0.001593484419263456				
8	TrialState.COMPLETE	0.0003541076487252125	2020-01-10 12:46:32.599449	2020-01-10 13:19:45.932530	0.533600092917682	3.9505607956036184	50.0	30.0	0.001068871741416023	2000.0	1.008168874276962	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20438.949694582152	0.0002467823130887485	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20438.93900495751	0.00024678242038303163	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20438.9603842068	0.00024678220582495395	8	0.0003541076487252125	0.0003541076487252125				
