number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351
0	TrialState.COMPLETE	0.01603601780655605	2020-01-16 14:09:03.785493	2020-01-16 16:13:25.805781	4.670549306007553	1.4141313082973128	0.01281875313621679	450.0	36.0	0.048806067133687014	1400.0	0.6575782611289448	0.004578106029947389	0.01603601780655605	0.0073350870093079725	0.010345002023472279	13329.048854208822	0.008527052828851654	0.004578106029947389	0.01603601780655605	0.0073350870093079725	0.010345002023472279	13329.030276203966	0.008527063694528962	0.004578106029947389	0.01603601780655605	0.0073350870093079725	0.010345002023472279	13329.067432213678	0.008527042109518532	0				0.015793201133144474	0.01593484419263456		
1	TrialState.COMPLETE	0.019248280048563333	2020-01-16 16:13:25.815727	2020-01-16 17:23:39.617693	8.755566216328935	5.084073818432847	0.010526430173800531	50.0	26.0	0.04302823509565077	500.0	0.7662695257750439	0.0038445973290165926	0.019248280048563333	0.008270942938081748	0.011407324969647916	15532.812778227439	0.009094293160298814	0.0038445973290165926	0.019248280048563333	0.008270942938081748	0.011407324969647916	15532.805696074463	0.009094297495680397	0.0038445973290165926	0.019248280048563333	0.008270942938081748	0.011407324969647916	15532.819860380412	0.00909428889903726	1				0.018094900849858358	0.018767705382436262		
2	TrialState.COMPLETE	0.0004868980169971671	2020-01-16 17:23:39.619042	2020-01-16 18:01:25.393897	7.7243884378221335	7.813607702896778	0.04373740315767924	450.0	1.0	0.0023396750249425427	1500.0	0.9629199367309089	0.00017705382436260624	0.0004868980169971671	0.0003098441926345609	0.0003541076487252125	19521.17707595609	0.0004940051843283942	0.00017705382436260624	0.0004868980169971671	0.0003098441926345609	0.0003541076487252125	19521.162491147308	0.0004940053670916388	0.00017705382436260624	0.0004868980169971671	0.0003098441926345609	0.0003541076487252125	19521.19166076487	0.0004940050016243967	2	0.0004426345609065156	0.00047214353163361664					
3	TrialState.COMPLETE	0.0001327903682719547	2020-01-16 18:01:25.402494	2020-01-16 18:26:50.889695	9.802552673623634	1.1800175233442818	0.052549128078495363	50.0	26.0	0.001798691092581437	1200.0	0.9620632641666154	0.0	0.0001327903682719547	0.0	0.0	19504.042293732295	0.0002483978079136519	0.0	0.0001327903682719547	0.0	0.0	19504.035986189803	0.00024839857379581353	0.0	0.0001327903682719547	0.0	0.0	19504.048601274786	0.0002483970440928424	3	0.0002655807365439094	0.00017705382436260624					
4	TrialState.COMPLETE	0.012991324362606232	2020-01-16 18:26:50.892691	2020-01-16 20:12:40.487741	6.7438905198353325	2.486983023230966	0.046964077162804777	350.0	26.0	0.0150303038086589	2000.0	0.7097224485506508	0.0011729815864022664	0.012991324362606232	0.003939447592067989	0.007347733711048158	14386.461512924929	0.005368336923965863	0.0011729815864022664	0.012991324362606232	0.003939447592067989	0.007347733711048158	14386.431900672804	0.005368339930655161	0.0011729815864022664	0.012991324362606232	0.003939447592067989	0.007347733711048158	14386.491125177054	0.0053683339291991684	4					0.011597025495750708	0.012393767705382436	
5	TrialState.COMPLETE	0.01330433023067584	2020-01-16 20:12:40.488915	2020-01-16 21:31:38.442748	4.717083921940087	9.745004569147817	0.02546551373552906	250.0	21.0	0.036478087531000424	2000.0	0.6827500865538075	0.0020993524888709026	0.01330433023067584	0.005362201537838932	0.008270942938081748	13839.55282527317	0.006356431070434012	0.0020993524888709026	0.01330433023067584	0.005362201537838932	0.008270942938081748	13839.53619486038	0.006356432347684754	0.0020993524888709026	0.01330433023067584	0.005362201537838932	0.008270942938081748	13839.569455685956	0.0063564297953960245	5				0.012606232294617563	0.013013456090651559		
6	TrialState.COMPLETE	0.01195113314447592	2020-01-16 21:31:38.444047	2020-01-16 22:33:55.022940	9.094408239594559	2.973773277921169	0.015969256546826245	250.0	11.0	0.09456764631890537	1800.0	0.6206374670673198	0.001534466477809254	0.01195113314447592	0.004809962228517469	0.006846081208687441	12579.543142115202	0.006070550945377412	0.001534466477809254	0.01195113314447592	0.004809962228517469	0.006846081208687441	12579.527295797923	0.006070552845590669	0.001534466477809254	0.01195113314447592	0.004809962228517469	0.006846081208687441	12579.558988432484	0.0060705490510761274	6			0.01190686968838527	0.01193342776203966			
7	TrialState.COMPLETE	0.009442870632672332	2020-01-16 22:33:55.024127	2020-01-16 23:27:24.355436	1.5227617006566305	8.802292398154693	0.03189104071117235	150.0	16.0	0.08534629424954128	800.0	0.6529123070843794	0.001534466477809254	0.009442870632672332	0.004072237960339943	0.0055476864966949955	13233.817575542966	0.004517805565052917	0.001534466477809254	0.009442870632672332	0.004072237960339943	0.0055476864966949955	13233.801345609065	0.004517806737719222	0.001534466477809254	0.009442870632672332	0.004072237960339943	0.0055476864966949955	13233.833805476865	0.004517804393772164	7			0.009737960339943343	0.009560906515580737			
8	TrialState.COMPLETE	0.004532577903682719	2020-01-16 23:27:24.356762	2020-01-17 00:20:03.674718	1.2118653588796269	3.670101693071479	0.019035165639422046	350.0	1.0	0.05508438092030116	1900.0	0.6957515491316372	0.0008852691218130312	0.004532577903682719	0.0019475920679886685	0.002726628895184136	14102.807365439094	0.0025756756408977627	0.0008852691218130312	0.004532577903682719	0.0019475920679886685	0.002726628895184136	14102.781444759206	0.0025758793284789343	0.0008852691218130312	0.004532577903682719	0.0019475920679886685	0.002726628895184136	14102.833286118981	0.0025754863689846723	8		0.004721435316336166	0.004603399433427762				
9	TrialState.COMPLETE	0.000398371104815864	2020-01-17 00:20:03.683457	2020-01-17 00:53:04.391036	0.8077608190931354	7.406464155275209	0.015340405403808465	250.0	26.0	0.0025793206908999466	1000.0	0.9311172349497773	0.0	0.000398371104815864	0.0	0.0002655807365439094	18876.45447503541	0.00032683409870005846	0.0	0.000398371104815864	0.0	0.0002655807365439094	18876.43909348442	0.00032683438746614166	0.0	0.000398371104815864	0.0	0.0002655807365439094	18876.469856586402	0.00032683381013804596	9	8.852691218130312e-05	0.0002950897072710104					
10	TrialState.COMPLETE	0.010583884167453572	2020-01-17 00:53:04.392192	2020-01-17 03:02:12.100816	7.068048385831221	7.916379578360127	0.010622353882715001	350.0	36.0	0.004655390844045805	1500.0	0.8207452087535364	0.0008262511803588291	0.010583884167453572	0.0037574756059175324	0.006393610324205225	16637.979687991818	0.004198798678418575	0.0008262511803588291	0.010583884167453572	0.0037574756059175324	0.006393610324205225	16637.960339943344	0.004198799964764637	0.0008262511803588291	0.010583884167453572	0.0037574756059175324	0.006393610324205225	16637.999036040288	0.004198797397762185	10						0.009105625252934034	0.009937145892351274
11	TrialState.COMPLETE	0.024831798866855524	2020-01-17 03:02:12.101994	2020-01-17 04:18:58.879972	7.001241584894321	5.876879453327408	0.04050162166630795	50.0	21.0	0.03961106329314645	600.0	0.717953680222061	0.0047804532577903685	0.024831798866855524	0.011707684135977336	0.01604550283286119	14553.674066041076	0.011963595933561994	0.0047804532577903685	0.024831798866855524	0.011707684135977336	0.01604550283286119	14553.66733799575	0.011963600577060488	0.0047804532577903685	0.024831798866855524	0.011707684135977336	0.01604550283286119	14553.680794086402	0.01196359135634095	11					0.02419735599622285	0.02455989477944152	
