Replicate	Epoch	Loss
0	0	0.01332477971127633
0	1	0.0007971161604485407
0	2	0.00010801942381941101
0	3	7.189657354034006e-05
0	4	6.129494564410382e-05
0	5	6.2988180562102e-05
0	6	6.613375452750905e-05
0	7	7.257174009743518e-05
0	8	7.841067342088643e-05
0	9	7.764960518110997e-05
0	10	7.050007892593539e-05
0	11	6.867373537520829e-05
0	12	6.145264699329526e-05
0	13	6.27358826009199e-05
0	14	5.013711281974498e-05
0	15	5.10716090320229e-05
0	16	4.837157820157075e-05
0	17	4.438144720855485e-05
0	18	4.776560900667241e-05
0	19	4.203534317174255e-05
0	20	4.01371596779767e-05
0	21	3.8006752528359276e-05
0	22	3.93110239200952e-05
0	23	4.0162235550357525e-05
0	24	4.168243830825562e-05
0	25	3.565682473657463e-05
0	26	3.464210413693487e-05
0	27	3.391757289150702e-05
0	28	3.4478431131785015e-05
0	29	3.287177906649137e-05
0	30	3.139472833810923e-05
0	31	3.070059163496686e-05
0	32	3.2039669666696996e-05
0	33	3.292701532946635e-05
0	34	2.9365570887467403e-05
0	35	2.9874189976144447e-05
0	36	2.7661038795785173e-05
0	37	2.7875022256647517e-05
0	38	2.9304760710246594e-05
0	39	2.7078822236163237e-05
0	40	2.7173602899352616e-05
0	41	2.817226657266871e-05
0	42	2.878801778949559e-05
0	43	2.5767519055742895e-05
0	44	2.6206147394372504e-05
0	45	2.421780914565339e-05
0	46	2.710798335947595e-05
0	47	2.5079876739542462e-05
0	48	2.595806670082021e-05
0	49	2.4930578367731752e-05
0	50	2.5305116045152273e-05
0	51	2.435680967314657e-05
0	52	2.3609129592755215e-05
0	53	2.5434714959025903e-05
0	54	2.3298745369961346e-05
0	55	2.4454609721993014e-05
0	56	2.29679257155313e-05
0	57	2.26331334882048e-05
0	58	2.1686753122706504e-05
0	59	2.2635305750610766e-05
0	60	2.2557732832255627e-05
0	61	2.18466160818955e-05
0	62	2.283482677457045e-05
0	63	2.191763605522171e-05
0	64	2.193933203140867e-05
0	65	2.1451913323629964e-05
0	66	2.173652161151205e-05
0	67	2.2477247180507916e-05
0	68	2.1636894429153867e-05
0	69	2.0247076159862275e-05
0	70	2.071350480084268e-05
0	71	2.1292512743369253e-05
0	72	2.0786933447021593e-05
0	73	1.995629743813583e-05
0	74	2.0748237491940107e-05
0	75	2.1366741000499928e-05
0	76	2.125319595658371e-05
0	77	1.9879389160250907e-05
0	78	2.1166005828580986e-05
0	79	2.175606483912323e-05
0	80	2.0007406418872955e-05
0	81	2.0150316209453975e-05
0	82	2.070283099785015e-05
0	83	2.0718656287622538e-05
0	84	1.954377090816329e-05
0	85	1.972126396940127e-05
0	86	1.8603869441941082e-05
0	87	1.8936405261774195e-05
0	88	1.989663516733597e-05
0	89	1.9040017967382127e-05
0	90	1.9001049264040018e-05
0	91	1.8893507367704972e-05
0	92	1.8470838716296038e-05
0	93	1.9952882772976983e-05
0	94	1.8200161487951726e-05
0	95	1.880229162562479e-05
0	96	1.9639587525574015e-05
0	97	1.8978264305239584e-05
0	98	1.8772638818824413e-05
0	99	1.862763136726472e-05
0	100	1.912983388826966e-05
0	101	1.9121851840311832e-05
0	102	1.898068425888151e-05
0	103	1.8165272139098094e-05
0	104	1.705871727127927e-05
0	105	1.895435150684121e-05
0	106	1.8041067704538636e-05
0	107	1.7963279958254987e-05
0	108	1.7859824104462964e-05
0	109	1.9532018956756712e-05
0	110	1.822879136210083e-05
0	111	1.816914333516919e-05
0	112	1.7964981003580953e-05
0	113	1.8295185342221686e-05
0	114	1.6954682396182256e-05
0	115	1.7921970322628693e-05
0	116	1.8502557557061593e-05
0	117	1.816905500428126e-05
0	118	1.7128351070062814e-05
0	119	1.800061603528616e-05
0	120	1.8825078287368233e-05
0	121	1.7552458830739113e-05
0	122	1.9019837247497635e-05
0	123	1.6470867101605798e-05
0	124	1.774057328876769e-05
0	125	1.773024641352736e-05
0	126	1.745959204309517e-05
0	127	1.7019720294892234e-05
0	128	1.7477313860574732e-05
0	129	1.639434115663176e-05
0	130	1.7607394870937813e-05
0	131	1.697181963216153e-05
0	132	1.768474391928324e-05
0	133	1.6879576442515766e-05
0	134	1.7560362978745593e-05
0	135	1.809214631964922e-05
0	136	1.7690887380729944e-05
0	137	1.6577219616842802e-05
0	138	1.627207415218184e-05
0	139	1.7672780905056784e-05
0	140	1.6738425715652717e-05
0	141	1.7105559920495775e-05
0	142	1.667911475475421e-05
0	143	1.6764364994183275e-05
0	144	1.6971858557630088e-05
0	145	1.7644879354097035e-05
0	146	1.5942741041306654e-05
0	147	1.614927545374622e-05
0	148	1.7226147798801258e-05
0	149	1.6075276566998965e-05
0	150	1.69521618621254e-05
0	151	1.7257811236321646e-05
0	152	1.647768414187032e-05
0	153	1.643651808031677e-05
0	154	1.6598483118275616e-05
0	155	1.620124186352844e-05
0	156	1.7219366056046666e-05
0	157	1.629384629291777e-05
0	158	1.6582792863876436e-05
0	159	1.656444841681521e-05
0	160	1.683901940759756e-05
0	161	1.554138264109784e-05
0	162	1.5832791168100892e-05
0	163	1.5616785768352695e-05
0	164	1.6110571323146022e-05
0	165	1.5947870158012487e-05
0	166	1.5558671744453454e-05
0	167	1.6023944241633e-05
0	168	1.713564181690503e-05
0	169	1.6548211483585386e-05
0	170	1.569130545358693e-05
0	171	1.6210957132388776e-05
0	172	1.5934569180183085e-05
0	173	1.5783780623932876e-05
0	174	1.681744836205005e-05
0	175	1.6237136364557244e-05
0	176	1.57602633447262e-05
0	177	1.592624200975869e-05
0	178	1.643633010840844e-05
0	179	1.5825914294372178e-05
0	180	1.6374043940328565e-05
0	181	1.5759336687149605e-05
0	182	1.558209961792884e-05
0	183	1.5724280201638958e-05
0	184	1.5958171148124087e-05
0	185	1.5676856761188928e-05
0	186	1.6258639207943093e-05
0	187	1.4789426245383968e-05
0	188	1.624658642204328e-05
0	189	1.5497757907967107e-05
0	190	1.553615716355404e-05
0	191	1.546452296493992e-05
0	192	1.4913947973662326e-05
0	193	1.5124878773071256e-05
0	194	1.487108586581504e-05
0	195	1.5748880905485904e-05
0	196	1.5647639202262814e-05
0	197	1.5594177559678613e-05
0	198	1.4837300571097453e-05
0	199	1.4630430891008704e-05
0	200	1.540958439989874e-05
0	201	1.5542509201059333e-05
0	202	1.63429927650212e-05
0	203	1.548946801556219e-05
0	204	1.586484218582387e-05
0	205	1.5266078673139457e-05
0	206	1.57151003220055e-05
0	207	1.5149588847261706e-05
0	208	1.574187814807549e-05
0	209	1.5726108339222086e-05
0	210	1.562604382093664e-05
0	211	1.5426060850682502e-05
0	212	1.46955347945387e-05
