number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	451	501
0	TrialState.COMPLETE	0.0020361189801699716	2020-01-12 13:38:34.405456	2020-01-12 14:47:13.688960	250.0	71.0	0.022921308254028626	0.021112359200583693	700.0	0.6558593102013118	0.0003098441926345609	0.0020361189801699716	0.0004868980169971671	0.0010180594900849858	13294.558294971672	0.00161845745577037	0.0003098441926345609	0.0020361189801699716	0.0004868980169971671	0.0010180594900849858	13294.556967067989	0.0016184574693965635	0.0003098441926345609	0.0020361189801699716	0.0004868980169971671	0.0010180594900849858	13294.559622875355	0.0016184574421483457	0	0.001593484419263456	0.0018885741265344666					
1	TrialState.COMPLETE	0.0006639518413597734	2020-01-12 14:47:13.689900	2020-01-12 16:40:29.918044	350.0	61.0	0.010536353653107386	0.0011222681476771989	700.0	1.0512217480548292	0.0	0.0006639518413597734	0.00017705382436260624	0.0003098441926345609	21312.492209631728	0.00035914449722059075	0.0	0.0006639518413597734	0.00017705382436260624	0.0003098441926345609	21312.49114730878	0.0003591445086840282	0.0	0.0006639518413597734	0.00017705382436260624	0.0003098441926345609	21312.493271954674	0.00035914448576179064	1	0.0006196883852691218	0.0006491973559962229					
2	TrialState.COMPLETE	0.011012747875354108	2020-01-12 16:40:29.918981	2020-01-12 16:48:34.782717	250.0	1.0	0.04316564675293744	0.0021498554773417863	1600.0	0.9462411537854869	0.0035410764872521247	0.011012747875354108	0.006798866855524079	0.008286118980169972	19183.13394121813	0.006409731630227278	0.0035410764872521247	0.011012747875354108	0.006798866855524079	0.008286118980169972	19183.13385269122	0.006409731633773135	0.0035410764872521247	0.011012747875354108	0.006798866855524079	0.008286118980169972	19183.134029745044	0.006409731626682732	2		0.010092067988668555	0.010667492917847025				
3	TrialState.COMPLETE	0.0028328611898017	2020-01-12 16:48:34.784044	2020-01-12 18:57:56.687869	350.0	71.0	0.04056831797741916	0.0026716880634801692	2000.0	1.0359463323612206	0.000796742209631728	0.0028328611898017	0.0016820113314447592	0.002124645892351275	21002.27514164306	0.0017394027656260518	0.000796742209631728	0.0028328611898017	0.0016820113314447592	0.002124645892351275	21002.27492032578	0.0017394027661557679	0.000796742209631728	0.0028328611898017	0.0016820113314447592	0.002124645892351275	21002.27536296034	0.001739402765096366	3	0.0028328611898017	0.0028328611898017					
4	TrialState.COMPLETE	0.0002655807365439094	2020-01-12 18:57:56.689249	2020-01-12 19:04:04.121075	50.0	51.0	0.003489950951597547	0.02375034290434027	1700.0	1.010028986304549	0.0	0.0002655807365439094	8.852691218130312e-05	8.852691218130312e-05	20476.549530807366	0.00028410717973657927	0.0	0.0002655807365439094	8.852691218130312e-05	8.852691218130312e-05	20476.54935375354	0.00028410718147303074	0.0	0.0002655807365439094	8.852691218130312e-05	8.852691218130312e-05	20476.54970786119	0.00028410717800032967	4	0.0003541076487252125	0.0002950897072710104					
5	TrialState.COMPLETE	0.006576284904896803	2020-01-12 19:04:04.122129	2020-01-12 21:54:58.189363	250.0	71.0	0.0020924145478720285	0.041255472941869736	1400.0	0.7359910943078001	0.00045528126264670173	0.006576284904896803	0.0016187778227438284	0.0030099150141643057	14917.321542391745	0.0029102443713080427	0.00045528126264670173	0.006576284904896803	0.0016187778227438284	0.0030099150141643057	14917.318191015784	0.0029102448484066524	0.00045528126264670173	0.006576284904896803	0.0016187778227438284	0.0030099150141643057	14917.324893767705	0.0029102438954745546	5				0.00538243626062323	0.006078847969782814		
6	TrialState.COMPLETE	0.4282778051484173	2020-01-12 21:54:58.190334	2020-01-12 22:58:12.286758	50.0	51.0	0.0029149602737737076	0.00011529089218121944	1100.0	0.25475735989619497	0.3420371966991009	0.4282778051484173	0.3937138194358911	0.4081552531099889	5164.025122398079	0.37525468518901073	0.3420371966991009	0.4282778051484173	0.3937138194358911	0.4081552531099889	5164.024641273556	0.375254685343631	0.3420371966991009	0.4282778051484173	0.3937138194358911	0.4081552531099889	5164.025603522601	0.3752546850351596	6							
7	TrialState.COMPLETE	0.11995396600566573	2020-01-12 22:58:12.287665	2020-01-13 00:09:11.507529	250.0	11.0	0.012686965663235574	0.06934266612112173	1500.0	0.25519145992104775	0.03454025023607177	0.11995396600566573	0.06427053824362607	0.08535469782813976	5173.247823713409	0.06441517881254784	0.03454025023607177	0.11995396600566573	0.06427053824362607	0.08535469782813976	5173.24755075543	0.06441517887194123	0.03454025023607177	0.11995396600566573	0.06427053824362607	0.08535469782813976	5173.248096671388	0.06441517875329425	7						0.11894475920679887	0.11949523564254443
8	TrialState.COMPLETE	0.0020361189801699716	2020-01-13 00:09:11.508440	2020-01-13 00:14:46.053467	250.0	1.0	0.003564424361641403	0.0004877567629980598	500.0	0.9796190050949184	0.0009295325779036828	0.0020361189801699716	0.0012836402266288953	0.0016377478753541077	19860.170480701134	0.0014920501201573485	0.0009295325779036828	0.0020361189801699716	0.0012836402266288953	0.0016377478753541077	19860.17028151558	0.0014920501218226956	0.0009295325779036828	0.0020361189801699716	0.0012836402266288953	0.0016377478753541077	19860.170679886687	0.0014920501184923164	8	0.0008852691218130312	0.0016525023607176581					
