number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	451	501
0	TrialState.COMPLETE	0.002345963172804533	2020-01-03 11:24:14.929915	2020-01-03 11:50:24.001340	0.34049975364572616	23.86747945338941	350.0	350.0	110.0	0.0010645871121917078	500.0	0.9491777445179133	0.0005311614730878187	0.002345963172804533	0.0009737960339943342	0.0014606940509915014	19242.406604107648	0.0018045942196776078	0.0005311614730878187	0.002345963172804533	0.0009737960339943342	0.0014606940509915014	19198.507303470255	0.001809637834635354	0.0005311614730878187	0.002345963172804533	0.0009737960339943342	0.0014606940509915014	19286.305904745044	0.0018016559232905546	0	0.002921388101983003	0.0025377714825306893					
1	TrialState.COMPLETE	0.26777620396600565	2020-01-03 11:50:24.073253	2020-01-03 12:20:43.038920	0.823570168142559	3.3732116679777038	150.0	450.0	80.0	0.004620121752017593	900.0	0.20338134533997132	0.020502832861189802	0.26777620396600565	0.15803824362606234	0.2084985835694051	4122.448087818697	0.10872362372701122	0.020502832861189802	0.26777620396600565	0.15803824362606234	0.2084985835694051	4122.445007082153	0.10872362776635654	0.020502832861189802	0.26777620396600565	0.15803824362606234	0.2084985835694051	4122.451168555241	0.10872361971947805	1		0.27077431539187913	0.26890049575070823				
2	TrialState.COMPLETE	0.001106586402266289	2020-01-03 12:20:43.040011	2020-01-03 12:52:00.935714	0.8395829949830994	27.88595465293519	250.0	450.0	180.0	0.006497616841113325	500.0	1.0170530213388307	0.0003098441926345609	0.001106586402266289	0.0004426345609065156	0.0006639518413597734	20619.06703700425	0.0009101868360769056	0.000398371104815864	0.0011951133144475921	0.0005311614730878187	0.0007524787535410764	20552.23189624646	0.0010106095306123782	0.0003098441926345609	0.001106586402266289	0.0004426345609065156	0.0006639518413597734	20685.90217776204	0.0009044170583392624	2	0.002213172804532578	0.001475448536355052					
3	TrialState.COMPLETE	0.0006639518413597734	2020-01-03 12:52:00.936815	2020-01-03 13:15:34.953581	0.4705958183125405	4.979940405724188	450.0	50.0	30.0	0.02949157758730625	900.0	1.0210018165599564	0.0	0.0006639518413597734	0.0001327903682719547	0.0003098441926345609	20699.02354815864	0.0004644740125090738	0.0	0.0006639518413597734	0.0001327903682719547	0.0003098441926345609	20697.811880311616	0.0004644816301348976	0.0	0.0006639518413597734	0.0001327903682719547	0.0003098441926345609	20700.235216005665	0.00046446641091285726	3	0.000796742209631728	0.000708215297450425					
4	TrialState.COMPLETE	0.0036473087818696885	2020-01-03 13:15:34.954717	2020-01-03 13:44:21.674630	0.4454538063696847	26.634482831523087	250.0	50.0	60.0	0.0010191469191343332	900.0	1.002119976883562	0.0005311614730878187	0.0036473087818696885	0.0010623229461756375	0.0020538243626062325	20316.40959631728	0.0018532293668685677	0.0005311614730878187	0.0036473087818696885	0.0010623229461756375	0.0020538243626062325	20315.351487252126	0.0018534491071225388	0.0005311614730878187	0.0036473087818696885	0.0010623229461756375	0.0020538243626062325	20317.467705382438	0.001853036608084777	4		0.0034820585457979226	0.003585339943342776				
5	TrialState.COMPLETE	0.0011951133144475921	2020-01-03 13:44:21.675740	2020-01-03 14:04:55.630868	0.9513721410922519	12.070115607110049	50.0	350.0	130.0	0.03902774103639019	700.0	1.0058636659009585	8.852691218130312e-05	0.0011951133144475921	0.00017705382436260624	0.0004426345609065156	20392.90421388102	0.0007521858403285832	8.852691218130312e-05	0.0013721671388101982	0.00017705382436260624	0.0005311614730878187	20246.048512747875	0.000778865799125165	8.852691218130312e-05	0.0011951133144475921	0.00017705382436260624	0.0004426345609065156	20539.759915014165	0.0007398165470137809	5	0.0009737960339943342	0.0011213408876298394					
6	TrialState.COMPLETE	0.0008852691218130312	2020-01-03 14:04:55.631767	2020-01-03 14:25:31.677370	0.6766270204130986	14.015117380444341	150.0	350.0	100.0	0.02832779200511377	800.0	1.038668145371499	0.0	0.0008852691218130312	0.0003098441926345609	0.0006196883852691218	21057.41882082153	0.0005766660325356666	0.0	0.0013721671388101982	0.0004868980169971671	0.0009295325779036828	20633.693121458924	0.000778167887481058	0.0	0.000796742209631728	0.0003098441926345609	0.0006196883852691218	21481.144520184134	0.0005522320961128013	6	0.000708215297450425	0.0008262511803588291					
7	TrialState.COMPLETE	0.0025230169971671387	2020-01-03 14:25:31.678511	2020-01-03 14:45:51.294020	0.8045165591903994	13.853275964108905	150.0	150.0	180.0	0.005399287469312085	600.0	0.9750358489296026	0.0003541076487252125	0.0025230169971671387	0.0008410056657223796	0.0011951133144475921	19766.758343661473	0.0014975725639495285	0.0003541076487252125	0.0025230169971671387	0.0008410056657223796	0.0011951133144475921	19731.117253895183	0.0015003014929481804	0.0003541076487252125	0.002478753541076487	0.0008410056657223796	0.0011951133144475921	19802.399433427763	0.00149548661088793	7	0.0025672804532577906	0.0025377714825306893					
8	TrialState.COMPLETE	0.0009737960339943342	2020-01-03 14:45:51.294938	2020-01-03 15:11:16.914007	0.8890228775594816	15.007359632483542	250.0	350.0	140.0	0.02689376481851791	700.0	1.02195720529056	4.426345609065156e-05	0.0009737960339943342	0.000398371104815864	0.0006196883852691218	20718.916806834277	0.000697299667970289	0.0001327903682719547	0.0011508498583569404	0.0005311614730878187	0.0007524787535410764	20325.525894121813	0.0008434363768698484	4.426345609065156e-05	0.0009737960339943342	0.000398371104815864	0.0006196883852691218	21112.30771954674	0.0006729815375664668	8	0.001593484419263456	0.0011803588290840415					
