number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.013009243409791168	2020-01-19 02:05:53.436965	2020-01-19 03:06:11.472672	4.7251783909012595	250.0	2	16.0	0.012722956207284633	600.0	0.2366987129707357	0.005135227661759671	0.013009243409791168	0.006019627981284948	0.007446080109551523	1636.793449731827	0.011793926270812223	0.005135227661759671	0.013009243409791168	0.006019627981284948	0.007446080109551523	1636.7917950473582	0.011793931891816429	4014655292	0.005135227661759671	0.013009243409791168	0.006019627981284948	0.007446080109551523	1636.7951044162958	0.011793920708657936	0
1	TrialState.COMPLETE	0.012723952984137853	2020-01-19 03:06:11.473539	2020-01-19 06:30:12.663157	2.777193842031483	350.0	2	16.0	0.0015977587731905453	2000.0	0.2968139113599886	0.005135227661759671	0.012723952984137853	0.005363460002282323	0.0068754992582448935	2066.3483396097226	0.011297838290049576	0.005135227661759671	0.012723952984137853	0.005363460002282323	0.0068754992582448935	2066.34386055004	0.01129784216731801	255708705	0.005135227661759671	0.012723952984137853	0.005363460002282323	0.0068754992582448935	2066.3528186694057	0.011297834431344755	1
2	TrialState.COMPLETE	0.013208946707748487	2020-01-19 06:30:12.664026	2020-01-19 09:54:15.574659	8.213754591119567	350.0	2	16.0	0.017659855428676048	2000.0	0.24170782538790664	0.005135227661759671	0.013208946707748487	0.005620221385370307	0.00718931872646354	1670.7706122332534	0.012155404390408851	0.005135227661759671	0.013208946707748487	0.005620221385370307	0.00718931872646354	1670.767716535433	0.012155407094937584	3679747260	0.005135227661759671	0.013208946707748487	0.005620221385370307	0.00718931872646354	1670.773507931074	0.012155401696216405	2
3	TrialState.COMPLETE	0.01098368138765263	2020-01-19 09:54:15.575527	2020-01-19 12:59:28.604531	0.7666610901127427	50.0	1	46.0	0.00826629422592322	1700.0	0.2654950526837546	0.005135227661759671	0.01098368138765263	0.0068754992582448935	0.008045190003423484	1859.683242040397	0.010371038028036345	0.005135227661759671	0.01098368138765263	0.0068754992582448935	0.008045190003423484	1859.6819297044392	0.010371044191232118	1940884878	0.005135227661759671	0.01098368138765263	0.0068754992582448935	0.008045190003423484	1859.6845543763552	0.01037103193472741	3
4	TrialState.COMPLETE	0.007075202556202214	2020-01-19 12:59:28.605404	2020-01-19 15:46:33.771861	9.466459544151501	350.0	1	11.0	0.020956810762744273	1700.0	0.32986534492216335	0.005135227661759671	0.007075202556202214	0.005420518087412987	0.005734337555631633	2300.76590494123	0.008795010290833304	0.005135227661759671	0.007075202556202214	0.005420518087412987	0.005734337555631633	2300.763836585644	0.008795012249275556	1421587801	0.005135227661759671	0.007075202556202214	0.005420518087412987	0.005734337555631633	2300.7679732968163	0.008795008344185604	4
5	TrialState.COMPLETE	0.009614287344516718	2020-01-19 15:46:33.772738	2020-01-19 19:01:24.799413	9.375345370511802	450.0	1	6.0	0.004013693528983486	2000.0	0.24409302863222312	0.005135227661759671	0.009614287344516718	0.005620221385370307	0.0067899121305488985	1693.2855899806002	0.01027497105290757	0.005135227661759671	0.009614287344516718	0.005620221385370307	0.0067899121305488985	1693.283550154057	0.0102749741814079	3307897041	0.005135227661759671	0.009614287344516718	0.005620221385370307	0.0067899121305488985	1693.2876298071437	0.01027496793890642	5
6	TrialState.COMPLETE	0.01326600479287915	2020-01-19 19:01:24.800305	2020-01-19 20:40:58.717649	4.766381732934241	450.0	2	31.0	0.010116384568883396	900.0	0.23643523810680953	0.005135227661759671	0.01326600479287915	0.005591692342804975	0.00718931872646354	1632.8317071779072	0.01225880299183597	0.005135227661759671	0.01326600479287915	0.005591692342804975	0.00718931872646354	1632.8289398607783	0.012258805998157003	2755528968	0.005135227661759671	0.01326600479287915	0.005591692342804975	0.00718931872646354	1632.834474495036	0.012258799995559852	6
7	TrialState.COMPLETE	0.013522766175967135	2020-01-19 20:40:58.718508	2020-01-19 23:16:20.501599	1.5309344195818941	350.0	2	36.0	0.005633369749740479	1400.0	0.25900731601486976	0.005135227661759671	0.013522766175967135	0.0053349309597169915	0.007103731598767545	1795.117482597284	0.011863092166254708	0.005135227661759671	0.013522766175967135	0.0053349309597169915	0.007103731598767545	1795.1146296930276	0.011863095282977746	687995470	0.005135227661759671	0.013522766175967135	0.0053349309597169915	0.007103731598767545	1795.1203355015405	0.011863089068703935	7
8	TrialState.COMPLETE	0.006076686066415611	2020-01-19 23:16:20.502461	2020-01-20 02:47:17.358464	7.9354538640515315	150.0	1	36.0	0.0018454719178247884	2000.0	0.40508613065601634	0.005135227661759671	0.006076686066415611	0.005249343832020997	0.005449047129978318	2853.768272851763	0.0075081591368035576	0.005135227661759671	0.006076686066415611	0.005249343832020997	0.005449047129978318	2853.764321579368	0.007508162612955234	4052292809	0.005135227661759671	0.006076686066415611	0.005249343832020997	0.005449047129978318	2853.7722241241586	0.007508155677603236	8
