number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	401	451	501
0	TrialState.COMPLETE	0.24055688691087526	2020-01-19 00:41:05.528606	2020-01-19 00:59:23.593192	150.0	1.0	0.0035966986183698663	600.0	0.07973588017589504	0.06633002396439576	0.24055688691087526	0.1283450302407851	0.16884200616227318	558.4105364886454	0.12416587154226204	0.06633002396439576	0.24055688691087526	0.1283450302407851	0.16884200616227318	558.4105043934726	0.1241658822709405	0.06633002396439576	0.24055688691087526	0.1283450302407851	0.16884200616227318	558.4105685838183	0.124165861377239	0	0.25513522766175967	0.24541633382783673							
1	TrialState.COMPLETE	0.29753157945557807	2020-01-19 00:59:23.594021	2020-01-19 04:12:19.624003	450.0	51.0	0.0014681679685579032	600.0	0.14946696873086057	0.07067741114300512	0.29753157945557807	0.15498292646529552	0.21031390724988808	1058.616237194849	0.1431919744790721	0.07067741114300512	0.29753157945557807	0.15498292646529552	0.21031390724988808	1058.6155294551393	0.14319197476657003	0.07067741114300512	0.29753157945557807	0.15498292646529552	0.21031390724988808	1058.6169449345587	0.14319197419369728	1									
2	TrialState.COMPLETE	0.026348608597838313	2020-01-19 04:12:19.624790	2020-01-19 05:30:37.665136	450.0	41.0	0.012825452536847791	900.0	0.42632371008180325	0.005929965276079621	0.026348608597838313	0.011268971813305946	0.01591920575145498	3032.207181982687	0.014781181428507663	0.005929965276079621	0.026348608597838313	0.011268971813305946	0.01591920575145498	3032.2068314830212	0.014781181626678864	0.005929965276079621	0.026348608597838313	0.011268971813305946	0.01591920575145498	3032.2075324823527	0.014781181231184751	2				0.02588725322378181	0.026156377191981436				
3	TrialState.COMPLETE	0.0029242268629464797	2020-01-19 05:30:37.665931	2020-01-19 06:08:15.319822	450.0	71.0	0.08431696571112636	900.0	0.7410740488400618	0.0014763779527559055	0.0029242268629464797	0.0019257103731598767	0.0022823234052265205	5279.963432899692	0.0025465215398340186	0.0014763779527559055	0.0029242268629464797	0.0019257103731598767	0.0022823234052265205	5279.962869451101	0.0025465215776457484	0.0014763779527559055	0.0029242268629464797	0.0019257103731598767	0.0022823234052265205	5279.963996348282	0.0025465215020467665	3	0.0020540910647038686	0.002634181596865609							
4	TrialState.COMPLETE	0.004693027501997033	2020-01-19 06:08:15.320615	2020-01-19 06:33:44.545660	350.0	21.0	0.056528442540415134	500.0	0.7049562080529549	0.0033450302407851194	0.004693027501997033	0.003715907794134429	0.0039013465708090836	5024.037483595801	0.004472701907757094	0.0033450302407851194	0.004693027501997033	0.003715907794134429	0.0039013465708090836	5024.037123416638	0.004472701938705694	0.0033450302407851194	0.004693027501997033	0.003715907794134429	0.0039013465708090836	5024.037843774963	0.004472701876831049	4	0.004051124044277074	0.004479059682757047							
5	TrialState.COMPLETE	0.02652793400824897	2020-01-19 06:33:44.546441	2020-01-19 07:29:49.327492	150.0	31.0	0.0199827340721402	800.0	0.4068670994387992	0.005281948452095662	0.02652793400824897	0.010620954989321987	0.015580932818180336	2892.3729296066253	0.014550364589464623	0.005281948452095662	0.02652793400824897	0.010620954989321987	0.015580932818180336	2892.372617824946	0.014550364638099058	0.005281948452095662	0.02652793400824897	0.010620954989321987	0.015580932818180336	2892.373241388305	0.014550364540883643	5				0.02672030126668949	0.026608087032599186				
6	TrialState.COMPLETE	0.30245159572444746	2020-01-19 07:29:49.328287	2020-01-19 10:53:48.949933	250.0	81.0	0.0014490800551875981	700.0	0.13944419983168058	0.07413366807409943	0.30245159572444746	0.1595439157061889	0.21463539883601507	987.9186199551143	0.14726709159694756	0.07413366807409943	0.30245159572444746	0.1595439157061889	0.21463539883601507	987.9178648864544	0.14726709421433792	0.07413366807409943	0.30245159572444746	0.1595439157061889	0.21463539883601507	987.9193750237743	0.1472670890659186	6									
7	TrialState.COMPLETE	0.029812849480771425	2020-01-19 10:53:48.950716	2020-01-19 11:59:47.926492	50.0	41.0	0.027276457838945195	500.0	0.35025992626686364	0.003919177222412416	0.029812849480771425	0.010231227889992011	0.016033321921716307	2487.4682453925598	0.015062025271084904	0.003919177222412416	0.029812849480771425	0.010231227889992011	0.016033321921716307	2487.4679547529386	0.015062025352838734	0.003919177222412416	0.029812849480771425	0.010231227889992011	0.016033321921716307	2487.468536032181	0.015062025189454414	7					0.02916619118262391	0.029535710210136776			
8	TrialState.COMPLETE	0.02716372409970493	2020-01-19 11:59:47.927288	2020-01-19 12:56:41.646150	250.0	11.0	0.015171181738575092	1000.0	0.4034664926601313	0.006072610488906278	0.02716372409970493	0.011158931220553952	0.015951810371529644	2869.748579661238	0.015234025427337048	0.006072610488906278	0.02716372409970493	0.011158931220553952	0.015951810371529644	2869.7483860713064	0.015234025440920283	0.006072610488906278	0.02716372409970493	0.011158931220553952	0.015951810371529644	2869.7487732511695	0.015234025413762268	8				0.025636197649206893	0.026527254745330745				
9	TrialState.COMPLETE	0.021604636376974618	2020-01-19 12:56:41.647076	2020-01-19 13:51:32.582594	50.0	31.0	0.03244232944899579	1000.0	0.4109758333325342	0.00281214848143982	0.021604636376974618	0.007743597267732838	0.011908837482271237	2922.020940317243	0.01123730222886443	0.00281214848143982	0.021604636376974618	0.007743597267732838	0.011908837482271237	2922.0206305733523	0.01123730254787717	0.00281214848143982	0.021604636376974618	0.007743597267732838	0.011908837482271237	2922.0212500611337	0.011237301912518545	9				0.019873331051009926	0.020883259157822662				
10	TrialState.COMPLETE	0.005049640534063677	2020-01-19 13:51:32.583385	2020-01-19 14:30:58.096246	350.0	31.0	0.045381088351618346	900.0	0.669236289365227	0.0032808398950131233	0.005049640534063677	0.003805774278215223	0.004136711171973069	4768.857040967705	0.004700815959476953	0.0032808398950131233	0.005049640534063677	0.003805774278215223	0.004136711171973069	4768.856658678535	0.004700816007455889	0.0032808398950131233	0.005049640534063677	0.003805774278215223	0.004136711171973069	4768.857423256875	0.004700815911555616	10		0.004669253299859256	0.0049069953212370196						
11	TrialState.COMPLETE	0.0958433184982312	2020-01-19 14:30:58.097240	2020-01-19 14:51:36.180813	450.0	1.0	0.007868382973524398	700.0	0.30233092818202195	0.024848796074403743	0.0958433184982312	0.04841378523336757	0.06471813305945452	2150.6243366997605	0.050177089123064796	0.024848796074403743	0.0958433184982312	0.04841378523336757	0.06471813305945452	2150.624286773936	0.05017708962415049	0.024848796074403743	0.0958433184982312	0.04841378523336757	0.06471813305945452	2150.624386625585	0.050177088625222466	11	0.1265833618623759	0.10608999961961277							
12	TrialState.COMPLETE	0.2047630075652308	2020-01-19 14:51:36.181621	2020-01-19 17:34:52.630219	50.0	91.0	0.007940464495400866	800.0	0.1226968413622976	0.03600197353847393	0.2047630075652308	0.09064515912493036	0.13181592390465258	864.654105497043	0.09095484483434989	0.03600197353847393	0.2047630075652308	0.09064515912493036	0.13181592390465258	864.6538822992394	0.09095484729570813	0.03600197353847393	0.2047630075652308	0.09064515912493036	0.13181592390465258	864.6543286948466	0.09095484244405345	12									
13	TrialState.COMPLETE	0.003309368937578455	2020-01-19 17:34:52.631053	2020-01-19 17:58:12.814200	250.0	41.0	0.09385312427536688	500.0	0.7312913352320354	0.0018829168093118796	0.003309368937578455	0.0024321008786945112	0.0027673171288371563	5209.657726377953	0.0030235021512796294	0.0018829168093118796	0.003309368937578455	0.0024321008786945112	0.0027673171288371563	5209.657237818099	0.003023502171471638	0.0018829168093118796	0.003309368937578455	0.0024321008786945112	0.0027673171288371563	5209.658214937806	0.0030235021310941685	13	0.002881433299098482	0.0031667237247517974							
14	TrialState.COMPLETE	0.004643101677507703	2020-01-19 17:58:12.815030	2020-01-19 18:22:19.097061	450.0	11.0	0.08351611588383043	800.0	0.7882866612338751	0.0033307657195024536	0.004643101677507703	0.003808627182471756	0.004093917608125071	5621.954464081936	0.004336742987562906	0.0033307657195024536	0.004643101677507703	0.003808627182471756	0.004093917608125071	5621.954139564076	0.004336742996740369	0.0033307657195024536	0.004643101677507703	0.003808627182471756	0.004093917608125071	5621.9547885997945	0.004336742978387849	14	0.004293620906082392	0.0045266080870325996							
15	TrialState.COMPLETE	0.004700159762638366	2020-01-19 18:22:19.097836	2020-01-19 18:45:02.732849	350.0	11.0	0.08323267521786509	700.0	0.7696675269072328	0.0035162044961771083	0.004700159762638366	0.0038585530069610865	0.004093917608125071	5488.254924825973	0.004504682654394221	0.0035162044961771083	0.004700159762638366	0.0038585530069610865	0.004093917608125071	5488.254621704896	0.004504682667649378	0.0035162044961771083	0.004700159762638366	0.0038585530069610865	0.004093917608125071	5488.25522794705	0.004504682641145857	15	0.004607440374301038	0.004669253299859256							
16	TrialState.COMPLETE	0.09499393109458155	2020-01-19 18:45:02.733629	2020-01-19 20:39:54.250701	250.0	61.0	0.00808156106124912	700.0	0.24646678793152949	0.01745718050065876	0.09499393109458155	0.040075524156318404	0.058780201881879386	1746.4856965754775	0.045471528455104535	0.01745718050065876	0.09499393109458155	0.040075524156318404	0.058780201881879386	1746.485333478572	0.045471531823418725	0.01745718050065876	0.09499393109458155	0.040075524156318404	0.058780201881879386	1746.486059672383	0.04547152517999576	16							0.09364816716750986	0.09438833732739929	
