number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.09597378277153558	2020-05-14 17:08:35.867152	2020-05-14 17:14:11.687057	64	16	128	1.0326815570001786	0.0009363295880149813	0.09597378277153558	0.02902621722846442	0.04962546816479401	49.84808052434457	0.04657008716795715	0.033707865168539325	0.11095505617977527	0.04260299625468165	0.06179775280898876	48.48174157303371	0.07019481013426598		1282348270.0	200.0	0.0009363295880149813	0.0800561797752809	0.015917602996254682	0.03932584269662921	51.21441947565543	0.04016469457665414	0		COMPLETE
1	0.09925093632958802	2020-05-14 17:14:11.706178	2020-05-14 17:20:03.650995	64	28	128	1.0098004745649112	0.0028089887640449437	0.09925093632958802	0.028089887640449437	0.04868913857677903	48.68586142322097	0.048836221487100075	0.03323970037453183	0.11376404494382023	0.041666666666666664	0.06132958801498127	47.37874531835206	0.07078199646291067		4255284074.0	200.0	0.0028089887640449437	0.09035580524344569	0.016853932584269662	0.03838951310861423	49.99297752808989	0.04266092376331289	1		COMPLETE
2	0.10205992509363296	2020-05-14 17:20:03.668768	2020-05-14 18:01:28.469227	256	38	512	0.9964602953642746	0.0009363295880149813	0.10205992509363296	0.024344569288389514	0.05196629213483146	48.05290262172284	0.046481475485333754	0.05196629213483146	0.1254681647940075	0.05758426966292135	0.07443820224719101	45.62312734082397	0.08749313132534785		3185023301.0	200.0	0.0009363295880149813	0.07771535580524344	0.006554307116104869	0.025280898876404494	50.482677902621724	0.03718179123524149	2		COMPLETE
3	0.10346441947565543	2020-05-14 18:01:28.487901	2020-05-14 18:06:33.013361	128	33	512	1.0018524794607364	0.0009363295880149813	0.10346441947565543	0.02762172284644195	0.05805243445692884	48.390215355805246	0.04858535556027296	0.052434456928838954	0.12593632958801498	0.05945692883895131	0.07303370786516854	46.39700374531835	0.08810216917823832		1040349073.0	150.0	0.0009363295880149813	0.08567415730337079	0.008895131086142321	0.03136704119850187	50.383426966292134	0.039596983196307105	3		COMPLETE
4	0.10112359550561797	2020-05-14 18:06:33.031603	2020-05-14 18:54:10.801534	256	65	128	0.9951013354261925	0.0	0.10112359550561797	0.023408239700374533	0.05805243445692884	48.033941947565545	0.047027724897970705	0.05852059925093633	0.13389513108614232	0.06273408239700375	0.07911985018726592	45.53932584269663	0.09310167284764695		303160790.0	150.0	0.0	0.08146067415730338	0.003745318352059925	0.025749063670411985	50.528558052434455	0.036859791793440864	4		COMPLETE
5	0.10720973782771535	2020-05-14 18:54:10.813930	2020-05-14 19:13:11.628245	128	62	512	0.9994648365314338	0.0009363295880149813	0.10720973782771535	0.0299625468164794	0.0599250936329588	48.21348314606742	0.04930550479310126	0.054775280898876406	0.1352996254681648	0.060861423220973786	0.0749063670411985	46.2560861423221	0.0900081302605154		236346888.0	250.0	0.0009363295880149813	0.08661048689138577	0.008426966292134831	0.033707865168539325	50.17088014981273	0.03984862902987415	5		COMPLETE
6	0.10252808988764045	2020-05-14 19:13:11.650586	2020-05-14 19:29:29.025092	128	100	512	1.0080466682679101	0.0009363295880149813	0.10252808988764045	0.025749063670411985	0.05149812734082397	48.65683520599251	0.04728125973793423	0.048220973782771535	0.12359550561797752	0.05290262172284644	0.06975655430711611	46.69709737827716	0.08321548577437214		256871286.0	150.0	0.0009363295880149813	0.08661048689138577	0.009831460674157303	0.02949438202247191	50.616573033707866	0.03880415284848852	6		COMPLETE
7	0.10159176029962547	2020-05-14 19:29:29.038630	2020-05-14 19:38:26.361242	64	9	128	1.0088488258428396	0.0018726591760299626	0.10159176029962547	0.027153558052434457	0.04962546816479401	48.703183520599254	0.04874978063195047	0.03136704119850187	0.12078651685393259	0.039794007490636704	0.06413857677902622	47.36610486891386	0.07004646700202971		3683385389.0	300.0	0.0018726591760299626	0.09035580524344569	0.01638576779026217	0.040262172284644196	50.04026217228464	0.04249659752322389	7		COMPLETE
8	0.10205992509363296	2020-05-14 19:38:26.372023	2020-05-14 19:42:48.999588	64	40	512	1.0203234064758997	0.0014044943820224719	0.10205992509363296	0.02902621722846442	0.05664794007490637	49.23642322097378	0.048626336739142545	0.040262172284644196	0.11470037453183521	0.050093632958801496	0.0702247191011236	47.86189138576779	0.07658744301975244		1050973007.0	250.0	0.0014044943820224719	0.09082397003745318	0.015917602996254682	0.04073033707865169	50.610955056179776	0.04145695553181921	8		COMPLETE
9	0.09691011235955056	2020-05-14 19:42:49.012245	2020-05-14 20:10:26.675158	128	80	512	0.9976669272298014	0.00046816479400749064	0.09691011235955056	0.025280898876404494	0.05102996254681648	48.1622191011236	0.04654899361952028	0.04588014981273408	0.12593632958801498	0.04962546816479401	0.06601123595505617	46.15683520599251	0.08164081377070456		1498029538.0	250.0	0.00046816479400749064	0.08099250936329588	0.006554307116104869	0.02855805243445693	50.16760299625468	0.0381424461036177	9		COMPLETE
