number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	401	451	501	551	601
0	TrialState.COMPLETE	0.349354434517324	2020-01-01 18:35:04.003294	2020-01-01 22:49:28.708938	250.0	11.0	0.006915800585318426	600.0	0.09312585623227819	0.14122085421660494	0.349354434517324	0.2332752233602092	0.2813249073872303	1887.370287644367	0.21089894193809258	0.14122085421660494	0.349354434517324	0.2332752233602092	0.2813249073872303	1887.369988014818	0.21089894601087505	0.14122085421660494	0.349354434517324	0.2332752233602092	0.2813249073872303	1887.3705872739158	0.21089893796069994	0									
1	TrialState.COMPLETE	0.40820440183046414	2020-01-01 22:49:28.709663	2020-01-02 04:38:25.363838	350.0	71.0	0.008923117640129562	2000.0	0.08123431716519425	0.17422096317280453	0.40820440183046414	0.2821420788842885	0.3355714752669427	1646.3163134669862	0.25277904682061153	0.17422096317280453	0.40820440183046414	0.2821420788842885	0.3355714752669427	1646.3159865983876	0.25277904696336423	0.17422096317280453	0.40820440183046414	0.2821420788842885	0.3355714752669427	1646.3166403355851	0.25277904667834605	1							0.4068696883852691	0.4075926581680831	
2	TrialState.COMPLETE	0.08057558588720062	2020-01-02 04:38:25.364657	2020-01-02 09:24:19.583634	350.0	71.0	0.026568583016985486	600.0	0.21838089003070046	0.026203966005665724	0.08057558588720062	0.04619495235642544	0.05903940252382179	4426.206654004635	0.04599454313401617	0.026203966005665724	0.08057558588720062	0.04619495235642544	0.05903940252382179	4426.205495106876	0.045994548444732504	0.026203966005665724	0.08057558588720062	0.04619495235642544	0.05903940252382179	4426.207812902395	0.04599453788580024	2					0.07998898331759521	0.08031161473087818			
3	TrialState.COMPLETE	0.017203729933899906	2020-01-02 09:24:19.584365	2020-01-02 10:46:01.969604	150.0	81.0	0.05862589177922209	600.0	0.5761550427162025	0.003747639282341832	0.017203729933899906	0.007760859301227573	0.011213408876298394	11678.634029745042	0.008939452084409785	0.003747639282341832	0.017203729933899906	0.007760859301227573	0.011213408876298394	11678.631314919736	0.008939452234352465	0.003747639282341832	0.017203729933899906	0.007760859301227573	0.011213408876298394	11678.636744570349	0.0089394519346198	3			0.017484065155807367	0.01731586402266289					
4	TrialState.COMPLETE	0.18565568932955617	2020-01-02 10:46:01.970432	2020-01-02 13:12:13.533421	50.0	11.0	0.024040727992797477	1000.0	0.11657909677837613	0.05962287535410765	0.18565568932955617	0.10798807837582625	0.13844133616619453	2362.804702254485	0.10281879230253191	0.05962287535410765	0.18565568932955617	0.10798807837582625	0.13844133616619453	2362.8042374881966	0.10281885146815502	0.05962287535410765	0.18565568932955617	0.10798807837582625	0.13844133616619453	2362.805167020774	0.10281873724260174	4						0.18433073654390936	0.1850534380633531		
5	TrialState.COMPLETE	0.004736189801699717	2020-01-02 13:12:13.534328	2020-01-02 13:46:54.346303	150.0	1.0	0.03170750798031324	2000.0	0.7777783925578725	0.0010623229461756375	0.004736189801699717	0.0018148016997167138	0.002700070821529745	15764.984131550991	0.0027914046042941507	0.0010623229461756375	0.004736189801699717	0.0018148016997167138	0.002700070821529745	15764.98132082153	0.002791404841068853	0.0010623229461756375	0.004736189801699717	0.0018148016997167138	0.002700070821529745	15764.986942280453	0.002791404367859061	5	0.004514872521246459	0.004662417374881964							
6	TrialState.COMPLETE	0.28123735329825983	2020-01-02 13:46:54.347090	2020-01-02 16:42:06.573451	50.0	11.0	0.017258261631774508	1500.0	0.09888408033327714	0.10620700121408337	0.28123735329825983	0.18007638607851073	0.22084935248887091	2004.0879641339538	0.1652895717975504	0.10620700121408337	0.28123735329825983	0.18007638607851073	0.22084935248887091	2004.0876289963578	0.1652895719815587	0.10620700121408337	0.28123735329825983	0.18007638607851073	0.22084935248887091	2004.0882992715499	0.16528957161404256	6								0.2791253541076487	0.2802625844410547
7	TrialState.COMPLETE	0.003186968838526912	2020-01-02 16:42:06.574210	2020-01-02 17:17:10.889307	150.0	11.0	0.08839290998401882	1400.0	0.779023271050725	0.0006196883852691218	0.003186968838526912	0.0016377478753541077	0.002213172804532578	15790.431015403683	0.0021911421996524435	0.0006196883852691218	0.003186968838526912	0.0016377478753541077	0.002213172804532578	15790.42878009915	0.002191142479888057	0.0006196883852691218	0.003186968838526912	0.0016377478753541077	0.002213172804532578	15790.433250708214	0.002191141919813114	7	0.003895184135977337	0.0034230406043437205							
8	TrialState.COMPLETE	0.3579269526507487	2020-01-02 17:17:10.890005	2020-01-02 21:20:18.364600	150.0	81.0	0.01685418635616418	800.0	0.08405290371400007	0.14590499797652773	0.3579269526507487	0.24024939295831646	0.28794010522055846	1703.4958265884256	0.21705252036804046	0.14590499797652773	0.3579269526507487	0.24024939295831646	0.28794010522055846	1703.4953713071632	0.2170525205011327	0.14590499797652773	0.3579269526507487	0.24024939295831646	0.28794010522055846	1703.4962818696883	0.21705252023521016	8								0.3582979225684608	0.3580981695358466
