number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.0003541076487252125	2020-05-09 23:14:46.187446	2020-05-09 23:44:06.869657	16	0.22123792880666643	512	27	0.08738982774895951	512	1.0052845412243276	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.0003541076487252125	20380.442191926344	0.0004245866688342209	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.0003541076487252125	20380.4382082153	0.00042458668578957895		1241714766.0	150.0	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.0003541076487252125	20380.446175637393	0.0004245866518804305	0		COMPLETE
1	0.3723441926345609	2020-05-09 23:44:06.918329	2020-05-10 00:33:09.893839	64	0.19502158960729998	64	29	0.006573066127479868	256	0.39467125885965987	0.25672804532577903	0.3723441926345609	0.3387039660056657	0.35694050991501414	7998.686526203966	0.3020715867457735	0.25672804532577903	0.3723441926345609	0.3387039660056657	0.35694050991501414	7998.68626062323	0.3020715867533441		3353016343.0	300.0	0.25672804532577903	0.3723441926345609	0.3387039660056657	0.35694050991501414	7998.686791784702	0.30207158673820483	1		COMPLETE
2	0.3888101983002833	2020-05-10 00:33:09.950522	2020-05-10 01:23:21.161041	128	0.33427186009022253	32	45	0.031804910018235016	128	0.3893669667231135	0.12393767705382436	0.3888101983002833	0.3813739376770538	0.38562322946175637	7891.523016997167	0.26923919125881823	0.22609773371104816	0.3888101983002833	0.3815509915014164	0.38562322946175637	7891.468838526912	0.30379672545904146		4133089245.0	200.0	0.12393767705382436	0.3888101983002833	0.3813739376770538	0.38562322946175637	7891.577195467422	0.252111762953772	2		COMPLETE
3	0.0008852691218130312	2020-05-10 01:23:21.218532	2020-05-10 02:25:07.985753	128	0.1441404202133215	128	25	0.0769704778668888	128	1.0166396251787215	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	20610.611898016996	0.000917238320660575	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	20610.597379603398	0.000917239067585635		3635432830.0	150.0	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	20610.626416430594	0.0009172375749077724	3		COMPLETE
4	0.3668555240793201	2020-05-10 02:25:08.020238	2020-05-10 03:21:44.176256	128	0.200312066658331	64	41	0.0188152490576239	512	0.44413051595653713	0.24769830028328613	0.3668555240793201	0.34791076487252126	0.35640934844192634	9001.98822592068	0.30058899405178696	0.24769830028328613	0.3668555240793201	0.34791076487252126	0.35640934844192634	9001.987606232295	0.30058899405543577		1206083926.0	200.0	0.24769830028328613	0.3668555240793201	0.34791076487252126	0.35640934844192634	9001.988845609065	0.30058899404813855	4		COMPLETE
5	0.40439093484419264	2020-05-10 03:21:44.211230	2020-05-10 04:07:58.469500	32	0.2955477191165606	32	25	0.003047441112233229	128	0.30752752838141983	0.26026912181303113	0.40439093484419264	0.37659348441926344	0.39128895184135976	6232.225832152974	0.32270244963017203	0.26026912181303113	0.40439093484419264	0.37659348441926344	0.39128895184135976	6232.225389518414	0.3227024500714141		1874709460.0	350.0	0.26026912181303113	0.40439093484419264	0.37659348441926344	0.39128895184135976	6232.226274787536	0.322702449189821	5		COMPLETE
6	0.3923512747875354	2020-05-10 04:07:58.519461	2020-05-10 04:23:08.133501	64	0.49558931165972386	16	9	0.015580270492779338	512	0.28982564293880486	0.03328611898016997	0.3923512747875354	0.30187677053824363	0.3530453257790368	5874.090474504249	0.1761296710043845	0.03328611898016997	0.3923512747875354	0.30187677053824363	0.3530453257790368	5874.089766288952	0.1761296710480364		4294161267.0	300.0	0.03328611898016997	0.3923512747875354	0.30187677053824363	0.3530453257790368	5874.091182719547	0.17612967096075308	6		COMPLETE
7	0.000708215297450425	2020-05-10 04:23:08.170506	2020-05-10 05:18:43.479357	128	0.421994725464612	256	15	0.04103725487029204	512	0.9905177492930007	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20080.821883852692	0.0009744678392592839	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20080.812322946174	0.0009744679672524438		2895891432.0	150.0	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20080.831444759206	0.0009744677113087196	7		COMPLETE
8	0.39624645892351273	2020-05-10 05:18:43.515942	2020-05-10 06:01:52.829363	16	0.380890982750117	64	45	0.008975157839815949	512	0.2142754547319476	0.23194050991501416	0.39624645892351273	0.36791784702549574	0.38544617563739375	4342.562234419263	0.3030776576153504	0.23194050991501416	0.39624645892351273	0.36791784702549574	0.38544617563739375	4342.5621458923515	0.3030776576154853		3133868654.0	450.0	0.23194050991501416	0.39624645892351273	0.36791784702549574	0.38544617563739375	4342.562322946175	0.30307765761521555	8		COMPLETE
9	0.0003541076487252125	2020-05-10 06:01:52.864602	2020-05-10 06:26:15.370741	32	0.2730753364217677	512	2	0.06764917000046741	256	0.999138547985317	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20255.632524787536	0.00029439469456615634	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20255.62588526912	0.000294394805099069		1931576689.0	150.0	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20255.63916430595	0.0002943945840963356	9		COMPLETE
10	0.3581798866855524	2020-05-10 06:26:15.407414	2020-05-10 06:45:12.357194	16	0.46976436651144443	64	40	0.020216172169915857	256	0.31131333472749234	0.1361543909348442	0.3581798866855524	0.24610481586402266	0.3013456090651558	6309.621635977337	0.20816780329970197	0.1361543909348442	0.3581798866855524	0.24610481586402266	0.3013456090651558	6309.621458923512	0.20816780330633222		61822119.0	200.0	0.1361543909348442	0.3581798866855524	0.24610481586402266	0.3013456090651558	6309.621813031162	0.2081678032930732	10		COMPLETE
