number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	601	651	801	851	901	951	1001
0	TrialState.COMPLETE	0.11310198300283286	2019-12-27 20:26:00.407509	2019-12-27 20:56:57.599971	50.0	2	21.0	0.001609857536443286	1500.0	0.4217143922192891	0.02103399433427762	0.11310198300283286	0.04879603399433428	0.07168909348441926	8546.943873937676	0.051607385536178337	0.02103399433427762	0.11310198300283286	0.04879603399433428	0.07168909348441926	8546.939695467421	0.051607411038278296	0.02103399433427762	0.11310198300283286	0.04879603399433428	0.07168909348441926	8546.948052407932	0.051607360967448966	0							0.11216359773371105	0.11268492288322317									
1	TrialState.COMPLETE	0.07313932526397116	2019-12-27 20:56:57.600752	2019-12-27 21:32:36.615105	50.0	2	61.0	0.00635716020956281	1400.0	0.47547533271419684	0.015178341488539788	0.07313932526397116	0.03533028586144733	0.050074040690188	9636.444566057173	0.035613366787776345	0.015178341488539788	0.07313932526397116	0.03533028586144733	0.050074040690188	9636.4382243111	0.03561339118467844	0.015178341488539788	0.07313932526397116	0.03533028586144733	0.050074040690188	9636.450907803244	0.03561334296539256	1								0.07133301857097891	0.07232648725212465								
2	TrialState.COMPLETE	0.042979815864022664	2019-12-27 21:32:36.615944	2019-12-27 21:42:23.917904	350.0	1	21.0	0.041491084677786956	1900.0	1.1228908153521606	0.000708215297450425	0.042979815864022664	0.036074716713881017	0.03961579320113314	22765.328545502834	0.01945351076586718	0.000708215297450425	0.042979815864022664	0.036074716713881017	0.03961579320113314	22765.31816572238	0.019453510931739096	0.000708215297450425	0.042979815864022664	0.036074716713881017	0.03961579320113314	22765.338925283286	0.01945351060015841	2	0.0425814447592068	0.04284702549575071															
3	TrialState.COMPLETE	0.04827131084213237	2019-12-27 21:42:23.919194	2019-12-27 22:18:11.405224	50.0	2	81.0	0.001105113449302357	600.0	0.538371615586848	0.010832474890548545	0.04827131084213237	0.023950553695596188	0.03347926860674736	10911.496072624259	0.024566113456298243	0.010832474890548545	0.04827131084213237	0.023950553695596188	0.03347926860674736	10911.483727143961	0.024566604868175686	0.010832474890548545	0.04827131084213237	0.023950553695596188	0.03347926860674736	10911.508418104559	0.02456571275133841	3								0.047273371104815866	0.04782223796033994								
4	TrialState.COMPLETE	0.0327106940509915	2019-12-27 22:18:11.406236	2019-12-27 22:26:55.593486	250.0	1	61.0	0.0192981936293331	1100.0	1.0514762246666944	0.000708215297450425	0.0327106940509915	0.025097379603399434	0.028771246458923514	21316.570755134562	0.014439927303353705	0.000708215297450425	0.0327106940509915	0.025097379603399434	0.028771246458923514	21316.558073654393	0.014439927614702953	0.000708215297450425	0.0327106940509915	0.025097379603399434	0.028771246458923514	21316.583436614732	0.014439926992228763	4	0.03036473087818697	0.03192870632672332															
5	TrialState.COMPLETE	0.03988137393767705	2019-12-27 22:26:55.594511	2019-12-27 22:38:01.154874	450.0	1	21.0	0.017447136922224202	1600.0	1.0889734603027792	0.000708215297450425	0.03988137393767705	0.030851628895184138	0.03523371104815864	22077.187654922098	0.017103991067267236	0.000708215297450425	0.03988137393767705	0.030851628895184138	0.03523371104815864	22077.176699716714	0.017103991453174865	0.000708215297450425	0.03988137393767705	0.030851628895184138	0.03523371104815864	22077.198610127478	0.01710399068210172	5	0.03833215297450425	0.039364966949952784															
6	TrialState.COMPLETE	0.01938739376770538	2019-12-27 22:38:01.155872	2019-12-27 22:46:52.719135	250.0	2	51.0	0.08163331709427162	600.0	0.8945493212081115	0.00424929178470255	0.01938739376770538	0.009516643059490085	0.012172450424929178	18134.59366147309	0.009860437080182976	0.00424929178470255	0.01938739376770538	0.009516643059490085	0.012172450424929178	18134.57803647309	0.009860437209317022	0.00424929178470255	0.01938739376770538	0.009516643059490085	0.012172450424929178	18134.60928647309	0.00986043695109196	6	0.022839943342776205	0.020538243626062325															
7	TrialState.COMPLETE	0.0964943342776204	2019-12-27 22:46:52.719992	2019-12-27 22:56:40.177526	450.0	2	1.0	0.008341905536478194	1300.0	0.3748431271484058	0.0009295325779036828	0.0964943342776204	0.05223087818696884	0.07214943342776203	7598.9953523371105	0.036176568917355975	0.0009295325779036828	0.0964943342776204	0.05223087818696884	0.07214943342776203	7598.991191572238	0.036176569079400575	0.0009295325779036828	0.0964943342776204	0.05223087818696884	0.07214943342776203	7598.999513101983	0.03617656875540089	7	0.11561614730878186	0.10286827195467423															
8	TrialState.COMPLETE	0.031055240793201135	2019-12-27 22:56:40.178552	2019-12-27 23:09:52.884985	250.0	2	41.0	0.012271601072063348	1500.0	0.6864426533271865	0.006373937677053824	0.031055240793201135	0.01529745042492918	0.020927762039660056	13915.331373937677	0.015253788734899298	0.006373937677053824	0.031055240793201135	0.01529745042492918	0.020927762039660056	13915.31983002833	0.015253796239036114	0.006373937677053824	0.031055240793201135	0.01529745042492918	0.020927762039660056	13915.342917847025	0.015253781368884008	8		0.0312204910292729	0.031117209631728045														
