number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	451	501	551	601	651	751	801	851	901	951	1001	1051	1101	1151	1201	1251	1301	1351	1451	1501
0	TrialState.COMPLETE	0.3539788823074942	2020-01-03 13:25:21.612768	2020-01-03 14:09:48.414124	4.283724229475119	150.0	2	16.0	0.009891625581452986	1600.0	0.3392680462144132	0.000708215297450425	0.3539788823074942	0.21899948493432914	0.2930562709245429	6876.796967550863	0.126061511897674	0.000708215297450425	0.3539788823074942	0.21899948493432914	0.2930562709245429	6876.792959696111	0.12606151331081025	0.000708215297450425	0.3539788823074942	0.21899948493432914	0.2930562709245429	6876.800975405614	0.12606151049442105	0										0.35214235127478755	0.35310434372049104									
1	TrialState.COMPLETE	0.373819641170916	2020-01-03 14:09:48.415984	2020-01-03 14:45:24.729939	4.195443265497968	350.0	1	36.0	0.027872827225747788	1700.0	0.3259140465588664	0.000708215297450425	0.373819641170916	0.23393531633616618	0.31140226628895185	6605.575531161473	0.13267288961492318	0.000708215297450425	0.373819641170916	0.23393531633616618	0.31140226628895185	6605.5714825306895	0.13267289105173602	0.000708215297450425	0.373819641170916	0.23393531633616618	0.31140226628895185	6605.5795797922565	0.13267288818869227	1				0.3721671388101983	0.37305240793201133															
2	TrialState.COMPLETE	0.3680487128956768	2020-01-03 14:45:24.730870	2020-01-03 15:41:25.049403	7.691702674519913	350.0	2	36.0	0.005571634038352366	1300.0	0.34352428858744816	0.000708215297450425	0.3680487128956768	0.23104754280083753	0.3077349427269368	6962.583095978569	0.13109112266676742	0.000708215297450425	0.3680487128956768	0.23104754280083753	0.3077349427269368	6962.577880588742	0.13109113069093617	0.000708215297450425	0.3680487128956768	0.23104754280083753	0.3077349427269368	6962.588311368395	0.131091114911995	2											0.3664423984891407	0.36728206283801185								
3	TrialState.COMPLETE	0.36869415994770105	2020-01-03 15:41:25.051247	2020-01-03 16:39:04.144423	6.392183869683834	250.0	2	41.0	0.003934310912492463	1900.0	0.3348574988166844	0.000708215297450425	0.36869415994770105	0.23650986053606451	0.3132695031597298	6786.923039469383	0.13200767926696846	0.000708215297450425	0.36869415994770105	0.23650986053606451	0.3132695031597298	6786.918330518632	0.1320076827189952	0.000708215297450425	0.36869415994770105	0.23650986053606451	0.3132695031597298	6786.927748420135	0.13200767586447687	3														0.36692929650613787	0.3678470254957507					
4	TrialState.COMPLETE	0.3660145184135977	2020-01-03 16:39:04.145996	2020-01-03 17:28:11.904343	8.546375754799534	150.0	2	36.0	0.0036525546325667482	1600.0	0.35160471359310785	0.000708215297450425	0.3660145184135977	0.23983415958451368	0.3167050283286119	7126.685799545562	0.13189637872391857	0.000708215297450425	0.3660145184135977	0.23983415958451368	0.3167050283286119	7126.681148194051	0.13189639783022697	0.000708215297450425	0.3660145184135977	0.23983415958451368	0.3167050283286119	7126.690450897073	0.13189636055970125	4												0.36453772856039146	0.3653082276142382							
5	TrialState.COMPLETE	0.3571618271954674	2020-01-03 17:28:11.905431	2020-01-03 18:37:08.792863	8.30200415924909	150.0	1	41.0	0.0014330085787090756	1600.0	0.3958117877136085	0.000708215297450425	0.3571618271954674	0.23730192103399433	0.3105690067280453	8021.974069914128	0.12885023045538274	0.000708215297450425	0.3571618271954674	0.23730192103399433	0.3105690067280453	8021.970000442635	0.1288502314806803	0.000708215297450425	0.3571618271954674	0.23730192103399433	0.3105690067280453	8021.978139385623	0.12885022943640606	5																			0.35546506137865913	0.35634081147765695
6	TrialState.COMPLETE	0.3472570276748747	2020-01-03 18:37:08.793718	2020-01-03 19:05:59.248781	9.272270441658813	250.0	1	31.0	0.005277884529217949	600.0	0.3731515258667081	0.000708215297450425	0.3472570276748747	0.22552571366310742	0.2968375463063848	7562.979815864022	0.12451780250265326	0.000708215297450425	0.3472570276748747	0.22552571366310742	0.2968375463063848	7562.975443996514	0.12451780329915973	0.000708215297450425	0.3472570276748747	0.22552571366310742	0.2968375463063848	7562.984187731532	0.12451780170892661	6																				
7	TrialState.COMPLETE	0.33390268288618563	2020-01-03 19:05:59.249894	2020-01-03 19:39:54.387117	8.356977265321037	50.0	2	21.0	0.012974724678631614	800.0	0.30152599820385356	0.000708215297450425	0.33390268288618563	0.20383061156473922	0.2732669555074154	6111.609434885852	0.1184755593178024	0.000708215297450425	0.33390268288618563	0.20383061156473922	0.2732669555074154	6111.606794700883	0.11847584893285085	0.000708215297450425	0.33390268288618563	0.20383061156473922	0.2732669555074154	6111.612075070821	0.11847532756418287	7																				
8	TrialState.COMPLETE	0.3704187322946176	2020-01-03 19:39:54.388193	2020-01-03 20:39:50.909755	8.055707107428681	350.0	2	31.0	0.0012680455846810156	1700.0	0.38036673029752643	0.000708215297450425	0.3704187322946176	0.255547686496695	0.3290176463644948	7709.561695880548	0.13581354909933008	0.000708215297450425	0.3704187322946176	0.255547686496695	0.3290176463644948	7709.5533005783755	0.135813570232307	0.000708215297450425	0.3704187322946176	0.255547686496695	0.3290176463644948	7709.57009118272	0.13581352921181059	8												0.368601918619624	0.36954982140657716							
