number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	501	551	601	651	701
0	TrialState.COMPLETE	0.0018590651558073655	2020-01-02 12:51:18.086015	2020-01-02 13:32:19.127025	450.0	450.0	81.0	0.042829724898976226	500.0	1.004900436689187	0.0009295325779036828	0.0018590651558073655	0.0013279036827195468	0.0015049575070821529	20372.78881905099	0.001545385774801216	0.0009295325779036828	0.0018590651558073655	0.0013279036827195468	0.0015049575070821529	20358.983224150143	0.0015455867557278413	0.0009295325779036828	0.0018590651558073655	0.0013279036827195468	0.0015049575070821529	20386.59441395184	0.0015451866800694554	0	0.0035410764872521247	0.002419735599622285											
1	TrialState.COMPLETE	0.000708215297450425	2020-01-02 13:32:19.127843	2020-01-02 13:59:20.237065	350.0	50.0	31.0	0.05489744283822702	500.0	0.9952740025110111	8.852691218130312e-05	0.000708215297450425	0.0002213172804532578	0.000398371104815864	20177.54871193343	0.0005196655303267033	8.852691218130312e-05	0.000708215297450425	0.0002213172804532578	0.000398371104815864	20169.762659348442	0.000519737421989502	8.852691218130312e-05	0.000708215297450425	0.0002213172804532578	0.000398371104815864	20185.334764518415	0.0005195939391255074	1	0.0010623229461756375	0.0008262511803588291											
2	TrialState.COMPLETE	0.29648253068932956	2020-01-02 13:59:20.238679	2020-01-02 16:49:35.959362	350.0	50.0	41.0	0.0012259017893717944	800.0	0.1894395800382568	0.03375826251180359	0.29648253068932956	0.1559844192634561	0.21859065155807367	3840.208811378659	0.12072230386108668	0.03375826251180359	0.29648253068932956	0.1559844192634561	0.21859065155807367	3840.2069759206797	0.12072230920043915	0.03375826251180359	0.29648253068932956	0.1559844192634561	0.21859065155807367	3840.2106468366383	0.12072229861392142	2											0.2951078666376117	0.29584429380817484	
3	TrialState.COMPLETE	0.33657932011331443	2020-01-02 16:49:35.960318	2020-01-02 20:12:24.168695	450.0	150.0	11.0	0.003231007828389755	800.0	0.11682255956850614	0.027000708215297452	0.33657932011331443	0.17003806657223797	0.24318342776203966	2367.825629647663	0.12888491626103826	0.027000708215297452	0.33657932011331443	0.17003806657223797	0.24318342776203966	2367.8245507259207	0.1288849267758804	0.027000708215297452	0.33657932011331443	0.17003806657223797	0.24318342776203966	2367.826708569405	0.12888490603537747	3												0.3354158235532173	0.3360363550519358
4	TrialState.COMPLETE	0.06334985835694051	2020-01-02 20:12:24.169483	2020-01-02 20:43:45.792421	150.0	250.0	41.0	0.01896313524488234	900.0	0.5865686323872591	0.0030099150141643057	0.06334985835694051	0.040828611898016995	0.05003541076487252	11891.818449008499	0.026832634140237375	0.0030099150141643057	0.06334985835694051	0.040828611898016995	0.05003541076487252	11891.811154390934	0.02683263623793116	0.0030099150141643057	0.06334985835694051	0.040828611898016995	0.05003541076487252	11891.825743626063	0.02683263205098476	4		0.0623819641170916	0.06298689801699717										
5	TrialState.COMPLETE	0.21548812377424276	2020-01-02 20:43:45.793472	2020-01-02 23:26:06.170727	350.0	150.0	91.0	0.0035563427207438536	600.0	0.29829919950119427	0.048539986925256046	0.21548812377424276	0.12220799738505121	0.16027456962301154	6047.769326105906	0.10450652051873005	0.048539986925256046	0.21548812377424276	0.12220799738505121	0.16027456962301154	6047.766261712792	0.1045065239823231	0.048539986925256046	0.21548812377424276	0.12220799738505121	0.16027456962301154	6047.77239049902	0.10450651710996849	5									0.21497553438063352	0.21525318696883852			
6	TrialState.COMPLETE	0.1479284702549575	2020-01-02 23:26:06.171755	2020-01-02 23:53:26.806204	450.0	450.0	1.0	0.005163084111779786	1000.0	0.3392682364309558	0.0015049575070821529	0.1479284702549575	0.08126770538243626	0.11141111898016998	6877.318873937677	0.054481057492094066	0.0015049575070821529	0.1479284702549575	0.08126770538243626	0.11141111898016998	6877.312809844193	0.054481057975656916	0.0015049575070821529	0.1479284702549575	0.08126770538243626	0.11141111898016998	6877.324938031162	0.05448105700923432	6	0.18626062322946177	0.16070585457979225											
7	TrialState.COMPLETE	0.3584454674220963	2020-01-02 23:53:26.806995	2020-01-03 01:21:03.252578	150.0	250.0	61.0	0.002094793296407879	700.0	0.19513968829042616	0.036189801699716716	0.3584454674220963	0.21579320113314449	0.2833038243626062	3955.5071706798867	0.1498797155953477	0.036189801699716716	0.3584454674220963	0.21579320113314449	0.2833038243626062	3955.504231586402	0.1498797165038289	0.036189801699716716	0.3584454674220963	0.21579320113314449	0.2833038243626062	3955.510109773371	0.14987971469117148	7							0.3568741147308782	0.3577470884482216					
8	TrialState.COMPLETE	0.08013898725212465	2020-01-03 01:21:03.253604	2020-01-03 02:49:11.351565	450.0	50.0	21.0	0.00739717252540999	900.0	0.4588135383023483	0.005488668555240793	0.08013898725212465	0.030231940509915015	0.048667669971671386	9301.242453080737	0.030098237256856716	0.005488668555240793	0.08013898725212465	0.030231940509915015	0.048667669971671386	9301.239642351275	0.030098238299959744	0.005488668555240793	0.08013898725212465	0.030231940509915015	0.048667669971671386	9301.245263810199	0.030098236219078294	8					0.0798807837582625	0.08002832861189801							
