number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.005420518087412987	2020-03-05 15:08:04.695379	2020-03-05 15:35:50.218785	0.7847393319766609	14.470614544355904	64	64	77	0.019460366920995616	256	1.4313361408287846	0.005078169576629008	0.005420518087412987	0.005135227661759671	0.005192285746890335	10253.763850850166	0.00541030499290551	0.005078169576629008	0.005420518087412987	0.005135227661759671	0.005192285746890335	10253.761868081707	0.005410305029443207	1218748477	150	0.005078169576629008	0.005420518087412987	0.005135227661759671	0.005192285746890335	10253.765833618623	0.005410304956376073	0	COMPLETE
1	0.0055346342576743125	2020-03-05 15:35:50.268884	2020-03-05 16:27:24.268308	0.39744591005746016	12.649979786220783	256	128	38	0.016731949646486097	128	1.382832323861264	0.005078169576629008	0.0055346342576743125	0.005220814789455666	0.005220814789455666	9918.445880406254	0.005432022550206131	0.005078169576629008	0.0055346342576743125	0.005220814789455666	0.005220814789455666	9918.443198676252	0.00543202265390707	1734743148	150	0.005078169576629008	0.0055346342576743125	0.005220814789455666	0.005220814789455666	9918.448562136255	0.005432022446564894	1	COMPLETE
2	0.0053349309597169915	2020-03-05 16:27:24.318974	2020-03-05 16:54:52.841654	0.7464683521030786	28.213093699741147	128	128	17	0.003360610473542447	256	1.2539354554770414	0.005135227661759671	0.0053349309597169915	0.005220814789455666	0.005220814789455666	8987.180731484652	0.00555605726290681	0.005135227661759671	0.0053349309597169915	0.005220814789455666	0.005220814789455666	8987.177678877097	0.005556057420039892	1206375246	150	0.005135227661759671	0.0053349309597169915	0.005220814789455666	0.005220814789455666	8987.183784092205	0.005556057105853485	2	COMPLETE
3	0.00567727947050097	2020-03-05 16:54:52.875363	2020-03-05 17:45:19.295065	0.12311496922383375	4.525837238484125	128	64	25	0.0013804358584993284	128	1.1397538449091624	0.004678762980714367	0.00567727947050097	0.005277872874586329	0.005420518087412987	8159.127268058884	0.0054392815252917595	0.004678762980714367	0.00567727947050097	0.005277872874586329	0.005420518087412987	8159.125442200159	0.005439281727518478	2356391825	150	0.004678762980714367	0.00567727947050097	0.005277872874586329	0.005420518087412987	8159.129093917608	0.005439281323248137	3	COMPLETE
4	0.005563163300239644	2020-03-05 17:45:19.345153	2020-03-05 18:01:55.603009	0.45557635172338523	13.601005528323057	256	256	3	0.002824731768609535	512	1.1865712066695633	0.005135227661759671	0.005563163300239644	0.0053349309597169915	0.0053349309597169915	8495.602747346798	0.0056402160609652805	0.005135227661759671	0.005563163300239644	0.0053349309597169915	0.0053349309597169915	8495.597826086956	0.005640217869286509	3162362391	150	0.005135227661759671	0.005563163300239644	0.0053349309597169915	0.0053349309597169915	8495.60766860664	0.005640214267865051	4	COMPLETE
5	0.0055346342576743125	2020-03-05 18:01:55.639807	2020-03-05 18:17:59.754133	0.9367268982337766	23.133599350364143	64	128	12	0.006730606275835988	512	1.1906650370625629	0.005135227661759671	0.0055346342576743125	0.005163756704325003	0.005277872874586329	8526.531809882461	0.0055801874128681055	0.005135227661759671	0.0055346342576743125	0.005163756704325003	0.005277872874586329	8526.528928449161	0.005580187842262335	2296471742	150	0.005135227661759671	0.0055346342576743125	0.005163756704325003	0.005277872874586329	8526.53469131576	0.005580186984260412	5	COMPLETE
6	0.0056487504279356384	2020-03-05 18:17:59.788735	2020-03-05 18:46:41.704124	0.9838143135264055	28.29083641162778	256	128	51	0.0011914785104394682	256	1.194809890034704	0.005135227661759671	0.0056487504279356384	0.005306401917151661	0.005363460002282323	8556.096670660732	0.005647875798703826	0.005135227661759671	0.0056487504279356384	0.005306401917151661	0.005363460002282323	8556.09443113089	0.005647875935239538	1159440267	150	0.005135227661759671	0.0056487504279356384	0.005306401917151661	0.005363460002282323	8556.098910190574	0.005647875662230059	6	COMPLETE
7	0.10866712313134771	2020-03-05 18:46:41.741423	2020-03-05 20:25:14.946531	0.9964350278030589	2.4673908176329142	64	64	44	0.06372079608615094	128	0.22234677748574122	0.0151203925596257	0.10866712313134771	0.05126668948990072	0.07217847769028872	1570.9656938263151	0.048090657903108916	0.0151203925596257	0.10866712313134771	0.05126668948990072	0.07217847769028872	1570.9647951614743	0.048090660841802996	330210141	250	0.0151203925596257	0.10866712313134771	0.05126668948990072	0.07217847769028872	1570.966592491156	0.04809065498545755	7	COMPLETE
8	0.005391989044847655	2020-03-05 20:25:15.000226	2020-03-05 21:16:58.823004	0.8940807684784218	14.419995281711266	128	256	92	0.01771882091932578	128	1.5057753348237908	0.00510669861919434	0.005391989044847655	0.005163756704325003	0.005249343832020997	10812.25199703298	0.00540838326277229	0.00510669861919434	0.005391989044847655	0.005163756704325003	0.005249343832020997	10812.248487960744	0.0054083834415556975	1538259149	150	0.00510669861919434	0.005391989044847655	0.005163756704325003	0.005249343832020997	10812.255506105215	0.005408383084168229	8	COMPLETE
9	0.0053349309597169915	2020-03-05 21:16:58.859695	2020-03-05 21:44:36.791835	0.23969510037567018	5.000409977305367	64	128	36	0.01566172119062427	256	1.259085459708659	0.005135227661759671	0.0053349309597169915	0.005163756704325003	0.005192285746890335	9023.343104530411	0.005487752716892473	0.005135227661759671	0.0053349309597169915	0.005163756704325003	0.005192285746890335	9023.340009129293	0.005487752995817912	324996721	150	0.005135227661759671	0.0053349309597169915	0.005163756704325003	0.005192285746890335	9023.34619993153	0.005487752438273013	9	COMPLETE
