number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	751	801	851	901	951	1001
0	TrialState.COMPLETE	0.3863966751155509	2020-01-15 14:38:55.460752	2020-01-15 18:40:32.977020	0.5162409785663975	10.698193305751087	9.26456458312768	0.046777464025920916	250.0	90.0	0.08905582931176541	1300.0	0.42654058206159784	0.17527396749664528	0.3863966751155509	0.31172655434620544	0.3517686745191591	8645.380572536156	0.25422389667308204	0.17527396749664528	0.3863966751155509	0.31172655434620544	0.3517686745191591	8645.374291784703	0.2542240225577501	0.17527396749664528	0.3863966751155509	0.31172655434620544	0.3517686745191591	8645.38685328761	0.2542237879313347	0		0.3857169638393601	0.3860757003462386			
1	TrialState.COMPLETE	0.3828002045955304	2020-01-15 18:40:32.978207	2020-01-15 23:57:59.100547	0.1171538401071688	16.45917796886081	2.6320486536707723	0.04807321460437944	450.0	80.0	0.0248150738690324	1300.0	0.41501086732770887	0.16372560591753227	0.3828002045955304	0.3041096159899276	0.34557955618508024	8411.381718209002	0.2453223483529841	0.16372560591753227	0.3828002045955304	0.3041096159899276	0.34557955618508024	8411.372403210577	0.24532235124329738	0.16372560591753227	0.3828002045955304	0.3041096159899276	0.34557955618508024	8411.391033207428	0.24532234548854934	1	0.38306701487252126	0.38292576237293785				
2	TrialState.COMPLETE	0.38999898826386076	2020-01-15 23:57:59.103930	2020-01-16 03:13:21.835844	0.9086134155417279	24.984494139042987	3.9517964400602543	0.06417660915971622	50.0	70.0	0.002817526271218147	1000.0	0.3932491574190061	0.21088796708485094	0.38999898826386076	0.3369671523000135	0.3636601241062997	7970.167880750034	0.2814663233623157	0.21088796708485094	0.38999898826386076	0.3369671523000135	0.3636601241062997	7970.164390260354	0.28146635229674694	0.21088796708485094	0.38999898826386076	0.3369671523000135	0.3636601241062997	7970.171371239714	0.28146629659360334	2				0.38827903682719545	0.38918201133144475	
3	TrialState.COMPLETE	0.4000611640484162	2020-01-16 03:13:21.842340	2020-01-16 05:52:34.120138	0.5364483255570692	4.9101224524404055	1.677252198256697	0.031611170975341205	350.0	60.0	0.007301967259941779	500.0	0.4094269931441351	0.15632243110996652	0.4000611640484162	0.3059490084985836	0.35492853463816637	8299.289990020603	0.24488131247904338	0.15632243110996652	0.4000611640484162	0.3059651043007984	0.35494463044038116	8299.277668684008	0.24488239475195892	0.15632243110996652	0.4000611640484162	0.3059490084985836	0.35492853463816637	8299.302311357198	0.24488047108229052	3						
4	TrialState.COMPLETE	0.4148612541849086	2020-01-16 05:52:34.121648	2020-01-16 10:37:44.884599	0.6681290779371044	7.422713970792912	2.5454583329895453	0.01940040453832097	250.0	90.0	0.005689186805998501	2000.0	0.4152916471235229	0.19055015451970125	0.4148612541849086	0.33006856811743496	0.3744607906258048	8417.996036408704	0.27290586336569234	0.19055015451970125	0.4148612541849086	0.33006856811743496	0.3744607906258048	8417.987260172547	0.2729059707946435	0.19055015451970125	0.4148612541849086	0.33006856811743496	0.3744607906258048	8418.004812644862	0.27290576562267493	4					0.41353576487252125	0.41423006879805746
5	TrialState.COMPLETE	0.39890226628895187	2020-01-16 10:37:44.885797	2020-01-16 13:21:25.984467	0.12396927260536794	18.074022198496284	4.233247290637212	0.05494862898772193	350.0	70.0	0.00800290973235964	500.0	0.4442835131843807	0.23205318053051763	0.39890226628895187	0.3494398660829256	0.3738411022405357	9004.380279423127	0.29817690381882667	0.23205318053051763	0.39890226628895187	0.3494398660829256	0.3738411022405357	9004.375273628637	0.29817690539749275	0.23205318053051763	0.39890226628895187	0.3494398660829256	0.3738411022405357	9004.385285217615	0.29817690225204724	5						
6	TrialState.COMPLETE	0.3741235835694051	2020-01-16 13:21:25.985947	2020-01-16 16:39:16.727381	0.1809777064458819	26.37797618956528	1.4396307404556343	0.04493631585734182	150.0	10.0	0.015707096926584393	1800.0	0.4295022737969605	0.18289660056657223	0.3741235835694051	0.30927762039660056	0.34242209631728043	8705.475827726628	0.255751232031105	0.18289660056657223	0.3741235835694051	0.30927762039660056	0.34242209631728043	8705.470733002832	0.25575123514542786	0.18289660056657223	0.3741235835694051	0.30927762039660056	0.34242209631728043	8705.480922450424	0.25575122894988633	6			0.372865517784073	0.3735276576710899		
