number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.00017705382436260624	2020-04-05 17:25:49.129544	2020-04-05 17:37:13.344486	0.8147855666613885	11.615858892772227	128	64	55	0.00862513043274269	512	0.9904998013086411	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20080.76867917847	0.0003941648177185091	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20002.880311614732	0.00041745178958735134	1834636020	150	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20158.65704674221	0.00038453097451648656	0	COMPLETE
1	0.001593484419263456	2020-04-05 17:37:13.395543	2020-04-05 17:56:28.265681	0.42495798766915216	22.56182585888319	128	64	59	0.0015281179087381041	256	1.0235366882508774	0.0003541076487252125	0.001593484419263456	0.0005311614730878187	0.0008852691218130312	20750.005400141643	0.0009170359613851291	0.0003541076487252125	0.001593484419263456	0.0005311614730878187	0.0008852691218130312	20721.870573654393	0.0009187062240088208	2973975859	150	0.0003541076487252125	0.001593484419263456	0.0005311614730878187	0.0008852691218130312	20778.140226628897	0.000916371684962382	1	COMPLETE
2	0.06108356940509915	2020-04-05 17:56:28.315473	2020-04-05 18:12:55.024484	0.6338169727004318	2.7038612405638047	128	64	15	0.014884798849338124	512	0.20506672935111153	0.007436260623229462	0.06108356940509915	0.022308781869688384	0.035056657223796035	4157.34534348442	0.026929172695189747	0.007436260623229462	0.06108356940509915	0.022308781869688384	0.035056657223796035	4157.343484419263	0.02692917327819224	3170352880	200	0.007436260623229462	0.06108356940509915	0.022308781869688384	0.035056657223796035	4157.347202549575	0.026929172113314605	2	COMPLETE
3	0.0003541076487252125	2020-04-05 18:12:55.075412	2020-04-05 18:31:55.631800	0.1942022603279844	11.342159409042019	128	128	26	0.04576049265950804	256	0.980001255070815	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	19868.138101983004	0.00044275263800640235	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	19192.357648725214	0.0004806964834363328	2803088718	150	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20543.918555240794	0.00043225551623492486	3	COMPLETE
4	0.04054532577903683	2020-04-05 18:31:55.675794	2020-04-05 18:46:19.592910	0.24289892613793607	4.134266767363548	256	256	56	0.007446685968119542	512	0.4389946927200431	0.01221671388101983	0.04054532577903683	0.02390226628895184	0.029567988668555242	8900.255400141643	0.02318686492543324	0.01221671388101983	0.04054532577903683	0.02390226628895184	0.029567988668555242	8900.251947592067	0.023186867785313515	3981323401	150	0.01221671388101983	0.04054532577903683	0.02390226628895184	0.029567988668555242	8900.258852691219	0.023186862078805694	4	COMPLETE
5	0.0010623229461756375	2020-04-05 18:46:19.629418	2020-04-05 18:58:12.765827	0.7646907337424179	7.137590913876868	128	128	63	0.007396365991415703	512	1.012342072456983	0.0005311614730878187	0.0010623229461756375	0.000708215297450425	0.000708215297450425	20524.101363314447	0.0010773624874740315	0.0005311614730878187	0.0010623229461756375	0.000708215297450425	0.000708215297450425	20523.426345609067	0.0010773681727289197	1778043079	150	0.0005311614730878187	0.0010623229461756375	0.000708215297450425	0.000708215297450425	20524.77638101983	0.0010773568065145143	5	COMPLETE
6	0.00017705382436260624	2020-04-05 18:58:12.801616	2020-04-05 19:16:54.417231	0.4891328489417907	27.752998412560313	64	256	8	0.04725202630836239	256	1.0356105105557636	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20996.032489376772	0.0002476307321385009	0.0008852691218130312	0.001593484419263456	0.0012393767705382436	0.00141643059490085	18830.41023371105	0.001368310527282103	3515710456	150	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	23161.65474504249	0.0002141685420507364	6	COMPLETE
7	0.0008852691218130312	2020-04-05 19:16:54.454841	2020-04-05 19:35:48.878915	0.20767072850025295	20.438900677802096	128	128	15	0.09696604390450349	256	0.936688587628374	0.0	0.0008852691218130312	0.0	0.00017705382436260624	18989.1664305949	0.00044405019822389713	0.0003541076487252125	0.002301699716713881	0.000708215297450425	0.0010623229461756375	15718.12216713881	0.0015408824578648274	1233474305	150	0.0	0.000708215297450425	0.0	0.0	22260.21069405099	0.0003842397801740653	7	COMPLETE
8	0.00141643059490085	2020-04-05 19:35:48.918416	2020-04-05 19:56:21.186011	0.3191139248089415	12.532178688391932	256	128	63	0.017577347679427206	256	0.9906628512298633	0.0	0.00141643059490085	0.00017705382436260624	0.0003541076487252125	20084.01991855524	0.0005593008017734116	0.0	0.001593484419263456	0.00017705382436260624	0.0003541076487252125	19701.021777620397	0.0005829060512081111	1497406080	150	0.0	0.00141643059490085	0.00017705382436260624	0.0003541076487252125	20467.018059490085	0.0005480735976877771	8	COMPLETE
9	0.0005311614730878187	2020-04-05 19:56:21.225755	2020-04-05 20:33:08.230366	0.447934681004807	1.180634693153602	256	64	42	0.0549335499570913	128	0.953535336259239	0.0003541076487252125	0.0005311614730878187	0.0003541076487252125	0.0005311614730878187	19330.79169617564	0.000624221624597536	0.0003541076487252125	0.0005311614730878187	0.0003541076487252125	0.0005311614730878187	19242.51823654391	0.0006243807415872081	3376848889	150	0.0003541076487252125	0.0005311614730878187	0.0003541076487252125	0.0005311614730878187	19419.065155807366	0.0006240651607941583	9	COMPLETE
