number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.00141643059490085	2020-04-06 18:33:46.179255	2020-04-06 18:47:58.011841	4.462884358252522	64	256	12	0.06487210765252686	256	0.9634786583448283	0.0	0.00141643059490085	0.00017705382436260624	0.0008852691218130312	19532.50814447592	0.0006239763983622264	0.0	0.00141643059490085	0.00017705382436260624	0.0008852691218130312	19475.8059490085	0.0006241630763093437	1082624608	200	0.0	0.00141643059490085	0.00017705382436260624	0.0008852691218130312	19589.210339943344	0.0006237916275421698	0	COMPLETE
1	0.020538243626062325	2020-04-06 18:47:58.062326	2020-04-06 19:18:39.983680	9.537188572471582	256	64	89	0.001413798378064593	128	0.5692154431237546	0.004426345609065156	0.020538243626062325	0.009915014164305949	0.014872521246458924	11540.522839943344	0.010617370952131512	0.004426345609065156	0.020538243626062325	0.009915014164305949	0.014872521246458924	11539.106763456091	0.010617398019807373	1727740646	200	0.004426345609065156	0.020538243626062325	0.009915014164305949	0.014872521246458924	11541.938916430596	0.010617344021874859	1	COMPLETE
2	0.011685552407932011	2020-04-06 19:18:40.034907	2020-04-06 19:24:38.467566	9.665391503105669	256	128	5	0.001738849637713911	512	0.7172681719057713	0.0030099150141643057	0.011685552407932011	0.005311614730878187	0.006905099150141643	14541.373937677054	0.006403508778677373	0.0030099150141643057	0.011685552407932011	0.005311614730878187	0.006905099150141643	14540.321883852692	0.006403547618402676	1991752414	150	0.0030099150141643057	0.011685552407932011	0.005311614730878187	0.006905099150141643	14542.425991501417	0.00640347043906181	2	COMPLETE
3	0.00017705382436260624	2020-04-06 19:24:38.502061	2020-04-06 19:40:41.853076	4.824082172063877	256	128	1	0.0817972470941259	128	0.9900015444220146	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20070.587730169973	0.00037436321425524355	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19993.075779036826	0.00037460756916381325	3505004680	150	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20148.099681303116	0.00037412124206203317	3	COMPLETE
4	0.044263456090651555	2020-04-06 19:40:41.887425	2020-04-06 19:49:25.822729	4.2230462414220655	64	128	48	0.0014581635328521532	512	0.6362501990194646	0.007613314447592068	0.044263456090651555	0.0169971671388102	0.02673512747875354	12900.283197592067	0.018524519716659017	0.007613314447592068	0.044263456090651555	0.0169971671388102	0.02673512747875354	12899.160764872522	0.018524529447098367	1334809160	200	0.007613314447592068	0.044263456090651555	0.0169971671388102	0.02673512747875354	12901.405630311614	0.01852450999577514	4	COMPLETE
5	0.00424929178470255	2020-04-06 19:49:25.875300	2020-04-06 19:55:22.538170	6.736017800739766	128	256	14	0.02976187523180481	512	0.9137238080889658	0.0008852691218130312	0.00424929178470255	0.0017705382436260624	0.002124645892351275	18523.81745750708	0.0023092996932214996	0.0008852691218130312	0.00424929178470255	0.0017705382436260624	0.002124645892351275	18522.29833569405	0.0023093396949687463	960842527	150	0.0008852691218130312	0.00424929178470255	0.0017705382436260624	0.002124645892351275	18525.336579320112	0.0023092599624032683	5	COMPLETE
6	0.018767705382436262	2020-04-06 19:55:22.574719	2020-04-06 20:03:04.338283	8.54285787842925	256	128	79	0.002756979984480509	512	0.6108674876301162	0.0030099150141643057	0.018767705382436262	0.0060198300283286115	0.009206798866855524	12385.30435552408	0.008419775456017025	0.0030099150141643057	0.018767705382436262	0.0060198300283286115	0.009206798866855524	12382.485481586402	0.008419781744599456	321563665	150	0.0030099150141643057	0.018767705382436262	0.0060198300283286115	0.009206798866855524	12388.123229461757	0.00841976918305527	6	COMPLETE
7	0.009560906515580737	2020-04-06 20:03:04.375227	2020-04-06 20:13:47.096119	6.185646985146428	64	128	95	0.01882963244468696	256	0.7405843915143743	0.0019475920679886685	0.009560906515580737	0.004072237960339943	0.005842776203966006	15014.583923512748	0.005192137450579548	0.0019475920679886685	0.009560906515580737	0.004072237960339943	0.005842776203966006	15013.47361898017	0.005192140326088593	3659374043	150	0.0019475920679886685	0.009560906515580737	0.004072237960339943	0.005842776203966006	15015.694228045326	0.005192134578271047	7	COMPLETE
8	0.004957507082152974	2020-04-06 20:13:47.133339	2020-04-06 20:20:29.552632	5.4685716411358944	128	128	72	0.05828571546845168	512	0.945973547559546	0.000708215297450425	0.004957507082152974	0.0028328611898017	0.003186968838526912	19177.5523194051	0.0024246468174356707	0.000708215297450425	0.004957507082152974	0.0028328611898017	0.003186968838526912	19170.461756373938	0.002424709924574643	3763452566	150	0.000708215297450425	0.004957507082152974	0.0028328611898017	0.003186968838526912	19184.64288243626	0.002424584193416799	8	COMPLETE
9	0.030807365439093484	2020-04-06 20:20:29.589221	2020-04-06 20:29:50.193502	3.5092072430211534	256	64	46	0.026571136486646933	512	0.5511670942441648	0.006373937677053824	0.030807365439093484	0.016643059490084985	0.0226628895184136	11172.925902974504	0.015882909233890536	0.006373937677053824	0.030807365439093484	0.016643059490084985	0.0226628895184136	11172.827018413598	0.015882913506008636	1859695873	200	0.006373937677053824	0.030807365439093484	0.016643059490084985	0.0226628895184136	11173.02478753541	0.01588290498234607	9	COMPLETE
