number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.3438320209973753	2020-01-22 06:57:22.694471	2020-01-22 09:46:11.106394	250.0	71.0	0.0011049748954429534	900.0	0.07659377200346981	0.08721328312221842	0.3438320209973753	0.19128723040054776	0.25171174255391987	537.5669576629008	0.17074704560619092	0.08721328312221842	0.3438320209973753	0.19128723040054776	0.25171174255391987	537.5668720757732	0.17074704580648756	1976414719	0.08721328312221842	0.3438320209973753	0.19128723040054776	0.25171174255391987	537.5670432500285	0.17074704540659566	0
1	TrialState.COMPLETE	0.0033378979801437863	2020-01-22 09:46:11.107129	2020-01-22 12:44:57.284416	350.0	61.0	0.03878893095939861	900.0	0.769038679767039	0.0004279356384799726	0.0033378979801437863	0.0012267488303092549	0.001911445851877211	5477.716906310624	0.0020249332512491977	0.0004279356384799726	0.0033378979801437863	0.0012267488303092549	0.001911445851877211	5477.716392787858	0.0020249333465972826	1636018336	0.0004279356384799726	0.0033378979801437863	0.0012267488303092549	0.001911445851877211	5477.7174198333905	0.002024933156048498	1
2	TrialState.COMPLETE	0.002025562022138537	2020-01-22 12:44:57.285175	2020-01-22 15:28:44.973359	450.0	51.0	0.03997963443850823	800.0	0.8110113397848979	0.0002567613830879836	0.002025562022138537	0.0007988131918292822	0.0012267488303092549	5781.549640534064	0.0014308806929955228	0.0002567613830879836	0.002025562022138537	0.0007988131918292822	0.0012267488303092549	5781.549127011297	0.0014308807151222087	4152255948	0.0002567613830879836	0.002025562022138537	0.0007988131918292822	0.0012267488303092549	5781.55015405683	0.0014308806708783004	2
3	TrialState.COMPLETE	0.1396211343147324	2020-01-22 15:28:44.974104	2020-01-22 17:27:01.562588	450.0	1.0	0.004526841619038926	800.0	0.17506544755932693	0.032466050439347256	0.1396211343147324	0.06607326258130777	0.09177792993267146	1239.9816130320667	0.06953365416441291	0.032466050439347256	0.1396211343147324	0.06607326258130777	0.09177792993267146	1239.9815702385029	0.06953365416994405	2390165609	0.032466050439347256	0.1396211343147324	0.06607326258130777	0.09177792993267146	1239.9816558256305	0.0695336541588848	3
4	TrialState.COMPLETE	0.33341892046102933	2020-01-22 17:27:01.563340	2020-01-22 18:53:25.565534	150.0	81.0	0.001656504384673411	500.0	0.07006809246118241	0.09294762067785005	0.33341892046102933	0.18503937007874016	0.2452071208490243	490.7350222526532	0.17088257158467002	0.09294762067785005	0.33341892046102933	0.18503937007874016	0.2452071208490243	490.73487960744035	0.17088257241964808	1231287585	0.09294762067785005	0.33341892046102933	0.18503937007874016	0.2452071208490243	490.735164897866	0.17088257075327398	4
5	TrialState.COMPLETE	0.29775761725436495	2020-01-22 18:53:25.566274	2020-01-22 20:44:50.571236	150.0	11.0	0.00287785973690286	700.0	0.070849410884785	0.08222070067328541	0.29775761725436495	0.161360264749515	0.21399634828255162	496.5504108182129	0.15241829349962327	0.08222070067328541	0.29775761725436495	0.161360264749515	0.21399634828255162	496.55032523108525	0.15241829350343095	3332805116	0.08222070067328541	0.29775761725436495	0.161360264749515	0.21399634828255162	496.55049640534065	0.15241829349581662	5
6	TrialState.COMPLETE	0.07848339609722697	2020-01-22 20:44:50.571980	2020-01-22 23:26:17.554926	250.0	91.0	0.010357427315498293	800.0	0.30289255995133535	0.016689489900718932	0.07848339609722697	0.03626041310053635	0.050724637681159424	2147.748430902659	0.03933175164821134	0.016689489900718932	0.07848339609722697	0.03626041310053635	0.050724637681159424	2147.7481170831907	0.03933175176763531	3750981798	0.016689489900718932	0.07848339609722697	0.03626041310053635	0.050724637681159424	2147.748744722127	0.03933175152894842	6
7	TrialState.COMPLETE	0.15845030240785118	2020-01-22 23:26:17.555687	2020-01-23 00:49:38.368299	150.0	61.0	0.0074911659690685296	500.0	0.1608832275405669	0.031125185438776674	0.15845030240785118	0.07209289056259272	0.10256190802236677	1133.1927850051352	0.07414976150490112	0.031125185438776674	0.15845030240785118	0.07209289056259272	0.10256190802236677	1133.1925995663585	0.0741497617464242	2411453429	0.031125185438776674	0.15845030240785118	0.07209289056259272	0.10256190802236677	1133.192970443912	0.07414976126410479	7
8	TrialState.COMPLETE	0.001854387766746548	2020-01-23 00:49:38.369055	2020-01-23 02:19:18.400651	350.0	41.0	0.046520648335174775	500.0	0.8234850618569154	0.00022823234052265205	0.001854387766746548	0.00048499372361063563	0.0009129293620906082	5873.383572977291	0.0013958396525393555	0.00022823234052265205	0.001854387766746548	0.00048499372361063563	0.0009129293620906082	5873.383059454524	0.001395839675528589	1883569839	0.00022823234052265205	0.001854387766746548	0.00048499372361063563	0.0009129293620906082	5873.3840865000575	0.0013958396295572519	8
